	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000028713	-0.008023636188541145	-0.30763583468979566	-0.0657936490562812	-0.46016091334983894	-0.8406808735157125	-0.8500143573455027
ENSMUSG00000053214	-0.05701701442507661	0.2367143672693889	-0.12446128817374331	-0.12093726953789814	-0.297370997572784	0.7732450371629421
ENSMUSG00000103352	-3.904079385349432	-3.070932879203323	-3.749742377545004	-3.1462040667246014	-1.899039355008488	-1.6272111414193433
ENSMUSG00000025900	0.017153362680397317	-0.305079836165422	-0.13595684859604434	-0.3307082400406073	-0.4853807944974278	-0.6848730242302574
ENSMUSG00000085334	0.6966467204246524	0.13561567687772685	1.0814102154425862	0.8799850622844213	0.36611917604964833	0.2452384139561388
ENSMUSG00000097488	0.20124566401819743	0.1870200590345411	0.23543181412990516	0.2148262886762615	-0.15275239660737094	0.5513966346017632
ENSMUSG00000030204	0.23006803982251872	0.49830441528665226	0.4508790380896037	0.2067127719840196	-0.16385773298588524	0.8997215488715092
ENSMUSG00000107148	0.13335974319456342	-0.3260938052452488	-0.32345913960609235	-0.39484446985206867	-1.0995216562327836	-0.8234956068781195
ENSMUSG00000101791	-0.25173475924656086	-0.7118220502370723	-0.3310063839111083	-0.6619201473588974	-0.496131435473533	-0.991039845372783
ENSMUSG00000015672	0.3534104418477725	1.0845964156965215	0.4594993482389279	0.7600301939663783	1.2647871372145945	1.2715835014099335
ENSMUSG00000101621	-0.16081446139092884	-0.3419903181564045	-0.3466202404878092	-0.34270322535217795	-0.06344545143209934	-1.5701217679707595
ENSMUSG00000041408	0.5906059514591626	1.1274821464779838	0.6464672585407163	0.7231608935963124	1.2245840481138304	1.220857730155082
ENSMUSG00000005699	0.6703307462911777	1.0692130809491136	0.6391450657437255	0.528232901904745	1.2672594972529763	1.0942611739471173
ENSMUSG00000106373	-3.904079385349432	-3.070932879203323	-3.749742377545004	-3.1462040667246014	-1.899039355008488	-1.6272111414193433
ENSMUSG00000090248	0.4275811947601398	-0.3363506503344299	0.11239848237949902	-0.26314161637366906	-0.9899430459324567	-0.9644221514319314
ENSMUSG00000030621	0.0714212259053888	-0.004464321906628912	-0.02988554829093614	-0.059571968014664176	-0.3118237556123351	0.6685232352585009
ENSMUSG00000117402	-0.3413903841463971	-0.560367022122095	-0.5931446429787784	-0.7042490217813813	-1.0840514790861144	-0.841816884846365
