	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000094140	0.015451208888201852	-0.10209792010941288	-0.12359620013899827	-0.14748042079768023	0.011865971829257527	-0.2054855497809682
ENSMUSG00000075502	-0.00802210227033262	0.41852719240156516	0.14618407149894455	0.39391941984631335	0.0027848927884536875	0.166651288049772
ENSMUSG00000044674	-0.004402666371174424	0.20285574731378986	-0.10587376827037019	-0.13453039302982087	-0.04569005616301634	0.21381752550090044
ENSMUSG00000120508	0.007391031391123182	-0.13844122671762327	-0.09677654933433227	-0.24931219514571154	0.013986370810570602	-0.25362339031559233
ENSMUSG00000087378	-0.0010893428333594857	-0.16919350054647664	-0.10687505005584659	-0.1887859940619523	-0.028539503288137594	-0.18958368524027047
ENSMUSG00000095420	-0.06788661174405133	-0.5131379726332207	-0.002880526402157857	-0.5410926461090679	-0.012558115936783111	-0.2891520561289239
ENSMUSG00000105190	0.01512954537506529	-0.06918186288503538	-0.12023796268697605	-0.14322279077551975	0.009189125780880103	-0.16308859983241258
ENSMUSG00000121798	-0.007238064090626925	0.5345452422223032	0.09177575546706802	0.30582687696028105	-0.0012650603770745228	0.32530602371418654
ENSMUSG00000036225	0.04306687047528631	0.037541931982928774	-0.10189208809394301	-0.07162881519013715	0.009038786678258665	0.21061517239289898
ENSMUSG00000031837	0.006879079553390325	0.17046145658839715	0.03988190045267971	0.1744838020200632	0.0014762851328701254	0.15392749182506715
ENSMUSG00000110300	0.01230401889348065	-0.1503467423251893	-0.10445387738262055	-0.20162737806148934	-0.018679711017908097	-0.2418747915049361
ENSMUSG00000115671	0.006698866210094634	-0.1618470742604529	-0.13305607026694558	-0.09772174563776834	-0.0035560026839782932	-0.20280629419900434
ENSMUSG00000035984	0.011153518730387299	0.11747026568403925	-0.022368640612601076	0.1307792926660761	0.015969266671739115	0.08893657509380726
ENSMUSG00000114917	0.040407736849464276	-0.12924591717313041	-0.02743614863522325	-0.1841918743555152	0.01931375660476592	-0.12547291908271602
ENSMUSG00000030309	0.007211000136254642	0.4304162603943385	0.03434885869269405	0.4831502851612822	0.015250063340366401	0.33745642344262444
ENSMUSG00000117023	0.006919574203055096	-0.20171566679280334	-0.08907183464909287	-0.3320301130265353	0.0011538865899640705	-0.21949885142014994
ENSMUSG00000020878	-0.002011255612706764	0.48315734932921933	0.023595264182715577	0.5443759272461307	0.014046607720646566	0.27535358864121584
ENSMUSG00000109962	0.03313283272471413	-0.11711895415936001	-0.09503817121577392	-0.13712058714493364	0.02579526422943329	0.08490762847000712
ENSMUSG00000069755	0.032905445979679857	-0.11558626519085856	0.1322074183235779	-0.08310445076684225	0.022282571461950174	-0.13852904661937784
ENSMUSG00000025326	-0.00036403906109527817	0.546034156795845	0.03031603898842792	0.6361430177384586	0.009278113446138781	0.36626130424855485
ENSMUSG00000067543	0.002233770586490047	-0.09043812311892083	-0.05736296491892996	-0.11944210698577741	0.009236945443862712	-0.22493845022032863
ENSMUSG00000101649	-0.21569247855214138	-1.0514416340456534	0.17707797028720984	-0.7796562894546281	-0.07156869524702676	-0.2918530886393529
ENSMUSG00000037447	0.003516209175167262	0.26577579602606033	0.03937783724394071	0.38759559333591287	-0.019674848146083015	0.172863273304901
ENSMUSG00000032894	-0.027851484441929072	-0.2374165323561062	-0.08585449773669039	-0.2919417937393501	-0.026323648225754392	-0.2378070806849654
ENSMUSG00000003948	0.021447008031742376	0.2869113671154168	-0.0575211042407603	0.24246692933473318	0.014007052220656124	0.28777280123476395
ENSMUSG00000085841	0.021536457197596476	-0.1684381691711612	-0.058619338001130325	-0.29355967073353934	-0.0035122191226667487	-0.16907040961738323
ENSMUSG00000121611	0.01892012912494534	-0.1740526354286238	-0.08148943145637019	-0.2565297783094723	0.02570737183068472	-0.15324117909097873
ENSMUSG00000025980	0.020730744360132225	0.6368961663282712	0.15105699622824056	0.6771871961056003	0.019366741417227384	0.37398102638049346
ENSMUSG00000092019	-0.21569247855214138	-1.0514416340456534	0.17707797028720984	-0.7796562894546281	-0.07156869524702676	-0.2918530886393529
ENSMUSG00000079669	0.015943876909552304	-0.17942645118011757	-0.10494330811486592	-0.15816481683918757	0.0023023807026493204	-0.009012599400130734
ENSMUSG00000059434	0.0216018419424458	-0.12484068922573897	-0.03411818139523139	-0.1192854454343736	0.02435817181503306	-0.10782299518089103
ENSMUSG00000026523	0.014362550963418829	-0.1522844865720567	-0.06965430791010967	-0.3336526983314724	0.010808584970970592	-0.1435998198280988
ENSMUSG00000097199	0.025736826499060804	-0.0929176576008601	-0.041735430124579455	-0.1554988579384835	0.018269185017630862	-0.1682233863036316
ENSMUSG00000066595	-0.0032098438495500314	0.4395532416092877	0.09306714759712462	0.4969610875550466	0.008333939326317602	0.3122093692528204
ENSMUSG00000001627	0.002926145785837136	0.6297921834172805	0.12059728491452869	0.6442563267247385	-0.0016860827591602678	0.3450715753206642
ENSMUSG00000112733	0.016175269928156544	-0.11906406837490785	-0.07604074731099292	-0.1646850274341336	0.02712081234379022	-0.1465790810928724
ENSMUSG00000045216	0.00413245843731664	0.3191350531760174	0.09870191252958159	0.5307714397961586	-0.01188424696432433	0.26531792992401176
ENSMUSG00000030704	0.00031675435083000636	0.5050203006590214	0.03894280284378323	0.6398252804685404	0.005514837163609127	0.3087520373095839
ENSMUSG00000026678	0.011181669634285808	-0.1012075454566474	-0.11154666828494435	-0.08394757454826937	0.008649179269064666	-0.10419139497083119
ENSMUSG00000110652	0.015111765231043926	-0.019932845623805803	0.04161193029162454	-0.0399323974415178	0.025586476591520836	0.046626172021934954
ENSMUSG00000031371	0.052316484111823845	0.07892437451051063	-0.06879143260486018	0.04552692434643601	0.01745143765869489	0.17288948982746563
ENSMUSG00000032014	0.012321783509698907	0.1849179270439922	-0.07039117696272874	0.125337820648727	0.00938053670878769	0.1952348160226112
ENSMUSG00000100221	0.014947818156209937	-0.1400906814537243	-0.10863352719190528	-0.21501879729392748	0.004016900748682883	-0.14754686947386184
ENSMUSG00000055679	0.006436038034853089	-0.12012518971617132	-0.06904545002244016	-0.3668521649376839	-0.0005214927839762851	-0.20519256599027297
ENSMUSG00000095521	-0.040282303197762825	-0.2812785814974537	-0.04205914236397823	-0.36100089318429657	-0.07083889014386997	-0.30327892510828636
ENSMUSG00000035215	0.004668217745768694	0.3952359276489089	0.11229215366693279	0.2615798078479696	-0.00952746050637554	0.3022245340709968
ENSMUSG00000049241	0.016072429560923786	-0.08000220662978726	-0.08657394692301205	-0.09456696944753824	0.002838171890486546	0.04858027358494165
ENSMUSG00000035878	0.0044649583585109065	0.2569098849300642	0.010944370786278138	0.23185996055388297	0.011799191256329522	0.21542950935613353
ENSMUSG00000026544	0.0033984356140472232	0.27622274889221105	-0.001286236989048728	0.24183908557268338	-0.0053899019789087595	0.19086988842495398
ENSMUSG00000083466	0.016070060083231676	-0.21600588080602273	-0.06795816686853445	-0.29794738448650526	0.025844777550157537	0.015188420574536732
ENSMUSG00000020256	0.024777747931175417	0.1338810058500519	-0.02822089190306598	0.21986181565414506	0.021478730613121947	0.16359518464986333
ENSMUSG00000107593	0.02622599678174606	-0.12749324136701212	-0.07862255943528648	-0.14393592362520413	0.0023299055524228507	-0.19240213886618096
ENSMUSG00000026709	-0.00027839000822926785	0.3795953237954972	0.1067360001872319	0.4142375590457509	0.012309741665415317	0.340881803515586
ENSMUSG00000090958	0.025306203065400573	0.1710844568774106	-0.06861709641342383	-0.17584685248207504	0.018044187419804722	0.11034676460777297
ENSMUSG00000087201	0.02718712725120742	-0.10433640547403131	-0.09581292463457773	-0.343215118830619	-0.012627930299180018	-0.2370339130433591
ENSMUSG00000034154	-0.0007813262846261271	0.63343816774546	0.09097170539799523	0.7083225821728009	0.008413363472125245	0.37811009273271395
ENSMUSG00000035861	0.020184740222665063	-0.14817368007431928	-0.08682676148241449	-0.14996487956791008	0.004563198269926794	-0.19501473054914237
ENSMUSG00000050912	0.006929495243986006	0.40306440883607964	0.11222689564178698	0.3558260069002442	0.011182631479297099	0.28830674591284644
ENSMUSG00000120584	-0.007125401598019887	0.2567047157586808	-0.04734060890274347	0.012147582021480934	0.01697330436130559	0.3101940789458017
ENSMUSG00000101581	0.015578298950281289	-0.1511559213533542	-0.05228762560181686	-0.02497108244854583	0.022653160430954555	-0.07294389426383112
ENSMUSG00000029311	0.004982127086795496	0.23130272262160972	0.04576805150313361	0.3515188621039034	-0.005499863556603923	0.2634438861154483
ENSMUSG00000058317	-0.21569247855214138	-1.0514416340456534	0.17707797028720984	-0.7796562894546281	-0.07156869524702676	-0.2918530886393529
ENSMUSG00000104527	0.01177158478900886	-0.26496928801538927	-0.1066052347606549	-0.1936726019704844	0.018312189878648303	-0.22461354574087297
