	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000094140	0.0011878767982125282	-0.10875103622674942	-0.15410447120666504	-0.17115503549575806	0.010117904283106327	-0.2221391797065735
ENSMUSG00000075502	-0.014083977788686752	0.3786449730396271	0.1285664141178131	0.3613709509372711	0.0011612846283242106	0.17088422179222107
ENSMUSG00000044674	-0.013976662419736385	0.1775081753730774	-0.12821117043495178	-0.1771671324968338	-0.031147725880146027	0.20566996932029724
ENSMUSG00000120508	-0.01261889934539795	-0.13897019624710083	-0.1316857486963272	-0.2702440321445465	0.01191153284162283	-0.26866966485977173
ENSMUSG00000087378	-0.018465477973222733	-0.17765073478221893	-0.14126834273338318	-0.2101665884256363	-0.025053704157471657	-0.20496322214603424
ENSMUSG00000095420	-0.08853749930858612	-0.5275279879570007	-0.008018404245376587	-0.6061391234397888	-0.012624356895685196	-0.27736157178878784
ENSMUSG00000105190	0.0038347041700035334	-0.08419498801231384	-0.14899766445159912	-0.16712640225887299	0.00814603827893734	-0.17657509446144104
ENSMUSG00000121798	-0.023857012391090393	0.5019311904907227	0.07252895832061768	0.2659209370613098	-0.00045761364162899554	0.3393832743167877
ENSMUSG00000036225	0.03181259706616402	0.010712286457419395	-0.11713023483753204	-0.1180325597524643	0.015121801756322384	0.2107570618391037
ENSMUSG00000031837	-0.0027007367461919785	0.13584257662296295	0.02640100196003914	0.13171012699604034	0.0028212121687829494	0.15953493118286133
ENSMUSG00000110300	-0.0048527829349040985	-0.14664801955223083	-0.14508633315563202	-0.2263074666261673	-0.017330531030893326	-0.2579542398452759
ENSMUSG00000115671	-0.01109972596168518	-0.16531018912792206	-0.16302993893623352	-0.12563496828079224	-0.00515787536278367	-0.21555660665035248
ENSMUSG00000035984	0.006500435061752796	0.08399922400712967	-0.03972666338086128	0.09196103364229202	0.016285035759210587	0.08942025899887085
ENSMUSG00000114917	0.030665919184684753	-0.13802646100521088	-0.05570864677429199	-0.21078424155712128	0.02556225284934044	-0.15183508396148682
ENSMUSG00000030309	-0.008383115753531456	0.40841084718704224	0.025164030492305756	0.42894265055656433	0.009831937961280346	0.35036566853523254
ENSMUSG00000117023	-0.009753347374498844	-0.20578262209892273	-0.12313947826623917	-0.3510044813156128	-0.0014873393811285496	-0.23657655715942383
ENSMUSG00000020878	-0.018542803823947906	0.45303916931152344	0.01607215590775013	0.4939826726913452	0.008732364512979984	0.2917330861091614
ENSMUSG00000109962	0.02896164357662201	-0.14379042387008667	-0.11101844161748886	-0.1720893234014511	0.027959603816270828	0.07103397697210312
ENSMUSG00000069755	0.020636772736907005	-0.12678177654743195	0.11169659346342087	-0.11110362410545349	0.028102032840251923	-0.16587531566619873
ENSMUSG00000025326	-0.017682263627648354	0.5147616863250732	0.022516649216413498	0.5993834733963013	0.00768373953178525	0.36750465631484985
ENSMUSG00000067543	-0.015804916620254517	-0.0965600237250328	-0.08933210372924805	-0.14553728699684143	0.011767587624490261	-0.23874519765377045
