	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000094140	0.054137654790565905	-0.03872267213166874	-0.26617692007552024	-0.06430042334239328	-0.04363359763042945	0.03570972540636386
ENSMUSG00000075502	0.11391437870753804	0.35175723702240613	0.8470691825515163	0.014061076859380295	0.11477336181532108	-0.04706131973553903
ENSMUSG00000044674	0.07062597674218567	0.12918320199268424	-0.31222283319636934	-0.09146658064995827	0.24284949366080236	-0.06659443460856031
ENSMUSG00000120508	0.008102680833111997	-0.05447230258798865	-0.20610201034907205	-0.09832788948121976	-0.04353341303686931	-0.02502941940520313
ENSMUSG00000087378	-0.0288509381512994	-0.06577993042013237	-0.22170931221714835	-0.06688607142210523	-0.1687321619078367	0.05537132864596861
ENSMUSG00000095420	-0.2592071529918517	-0.21654745758422347	-0.442737518468837	0.12077901337671626	-0.17762887063579433	-0.0289571057374719
ENSMUSG00000105190	0.058265095316238386	-0.017686989263965558	-0.2595752137677532	-0.05378764610476768	-0.05240872792211235	0.055287390303620565
ENSMUSG00000121798	0.1158206621933499	0.43804638524246686	0.4956507000772446	0.08376086283660938	0.1797906483058232	0.021396674441898966
ENSMUSG00000036225	0.03989544115796445	0.04792726019139025	-0.4099345825273837	-0.07137532987695418	0.14104004657304392	-0.05281032256379533
ENSMUSG00000031837	0.07099262524137451	0.12607448875430993	0.26059156285033025	0.03898859532689493	0.15567314131192309	-0.07492508137392051
ENSMUSG00000110300	0.04176118833116169	-0.05839234929517965	-0.19462420273814704	-0.0888574605004577	-0.1455585601004631	0.012541489820980467
ENSMUSG00000115671	0.00881894580909004	-0.06726417279368475	-0.2880714785690259	-0.044388365620337024	-0.09332971464542897	0.05413799289596653
ENSMUSG00000035984	0.07732879225093763	0.09386680862148433	0.02319346280014882	0.024184776237767235	-0.024727705990312376	-0.08601607414035123
ENSMUSG00000114917	0.15862009499001226	-0.04856432340245056	0.05270228548125787	-0.07599623061055502	-0.024395748690133362	0.06195847966836546
ENSMUSG00000030309	0.061674283550727765	0.32972878847618814	0.252442944691742	0.046381240312185615	0.013206670792082587	-0.025649174725838386
ENSMUSG00000117023	0.006304701406418296	-0.07680601186411222	-0.24615401556209318	-0.0798247859749216	-0.1087348375055807	-0.0009194887630964432
ENSMUSG00000020878	0.07301678725421328	0.37535517596541834	0.19398494820622014	0.04641264152448755	0.0811663122938307	-0.036196417399157355
ENSMUSG00000109962	0.02707196469071784	-0.038786083280433904	-0.3780207213564202	-0.04190611386467587	0.014269926837715108	-0.06176256681168174
ENSMUSG00000069755	0.11558041277563916	-0.04563635820050939	0.47885983677053395	-0.01053412589069358	-0.048628253202059414	0.05483357850210551
ENSMUSG00000025326	0.06585382651818139	0.44381811246143343	0.2376207435218704	0.02983278175570232	0.19317715347829614	0.02391324049847543
ENSMUSG00000067543	0.0049525077357407965	-0.03515744156555036	-0.039616636428029914	-0.0591147017454956	-0.0594731727466516	0.014620432569211882
ENSMUSG00000101649	-1.0834583697094988	-0.5713316743550144	-0.8405671960921395	0.3663613835026639	-0.46173688444209077	-0.019861102112679774
ENSMUSG00000037447	0.10182110021340918	0.18731522753574795	0.2580150427749571	0.10922430726841557	0.2509880999528298	-0.08822052988966589
ENSMUSG00000032894	-0.18103245196763265	-0.10340175932825833	-0.2631320916857117	-0.06679484298791136	-0.18913603692771627	0.010079800908258552
ENSMUSG00000003948	0.05753602529319988	0.22266527442628553	-0.16244230234090862	0.030329781056109298	-0.06006448793814033	-0.04106775407140168
ENSMUSG00000085841	0.0843474088302438	-0.062360457227712614	-0.04708527828439115	-0.12284499980628116	-0.1338864649295461	0.034710257653355225
ENSMUSG00000121611	0.07499459668590555	-0.06462927861425921	-0.1352716141813345	-0.09389088914142805	0.05187285920228748	0.039821009516247285
ENSMUSG00000025980	0.25745944407787896	0.5881889564365214	1.0294778465104129	-0.03335025530144664	0.3880708613739531	0.030841881208569774
ENSMUSG00000092019	-1.0834583697094988	-0.5713316743550144	-0.8405671960921395	0.3663613835026639	-0.46173688444209077	-0.019861102112679774
ENSMUSG00000079669	0.031989611460433665	-0.06258203634647579	-0.3253616307889054	-0.02041504752529639	-0.10774200421282787	-0.015461693925570374
ENSMUSG00000059434	0.09377455015224781	-0.046030365097395276	0.036618348408442906	-0.044896356577018105	0.019631530231259603	0.06850711743836732
ENSMUSG00000026523	0.051952714774462005	-0.0544497374516683	-0.10381725764091536	-0.10245068905872826	-0.07560157581159224	0.0388085935125807
ENSMUSG00000097199	0.10457871281444421	-0.03569796197597737	0.007999957110807424	-0.06991126818397958	-0.025840626011075302	0.042358155372035536
ENSMUSG00000066595	0.09103835357673784	0.36731891789708576	0.5642198677363598	0.03135481806497577	0.12506853067223045	-0.010866561304464506
ENSMUSG00000001627	0.09604945141291918	0.5592146155899981	0.729192164352541	-0.011025083355830745	0.27811617887582285	0.037442145765094484
ENSMUSG00000112733	0.06840269477339476	-0.0456567557986285	-0.10007475501614753	-0.07340988942064526	0.08439951782439847	0.05244671311840567
ENSMUSG00000045216	0.09958589968915066	0.2632241571250852	0.6055125185015965	0.06801832813449418	0.23243431693352076	-0.04046623251503112
ENSMUSG00000030704	0.09138413964172415	0.4166179732990885	0.2744318011894862	0.08266201195711922	0.26134538238756433	0.0006632244949995592
ENSMUSG00000026678	0.03677509770152587	-0.028865206532599795	-0.22472898323782475	-0.0315687319424082	-0.05925582656806061	0.04953451043457292
ENSMUSG00000110652	0.05482964119144999	0.008727846697421734	0.29323395737336544	-0.013562738037952715	0.04832555467136067	-0.053287161786991215
ENSMUSG00000031371	-0.011362410745975104	0.08374776782446525	-0.14847547359788643	-0.021385402775084647	-0.05443369594009125	-0.04550028320566305
ENSMUSG00000032014	0.053278140859361	0.14180816727594445	-0.16869170029591363	-0.008894952531687539	0.1407602047982334	-0.05576505678359205
ENSMUSG00000100221	0.051102927606277104	-0.050493853948075866	-0.25684615997513577	-0.06278664787210678	-0.08298859121418956	0.055276681314039344
ENSMUSG00000055679	0.00840325237927665	-0.04142960539904709	-0.11613375945232668	-0.11749789325494829	-0.1173739452528449	-0.0015867831285272804
ENSMUSG00000095521	-0.23891573177890435	-0.12332619118368934	-0.3807963130154191	-0.03465391678423285	-0.2908003224800317	0.016192213042429016
ENSMUSG00000035215	0.07477393679904543	0.31378856350409107	0.5941584938880186	0.0663977580906217	0.15819567774524756	-0.003296003834233341
ENSMUSG00000049241	0.05044371844784856	-0.01860114535497909	-0.16946630560713002	-0.03798215856805859	-0.1145291332448168	-0.0679483904529736
ENSMUSG00000035878	0.07096581495665588	0.1946291701421256	0.13910284609374587	0.05482139618915887	0.13252180216322987	-0.05216059263473316
ENSMUSG00000026544	0.0739356713891467	0.1987606991388045	0.08981778818431854	0.055964564332197916	0.19462234011837576	-0.06364588512755376
ENSMUSG00000083466	0.04065541779926483	-0.07719314583503947	-0.12840757401066785	-0.0101511186655764	0.021740723047710752	0.018845013902265048
ENSMUSG00000020256	0.049065074494789376	0.11134366322378286	-0.018154404202298274	0.0389034505841638	0.011220909422567484	-0.07944169287781416
