	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000094140	0.016324748707973707	-0.04220641180612479	-0.11327727574385832	-0.07604029327514421	0.013534417643620289	-0.15098503223919083
ENSMUSG00000075502	-0.005486985255815924	0.48238317654550367	0.16657033436907395	0.45919029691927643	0.003824182481064374	0.21225682065248996
ENSMUSG00000044674	-0.00423909920378146	0.27496066095028676	-0.09799119403728507	-0.061185263867852335	-0.04451501927057367	0.25783936780639016
ENSMUSG00000120508	0.006348489149716752	-0.07803801178622073	-0.08917735244010658	-0.172625202252068	0.015628328637295318	-0.20021914722330628
ENSMUSG00000087378	-0.0024727342572151145	-0.10430754803635536	-0.09811424328708655	-0.11719377087086488	-0.027509633110127572	-0.13577608306751754
ENSMUSG00000095420	-0.07535616578956045	-0.43765227909747895	0.009397420102804643	-0.47899275944274955	-0.011376774532999895	-0.23403430679734447
ENSMUSG00000105190	0.01581961804720513	-0.008572487262505	-0.1104150678524996	-0.07413592288899629	0.010672556457930304	-0.10608817812825688
ENSMUSG00000121798	-0.005471811698491557	0.599215809900254	0.10495328732374593	0.3748784891831999	-0.00035249018918581676	0.37442055277349057
ENSMUSG00000036225	0.039287895057287726	0.11661760225965152	-0.09383139568039739	-0.00514652331283727	0.010734835160941708	0.2577725081575223
ENSMUSG00000031837	0.007615110158104111	0.24316500873665986	0.04950604673776316	0.24528065515401992	0.003034435125943591	0.19720182305685313
ENSMUSG00000110300	0.013794673180113515	-0.09046118985669112	-0.09498686354553887	-0.1265899993320929	-0.017905596050261978	-0.18983644239731529
ENSMUSG00000115671	0.00617721781751962	-0.09831337236105588	-0.12175435607938744	-0.028323878707278233	-0.002360366182629943	-0.14902050192834687
ENSMUSG00000035984	0.011423346473654634	0.19013357838193548	-0.014827403728427169	0.1988547937701876	0.017555293378016118	0.1374937333549573
ENSMUSG00000114917	0.04756899309626549	-0.06794337417105191	-0.01702982770147808	-0.11039958304299197	0.020520436792665575	-0.08064894736888777
ENSMUSG00000030309	0.007293140015228294	0.495318581326617	0.04177132652983435	0.5556757226874499	0.017655545185325066	0.3888116388199817
ENSMUSG00000117023	0.006245118481158388	-0.1369301357136056	-0.08329932970278833	-0.2553199158787504	0.00207139854655336	-0.16831707743125354
ENSMUSG00000020878	-0.001418270711435854	0.5465640522960916	0.03053250230579706	0.6179825346995403	0.01680647313726715	0.32674325317683683
ENSMUSG00000109962	0.029278940160920672	-0.03448969173402359	-0.08770689616595337	-0.07144224785845846	0.02649333286506378	0.13111763903341395
ENSMUSG00000069755	0.0384261015543028	-0.05473428867813479	0.15004880877090226	-0.012908329888236897	0.02233445955768924	-0.09429801473151728
ENSMUSG00000025326	0.0002773786730698724	0.6097948527866772	0.037227103927902724	0.7089909410294287	0.011352319246868442	0.4187190598892592
ENSMUSG00000067543	0.0017464463480079129	-0.031453330815914955	-0.04737073750759841	-0.04505885822750929	0.01068099032431988	-0.17056237593803322
ENSMUSG00000101649	-0.22573410086256343	-0.9720112585058551	0.20514472307916343	-0.7304457818544253	-0.06803361780904242	-0.24336111630199384
ENSMUSG00000037447	0.005584322007347486	0.3341095909853456	0.04782095934139693	0.46313087851932233	-0.01923452847540957	0.21673570195877256
ENSMUSG00000032894	-0.03461890149185375	-0.1684641015802767	-0.07963743280977666	-0.2185768829743133	-0.02489523991753395	-0.1823094150141651
ENSMUSG00000003948	0.019706708852847518	0.35862652867164474	-0.05336549386501317	0.3106790891808281	0.015277462425553168	0.342852821827568
ENSMUSG00000085841	0.025088205554623672	-0.10583840666551872	-0.05119629195153515	-0.21539524232909807	-0.003139876893774096	-0.12248867376610585
ENSMUSG00000121611	0.021305077028696107	-0.10942304414162576	-0.07480514414141974	-0.18011715765510183	0.027847479150344575	-0.10679967017383235
ENSMUSG00000025980	0.02416207546348374	0.7020616342854457	0.17268912632948044	0.7404500872082096	0.017780790409319014	0.4207682205209026
ENSMUSG00000092019	-0.22573410086256343	-0.9720112585058551	0.20514472307916343	-0.7304457818544253	-0.06803361780904242	-0.24336111630199384
ENSMUSG00000079669	0.014578232863143017	-0.09993453518266661	-0.09743561153039848	-0.09313675478665559	0.0023913682089852784	0.03892944590236822
ENSMUSG00000059434	0.02517395484084406	-0.06069600011934673	-0.024224924645566796	-0.04818400740916496	0.026229335590322065	-0.05971259233896766
ENSMUSG00000026523	0.01550159629015542	-0.08725535409509572	-0.06487752075796399	-0.256155969298595	0.01156752361579333	-0.09410738906476596
ENSMUSG00000097199	0.029993288133166658	-0.033814045455408843	-0.03147540286984885	-0.08118050869362677	0.01972366785996782	-0.11892325602823697
ENSMUSG00000066595	-0.001617101842573243	0.5046222846628825	0.10578911880318166	0.5670433114681965	0.010236729958515	0.3595336618377203
ENSMUSG00000001627	0.004350489568574286	0.6957413910277094	0.13621895615447324	0.7108477008646995	-0.002095054448524758	0.39458701363383303
ENSMUSG00000112733	0.01812357172363438	-0.0562471849391126	-0.06788079134869168	-0.09133618080471309	0.02998973899028128	-0.09702893216548225
ENSMUSG00000045216	0.006279393738203281	0.388028265614197	0.11209033110277035	0.6027727181881889	-0.01273854876342817	0.30843545041570636
ENSMUSG00000030704	0.0017026711110381676	0.5688026987918688	0.04646725033726288	0.7142482922955714	0.0069857643704713665	0.3588583992860312
ENSMUSG00000026678	0.010873727172260182	-0.03420622122570824	-0.10235509346890177	-0.017802908551380375	0.00991294807687082	-0.048791722963606475
ENSMUSG00000110652	0.014955314265206021	0.05717684324472009	0.052226453881805246	0.02715030931319387	0.02691201882021349	0.08934322494253799
ENSMUSG00000031371	0.046123634231479485	0.15855669094684213	-0.064104041308294	0.1119745348963046	0.017774263400553936	0.22668525908006068
