	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000094140	0.017793674021959305	-0.0798032283782959	-0.41860249638557434	-0.0600699819624424	-0.07761283963918686	0.02110689878463745
ENSMUSG00000075502	0.09433040022850037	0.24690645933151245	0.7489416599273682	-0.018962673842906952	0.07207601517438889	-0.022979384288191795
ENSMUSG00000044674	0.025123724713921547	0.05576898530125618	-0.4425694942474365	-0.13179193437099457	0.22297540307044983	-0.03133350983262062
ENSMUSG00000120508	-0.03666016459465027	-0.0899282842874527	-0.3569393455982208	-0.09457946568727493	-0.08258106559515	-0.03287569060921669
ENSMUSG00000087378	-0.06809766590595245	-0.11491020023822784	-0.38282111287117004	-0.05337255075573921	-0.19063572585582733	0.03904830664396286
ENSMUSG00000095420	-0.32651326060295105	-0.2572643756866455	-0.6513718962669373	0.20543146133422852	-0.24660935997962952	-0.00217329990118742
ENSMUSG00000105190	0.0253293514251709	-0.06760477274656296	-0.4107574224472046	-0.04466447979211807	-0.08685064315795898	0.0404401570558548
ENSMUSG00000121798	0.079823337495327	0.3431646227836609	0.4114243984222412	0.031877171248197556	0.12720990180969238	0.0667647197842598
ENSMUSG00000036225	0.004414144903421402	-0.0291924849152565	-0.5469782948493958	-0.09421683102846146	0.10779467225074768	-0.021280433982610703
ENSMUSG00000031837	0.03163300082087517	0.037720564752817154	0.1657366156578064	-0.003471515839919448	0.11403599381446838	-0.04246094822883606
ENSMUSG00000110300	0.006109023466706276	-0.09387098997831345	-0.3564753234386444	-0.09459579735994339	-0.15994755923748016	-0.00855106208473444
ENSMUSG00000115671	-0.03198767453432083	-0.10846658796072006	-0.4449297785758972	-0.04224797338247299	-0.12405756115913391	0.04739123210310936
ENSMUSG00000035984	0.05995751917362213	0.011611854657530785	-0.09969362616539001	0.0035758591257035732	-0.07024426758289337	-0.07157904654741287
ENSMUSG00000114917	0.12823794782161713	-0.09685687720775604	-0.08466499298810959	-0.07458258420228958	-0.05373038724064827	0.03171966224908829
ENSMUSG00000030309	0.03331146389245987	0.2616085708141327	0.1639508455991745	-0.03107377141714096	-0.05282197520136833	0.028607923537492752
ENSMUSG00000117023	-0.03288331627845764	-0.11834075301885605	-0.4032770097255707	-0.061495162546634674	-0.14530009031295776	-0.019039815291762352
ENSMUSG00000020878	0.04489773139357567	0.3055107593536377	0.11057723313570023	-0.027355900034308434	0.012272471562027931	0.013635432347655296
ENSMUSG00000109962	0.007949077524244785	-0.11435815691947937	-0.5193564891815186	-0.03579239547252655	-0.02615828439593315	-0.06561922281980515
ENSMUSG00000069755	0.0827237218618393	-0.10386187583208084	0.3603643476963043	-0.007920421659946442	-0.08044835180044174	0.019416002556681633
ENSMUSG00000025326	0.03106822445988655	0.37924182415008545	0.17085176706314087	-0.039183396846055984	0.12387659400701523	0.05415908992290497
ENSMUSG00000067543	-0.03776290640234947	-0.07758960127830505	-0.18259675800800323	-0.06148463115096092	-0.08985339105129242	0.001296604168601334
ENSMUSG00000101649	-1.318861722946167	-0.6877940893173218	-1.1893272399902344	0.8067444562911987	-0.5577796697616577	0.06222327798604965
ENSMUSG00000037447	0.0584525540471077	0.10583867132663727	0.18709026277065277	0.029522143304347992	0.2041987031698227	-0.040160760283470154
ENSMUSG00000032894	-0.23765814304351807	-0.15577009320259094	-0.4220115542411804	-0.035229288041591644	-0.21871328353881836	0.0017630187794566154
ENSMUSG00000003948	0.03856741264462471	0.14482320845127106	-0.292183518409729	-0.009306821040809155	-0.11745145916938782	0.008306140080094337
ENSMUSG00000085841	0.05415969714522362	-0.10706295073032379	-0.2001318484544754	-0.11458286643028259	-0.15668904781341553	0.0029857417102903128
ENSMUSG00000121611	0.03562344238162041	-0.1051740050315857	-0.2794014513492584	-0.08391711860895157	0.0144742950797081	0.017089977860450745
ENSMUSG00000025980	0.2603675127029419	0.5134586095809937	0.9862672686576843	-0.08355703949928284	0.2891615331172943	0.020788870751857758
ENSMUSG00000092019	-1.318861722946167	-0.6877940893173218	-1.1893272399902344	0.8067444562911987	-0.5577796697616577	0.06222327798604965
ENSMUSG00000079669	0.01620362512767315	-0.13492842018604279	-0.4794076085090637	-0.0027428208850324154	-0.14658042788505554	-0.026318777352571487
