	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000094140	0.045236844569444656	-0.07071828097105026	-0.38213473558425903	-0.05898810923099518	-0.0669381320476532	0.02187560312449932
ENSMUSG00000075502	0.11182818561792374	0.25796014070510864	0.7931241393089294	-0.024905258789658546	0.08667751401662827	-0.018851300701498985
ENSMUSG00000044674	0.041847024112939835	0.0691896453499794	-0.4020959436893463	-0.13756448030471802	0.24152317643165588	-0.029205186292529106
ENSMUSG00000120508	-0.010632168501615524	-0.08205584436655045	-0.3234294056892395	-0.09079769998788834	-0.07078473269939423	-0.030343107879161835
ENSMUSG00000087378	-0.038137998431921005	-0.10380478203296661	-0.34791839122772217	-0.0522657074034214	-0.1819942593574524	0.038853440433740616
ENSMUSG00000095420	-0.301952987909317	-0.24516521394252777	-0.6138774752616882	0.19861216843128204	-0.23045340180397034	-0.00014296508743427694
ENSMUSG00000105190	0.05333022028207779	-0.057152554392814636	-0.3739056885242462	-0.04573121666908264	-0.07632911950349808	0.04120158031582832
ENSMUSG00000121798	0.09573519974946976	0.3530201017856598	0.4552037715911865	0.028248244896531105	0.14099374413490295	0.07258414477109909
ENSMUSG00000036225	0.022673899307847023	-0.010559167712926865	-0.5056934952735901	-0.10550440102815628	0.12270522862672806	-0.017560139298439026
ENSMUSG00000031837	0.0499308779835701	0.05188599228858948	0.20666608214378357	-0.009383977390825748	0.1284160166978836	-0.0388001874089241
ENSMUSG00000110300	0.03517217934131622	-0.08649931848049164	-0.322880357503891	-0.0882614403963089	-0.15207450091838837	-0.007267107255756855
ENSMUSG00000115671	-0.00285401102155447	-0.09822290390729904	-0.40779346227645874	-0.04183929041028023	-0.1144789382815361	0.046411287039518356
ENSMUSG00000035984	0.08259209990501404	0.026548845693469048	-0.059855494648218155	-0.0035519334487617016	-0.05801774561405182	-0.06856631487607956
ENSMUSG00000114917	0.15562652051448822	-0.08929776400327682	-0.04961633309721947	-0.0705031082034111	-0.04340396076440811	0.03283849358558655
ENSMUSG00000030309	0.05078541859984398	0.27434128522872925	0.2056877464056015	-0.03819670528173447	-0.0368979275226593	0.03338439017534256
ENSMUSG00000117023	-0.005746445618569851	-0.10895160585641861	-0.3699634075164795	-0.059548716992139816	-0.1341341882944107	-0.01647067628800869
ENSMUSG00000020878	0.061746202409267426	0.3168581426143646	0.15327489376068115	-0.03368213772773743	0.028746414929628372	0.01811535283923149
ENSMUSG00000109962	0.03120274282991886	-0.0953640267252922	-0.48011818528175354	-0.04720078036189079	-0.013519184663891792	-0.06281471997499466
ENSMUSG00000069755	0.11053436994552612	-0.09576866775751114	0.3955942988395691	-0.002899658167734742	-0.07255139946937561	0.02088574320077896
ENSMUSG00000025326	0.046803735196590424	0.39021632075309753	0.21388550102710724	-0.04505782574415207	0.1407349556684494	0.0589526891708374
ENSMUSG00000067543	-0.010519050061702728	-0.069388248026371	-0.14819671213626862	-0.05667508766055107	-0.08024191111326218	0.002551452023908496
ENSMUSG00000101649	-1.3007612228393555	-0.666318953037262	-1.142271637916565	0.7858104705810547	-0.5390150547027588	0.06328211724758148
ENSMUSG00000037447	0.07542400062084198	0.11840520799160004	0.22821930050849915	0.024595970287919044	0.2209988236427307	-0.03718068450689316
ENSMUSG00000032894	-0.21075206995010376	-0.14281240105628967	-0.3879765272140503	-0.03603150323033333	-0.20795731246471405	0.003431763267144561
ENSMUSG00000003948	0.05852944776415825	0.1607353389263153	-0.25143831968307495	-0.018977634608745575	-0.10358292609453201	0.013009966351091862
ENSMUSG00000085841	0.08307842165231705	-0.09890569001436234	-0.16835027933120728	-0.10844152420759201	-0.14801044762134552	0.00482927868142724
ENSMUSG00000121611	0.06141079589724541	-0.09688122570514679	-0.2443903535604477	-0.08250981569290161	0.027970967814326286	0.01861579716205597
ENSMUSG00000025980	0.2768653929233551	0.5239088535308838	1.0309792757034302	-0.08701597899198532	0.3039511740207672	0.023319000378251076
ENSMUSG00000092019	-1.3007612228393555	-0.666318953037262	-1.142271637916565	0.7858104705810547	-0.5390150547027588	0.06328211724758148
ENSMUSG00000079669	0.04518052935600281	-0.11827085167169571	-0.4417673945426941	-0.011945950798690319	-0.13600318133831024	-0.025446482002735138
