	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000111765	-0.006142384547066675	-0.0882139455590472	-0.37554260835022435	-0.1033481451098591	-0.0982936249382744	0.034929424566092035
ENSMUSG00000049690	-0.04091588741128882	-0.11402230514764337	-0.4021671559308223	-0.04347751887149311	-0.062353323080398176	-0.01324572124498705
ENSMUSG00000094814	-0.04031941130503713	-0.09576816301819885	-0.40349853214346304	-0.08801747597733213	-0.1254648578783547	0.05935706791569828
ENSMUSG00000020700	0.03220113780179028	0.27099512746956733	-0.07675768843016288	0.057931054200577946	0.050294576486339795	-0.014095976182683703
ENSMUSG00000109893	-0.08025641726001465	-0.10651241727485156	-0.026705453618862	0.0281469569453163	-0.19021618515336222	0.06215580794305424
ENSMUSG00000021484	0.09812590827392081	0.2816870981775927	0.5225828948994083	0.06656720541868708	0.07988887624440914	-0.050555666637956166
ENSMUSG00000025584	0.04371133390471057	0.12977325219482216	-0.10948900082392876	0.08181745253927407	0.042665976307554435	-0.035755927457648794
ENSMUSG00000087641	0.017168401662326818	-0.11325738469074298	-0.24614616862714422	-0.08916700598139349	0.02966891532695237	0.03975429920683382
ENSMUSG00000073555	-0.06895085706886935	-0.11891751165749156	-0.3682168317811115	-0.1116696886786875	-0.17525427208103272	0.049279544112245534
ENSMUSG00000112798	0.06584027716786035	-0.08128248844472442	0.4910757534041685	0.06826918972469034	0.04312817047081938	-0.06862944369126385
ENSMUSG00000085402	0.04445748264396181	-0.08211916064090993	-0.3648569619925443	0.062292217338316344	0.024556779708966914	-0.05911346530972098
ENSMUSG00000066551	0.395040074267724	0.22238960150643833	0.9609909684783945	0.02125119835015669	0.32189590717482913	-0.04367147987993251
ENSMUSG00000074981	-0.025040943295243777	-0.07747292021886096	-0.346842382307971	-0.13062065524656127	-0.16870210221885437	0.04121481672788962
ENSMUSG00000044364	0.02262579604794155	-0.06646465239069325	-0.09784465390070442	0.0676472381532741	0.05421062143099594	-0.05898042788529503
ENSMUSG00000032262	0.011789964236647523	0.02428684523994369	-0.2337090204210004	0.07526765895496022	0.05138283276911742	-0.05515011237460255
ENSMUSG00000025577	0.05162103256896314	0.18546765228675213	-0.02451996264634155	0.06404367340749428	0.168682093532282	-0.008999326535766678
ENSMUSG00000035521	0.06485028497367498	0.26865923563642097	0.3877108357119141	0.09475406984337106	0.006193089037177353	-0.057207408521831635
ENSMUSG00000045136	0.24612149194810107	0.2569474695752433	0.9895432799181955	-0.04362884713201701	0.19018005118684544	0.006540270824812719
ENSMUSG00000039546	-0.03415719537525937	-0.13454882945994281	-0.3634526915020875	-0.0548236679522753	0.07796318946348038	-0.02147872237546835
ENSMUSG00000038797	0.08001536096178045	-0.06871850497804449	-0.1922013960210149	0.04021463883774621	0.13858556573270886	-0.054329756823946286
ENSMUSG00000039294	0.04923307140972741	0.040346281560466324	0.35759803485250036	0.1488468964004174	0.03163618508676466	-0.06733779527244874
ENSMUSG00000090031	0.031598863177766494	0.2907892648339579	-0.33065380765931746	0.0582121879479798	0.09407303659785872	0.004223846124971585
ENSMUSG00000004988	0.06763245958281913	-0.08736540829278445	0.3069911954092926	0.01937680628824247	-0.14058087015561926	-0.01122542310310694
ENSMUSG00000114327	0.09790086235932124	-0.009688925259251847	0.05001812057515573	0.0598828816630495	0.14639004725447324	-0.054009484510502914
ENSMUSG00000061979	0.04436610256899647	0.3082161148285065	0.20469776683255206	0.058780951343214836	0.11407982733321011	0.018211703601264163
ENSMUSG00000117574	-0.03339307554488187	-0.11732342793662351	-0.4145647907926884	-0.047501501783699496	-0.12951374670228688	0.014578473540625834
ENSMUSG00000024277	0.028322655453933164	-0.015717074216913065	-0.3341594420780374	0.0842759546630467	0.10135614293602495	-0.035151586186839265
