	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000028415	0.020444729150455844	-0.2109629027820899	0.001610835434465636	-0.29716936729122867	0.03737113865271177	-0.11798327835287117
ENSMUSG00000029622	0.029321350279185157	0.49089061779523036	0.07497925332863815	0.4644534572023466	-0.015858951607515336	0.16820957108076462
ENSMUSG00000030268	0.02013529288971248	0.39775301705397265	0.04461753186790572	0.5602335670132691	-0.015406650210622631	0.21630156957294924
ENSMUSG00000030058	0.009848694328060707	0.35688943470179635	0.04604876798340618	0.2654029379721448	-0.010780207941778436	0.1880422220012406
ENSMUSG00000025551	-0.014846437611725247	-0.13899648585148888	-0.09134278101072206	-0.22202681014563755	0.03320198966154878	-0.07909624259814986
ENSMUSG00000120321	0.030459735361260495	0.14047005454283082	0.04389541489675009	0.43929101683378186	0.005321421662093988	-0.13691216783907814
ENSMUSG00000097050	-0.005989224605790306	0.14005388021593848	0.051919331632546216	-0.010587433889824232	-0.01224635311253743	0.10823548173014258
ENSMUSG00000068732	0.012783178125807483	0.47816952588343287	0.022145138964697254	0.3076461749421599	0.005264922553500842	0.15899300254033213
ENSMUSG00000021130	-0.005592466044721992	0.051481335083319986	-0.043160109013946825	0.10287955932269272	0.016010093871331524	0.1787434605112399
ENSMUSG00000084862	-0.0041525898099020455	0.2633922795050499	0.0356378696347487	0.18103881458560603	-0.02117661302529866	0.24750551674972354
ENSMUSG00000114934	0.00657100035438946	-0.09540712269341124	0.07872408623141902	-0.0882156010791992	0.016847652238824853	-0.03689309457445883
ENSMUSG00000022765	-0.013969859182543587	-1.104998225379365	-0.05197144799712987	-0.9307385930722896	0.009680986154333888	-0.17057574758499477
ENSMUSG00000038456	0.007186838666737977	0.29395262636405406	0.037870178455237435	0.36461113352977137	-0.0068408899552326015	0.24514707681623155
ENSMUSG00000048796	0.0060352450981944064	0.547059173530475	0.030340078028426174	0.48481442630789906	-0.004982329258044566	0.0919855847650719
ENSMUSG00000031662	0.023363736748745267	-0.052541073565329756	0.09738508020257411	-0.09494123525167067	-0.025379202877645314	-0.03366208461853343
ENSMUSG00000078349	-0.0036399652908065557	-1.1316593601544809	-0.007645044407815606	-0.9229541327103756	0.009428499857001173	-0.2098820725898674
ENSMUSG00000061959	-0.02729747481342721	-0.09852040376135847	-0.04618247846036476	-0.3185682011712093	0.01222931088842805	-0.10582115782329181
ENSMUSG00000116812	-0.0036399652908065557	-1.1316593601544809	-0.007645044407815606	-0.9229541327103756	0.009428499857001173	-0.2098820725898674
ENSMUSG00000085680	-0.015729935542393443	-0.1790884870154384	-0.04795557645967555	-0.2316772430868046	-0.004181740265370795	0.03407204213321425
ENSMUSG00000118667	-0.003227551901363768	0.025502490557430844	0.07382194534792298	0.05019146025473934	-0.026755923437251892	0.10255450363214809
ENSMUSG00000029228	-0.017034256063197972	-0.08480177450723464	-0.09902462297556797	0.052490011852517324	0.03446772771809005	-0.04756441015529812
ENSMUSG00000096918	-0.007945954088583156	-0.20015493042634003	-0.06348546509543666	-0.2345814322316853	0.0009137872400970081	-0.07132960524728073
ENSMUSG00000085656	-0.021172863513701096	-0.24007846327731386	-0.07599497387595225	-0.2969638555063284	-0.012772345891633969	-0.12458175490693456
ENSMUSG00000010796	-0.02632093193315086	-0.14727578862262558	-0.07536863372863861	-0.2184254914657296	0.012178235703634398	-0.013307604008046578
ENSMUSG00000078810	-0.022731400651745	-0.2230843097549431	-0.06964912613241592	-0.24857948549470166	0.0016295291559280097	-0.16118353251762788
ENSMUSG00000028820	0.027263853556256174	0.7008316998418844	0.09951597438178267	0.6692229890954747	-0.0007383870853768063	0.16939907860921397
ENSMUSG00000073164	0.03125243896637195	0.3375537820461042	-0.030550244902510064	-0.052917047908002654	0.01215992642267208	0.3088378807800057
ENSMUSG00000097281	-0.0001812671248834314	0.2124920133721649	0.006753606936815361	0.41011871321056137	0.02920811329643454	0.06393390133848048
ENSMUSG00000108313	-0.004928112523962877	-0.001515450928958931	-0.01928940676480124	0.27722767792251296	0.016412157350350752	-0.0966586062647236
ENSMUSG00000027712	-0.01795899386041648	0.1713586394419378	-0.08798794117943284	0.10234933968178146	0.016467775672936114	0.18459098401217489
ENSMUSG00000044364	-0.008951490504633902	0.09907186092974112	-0.023298593552681268	0.16089809932943483	0.013955265016920747	0.16141395703639969
ENSMUSG00000051550	-0.0006034695974709134	0.20101082881540475	0.04784037052096599	0.15375458707047593	-0.014119752550946682	0.1865290798560766
ENSMUSG00000095304	-0.0036399652908065557	-1.1316593601544809	-0.007645044407815606	-0.9229541327103756	0.009428499857001173	-0.2098820725898674
ENSMUSG00000026739	0.0070905774485644155	0.27122144611177124	0.0008008694474743347	0.3785353669343749	-0.006373545266822995	0.1762485911645594
ENSMUSG00000003378	-0.009487639653733433	-0.048591639438745914	-0.05557541425743173	0.07853485499474898	0.0003595397714629403	0.18039370338478225
ENSMUSG00000063594	0.0024422245032578106	0.25303116903773376	0.044910166153152076	0.2975694023698452	-0.029523119735729	0.07105816010251666
ENSMUSG00000003534	0.002346903210491291	0.10464390237248153	0.06153030341395476	0.14633865465439158	-0.042140323693560536	0.1050565557283075
ENSMUSG00000086826	0.0038863122465305163	-0.08766085654289262	0.13859979405491946	0.22414499325210013	-0.014709628110410579	-0.06860520582007926
ENSMUSG00000100658	0.010448087923162217	0.012001889951872208	0.027799307057180807	0.020911784599281547	0.047972111575966536	-0.0673349682405907
ENSMUSG00000087090	-0.01383942455597987	-0.1800061651210334	-0.09487810575556069	-0.26827417776533236	0.015616274377186658	-0.08877124006914008
ENSMUSG00000086302	-0.015732111519589254	-0.17610175826744776	0.011830199148867645	-0.15833420984999974	-0.010082668164873862	-0.0510785573222425
ENSMUSG00000043091	0.014021982037021579	0.5453914329721427	0.08737189369364518	0.561235898448753	-0.02613917655055827	0.208464259183633
ENSMUSG00000117355	0.03412482807003211	0.10494886074718254	0.15535769728958257	0.4024910756008467	-0.05578654760153898	-0.06316044219347532
ENSMUSG00000020697	0.015427222037344888	0.5921675554488631	0.01452982046217325	0.5909889556206638	0.008981393628138384	0.1372998470157784
ENSMUSG00000029772	0.016672762169192928	0.601654065375156	0.012551646349519226	0.6047776218625326	0.012899518210204925	0.14705200025533227
ENSMUSG00000014769	0.019095550516171247	0.5110539262943868	0.03593244613324974	0.4063510777634552	-0.011922159588461259	0.1351887119351886
ENSMUSG00000033952	0.011730470944322795	0.4854260216042998	0.03387379023484495	0.5343547313748527	0.010443071286447645	0.20278707038482285
ENSMUSG00000024579	-0.0047269818248293766	0.3545348233337531	0.05203160729704125	0.299521196929397	-0.012955124254897652	0.2112495664409445
ENSMUSG00000056220	-0.022236042296260295	-0.12419302193312823	-0.10560330154735961	0.1419378041395768	0.00017861480750330623	-0.06555049153601951
ENSMUSG00000085145	0.0013721209677896695	-0.03265210583267617	0.10326171052937362	-0.14068976608188158	0.007100438966517686	-0.08500156913380903
ENSMUSG00000086074	-0.01306805765520299	-0.08261713329952076	-0.0744408317149334	-0.14248941478716526	0.026174884092740415	-0.006226749667465421
ENSMUSG00000098087	-0.02653160729231396	-0.12029707773971106	-0.09741000774681327	-0.2994871063110103	0.005232483600229898	-0.13271057128793992
ENSMUSG00000029326	0.02146190237841178	0.6851384836662744	0.05851407600343269	0.7113377848145319	-0.011555249258526601	0.18624621670522692
ENSMUSG00000019846	-0.02172351851071913	0.008293994824842749	-0.08137091612251035	-0.158761246762359	0.028618128699742687	0.06330437282636663
ENSMUSG00000027983	0.0029784117541566957	0.3628714013174821	-0.032794217375963594	0.14716962070628403	0.01415678350453423	0.1806476325570007
ENSMUSG00000058135	0.00903981024904559	0.2920439563225955	0.05754002957328339	0.4069808411761187	-0.02090974255011783	0.09740243049449678
ENSMUSG00000007107	0.011473326536361128	-0.17536990060294297	-0.039405693193683484	-0.2607249835064327	0.01765777584078023	-0.1322259308842019
ENSMUSG00000111765	-0.007708633270210287	-0.1750715812773186	-0.07599712312777618	-0.3297754786079167	0.01725811619554796	-0.10805277831615448
ENSMUSG00000043340	-0.004615475663428827	-0.027748848274599627	-0.07256263239271772	0.08975479931790947	0.012602448893397065	0.14591169564394346
ENSMUSG00000085321	0.0008690699914170961	0.5088765837494845	-0.008017164185938392	0.46422432805868863	0.021001480086852098	0.1586761590267997
ENSMUSG00000045441	-0.012116762646993656	0.05067600315700734	-0.05316616011930039	-0.07484202795551807	0.007355703959235273	0.12627420891845498
ENSMUSG00000036769	-0.006916764937549098	0.23667839190249132	-0.024447296400467167	0.3880390063231711	0.021814576741806896	0.25347776660138543
ENSMUSG00000095180	0.011570206874707115	-0.10084280822442711	0.1474051892381145	0.4171761111948789	-0.061636118311434986	-0.08155674880971284
ENSMUSG00000027326	0.015350939289211446	0.5559022066633977	0.029361956172215285	0.5738176555024568	0.004537463534299084	0.11647847277324347
ENSMUSG00000036820	0.014767129038331665	0.5733685317904539	0.07705365732841268	0.6296023339547641	-0.01468869801184545	0.17222722598359855
ENSMUSG00000112454	-0.02450624091184831	-0.24070736945608848	-0.05906692657055308	-0.32807951254279555	0.012844691838316586	-0.18197989333400202
ENSMUSG00000050158	-0.0075481414828183395	-0.11892084445748229	-0.03077745196268162	-0.3031073421187882	0.0031795814957409417	-0.13524893065592292
ENSMUSG00000026638	-0.001474259361462568	0.1997766781531287	-0.04543890083451905	0.12374716775167534	0.019266873826096084	0.23407719222117782
ENSMUSG00000031029	0.021897195912086838	0.5268293822365064	0.07276320456751689	0.46597627604371933	-0.017181787321896992	0.15465341854807255
ENSMUSG00000073652	0.020028007244712043	0.400912408626339	0.06705514588434848	0.55343825390446	-0.010811032544942074	0.2230366782676096
ENSMUSG00000026411	-0.014105945295263414	0.12269111294855455	-0.04469882372603544	0.061878869251190086	-0.0018763654284287311	0.1586095812599524
ENSMUSG00000053841	0.023864158271473052	0.5552529068503645	0.047590994216027735	0.5533124460203908	-0.004024269918902844	0.11306494547149798
ENSMUSG00000017686	0.017466796693146793	0.514898726921144	0.001367802233497579	0.42927811813154093	0.01916521340291573	0.14682029684419312
ENSMUSG00000021263	-0.019693718962662386	-0.056654607437927294	-0.05576518419059409	-0.03900359575917329	0.032826535224661973	0.1282051527357128
ENSMUSG00000074365	-0.013149930908444471	-1.1264084605405515	-0.006863050281026517	-0.9416305161201308	0.016985870573158274	-0.16012266799620453
ENSMUSG00000086889	-0.012382378392794635	0.19484780337697885	-0.009259853003199429	-0.10463602714644367	0.012172725860831892	0.25240132938581933
ENSMUSG00000025287	-0.020045030293009143	-1.0973831789980457	-0.018818483325386687	-0.9169861993432278	-0.0023197972110730394	-0.21079938808761653
ENSMUSG00000033669	0.021274176858111917	0.4370537883587531	0.059172931973548004	0.3742809173367537	-0.018099988878488408	0.13077409630599765
ENSMUSG00000113481	-0.0036399652908065557	-1.1316593601544809	-0.007645044407815606	-0.9229541327103756	0.009428499857001173	-0.2098820725898674
ENSMUSG00000027167	-0.003994284600776154	0.27355858998255694	-0.0284843077941332	0.27488013729848065	0.02533000651679426	0.28248753430858153
ENSMUSG00000092541	0.018643579014574894	0.0051111206843675715	0.09639915643451137	0.25561566342252523	-0.041218093213995284	-0.06596088192860147
ENSMUSG00000026269	0.0020229695912608544	0.22574852317297234	0.1391921192631084	0.23013824869901459	-0.055512177377490195	0.20101143498281349
ENSMUSG00000085037	0.0206902947661417	0.4445818269912187	0.050015798829762	0.40859127022683556	0.013587982766356227	0.13534956857599484
ENSMUSG00000034333	0.01585374816292772	0.6003769550187177	0.02716890088527829	0.6281994384914079	0.002609065240020365	0.13291137994965538
ENSMUSG00000069189	-0.022424595463754877	-0.1410997090226114	-0.08495047602238108	-0.28052458368765654	0.010182659105261596	-0.1212903581089839
ENSMUSG00000073555	-0.018820961797505982	-0.27878039809220356	-0.07657039388151524	-0.291500664544323	-0.012822136742033762	-0.14677497761669137
ENSMUSG00000006522	-0.026526746013301558	-0.16533667929241866	-0.08294725970247652	-0.22715620983487628	0.0033764560364943465	-0.07951188360332578
ENSMUSG00000043866	0.026625379754113963	0.5360318662347189	0.11431682423281017	0.45073504805955705	-0.03765024569958249	0.136685516736387
ENSMUSG00000020738	0.02589322208451839	0.6779684630821325	0.0950981175236458	0.6769239839760952	-0.005436764103797032	0.1595920231960398
ENSMUSG00000114087	-0.015352775760714263	-0.12727882422030753	-0.030660678819029792	-0.2643788663471891	0.039654042333261585	-0.104781844680526
ENSMUSG00000108583	-0.014874875092417434	-0.1088706866179044	0.009080069586655424	-0.26720201021245366	0.017702785511859734	-0.09695562419593833
ENSMUSG00000026142	-0.010733339812473527	0.47493661603236564	-0.03319056483648767	0.46328358760718924	0.014086390639879808	0.18513787978944102
ENSMUSG00000046338	0.003753872122303749	0.22602022604031455	0.052607069954579595	0.023257106697253352	0.030841969466226665	0.014280434294310649
ENSMUSG00000037098	0.006905911249694847	0.3910639833183398	-0.007776402750563908	0.3202958544071797	-0.010219844970976867	0.19954670464462002
ENSMUSG00000079625	0.004410863381781383	-0.05788280549999659	-0.06712017575576153	-0.180941494416142	0.051788832347145736	-0.07555098274128146
ENSMUSG00000046807	-0.0028755592994067617	-0.03758738861215534	0.07708728478662254	0.17996740250049958	-0.01583062553540263	0.08879329033817547
ENSMUSG00000013418	0.012461443371596813	0.01367577063148409	0.03382608091539753	0.331587259762039	0.00927062594029329	0.13607793112085867
ENSMUSG00000030036	0.013794116639162114	0.3069994802802934	0.06715599409404344	0.3230565154749586	-0.024184084709018602	0.23717877382919791
ENSMUSG00000022477	0.019171692325731522	0.6032099256422953	0.04450717784638982	0.5938000586763207	-0.014937308417471026	0.17405370372705095
ENSMUSG00000029910	0.01863067719771477	0.4440511022906451	0.05914507906272774	0.5266248568860517	-0.0217964195996631	0.21299679882670586
ENSMUSG00000026354	-0.02498995488354662	-0.12120961815474272	-0.08030643395369615	0.2111007978798755	0.02459840301370215	-0.056306175806717616
ENSMUSG00000022755	-0.007599910830634014	-0.16448870882689204	-0.05457019765282374	-0.3382578996157723	0.028086080178374166	-0.09554711008157547
ENSMUSG00000118146	-0.0036399652908065557	-1.1316593601544809	-0.007645044407815606	-0.9229541327103756	0.009428499857001173	-0.2098820725898674
ENSMUSG00000079235	-0.013155827745608153	0.10699027197718221	-0.05503036451643441	0.10458596867216069	0.02831465550064292	0.10438301653380871
ENSMUSG00000024273	0.021854958616521408	0.48280368627373327	0.09025632686856884	0.4455535548475122	0.022219116244715613	0.11376863672610073
ENSMUSG00000042487	0.016456152439163166	0.5305021324566561	0.028425023433270066	0.4706570447168945	-0.0009780932280721443	0.1702987343143572
ENSMUSG00000038542	0.009604218100295318	0.6376673129576375	0.03512731328789544	0.6594122102413427	-0.003941180526349594	0.1440147604256968
ENSMUSG00000019278	0.01520032728793532	-0.043448748166494106	0.06870082623395969	-0.28653771909063963	-0.02624092727320593	-0.10747885073277368
ENSMUSG00000030043	-0.022775209113855714	-0.06405876559147146	-0.06974217513764286	-0.11269191546400958	0.02549365486895892	0.07994677484114487
ENSMUSG00000038271	0.02077923302068874	0.27017352761800534	0.114639871458972	0.3290809095749864	-0.04519301623347149	0.22961840429842206
ENSMUSG00000028618	0.01566263456557603	0.6129162540261729	0.027221395407104866	0.6057752789963811	-0.0011632587854754613	0.12825144833664776
