	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000006058	0.024125663536735217	0.4284210193299631	0.1261363881454023	0.4941478343447237	0.011286751455644728	0.23086632268969498
ENSMUSG00000074627	0.0006033328592858211	0.540982857519423	0.005437788642808184	0.4008130753103116	0.015415281548673889	0.36904415602568535
ENSMUSG00000020402	0.03654881801700472	0.5981663836993557	0.10872262705449962	0.8336190661401287	-0.033393799948088665	0.3176298353365027
ENSMUSG00000062421	0.010522538472312298	0.3906308958178962	0.05528869271250507	0.22133630443222532	0.009383167509272483	0.2378577274277722
ENSMUSG00000041130	0.022436980206732505	0.4713789412578777	0.09619175199734145	0.517693484997658	-0.02203601550576595	0.3220668605279256
ENSMUSG00000001056	0.03893138072913431	0.5178850231798862	0.14461157407021635	0.7174005701701089	-0.043261513607461444	0.28674127645824354
ENSMUSG00000074575	-0.01468408718767601	0.026699211604957553	-0.03054016451398026	-0.025626299668614464	0.004193121789713872	0.21288242348948075
ENSMUSG00000030911	-0.012468101226907155	-0.13979812945854722	-0.1067442947042674	-0.20465840953338454	0.033918638324344275	-0.1291426100605189
ENSMUSG00000056260	0.01214875239820926	0.16982137928022975	0.0854980965657812	0.40953570669977996	-0.022039335926485548	0.09203260432408722
ENSMUSG00000019876	-0.0009294563497792008	-0.010857422964590451	-0.08426983906790912	-0.1873076019079466	0.02175727117839683	0.08432794143758784
ENSMUSG00000021259	0.000590223800721823	0.28153880145815735	-0.024231874822177524	0.14895115365749198	0.02148044348964873	0.1774689411952642
ENSMUSG00000105311	0.10962895552851117	0.04717698983566427	0.11555771479521829	0.27148445755667244	-0.03588307357713838	-0.09570164004877725
ENSMUSG00000032561	-0.0032111138735849143	0.02532999866847896	-0.05542104294316949	-0.007818157474126607	0.03095534564332865	0.05252163588626805
ENSMUSG00000046541	-0.0034538067478342427	0.3544029488415686	0.02761818665908504	0.3140057256858002	-0.031355002441722166	0.2795434107493264
ENSMUSG00000013539	0.0009215127700872849	0.10408043321707044	0.007150123305044744	0.048019110147153043	0.03581879563732158	0.12177506500948468
ENSMUSG00000026074	0.013596409024161496	0.3788552553143643	0.04422737680724828	0.4700676719133066	-0.0018338111353641828	0.28976243012673825
ENSMUSG00000115172	-0.0028903205284666056	-0.09719835446040898	-0.05188844832424999	-0.09997993038117482	0.014508074349915379	-0.1436676489424815
ENSMUSG00000006586	-0.006059205538780532	0.14544023989554988	-0.06494650458431268	0.12747005798123323	0.021075598871603964	0.23965600867148312
ENSMUSG00000038208	0.01197321727943296	0.41580015260688846	0.0009715725975744725	0.3758761700516451	-2.860850113683977e-05	0.1721619902665986
ENSMUSG00000023826	0.02740973635099939	0.283163362715263	-0.0578109444499838	0.25230266794855977	0.03240134470394223	0.2520199420296598
ENSMUSG00000097820	0.014197344492934423	0.41113387102172844	0.116486021705547	0.40517183469696877	-0.017157950978117675	0.2692624631903394
ENSMUSG00000041164	0.026344899697990625	0.46788102101643236	0.07615710135693245	0.4309877791330234	-0.012685874246056272	0.22862085573351057
ENSMUSG00000024619	-0.0018054432537508713	0.14763247424484044	-0.03466548242766015	0.1168148870921547	0.029699001298417217	0.09383944873779365
ENSMUSG00000085865	-0.000966115612170082	-0.1433753470223274	-0.0774234478506659	-0.21538928048919348	0.059117872687376886	-0.13635200238368486
ENSMUSG00000046449	0.011895643982550455	0.29725608132849884	0.0733893549141844	0.44615776892312714	0.010870860533883642	0.1872546196805277
