	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000053214	-0.3133881567658222	0.1095073397184931	-0.3308083730192764	-0.1938695655558105	-0.8072820470564704	1.0558947683631583
ENSMUSG00000103352	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ENSMUSG00000058014	-0.184866291258686	-0.2947197283350874	-0.279762944161579	-0.2892566186187195	-1.1085142073028498	-1.2115370121445264
ENSMUSG00000036777	-0.0827553905555055	0.7900899105267649	-0.0800259881023121	0.9408087384808256	-0.0225951466611834	1.6230786411860052
ENSMUSG00000085334	0.017029720163018	0.0450299594160534	0.2244121926224686	0.4036963376234619	-0.313199337607138	0.3837172498084462
ENSMUSG00000113803	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ENSMUSG00000097488	-0.2001617907417266	0.0778139636865005	-0.1651024489366964	0.0065864014457806	-0.6995885904802398	0.7734712112054407
ENSMUSG00000030204	-0.1875256139151902	0.2763407669765538	-0.0659038782812718	0.0017425081925124	-0.7078584261242037	1.2169053770547524
ENSMUSG00000107148	-0.2299240319040626	-0.2494329832071955	-0.4224331434051885	-0.357396343148079	-1.4046213695870182	-0.9768319375414362
ENSMUSG00000101791	-0.3987554377815589	-0.4954376213422669	-0.425908128293297	-0.5168445973957573	-0.9552934262652636	-1.1901237136852598
ENSMUSG00000015672	-0.1334503908044301	0.6502582938234	-0.0619348206638046	0.332081451085046	0.35601374014427	1.690303310936896
ENSMUSG00000101621	-0.3588945682743036	-0.2595712501272165	-0.4330972311573806	-0.3262672246621908	-0.6330841881558866	-1.9273225151089013
ENSMUSG00000106373	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ENSMUSG00000111327	-0.1349989331504182	-0.2259879364790178	-0.3329856101429198	-0.2822610025672203	-1.3467228615801898	-1.406260671610745
ENSMUSG00000090248	-0.1009327817245605	-0.2559744576709724	-0.2217508031289879	-0.2787677302298111	-1.3230212211186738	-1.1562381246103617
ENSMUSG00000045662	-0.2535609401473566	0.1316421853237032	-0.2816375623423803	-0.0723974934950059	-0.9883602101429456	0.5256208912911846
ENSMUSG00000058126	-0.1317498770038697	-0.3130775719497017	-0.04895145926252	-0.2708341299740416	-0.2135995141131228	-0.1954031063857808
ENSMUSG00000117436	-0.266700796027743	-0.3659313536383587	-0.5093655407466406	-0.4215460826971779	-1.544403521611573	-2.0
ENSMUSG00000117232	-0.216733567392832	-0.2337559953743402	-0.2032434770802981	0.0955370960236966	-0.2881767487394963	-0.4310770073447065
ENSMUSG00000116814	-0.3801386337440887	-0.2731693222507284	-0.2278181899303683	-0.3608632785195662	-1.1086073312875708	-1.3277934280466313
