	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000023236	0.024416331719900156	-0.226578138650404	-0.0802227777476735	-0.19777480869199632	0.02088489892229861	-0.01325910301578133
ENSMUSG00000060149	0.02587826131465431	0.2980140324810298	-0.043019340335153866	0.0386102824443068	0.024960136634320337	0.3407126013778016
ENSMUSG00000054757	0.025328058229203098	-0.15237134056232976	-0.1153180134831202	-0.22492166185213708	-0.0029330501575151047	-0.154819053527833
ENSMUSG00000038034	0.024815196304204968	-0.015223800972884682	-0.017628639354002995	-0.008721267808988188	0.0031847398852044156	-0.0634115414633873
ENSMUSG00000060161	0.0045992981552051004	-0.1498524082565499	-0.09203474337377356	-0.2290894816745147	-0.023366996361675628	-0.3189350245811928
ENSMUSG00000025916	0.020097934032596267	0.06942646376463893	-0.028183084504460942	0.10480979991270246	0.016183785941369284	0.08921502713980291
ENSMUSG00000082848	0.017225930133849335	0.49951193747358186	0.12108176429215489	0.39909871820056836	-0.006159716487694533	0.2556944804259591
ENSMUSG00000102642	0.03506512491307492	-0.12213696891841244	-0.04787274092159754	-0.251031208782156	-0.009823277670269248	-0.21808193437897375
ENSMUSG00000057278	0.03457794632638356	0.5764552997464705	0.09272737252544504	0.6312438194934452	0.03031151690320466	0.26225251453510856
ENSMUSG00000004530	0.027447401011777284	0.44903801751839173	0.04793637427000032	0.5063329000817007	-0.008494028236240014	0.28840075665902426
ENSMUSG00000085865	0.022163075422873324	-0.13731789973504685	-0.09151890151682351	-0.20174898245764827	0.041379472831732655	-0.14334753688209578
ENSMUSG00000113069	0.00838733777588926	-0.19029301428192708	-0.09519061933935313	-0.28656170875649045	-0.001268980990701718	-0.19486988606388322
ENSMUSG00000109172	0.0027718299863439544	-0.2811546231704895	-0.09461718794531722	-0.23397252144923456	-0.010559288536799915	-0.2036144128735802
ENSMUSG00000096878	0.041562558646683505	-0.04437393037133742	0.0580976897055756	0.05248988767397261	0.00817542099012071	-0.15046138868806277
ENSMUSG00000023087	0.03882296056358146	0.5546393309992803	0.05738231087255819	0.6483526753694717	-0.002183565714178437	0.30980614217445135
ENSMUSG00000021577	0.03178626200160935	0.539357875970196	0.07457330287098338	0.47711078492906583	0.011503660133455273	0.3218945683583288
ENSMUSG00000073961	0.02721393442391702	-0.13121335524025918	-0.08910226184557464	-0.3276184931955703	0.0048456672798316	-0.25164736346028066
ENSMUSG00000089694	0.022193212032721177	-0.1045801575326883	-0.11766498633773026	-0.11281322307359529	-0.009678108447957507	-0.15380652148615048
ENSMUSG00000048230	0.0362907207757657	0.32392093548550666	-0.04227657610725055	0.10955014777352351	0.029260030091015174	0.2272193382586279
ENSMUSG00000014198	0.02174468586214464	-0.01419629315810235	0.004627806138768698	-0.08580338954160284	0.00018965883557045538	-0.026687943776170363
ENSMUSG00000060950	0.015074151982444765	0.5335557800400549	0.10539769790939695	0.5087888395366529	0.009373535035878566	0.23708444055816116
ENSMUSG00000085413	0.037887988452609635	0.4568728735568746	-0.010999188161143416	0.30059881576520436	-0.000705278273603227	0.3381621252250272
ENSMUSG00000020904	0.029843973800088346	0.365930329133597	-0.028636282614486697	0.019206318039910363	0.03080149372316131	0.22106147049374625
ENSMUSG00000096044	-0.1268678985213072	-0.5971945737535528	0.05586329235320342	-0.43090461115377654	-0.03517256513019543	-0.2603271484464431
ENSMUSG00000099102	0.022649357410963265	-0.08496905334069602	-0.12373692065622285	-0.16333411789010027	0.014221731491988798	-0.2381399555406854
ENSMUSG00000043872	0.015466476204545354	0.41899209713190483	0.045639464391352115	0.2965611880832639	-0.00299807331856905	0.2931877077770012
ENSMUSG00000033960	0.12455324304990323	0.169650381050876	-0.05327308571668965	0.0542444666425397	0.01907005292816692	0.29691508733362276
ENSMUSG00000116801	0.005578684221735353	-0.2524418623925624	-0.0838379429695808	-0.28502272907267967	-0.006273503263657077	-0.2212090659855079
ENSMUSG00000111017	0.02305379442637384	-0.04097038958576007	-0.08400705821485312	-0.038552565116690245	0.04846078012775875	-0.12580033225722376
ENSMUSG00000046449	0.034819725227015	0.2983723385281986	0.04808311667360482	0.4311232573708888	0.018729474479792563	0.19980819583850892
ENSMUSG00000026979	0.024195559848071382	0.04284569736063473	-0.03996345450605064	-0.011735539291073065	0.020751182018630597	-0.006997183684808617
ENSMUSG00000038235	0.013065983178130902	0.2698984889672252	0.04811025770437141	0.04875367533128385	-0.04397157266972438	0.30674339198932066
ENSMUSG00000048661	0.02507298040508362	0.4684166499898618	-0.004065560831781889	0.48821384357077496	0.006405284659919252	0.3165468266830989
ENSMUSG00000086589	0.016524266224747973	0.2828087489756087	0.0034042649334619004	0.13354124244319968	-0.008622126561811161	0.2563737653712343
ENSMUSG00000025025	0.010113343776270822	0.19856410683281323	0.0964282920548808	0.1552259692730734	-0.04234271938930019	0.1885638925134775
ENSMUSG00000116227	0.07689002270991703	-0.06368871277416616	0.1533092977367722	-0.1324354222358386	-0.05886163352559757	0.01908697852824142
ENSMUSG00000082925	-0.41775039481319626	-1.1014915740518834	0.33983653691390486	-0.6434118359924856	-0.08878745574208491	-0.31270616507582344
ENSMUSG00000103176	-0.41775039481319626	-1.1014915740518834	0.33983653691390486	-0.6434118359924856	-0.08878745574208491	-0.31270616507582344
ENSMUSG00000099871	-0.41775039481319626	-1.1014915740518834	0.33983653691390486	-0.6434118359924856	-0.08878745574208491	-0.31270616507582344
ENSMUSG00000085407	0.03602628368181464	0.1058563400955404	-0.047877235942547176	0.15713809353309482	-0.0005982975086090692	0.09970006947088852
ENSMUSG00000022120	0.04820518455441672	0.22883915164062094	-0.06943330396632075	0.17483031148321018	0.0076059021389408565	0.17336212839186613
ENSMUSG00000116635	0.013506945143557103	-0.15715845640938073	-0.08388504138578122	-0.3161708769906411	-0.013644619961245509	-0.28140822098638546
ENSMUSG00000107577	-0.019116241723110647	-1.077406199975331	-0.05265915631966623	-0.873097640546366	0.014193916067318124	-0.2427372354233485
ENSMUSG00000006763	0.027186825778171254	0.3188992735338467	-0.03516728903987221	0.15113541622718094	0.02654634753489662	0.2750484585642236
ENSMUSG00000030805	0.023386313741860582	0.4539332806799626	0.032491396594980876	0.5582297001571397	0.01852460696756464	0.2364892401141347
ENSMUSG00000035382	0.030286520582204463	0.48338008025511453	-0.04996030292026332	0.23024762001935725	0.028133572991472	0.3654330946147454
ENSMUSG00000026283	0.02670403945878504	0.6939599286455639	0.080422040073932	0.5987275256885374	0.015771168162585836	0.22169539069248648
ENSMUSG00000047675	0.06593277778286602	0.5302146264007565	0.14610259279326326	0.5462318782997725	0.04932002368305355	0.2418153491042809
ENSMUSG00000040661	0.021108625113529494	0.5038361967551219	-0.005682440987570869	0.20416616866478246	0.02730623699033472	0.31268597219368854
ENSMUSG00000102331	0.022011897778820625	-0.20243330680681657	-0.09520368764178022	-0.3208352453510179	0.017598259826949736	-0.18391144542270516
ENSMUSG00000027506	0.02173854273928494	0.3828762103425691	0.0411936653988655	0.47705388031438245	-0.0024317730877294608	0.2461675420587685
ENSMUSG00000112058	0.02525350204284455	-0.05694823418407561	-0.011409959264934044	-0.1818069846783106	0.038928208800058116	-0.08703925781519448
ENSMUSG00000021767	0.027454345982801	0.4671527084459916	0.04464680423245608	0.6058672757813899	0.009585305707717318	0.30971815616497966
ENSMUSG00000064329	0.03170809784327664	-0.08045339321327852	-0.11251376680428485	-0.048828357372899395	0.006293363287893705	0.010404716102688753
ENSMUSG00000097766	0.02879935648867651	0.5674637573681538	0.01466178499770949	0.6466702924722258	0.012083154158007536	0.3346170136555744
ENSMUSG00000055884	0.017828077264505315	0.4228740619871372	0.10668680125727423	0.30094775382288674	0.00960417009901704	0.2727163177914973
ENSMUSG00000033467	0.04996559102668354	0.3371198239280804	0.15998962205228628	0.5469969924297269	0.04821104033318613	0.1393136962307359
ENSMUSG00000034538	0.050221010076293704	0.2840245887957044	-0.02178636662798472	0.28076933714635205	0.02033762396829406	0.23737616609449336
ENSMUSG00000024313	0.025998065439282902	-0.08047193003560842	-0.03683068301764037	-0.12323231636283186	0.04706880141173381	-0.15109511453802718
ENSMUSG00000079295	0.025818273801867457	-0.17769089474152916	-0.07004238463964674	-0.20952238509773657	0.003261721937481976	-0.12951085278491475
ENSMUSG00000049229	0.02966424712180893	-0.08767575862146351	-0.11593384314167661	-0.21020926818204538	-0.019825098857369255	-0.24028266558927647
ENSMUSG00000022711	0.025425121236940386	0.5834599809978034	0.0763745632029231	0.5400717241399164	0.013596699742646878	0.31932506591691934
ENSMUSG00000002108	0.008963462006753431	0.10040955181646623	-0.018424537873857047	-0.07322568779658428	-0.002970019381737646	0.09842919587048188
ENSMUSG00000091260	0.030927603720977682	-0.11609377992260095	-0.05064078798172243	-0.2458001425418759	0.0035595879850359724	-0.17877044390062527
ENSMUSG00000092220	0.03327719265495126	-0.057668937993199436	0.05109269342421194	-0.10260198177277415	0.0271808349653129	-0.1259077450270251
ENSMUSG00000020151	0.04790291500615231	0.16168775414994585	-0.08597977526932805	-0.060605566546676336	0.019522986953960653	0.2110449321906535
ENSMUSG00000113723	-0.41775039481319626	-1.1014915740518834	0.33983653691390486	-0.6434118359924856	-0.08878745574208491	-0.31270616507582344
ENSMUSG00000030173	0.03303926136282267	-0.13101982502561346	-0.035423841641238435	-0.18504051214609715	-0.0037947149360567645	-0.17174972984798087
ENSMUSG00000055980	0.04492965858399523	0.17156943239535014	-0.08568455441240364	-0.027604145672640912	0.018013742079546875	0.2814222159850729
ENSMUSG00000113540	0.02738610230510008	-0.13565083802379943	-0.0579125977326387	-0.19788662831364584	-0.019039688583215898	-0.27850476143506714
ENSMUSG00000044279	-0.015041421723844522	0.15004620016028933	-0.11532709441575067	0.16889665186128588	0.00021443682837507527	0.21314440667382797
ENSMUSG00000040631	0.012554293854261376	0.14477410368748284	0.0604619705942732	0.1957840690484576	-0.01708541232203009	0.1545415375440465
ENSMUSG00000087089	0.028373055411835886	-0.1529021094282449	-0.09746785703797403	-0.21294537317694232	-0.0017653835338129475	-0.10094370609240841
ENSMUSG00000059208	0.06711743319887312	-0.03365832335705421	0.16466052986474142	0.3188135967902418	-0.034743461996472345	-0.05679122994471426
ENSMUSG00000025786	0.0303461721805461	0.5789562181865214	0.019570073775459607	0.45902473371776853	0.026442175441961546	0.3276334646283737
ENSMUSG00000073176	0.08185351659172549	0.0789058361900045	-0.07181711991425455	0.08259738166654695	0.007432567557771719	0.18132917947470098
ENSMUSG00000075573	0.023832814407036162	-0.20462312721010048	-0.11695169167797773	-0.22182378755608442	0.014369268005767766	-0.17428779755720603
ENSMUSG00000039958	0.019236108641933536	0.48024642102613346	0.08821994051344137	0.5375707383672849	0.008811235902957959	0.24472916610766388
ENSMUSG00000003038	0.0620314360584709	0.46355863815377646	0.15570784925585784	0.5423774832029271	0.04802518846981729	0.20215691304734978
ENSMUSG00000104935	0.03286707404088109	-0.0670449007593871	0.07967517629779831	-0.012370220984938883	0.00969028197767291	-0.16773123607828516
ENSMUSG00000100100	0.026555602434316206	-0.16116563308544038	-0.07478204797870867	-0.32385804045463096	0.038672848396259174	-0.19481119709481812
ENSMUSG00000027377	0.021309907367365172	0.08152571982675542	-0.04888522682402627	0.0896055456576261	0.023143649351270626	0.04613574739153696
ENSMUSG00000103613	0.026332188544050252	-0.10915074034930879	-0.07880600425113823	-0.10651859158337494	0.016248233239021026	-0.03850259445321018
ENSMUSG00000082644	0.024025119999799165	-0.10876235056148634	-0.09723332348554148	-0.2445764993440386	0.012294272435749543	-0.157615175677145
ENSMUSG00000036036	0.1063574353321615	0.04928409786464937	0.14529174562127417	0.45139626471072464	-0.0067846923017022	-0.033107294954649286
ENSMUSG00000041117	0.06153407004024578	-0.015304595694286471	0.009464265535586096	0.05123365308308296	-0.015304121205314537	-0.007423767616601101
ENSMUSG00000039004	0.07790308514112272	0.11825789362181051	-0.10276738726922134	-0.03565730634722955	0.021802124463281967	0.16115317879770374
ENSMUSG00000102196	0.024941276099066267	-0.043581704563021774	-0.0974184797419481	-0.2755900092768519	-0.010456145098168498	-0.25139687909431063
ENSMUSG00000047324	0.0295892603395001	-0.0686285357607909	-0.11782304829839045	-0.07820576615037145	-0.010609769172160477	-0.08585394765949543
ENSMUSG00000051515	0.020588817676838095	0.20832518355292626	-0.010227032837884842	0.15166238965950535	-0.03147544095052056	0.1763096966819699
ENSMUSG00000117204	0.013025296267089289	-0.1392792963391525	-0.09073176298302141	-0.3033260015197456	-0.0012439600905812531	-0.2604400624726223
ENSMUSG00000006490	0.02561938679260911	-0.16188460782339542	-0.1138778852616489	-0.20700694629908753	-0.011744941418338982	-0.16365388846890083
ENSMUSG00000032913	0.024497996103949305	0.5008159605967547	0.006466860420994536	0.3434368219109456	0.021798838491423358	0.3228186708161094
ENSMUSG00000097622	0.02868199918822633	0.1382397390549505	-0.015776709493134367	0.1993117833573347	0.02385952726419534	0.19770626366907418
ENSMUSG00000094570	-0.41775039481319626	-1.1014915740518834	0.33983653691390486	-0.6434118359924856	-0.08878745574208491	-0.31270616507582344
