	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000023236	0.06578506610081244	-0.1962409437498376	-0.19164114546554356	0.010419755018880705	-0.022313473808642955	0.043553967142119634
ENSMUSG00000060149	0.06404177012150883	0.15120316266701034	-0.08414970207455591	-0.011455718348966274	0.050087135600070304	-0.006283455395392323
ENSMUSG00000054757	0.05990008994013474	-0.13795423695446435	-0.37234828984448964	-0.0559652908613407	-0.1134109067539432	0.06110680211949996
ENSMUSG00000038034	0.09370587332878297	-0.09278648271216161	0.02162425627864506	0.0017948730329062357	0.15433539511577044	0.03746762151796512
ENSMUSG00000060161	-0.015027459884857304	-0.12732994521653873	-0.30674594845008196	-0.1086739130339337	-0.2219184168425854	0.019763463175902385
ENSMUSG00000025916	0.072549591622251	-0.03556399777413568	-0.03432860717487333	0.016296388895051347	-0.015899142578408725	-0.08884426391807725
ENSMUSG00000082848	0.09910012405487431	0.3507270481282603	0.8463134234216596	0.016591890340253535	0.09607941160064537	-0.04341986853020985
ENSMUSG00000102642	0.10336761981223383	-0.09460154531453661	-0.07967681903035059	-0.135608269620042	-0.1786705137311112	0.01772674356196391
ENSMUSG00000057278	0.2130466073433286	0.39200271889899796	1.0392161111453038	-0.11501969273548489	0.2801766698579823	-0.0181267075542757
ENSMUSG00000004530	0.11108378580390464	0.2791004605842673	0.35086955386395197	0.10683937458457364	0.21542559952512602	-0.04056797974422843
ENSMUSG00000085865	0.05958057575169598	-0.13756513994011166	-0.22228881909714107	-0.11042001626103563	0.016137944820758143	0.08238527675775131
ENSMUSG00000113069	0.008896174771251375	-0.15708036670484024	-0.29161593565512056	-0.10242193740868487	-0.12558635253461847	0.026061777056681945
ENSMUSG00000109172	-0.017701637865944364	-0.17211677770606634	-0.3946425082151784	-0.03926756552568257	-0.20598822338698067	0.06919565816202151
ENSMUSG00000096878	0.11718714905902519	-0.08478108840621448	0.16660217732623184	0.033164339165885376	-0.08500765025777192	0.11019681271678262
ENSMUSG00000023087	0.14670890332193579	0.3732909187753529	0.4357411464346049	0.10021759885406024	0.33961411048838164	-0.013442830140895756
ENSMUSG00000021577	0.07647121976196954	0.36073244632157275	0.49748183082420044	-0.054333385313942203	-0.04132699055859899	-0.03129253921286401
ENSMUSG00000073961	0.07600818937298456	-0.1156449692478319	-0.26340945679632627	-0.1533384792333838	-0.130399199139907	-0.0042578885854684945
ENSMUSG00000089694	0.05091492168659195	-0.12347659533104055	-0.2941249877134402	-0.04822541048657107	-0.11514082571700357	0.08376362617525909
ENSMUSG00000048230	0.07277690739360775	0.17161860045095373	-0.08126133890103418	0.005764907522341406	0.04845502701713923	-0.03562520427404311
ENSMUSG00000014198	0.08534806605370833	-0.09668448890645626	0.10871981168453411	-0.01599775201040962	0.11655065182903519	0.012915201577229796
ENSMUSG00000060950	0.1373330968985156	0.36335460229113925	0.808899101182653	-0.02465961805685235	0.1396858325923172	-0.053407506468766214
ENSMUSG00000085413	0.0789185885462186	0.26364477699263517	0.02058381500269891	0.021102129938885602	-0.21457990905827545	-0.02340835784550313
ENSMUSG00000020904	0.07156106277577398	0.20385621016224606	-0.01186708259967533	-0.003464674605152496	0.0473173288517374	-0.0024102882829166727
ENSMUSG00000096044	-0.3650328456622104	-0.31394595358477184	-0.506613939636172	0.08281299118136701	-0.24771135795960467	-0.0027252446871386393
ENSMUSG00000099102	0.047388663152968635	-0.11212023794729872	-0.3594195558923475	-0.10300281557223795	-0.06301926057695174	0.0674179413300189
ENSMUSG00000043872	0.08548969305656608	0.2540607209121346	0.283242440160142	0.08009987903891098	0.13914532580486808	-0.02714797259172086
ENSMUSG00000033960	0.07437781609760097	0.05692656330929691	-0.6124627395706451	-0.021894699216015612	-0.04305596559477417	-0.027299102126465167
ENSMUSG00000116801	-0.006776205978577532	-0.17641783172004233	-0.4103211020262695	-0.06691669829411763	-0.13700635456717294	0.03933649057978218
ENSMUSG00000111017	0.07451063133326401	-0.09784619638838772	-0.19100061659637324	-0.03496909059278074	0.11631377404514384	0.09201338660249184
ENSMUSG00000046449	0.06652602733395323	0.15311108228623496	0.32440077778620213	0.03766663278302877	0.08487228220848951	-0.09083044522690753
ENSMUSG00000026979	0.050817776272752725	-0.057674160275714724	-0.037139228224493274	-0.005041281177635748	0.11827561621368111	-0.03863071539418761
ENSMUSG00000038235	0.0943986441868029	0.10936339809131806	0.2967162200739927	-0.0012656641776922495	0.1417935168020443	-0.009149673748610528
ENSMUSG00000048661	0.07779785579333155	0.2978436367914844	0.06855528713479404	0.11388416992692715	0.18463917961826518	-0.0355347419233607
ENSMUSG00000086589	0.0690040014713275	0.1284520321355781	0.11132392181715693	0.022796394676164386	0.13577720982197708	-0.03356660173611209
ENSMUSG00000025025	0.11930684858695426	0.05143825557848567	0.4733189344747592	0.037549318152862415	0.15305914629646056	-0.057784669287356705
ENSMUSG00000116227	0.4020316123035091	-0.1026952606172908	1.1297591369517916	-0.009293672132912434	0.23970131938672587	0.03027727794269069
ENSMUSG00000082925	-1.3674253640052223	-0.41279623566824725	-0.7938319612795863	0.2939651306786375	-0.43493326242851066	-0.07912287839450283
ENSMUSG00000103176	-1.3674253640052223	-0.41279623566824725	-0.7938319612795863	0.2939651306786375	-0.43493326242851066	-0.07912287839450283
ENSMUSG00000099871	-1.3674253640052223	-0.41279623566824725	-0.7938319612795863	0.2939651306786375	-0.43493326242851066	-0.07912287839450283
ENSMUSG00000085407	0.07471767347523407	-0.0072908518088904695	-0.10702583484631477	0.012896959116966082	-0.11346639496078273	-0.0908336734099323
ENSMUSG00000022120	0.07879084271212744	0.08838570620498673	-0.20043989490310327	0.0018739500262906217	-0.07485890926674739	-0.07452046800321091
ENSMUSG00000116635	0.02369513023769121	-0.1280478232895215	-0.3099437457528676	-0.11674475946467487	-0.19395940112186064	-0.017609676624105966
ENSMUSG00000107577	-0.04325154409811382	-0.22012696510033744	-0.289971132271654	0.2697119501776134	-0.16729540522170944	-0.025132867262444902
ENSMUSG00000006763	0.06616167861802444	0.16692731457572846	-0.06432488139849298	0.01737227451790238	0.06501077173507727	-0.038604639344836614
ENSMUSG00000030805	0.08262963674832928	0.26819153947700625	0.27983835750555497	-0.002935503836344666	0.10974561685502744	-0.0670369602137957
ENSMUSG00000035382	0.06674202604135447	0.3358464539333816	-0.14786703198955908	0.03167455389642893	0.07327334993270869	-0.01503323963270875
ENSMUSG00000026283	0.07508358885658241	0.49824467327578587	0.6275921456312495	-0.24072910782752716	0.0559143224143902	-0.041524261803472684
ENSMUSG00000047675	0.47401042030466534	0.3064753607340592	0.9878054510928193	0.08016771914978421	0.5073042030291908	-0.060155289723746286
ENSMUSG00000040661	0.06291808952777427	0.34688922263869315	0.06633903375682833	0.03825497882871874	0.07055924515489226	-0.016752173742070275
ENSMUSG00000102331	0.05125991744593621	-0.1505951200430732	-0.34722622668600145	-0.08526976332509241	-0.06923198579339376	0.03542570883999008
ENSMUSG00000027506	0.10400045285015655	0.21514661922509995	0.29992621899524347	0.09910428581038207	0.19522429712333092	-0.06462809678926673
ENSMUSG00000112058	0.08396121319061156	-0.10546763692590866	0.042692747960393074	-0.07571452599436254	0.07230688517684228	0.05861966662088146
ENSMUSG00000021767	0.10245345559461004	0.2874899185015082	0.395545425951165	0.026227075768566244	0.2056449778884539	-0.014821278874305843
ENSMUSG00000064329	0.06547723974558058	-0.13230945260035004	-0.32302519814832814	-0.004337854859133683	-0.05715515591873845	-0.043609171308191634
