	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000023236	0.06856797635555267	-0.14790163934230804	-0.27558663487434387	-0.0018166983500123024	-0.02569521963596344	0.03680180385708809
ENSMUSG00000060149	0.04492819309234619	0.17937476933002472	-0.12857912480831146	-0.07279989868402481	0.0455985963344574	0.03972698748111725
ENSMUSG00000054757	0.07243774086236954	-0.10745874047279358	-0.45075657963752747	-0.03371915966272354	-0.13056138157844543	0.03619254752993584
ENSMUSG00000038034	0.07268266379833221	-0.08073131740093231	-0.03202046453952789	0.004278198350220919	0.15307235717773438	0.04366636276245117
ENSMUSG00000060161	-0.01332326140254736	-0.10688675940036774	-0.40611550211906433	-0.08573127537965775	-0.18236809968948364	-0.020700963214039803
ENSMUSG00000025916	0.08086267113685608	-0.018630605190992355	-0.08437864482402802	-0.024966923519968987	-0.025880228728055954	-0.06799003481864929
ENSMUSG00000082848	0.06968560814857483	0.35788846015930176	0.8483194708824158	-0.08798966556787491	0.086419016122818	0.03587564080953598
ENSMUSG00000102642	0.13266068696975708	-0.07965225726366043	-0.20595712959766388	-0.10181663185358047	-0.137129008769989	-0.030762342736124992
ENSMUSG00000057278	0.2085777074098587	0.45125144720077515	1.0504283905029297	-0.23463335633277893	0.25767865777015686	0.002799074165523052
ENSMUSG00000004530	0.07713990658521652	0.2883966565132141	0.3498021364212036	-0.00038681537262164056	0.2089206725358963	0.04368465393781662
ENSMUSG00000085865	0.06201179325580597	-0.0959583967924118	-0.29848524928092957	-0.08292755484580994	0.0011729990364983678	0.0468224436044693
ENSMUSG00000113069	0.016561433672904968	-0.12812046706676483	-0.3677821457386017	-0.062715083360672	-0.14566940069198608	-0.00921458937227726
ENSMUSG00000109172	-0.00958169624209404	-0.1470278650522232	-0.5082767605781555	-0.014636205509305	-0.16491660475730896	0.028724508360028267
ENSMUSG00000096878	0.13538889586925507	-0.07478266954421997	0.08869880437850952	0.06523340940475464	-0.08454984426498413	0.07217945903539658
ENSMUSG00000023087	0.11333896964788437	0.3750568628311157	0.43333208560943604	0.03037174791097641	0.32616516947746277	0.04867129772901535
ENSMUSG00000021577	0.05577116087079048	0.37049850821495056	0.5074357390403748	-0.20031315088272095	-0.04888848215341568	0.06803517043590546
ENSMUSG00000073961	0.09247919172048569	-0.08221155405044556	-0.33940234780311584	-0.12209191173315048	-0.15230034291744232	-0.0427083782851696
ENSMUSG00000089694	0.0587259866297245	-0.09177616983652115	-0.38087040185928345	-0.02557351440191269	-0.1303749531507492	0.0683862492442131
ENSMUSG00000048230	0.052641645073890686	0.19968222081661224	-0.12576182186603546	-0.05373501405119896	0.0419519804418087	0.011756299994885921
ENSMUSG00000014198	0.06604653596878052	-0.08098439127206802	0.054444991052150726	-0.02057836577296257	0.11535482108592987	0.021374303847551346
ENSMUSG00000060950	0.11522286385297775	0.3785814344882965	0.8205195069313049	-0.14195488393306732	0.1297876536846161	0.013855594210326672
ENSMUSG00000085413	0.08601175993680954	0.29370278120040894	-0.03740950673818588	-0.0762508437037468	-0.23908962309360504	0.06410269439220428
ENSMUSG00000020904	0.04881257563829422	0.23409408330917358	-0.0603843592107296	-0.046310409903526306	0.04329061135649681	0.03029629774391651
ENSMUSG00000096044	-0.4333573579788208	-0.3298547863960266	-0.5371231436729431	0.20832166075706482	-0.2991127669811249	-0.017283892259001732
ENSMUSG00000099102	0.05162278190255165	-0.07811475545167923	-0.42055732011795044	-0.07788901776075363	-0.09629730880260468	0.04328637197613716
ENSMUSG00000043872	0.050401926040649414	0.2649107277393341	0.27064788341522217	-0.00208555581048131	0.12840014696121216	0.04742127284407616
