	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000023236	0.06464252030630911	-0.19696379149794918	-0.19181208641231007	0.01065521099358041	-0.023251823785223134	0.04389030149589832
ENSMUSG00000060149	0.06288296751478943	0.15107301709537366	-0.08405658100920732	-0.012388856589392054	0.04919601264301709	-0.005666261222388974
ENSMUSG00000054757	0.05875200940418057	-0.13868835949704073	-0.3731960709519221	-0.05611944216231953	-0.11424199399552892	0.062419130710544224
ENSMUSG00000038034	0.092324753902118	-0.09250021356990167	0.021882037191935075	0.00036206324931423173	0.15313559912868624	0.03853440252227323
ENSMUSG00000060161	-0.016065120362447952	-0.12840773372024303	-0.3072837989397912	-0.1087874402725495	-0.22291526580709406	0.021124244712547924
ENSMUSG00000025916	0.07125335769704899	-0.03578889679992864	-0.03401746005750492	0.015287075412663748	-0.016974183844589392	-0.08795281747336559
ENSMUSG00000082848	0.09765216280928721	0.3512937905959789	0.8463227737684589	0.014770922534151952	0.09534617088616275	-0.042396685716039606
ENSMUSG00000102642	0.10193091431658328	-0.09524491915215087	-0.07956614322573971	-0.136447049193468	-0.17942770593174087	0.018889224727190346
ENSMUSG00000057278	0.21158015937942554	0.39287081681140873	1.0385577583449175	-0.11573017743479364	0.27917687380489864	-0.017562618087487936
ENSMUSG00000004530	0.10961398306680634	0.2796410776777166	0.3511803440360028	0.10499385736030457	0.2142369857320406	-0.03931834739275897
ENSMUSG00000085865	0.058459534030318915	-0.13835282700943308	-0.22264666898306104	-0.11128356974901352	0.015038510110247427	0.08421194949537529
ENSMUSG00000113069	0.007962780459786933	-0.15809919342220477	-0.29215883214574856	-0.10257762627820369	-0.12642289328323145	0.027146230056787526
ENSMUSG00000109172	-0.01887825674419019	-0.17332038638651795	-0.39541838306856053	-0.03927385145256893	-0.20691376688905483	0.07088069586557827
ENSMUSG00000096878	0.11565169636046248	-0.08521392280854954	0.1669852120148968	0.03084828957906871	-0.08579555281591215	0.11248312313648919
ENSMUSG00000023087	0.14525115110790313	0.37398833441271606	0.4358059066106505	0.09917012876343521	0.33814231720832905	-0.012630884507077278
ENSMUSG00000021577	0.07522887852177357	0.3611987683644548	0.497895530055435	-0.05649489699300164	-0.0424884477517752	-0.03001014451203199
ENSMUSG00000073961	0.07475236040818019	-0.11645764515402876	-0.26383268378354313	-0.15320858236104967	-0.1312492155456563	-0.0034489313313184056
ENSMUSG00000089694	0.049836931794090766	-0.12411405088287258	-0.2946929190437591	-0.04920825925460578	-0.11597868564337875	0.08546481750683813
ENSMUSG00000048230	0.07173565864231879	0.17173350253178066	-0.08120427416902228	0.004745446268621473	0.04749963228056869	-0.035183960482785694
ENSMUSG00000014198	0.08400049516890029	-0.09637837500028727	0.10905297662919365	-0.016920369606920255	0.11548544590562246	0.013208422993649584
ENSMUSG00000060950	0.13567811121278345	0.3642796108111433	0.8089130109395661	-0.02642895450503424	0.1386674994052299	-0.052306663562165345
ENSMUSG00000085413	0.07784991796590862	0.26392417196449364	0.020699906304646486	0.019566941444053472	-0.21557116104405716	-0.02261162719586854
ENSMUSG00000020904	0.07042546249764903	0.20426257596106495	-0.011778379369908507	-0.004262832862024955	0.04646094386363195	-0.0025181079258826955
ENSMUSG00000096044	-0.36534585309910345	-0.31562363765979834	-0.5075388288662921	0.08372146345275909	-0.24880875953019194	-0.0020236287833867994
ENSMUSG00000099102	0.046440523855250104	-0.11288054343777792	-0.3602085676589478	-0.10353697109219503	-0.06404710118977879	0.0690744998801178
ENSMUSG00000043872	0.0839732928585318	0.2545788996918538	0.2837196039760449	0.07836233070089349	0.1381440945087137	-0.026291029492619966
ENSMUSG00000033960	0.07448590409534882	0.055987228006254365	-0.6133461795543983	-0.022205852691648875	-0.043922654930257404	-0.026809466163783942
ENSMUSG00000116801	-0.007652659079583568	-0.1776475733883038	-0.4112139913574949	-0.06670451539469022	-0.13787924139111177	0.040593384467303414
ENSMUSG00000111017	0.07324256430834117	-0.09805940911113198	-0.19116715671907708	-0.03651896414074331	0.11512442034871383	0.09399753957977218
ENSMUSG00000046449	0.06543098707177145	0.1529948459412829	0.32488358704020087	0.03553027840681106	0.08383459456693351	-0.08933082999348207
ENSMUSG00000026979	0.049783217327110024	-0.057569031907932895	-0.037062379589831336	-0.0058526021690442145	0.11726792497745592	-0.038362015360838185
ENSMUSG00000038235	0.09298632050342279	0.10953365348288345	0.29714422966094406	-0.0023113294859933298	0.14073886907361594	-0.008638196144500931
ENSMUSG00000048661	0.07645359282839162	0.29826291118073367	0.06877964132035919	0.11207634080587592	0.1834476634717322	-0.03423765640313403
ENSMUSG00000086589	0.06770502848870422	0.12859921376916683	0.11164638867093779	0.02153815880783401	0.13479329450673372	-0.032898020194767785
ENSMUSG00000025025	0.11779056062973028	0.051615681288220396	0.4737824406318058	0.036384219675720954	0.15197220154087646	-0.05706016410167147
ENSMUSG00000116227	0.40087689036997753	-0.10245041986960086	1.1299496042519888	-0.010019583660529019	0.2385947769852809	0.030426251619913396
ENSMUSG00000082925	-1.3672168688032045	-0.4141914566395499	-0.7944404395185887	0.2951142935246816	-0.4363722566617392	-0.07944073713651445
ENSMUSG00000103176	-1.3672168688032045	-0.4141914566395499	-0.7944404395185887	0.2951142935246816	-0.4363722566617392	-0.07944073713651445
