	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000023236	0.09098692329968813	-0.12452741076926495	-0.11858810996031992	-0.011417184169858112	0.00030231092440181906	0.046658657405240146
ENSMUSG00000060149	0.08216427289089055	0.21060178143157868	-0.007318656372800714	-0.015244036260640146	0.07557111416504007	-0.008479321792295064
ENSMUSG00000054757	0.0853146196600253	-0.08543520847461629	-0.2938762983594326	-0.057873995301505894	-0.08901048144580724	0.056061493058831846
ENSMUSG00000038034	0.12248404456812428	-0.04899120655675945	0.08697342506391048	0.009685117714082703	0.17949543815646835	0.04034667910818034
ENSMUSG00000060161	0.011763490269644303	-0.0804356993372152	-0.240381889360451	-0.08525346242453091	-0.1891960825555315	-0.002576615351912004
ENSMUSG00000025916	0.09506359638303706	0.027480505371943957	0.0436508613966379	0.0052434108475292035	0.010800475999225774	-0.09417691943446807
ENSMUSG00000082848	0.12441632977564056	0.40691024367915996	0.9310439908166845	0.01707897664744727	0.11254810403551926	-0.052753654446869636
ENSMUSG00000102642	0.13576487006212692	-0.05507238078930454	-0.01820400921591556	-0.11286093772284989	-0.14961532955359846	0.0063769643897972905
ENSMUSG00000057278	0.24102928010845565	0.444571320752436	1.1291201811457905	-0.11727559639948193	0.29005857174261773	-0.022356088901867244
ENSMUSG00000004530	0.13779606372961226	0.3294724799259647	0.4165900040201003	0.12614501584751597	0.23821715048451206	-0.0516179578980116
ENSMUSG00000085865	0.08494987438527925	-0.08620682665021226	-0.1537355672430312	-0.09214853518921952	0.042403789002123604	0.06641904921907565
ENSMUSG00000113069	0.03250718899635785	-0.1031136857510589	-0.22237341788570883	-0.09118774328574707	-0.10028046899580824	0.016553447938732757
ENSMUSG00000109172	0.012487222285927801	-0.11894480262204979	-0.3183338444767594	-0.043883167538997056	-0.17328157879562797	0.05528707810177408
ENSMUSG00000096878	0.14967929131574556	-0.04716680149781932	0.23882126951421528	0.06863631434028537	-0.062224482242951386	0.08346810966656147
ENSMUSG00000023087	0.17534502974270344	0.42114823668299783	0.4996504856163161	0.11817259276694428	0.3616466681372288	-0.019981203720652152
ENSMUSG00000021577	0.0989553971510982	0.4136393055280149	0.5733807765136806	-0.053488078073770415	-0.008031685846323189	-0.04287117195826399
ENSMUSG00000073961	0.10336708532942043	-0.07157123465068078	-0.19883789400890192	-0.12459576817375445	-0.10649277015983165	-0.01905926047408607
ENSMUSG00000089694	0.07627490251347606	-0.07308197188088905	-0.21735834677033117	-0.04230700363581036	-0.08973093887872295	0.07376604875817165
ENSMUSG00000048230	0.09053128614359875	0.23069962576204653	-0.0046826599235485974	-0.0017543126780224516	0.07571143314635276	-0.03492451174936371
ENSMUSG00000014198	0.1128537675483799	-0.04666135387179009	0.17483970155597656	-0.017738047760837317	0.13966888984666226	0.021740494401348728
ENSMUSG00000060950	0.16378482126703156	0.414498313031166	0.8902145655673608	-0.020065178073161993	0.16058323703448965	-0.06395828889578127
ENSMUSG00000085413	0.09937410509210128	0.310149585594125	0.09651054001652007	0.01553746593214561	-0.17518710024432113	-0.02627159132181267
ENSMUSG00000020904	0.08985621293753891	0.2591737701125198	0.06494216805079522	-0.013105234776264962	0.07290481308494103	0.00507278838458134
ENSMUSG00000096044	-0.3510522037170294	-0.24752742145779286	-0.41977908248315227	0.06454685171571521	-0.21792706963733524	-0.00762546327683733
ENSMUSG00000099102	0.07043118921413466	-0.06521107105430844	-0.28395031147848016	-0.07768969340727136	-0.037101632032830095	0.04461821474500549
ENSMUSG00000043872	0.10947610183014313	0.30313967784519047	0.3544608572966253	0.09151029112051214	0.16325564764311115	-0.033100527862582885
ENSMUSG00000033960	0.07959363556113362	0.12757572873898876	-0.5179902561353524	-0.047144769013341616	-0.014952067644820544	-0.026638437115511553
ENSMUSG00000116801	0.017243248105506592	-0.12077108285537759	-0.33091123692120133	-0.062470156480452434	-0.11121925574885438	0.02387874338607985
