	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000030022	0.008166207402765784	0.3249356567897069	-0.006049002397276126	0.36511682012451274	0.009300350669712186	0.20494195483261138
ENSMUSG00000022186	-0.0001787393413126535	0.4213863233970187	-0.03724304868461559	0.4036721657911715	0.01446480499970286	0.19257339665075832
ENSMUSG00000034818	-0.0025543023750027975	0.03790491170522208	0.03831921389023592	0.10301316781786747	-0.000731362798173255	0.05965629075643457
ENSMUSG00000061111	0.020494465666290904	0.47566338681644993	0.015828286571799514	0.43615763252569845	0.014693254771399163	0.09692861813205776
ENSMUSG00000050556	-0.006478440083031144	0.3227447997206972	-0.031353378127667905	0.12609782465844027	0.011264075080154206	0.09948470845431855
ENSMUSG00000097166	-0.010932693222067818	-0.10726065980956524	-0.002782687700677603	-0.20632907763026326	-0.004832245329557086	0.05675344206195275
ENSMUSG00000097683	0.002725018683122471	0.19185970769394772	0.022046371374907333	0.4020736773332698	0.00025059376179602363	-0.015154474191928915
ENSMUSG00000083120	-0.01572576707533569	-0.41373659403751456	-0.07811495445656647	-0.38232158795066684	0.008169110346222754	-0.1739153813952206
ENSMUSG00000092074	-0.026540694362795745	-1.093279128022862	0.011763153975657912	-0.9703202441632519	-0.009524596489297567	-0.22910607364912203
ENSMUSG00000023353	0.0014663755049696193	0.3209670600989609	-0.016469759207133654	0.17447344151074243	-0.02042351745380334	0.21122119223790442
ENSMUSG00000051747	0.002042048825075783	-0.20550930091225642	-0.049027613685965275	-0.2801242152794917	0.041305572726664	-0.07662016212988029
ENSMUSG00000021179	0.013651868571884863	0.5418714856323537	0.03023102280947439	0.5115650207617753	0.000128351786926422	0.09527259184376037
ENSMUSG00000021377	0.01388213137418331	0.5296977825458661	0.05172694199464526	0.5275776182391383	-0.010507953545935119	0.18250007468523108
ENSMUSG00000031176	-0.026540694362795745	-1.093279128022862	0.011763153975657912	-0.9703202441632519	-0.009524596489297567	-0.22910607364912203
ENSMUSG00000026254	0.01706909587467505	0.575245720150789	0.06792186564266559	0.5639868129287606	-0.00500762688638393	0.1495852306526753
ENSMUSG00000117840	0.019449002477631438	-0.04495949602091319	0.11654627668160954	0.16538531873115322	-0.001275587081545382	-0.06499944250650255
ENSMUSG00000113488	0.027442001451293305	0.5762740218072265	0.06383467466923451	0.5541146089149281	-0.0008601106918961574	0.15126935344950262
ENSMUSG00000038034	-0.0007191855868898399	-0.07588498200618363	0.004977446368606512	-0.05823828544328405	0.0005315056255702595	-0.05865356161926424
ENSMUSG00000022403	0.012524608758394607	0.6815355847145839	0.060038037158178015	0.6691054586182482	-0.007991188277290867	0.18176881324356406
ENSMUSG00000056952	0.0060237866720334364	0.5730840499119949	0.020188241654672572	0.5192560003197936	-0.0023533055614929515	0.1332440429367125
ENSMUSG00000106398	-0.011531597774800112	-0.2518310950286312	-0.09255607506966043	-0.2863007158325802	-0.01954706090560389	-0.10644150102400869
ENSMUSG00000101634	0.015748105944138453	-0.2675173612362414	-0.02856649585280268	-0.2677312068120955	0.037587486244332724	-0.08362299839541915
ENSMUSG00000059486	0.012613319491980033	0.5196000201186897	0.04963885466407711	0.5467197140849879	-0.005957441394899173	0.18940290741624527
ENSMUSG00000041440	0.013586111586794557	0.5489094455342898	0.058296315881365704	0.5668888903275598	-0.009731500366303538	0.19515220222289956
ENSMUSG00000058600	0.050957848488542366	0.745886643868289	0.06304915456253184	0.7723297520642518	0.003519200266496877	0.13290594377197393
ENSMUSG00000042401	0.009974872659638225	0.29467226558834747	0.030290226233234664	0.3221498094485209	0.0035131974438367512	0.20121453923846794
ENSMUSG00000100335	-0.003500483676283953	-0.26711138620090163	-0.06900733123625936	-0.3027403284326803	0.03049237671033812	-0.09677662608103543
ENSMUSG00000112941	0.00463201048769406	-0.05659893589857217	-0.04419616662079144	-0.05474789343529015	-0.01185769211655757	0.04129162650424405
ENSMUSG00000039198	-0.006164473343648881	0.15433525727161657	-0.045304557118704125	-0.11357270660425586	0.014340596523671983	0.12999947499244757
ENSMUSG00000085517	-0.01661205811646401	-0.10043715986477245	-0.05513996725800488	-0.15515759292567444	0.004320537897722586	0.05424387383152082
