	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000039252	-0.00520491530280976	0.06559045039113179	-0.04975639291114119	-0.061251978398701924	0.018703222084462012	0.17392411267449331
ENSMUSG00000064299	-0.02464369373579497	-1.0215365616737733	-0.01929306128222379	-0.9267543041802128	-0.008560209534932386	-0.2204991697628949
ENSMUSG00000035401	0.014709584041702329	0.6429459647687119	-0.013749063417760356	0.6003760624372002	0.011491951579747755	0.16803362751098966
ENSMUSG00000021713	0.01947054617568418	0.5664265769180409	0.018010800985879476	0.5331124060023285	0.016337556590951863	0.12391301918562801
ENSMUSG00000023935	0.029868789867344148	0.4135935860235934	0.05831667126210667	0.5132891957560787	-0.003021836304105818	0.0804338644534125
ENSMUSG00000038210	0.016274621996230313	-0.15130706562673107	-0.03608050626914649	-0.11110175739522674	-0.02241644254390849	0.033457619217369935
ENSMUSG00000086604	0.03149166591319954	0.1921308203888267	0.09106211055819813	0.19659991614982053	-0.017088363911170745	0.07886163070675788
ENSMUSG00000051674	0.0036544768730111953	-0.13004465945383084	0.04023690065057183	-0.23065465118431477	0.00021307414172042627	-0.026367188731923567
ENSMUSG00000031864	0.01642796010065857	0.47123125910823416	-0.0020921244872299993	0.3519349151349161	0.017374210860725724	0.21310561904236758
ENSMUSG00000068697	0.004224092034772703	-0.08738273189831358	0.009945811455171288	-0.20235338213013684	0.04005567635779569	-0.06802475271303722
ENSMUSG00000038080	0.010402636935447974	0.4084245943653514	0.02686522692351738	0.25860709159113476	0.010841429308883172	0.22657936262507325
ENSMUSG00000034384	0.0017580578701329485	-0.04306673573976565	-0.04240164118226468	-0.0553889325813673	-0.009446535341989406	0.10160466198878047
ENSMUSG00000106350	-0.004738050938664986	-0.05074066576302617	-0.02459455265021201	0.1988132285933326	0.024573757054479627	-0.06818683637715627
ENSMUSG00000021643	0.009961398520993368	0.23206858846699885	-0.04252970953077206	0.3289317107600904	0.01085950352254648	0.10418334607352984
ENSMUSG00000020614	-0.005709172787776749	0.012914644200334027	-0.06528092241064606	-0.07157041871562667	0.022297448982759045	0.14594300773824215
ENSMUSG00000053768	0.011556836358691466	0.45447763906870803	-0.000455541370638457	0.3752036986993127	0.020811525551315362	0.18150838646927567
ENSMUSG00000042429	-0.005216999995069013	0.02064106227958941	-0.026273146017774706	0.14553125675561854	0.0197504869927278	0.10631964035159659
ENSMUSG00000018919	0.017295782441215123	-0.049218277589222585	0.09340262157436102	0.11379225249038427	0.0009515020950597578	-0.012493758209581885
ENSMUSG00000020720	0.014257570308213221	0.5576079440968377	0.029130981695683594	0.5295996199162021	-0.003320394972797658	0.19102076618115202
ENSMUSG00000020705	0.01467546262117269	0.7177805771199928	0.026796933803330245	0.717694200920505	0.006978097073052985	0.17983804830988187
ENSMUSG00000089984	0.015620219957158302	0.5153460531789668	0.04941129123167067	0.43651712019882327	-0.007031126551711558	0.17430047155700906
ENSMUSG00000097384	-0.000795948880321313	-0.17980865031297852	-0.0144630900338078	-0.27659664886528584	0.017171380022461692	-0.057808257522369136
ENSMUSG00000085238	0.023884559030141514	-0.14388743796059447	0.02892162797415949	-0.21725972795107476	0.05110657320437895	-0.05512485315349685
ENSMUSG00000098040	-0.0037460676767555666	-0.18587034558357637	-0.07458972102786642	-0.26658085825162875	0.009809429786842624	-0.10533135781682046
ENSMUSG00000003119	0.01668002047590562	0.7541302295393377	0.0652219199374794	0.7906236465766336	-0.008425100663199764	0.1738868187694087
ENSMUSG00000022265	-0.006989253294783079	0.3325212696655009	-0.036975797270905074	0.004007896121726974	0.02736521282549802	0.25578350530361477
ENSMUSG00000056752	-0.007958949608707501	0.13780085421271257	-0.03633329789163814	0.10038701496918552	0.01121861189993589	0.13515392052920236
ENSMUSG00000048799	0.016200120672770674	0.5648284703010826	-0.024014225953518625	0.5271696085078604	0.014151284133809635	0.2023218873490675
ENSMUSG00000052656	0.01705771702316789	0.5540118522276836	0.013495683566665256	0.5321905579782391	0.013118930901198058	0.18268688370382213
ENSMUSG00000097919	0.014939251232447402	0.6057337105541332	0.04629719803955043	0.5781503813374131	-0.003317001950433353	0.20439707847056396
ENSMUSG00000048661	0.01426408991756034	0.5596990988873586	-0.006982830366627825	0.5294536310119838	-0.0003753828102552299	0.17724698149790388
ENSMUSG00000027341	0.019339055233909417	0.5264635728248063	0.060063597558595506	0.5733983095336823	-0.0039748006067384265	0.16111131672046863
ENSMUSG00000097812	0.018980628189144356	0.04987260565394536	0.11115136254281555	0.5277801520038857	-0.037157271190361434	-0.10601006999983968
ENSMUSG00000032661	0.002418192655542433	-0.15447336308331744	0.0224385060026959	-0.19281805459930704	-0.0032757161885196445	-0.03521447366396647
ENSMUSG00000115121	0.0013591804496952266	-0.1651625680950279	-0.026219208336962247	-0.285326678869803	0.018374984058703248	-0.07575023320553426
ENSMUSG00000035285	0.04520171942702811	0.15220031388473995	0.08927196341412096	0.37822502594821605	-0.026510927226575276	0.0037892573912228856
ENSMUSG00000097840	0.016214906137715195	0.537598037243775	-0.006324994651263946	0.49065683633324236	0.010979791804103505	0.15410374407594127
ENSMUSG00000022403	0.01620698611628281	0.7184499174445851	0.06598193760758835	0.713405341640425	-0.007493448517431846	0.18615115579211436
ENSMUSG00000115013	-0.02692481602677747	-1.0236370016525533	-0.019218776278986688	-0.934577754050302	0.006202110660082586	-0.22078469988960672
ENSMUSG00000094365	0.007034394462243654	0.4164865665455831	0.032068468189070894	0.34785302953352065	-0.007714934180252645	0.17207983242478803
ENSMUSG00000008683	0.03797305169874952	0.7650967339738729	0.06154390027455747	0.788795360059677	-0.005467285837377338	0.1593321248349509
ENSMUSG00000039059	0.006404853643679027	0.2850464427297993	-0.010922550388784202	0.1469722533528511	-0.015870514969252066	0.2085389133154032
ENSMUSG00000003341	0.010041959831453694	0.26845544774821195	-0.0008644688181269495	0.17633998347338484	-0.007021373224337627	0.10919519144351528
ENSMUSG00000037260	0.008504999235239147	0.24016080546685512	0.029630235521723794	0.33115355832151183	0.01696729380037141	0.10902549546496759
ENSMUSG00000005150	0.021881624165377745	0.5281424145524007	0.08053471357480281	0.5057730880751609	0.008345958798651866	0.14311196038522342
ENSMUSG00000030788	0.009504942783262646	0.4864343709134638	-0.018426906629135178	0.4145797150677286	0.009959011574859946	0.14728949589864768
ENSMUSG00000022362	0.021593744843370847	0.5575483712300151	-0.021839461098708008	0.4000389875459015	0.012947546771413597	0.20243821559342906
ENSMUSG00000027163	0.014401894107140833	0.2773859840529829	0.03254257127118113	0.43307046362315305	0.023555033465839058	0.09342875337471404
ENSMUSG00000026432	-0.0068124469552068535	-0.05776539978812382	-0.062383947619959405	-0.03377321240945353	0.028432919636231548	-0.01869935700410029
ENSMUSG00000021903	0.006424984233880033	-0.1988687128453291	-0.03370256610929313	-0.19212901525653642	0.023722929772702628	-0.013970400866881911
ENSMUSG00000028914	0.02069054674034955	0.47124531071396114	0.010518514138253263	0.4368893161050177	0.009860301487995977	0.11227503595114935
ENSMUSG00000041831	-0.021263955999295703	-1.055806348007588	0.011001608859857827	-0.9361107835390222	-0.008106733404019906	-0.21100079288402673
ENSMUSG00000020464	-0.021263955999295703	-1.055806348007588	0.011001608859857827	-0.9361107835390222	-0.008106733404019906	-0.21100079288402673
ENSMUSG00000039103	0.004784085939692367	0.0688185682470378	0.0985131265660438	0.12146355750218	0.03184921987548088	0.09653385108592505
ENSMUSG00000026229	0.022333448111956904	0.5908080660053071	0.02399002116554162	0.5144004009036897	0.005960920792053262	0.1673760097021711
ENSMUSG00000047547	0.009532480177274141	0.24426749301461054	0.06663576887569402	0.344755531323673	-0.013292178342661437	0.16265595522470125
ENSMUSG00000048652	-0.0017910047291349786	0.03593090617546945	-0.05153284168730709	0.19904887888104505	0.01751328744867351	0.08740089464907734
ENSMUSG00000112469	-0.008042062078051719	-0.1762159169408343	-0.03621483870150379	-0.2623639795389214	0.03545778705954165	-0.09798984208131774
ENSMUSG00000027984	0.006440083953514529	0.41926797583884245	-0.007274385528380987	0.22935100723164267	0.014415730261394597	0.2013196078769397
ENSMUSG00000005958	0.01848975012284687	0.494755804716572	0.04492204182676005	0.4683945071668989	-0.0034439039067105373	0.09649704042728574
ENSMUSG00000055200	0.02961476002674317	0.5606534599383719	0.026787930331262748	0.4865076194884231	0.008323542122330505	0.13397019954936695
ENSMUSG00000030881	0.015530077574554265	0.4777033848975926	0.041174467300507854	0.4281725432017603	0.007573671696445672	0.17344339764230035
ENSMUSG00000032171	0.015446739796399406	0.46581877635866736	0.06600968295389943	0.35803295235648747	-0.009153876030177343	0.15628172512816882
ENSMUSG00000038323	0.013535102349643629	0.5112900549971008	-0.014499695154726006	0.5047531775638553	0.01681019349957101	0.18214495354633461
ENSMUSG00000087462	-0.021263955999295703	-1.055806348007588	0.011001608859857827	-0.9361107835390222	-0.008106733404019906	-0.21100079288402673
ENSMUSG00000078903	-0.021263955999295703	-1.055806348007588	0.011001608859857827	-0.9361107835390222	-0.008106733404019906	-0.21100079288402673
