	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000025575	-0.006215675339782527	0.49167977396666956	-0.022630620073063514	0.19338497217052333	0.01252607496179345	0.2084590211541841
ENSMUSG00000042216	0.0021494553025279725	0.14316766703019052	0.03476641252489279	0.2588795521216006	-0.007592736250132605	0.13976829855476222
ENSMUSG00000038000	0.007074785834109727	0.5101201583598075	-0.020987110610544084	0.373370506300645	0.018966262838044454	0.1866857553113992
ENSMUSG00000048473	0.001423634493611254	-0.04374557588598691	0.008143943015342561	-0.1336031010860097	0.01167817886663605	-0.10365429150634944
ENSMUSG00000112190	0.0016966924311418552	-0.15647322586841517	-0.006646353301714823	-0.10482806999134482	0.04019371540980501	-0.10491466904038264
ENSMUSG00000028524	-0.007010018314291041	0.11135724038072763	-0.05776526283828259	0.15237737855620384	0.02224818748114298	0.13691977897615287
ENSMUSG00000117210	-0.0088144447824951	-0.09206370204483391	-0.08658748565638753	-0.14935877262282052	-0.018395718087543044	-0.05470846799050508
ENSMUSG00000046167	-0.018555805004195593	0.03482191506451012	-0.055469852992493025	-0.13984872605025364	0.017809481241342188	0.13922120281256087
ENSMUSG00000020679	-0.012786851183877193	0.00909124416315795	-0.02514505783734161	0.16344046419035294	0.0165651234032079	0.12002755724669052
ENSMUSG00000106052	-0.014058916811128646	-0.15495583063415586	-0.08760684529588617	-0.25387107662162245	-0.006341894065553788	-0.10137616504871402
ENSMUSG00000114493	-0.025565436356451494	0.03603389458720423	-0.06005878980557619	-0.1480429044408863	0.018160085881105	0.0856368693904577
ENSMUSG00000030603	0.009125866670365213	0.34952430517441824	0.0055209230083879185	0.3361111642260637	0.01562918155221788	0.21622145310196045
ENSMUSG00000039963	0.01702845319554659	0.4921904353713866	0.06263892618276097	0.44354846841503914	-0.008381534535562554	0.14933270225342962
ENSMUSG00000034793	0.0037651845946259396	0.30964388484758926	0.00108189138266945	0.3599094090047272	0.010670032673988316	0.11001134136822657
ENSMUSG00000094365	0.004195882448610583	0.438193380881525	0.03551073279536305	0.3619228003571542	-0.00930274989168538	0.18133801602239796
