	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000114424	0.0909264358938318	-0.07548819452436949	-0.32033843584333394	-0.023833401327842688	-0.02210663717243847	0.0186803988566987
ENSMUSG00000101517	0.0856481497953795	-0.07391933461695312	-0.007605306640919941	-0.04633267835364649	0.03606253013800033	-0.02398470807516833
ENSMUSG00000056429	0.09745437833510441	0.2622651426023208	0.6409334845051154	-0.013830531426585635	0.18374704945476358	0.10678238568082155
ENSMUSG00000029998	0.08323372690728102	0.1588444700092577	0.32802771147415016	0.02368002408096337	0.1371993927964012	0.05214189295205387
ENSMUSG00000097060	0.13258203611776345	-0.08199644168053813	0.5037051599732099	0.056332518963724036	0.15456075450758974	0.004782235134639046
ENSMUSG00000029389	0.07718727352465238	0.2889276462546364	0.42276988031507184	0.0017408523267528064	0.013807611185171587	0.06813887693320389
ENSMUSG00000038056	0.07302694599412081	0.2113131645312431	0.0821304074892158	-0.007995273921749368	0.08749378616101472	0.11721672305795687
ENSMUSG00000112426	0.17371247598113274	0.004963933269266574	0.7240183166663622	0.05957544006066863	0.216673750822281	-0.01464776798912526
ENSMUSG00000111933	0.08826620538634188	-0.06370218119544604	0.03876321916603501	-0.04963110198844314	0.05285122285933016	-0.02885734895681876
ENSMUSG00000000093	0.08902972662362788	-0.08438884483443472	0.05344591602062807	-0.03723970567426965	0.1994240689624698	-0.04767537133816831
ENSMUSG00000053054	0.07088250810636487	-0.08273147545354818	-0.241884860059539	-0.0743357916033786	-0.11927212692807164	-0.01980390805531501
ENSMUSG00000102976	0.08691651596563182	0.26446515633852175	0.41170309120009035	-0.04062614121090058	0.16381899401874317	0.1266396134697912
ENSMUSG00000094929	0.07929467416456287	-0.049201879409474895	-0.04665700591211331	-0.09153802110374278	-0.1056680522635357	-0.06058772274930381
ENSMUSG00000121832	0.039469833335069184	-0.08580802126358802	-0.18216368786451687	0.0037967977669756126	0.006533956134859398	-0.016819084038151227
ENSMUSG00000086835	0.10444339253859965	-0.06578784974400317	-0.03907554982702235	-0.06314940360507566	0.022290555675736203	-0.005336178069565836
ENSMUSG00000038260	0.07979715324836205	0.17665021856222698	0.1772881894229054	0.031369497711773	0.207795950641037	0.06074230457991106
ENSMUSG00000044715	0.096368283623647	0.34114297856444814	0.5464891521458564	-0.013025284018447048	0.20873842628008618	0.160582165984361
ENSMUSG00000031916	0.18022476910207003	0.26446173889835317	0.940240154180365	0.05021682488122581	0.312955260081441	0.13164947771994848
ENSMUSG00000024306	0.0258906264003963	-0.10633598716201305	-0.35839584074576153	-0.03643811698029097	-0.12554877668457998	-0.027428953978514664
ENSMUSG00000009207	-0.03861049665214817	0.2095808934769933	-0.5597473748605377	-0.01143338957797263	-0.12355692816356521	0.056259025042741044
ENSMUSG00000055652	0.07566413664293478	0.11590252922210889	-0.09774473005766715	0.020595208670256937	0.10182722704719233	0.028548036934258
ENSMUSG00000030512	0.10089199758941474	0.19811374350120659	0.31327661409584423	0.04432794835482301	0.25847026753414626	0.0883427307554899
ENSMUSG00000032553	0.07715262249971157	0.18028243517180054	0.30006388254582483	0.02012356589077524	0.06209937336529759	0.042404380554407026
ENSMUSG00000033335	0.07046600319605183	0.18968993046038604	0.24318708980604373	0.018236090304900476	0.1559864877186314	0.06737582808189307
ENSMUSG00000030168	0.11464774535857886	0.0776569912535448	0.4211724674827212	0.006561570794717531	0.24553599785582694	0.01613594181454497
ENSMUSG00000014791	0.07391511292959979	0.10193008979236708	0.24460011855603309	-0.03282692930328257	-0.048677907504055234	-0.04628716070209715
ENSMUSG00000111907	0.0693663403150041	-0.0692236021330545	-0.2622497038573198	-0.03477376004820925	-0.10414403423781432	-0.015189624477236652
ENSMUSG00000089951	-1.2139026304234553	-0.26074244498630206	-0.9370327853126335	0.23459164185460102	-0.490675542930814	-0.08674980651528522
ENSMUSG00000032174	0.19759247748281164	0.058203191436927836	0.3735269825865896	0.04560216484584403	0.3392462224235888	-0.021558908558925505
ENSMUSG00000042251	0.08129112887261249	-0.07108904911086893	0.04462804581892963	0.02294522492108816	0.00466941766583048	-0.08745758668529838
ENSMUSG00000097163	0.2552732856725613	-0.011600573695202288	0.10956258367994116	0.021058842683404057	0.4123993106085322	-0.017517756403475398
ENSMUSG00000025221	0.09801457939077311	0.017359615893442534	0.47604351442529963	0.03759030727992062	0.1651478850879872	-0.01757479353226543
ENSMUSG00000079477	0.0988732528183188	0.2129792184367912	0.4455445943723681	0.0038308138558269533	0.20731636931886757	0.10268571558671337
ENSMUSG00000104531	0.0644077641293807	-0.09096488847762833	-0.1981561669095398	-0.07793270002629724	-0.08050842725747827	-0.01639449022011963
ENSMUSG00000025762	0.07516348367213857	0.12681495967542306	-0.10918102617165168	0.01823772573447563	0.07978711313449464	0.027374090811710067
ENSMUSG00000120485	0.07106604947974528	-0.0602897930593126	0.44654463364254077	-0.04059729459164213	0.06594899076422905	-0.09080072169795009
ENSMUSG00000112743	0.08504876306654599	-0.044803321214058056	0.1917275736171704	-0.06580711929236552	0.25159797310608517	-0.11037070394585982
ENSMUSG00000031442	0.07364279216531844	0.08748674848796588	0.2539532021002321	0.0076517509473102985	0.14380991005185384	0.03415893350291613
ENSMUSG00000031304	0.01742078352961375	-0.15489061184870176	0.0025252175230082766	0.016913404909192995	0.00018419046861134492	-0.002145587119748032
ENSMUSG00000061561	0.10437003601481014	-0.053508498408074145	0.08168025342408149	-0.06780860097972641	-0.08406616465965587	-0.02798117288531074
ENSMUSG00000035696	0.07926836751939505	0.24545330777306645	0.2696227468964077	-0.027244230729396968	0.1957516554529002	0.12453996355346868
ENSMUSG00000086917	0.08858936000947261	0.26262138283794945	0.6397586862586839	-0.1507815622347819	0.08078147685553778	0.12825908813738907
ENSMUSG00000025955	0.09355161195102012	-0.053936835785938164	-0.04598585988265432	-0.08984912026938066	-0.005374008440561184	-0.06133772420200832
ENSMUSG00000057691	0.13523513331899198	0.12124559376923674	0.6249532218952373	0.03943550551999876	0.21897947495160772	0.01791659106742216
ENSMUSG00000020075	0.1249216816295023	0.3293771900072776	0.6606689585506335	-0.013646571841404498	0.26658029678371226	0.16294353284367472
ENSMUSG00000114702	0.13839027232904128	-0.05325813327127122	0.0760017922002899	-0.05123623404847081	0.2769650571560151	0.015845391317832858
