	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000050468	0.08545108572705423	-0.04874999923373747	-0.12786171028705937	-0.05705221962518614	-0.08240800513192963	-0.006693716716211828
ENSMUSG00000102805	0.08147898654180451	0.14860255420103147	-0.0643482384385442	0.013752706811622384	0.11835078289106801	0.024443769930265126
ENSMUSG00000005505	0.10179284972402078	0.3773454555833378	0.941005711786216	-0.06686437030098191	0.03613009161749259	0.08240941765448963
ENSMUSG00000085271	0.10117999988374131	-0.035410087399875625	-0.02769254618823891	0.042909735776955005	0.23161914496665523	-0.06080754506709867
ENSMUSG00000121377	0.08724904442036792	0.20502731206839683	0.307819603613117	0.016891678821870926	0.07143078593289144	0.05340916167408464
ENSMUSG00000045767	0.1784894617433328	0.3356386498136513	1.0211510003154585	-0.07272124509060185	0.2588730873717796	0.15340410620728687
ENSMUSG00000035572	0.07990258506206738	0.2300771651554947	0.0793165697729155	0.019859479313280807	-0.0031520028979441506	0.054809685233483084
ENSMUSG00000111970	0.09382626532911853	-0.062026756194038093	-0.09344508706367474	-0.02048121054081317	0.033892369790581564	0.006648082080349935
ENSMUSG00000038692	0.13940719875760052	-0.004775860934364995	0.38095795012715167	-0.0129127271764184	0.22502008212723612	-0.02232751643412023
ENSMUSG00000032860	0.08868520000064452	-0.00621940219399475	0.14715217015497534	0.007421984998637911	0.1878963941597588	-0.042285558031246104
ENSMUSG00000055371	0.07789821280217177	0.3173055336825286	0.10661828200634896	0.016072044006830266	0.09262922480714292	0.1119011213995577
ENSMUSG00000047215	0.2795346933095045	0.2540629965251857	1.0349750695332862	0.04589432125964965	0.49108396450280417	0.13066677915068878
ENSMUSG00000039536	-0.2084417124791021	0.21644843105579278	-0.6638346275423421	-0.001200313823771948	0.016313803432566214	0.03924078029384794
ENSMUSG00000006310	0.1815772114974009	-0.025222127080865242	0.569015841286061	0.09385034886693545	0.2484893331264882	-0.02764215919959533
ENSMUSG00000097654	0.11247587719703611	-0.039949712144768224	0.14240831613006255	0.06370983517712792	0.10363302303501644	0.023090069943583025
ENSMUSG00000021400	0.08457065948155816	0.23384266050699568	0.10410257425841316	0.02450665971618271	0.192957164922614	0.09513854843692053
ENSMUSG00000037029	0.1272813731003527	0.18350028559342996	0.6746570837603902	0.024879149453156613	0.1873639911022463	0.046694404716866485
ENSMUSG00000023000	0.20841601560049175	-0.026595515200374623	0.6044261690896702	0.0010639826470655311	0.27949224275326257	-0.02930428590797945
ENSMUSG00000046079	0.09813542080112589	0.24420213697058826	0.3695508928851297	-0.07169812260414132	0.22083507376884257	0.1688760698872697
ENSMUSG00000033082	0.07068306090191162	-0.05595488415424429	-0.1322063032864757	-0.04175256809366744	-0.07350872837817275	-0.00014987267093929946
ENSMUSG00000039686	0.08698264338079897	0.2279139900989603	0.29474673126299455	0.008639124318297164	0.12901722052020753	0.0676547760282513
ENSMUSG00000005057	0.08775069575204429	0.12038591187400843	0.001676398493507758	0.036019949782818486	0.22388283466185932	0.040906565285093656
ENSMUSG00000032363	0.08288410079567081	0.12254385272508092	-0.005831506341047121	0.021448508776685506	0.08790460811244323	0.016463852874918083
ENSMUSG00000030718	0.08207579665012235	0.22819647672226298	0.05815781396530035	0.009324339450038188	0.07221726824225612	0.07485878255422863
ENSMUSG00000042831	0.0999203210694915	0.05595380544268088	0.1439020668686051	0.00208428060548441	0.22486269944243026	8.877929629558245e-06
ENSMUSG00000029700	0.05541611835030874	-0.07381958723051997	-0.16786026295884748	-0.06558942187003303	-0.09524248642390007	-0.028424244574084642
ENSMUSG00000041747	0.0961002708726863	0.3130359922258645	0.48311456839083783	-0.01731618227177223	0.151792907202269	0.14405300441497954
ENSMUSG00000026383	0.08148539552461669	0.2513136037407789	0.26799756398689323	0.014385293727407822	0.05252528055976841	0.06978740615743495
ENSMUSG00000028012	0.08969346800224276	-0.0149838426669138	0.03738683417305924	0.09203904021654767	-0.10660551074994801	0.04248235527590464
ENSMUSG00000028078	0.09982184653712936	0.18317960181055767	0.4976317827070169	-0.0153924306344011	0.13749139666739604	0.06801852218624514
ENSMUSG00000113857	0.04739997835989162	-0.06427558371160369	-0.2857451927218915	-0.01684553352379021	-0.06560938779773044	0.008125218465167228
ENSMUSG00000073158	0.07487087269012982	0.04904690251647871	-0.31929006869188403	-0.00445366819730951	0.11026170269635278	-0.023898004755358623
ENSMUSG00000085168	-0.2629590906166125	-0.08726454215999596	-0.5123105539206321	-0.009914399160814158	-0.23851195766377517	-0.041467861218057886
ENSMUSG00000020170	0.07354646992020063	0.2761144717538508	0.1866481330073143	0.008681552844377216	0.1333819072073166	0.10077249153555841
ENSMUSG00000031450	0.06881948997719012	-0.06308148246868588	-0.08810065664034969	-0.05897201575305068	-0.05154567110909951	-0.029948750010128443
ENSMUSG00000031529	0.0844869821772145	0.248031266908593	0.21549053419470213	0.01780121503614296	0.10590545284096302	0.08504474808053666
ENSMUSG00000025357	0.09688030497607945	-0.009731756217414844	0.27440971312132706	0.028656393965603356	0.16740663584849422	-0.060013821727408566
ENSMUSG00000039977	0.06247070332988007	-0.09234433180014176	-0.2912621214698661	-0.002209083429338121	-0.051079344494844324	-0.02763514940687355
ENSMUSG00000023330	0.08252915905263851	0.19406612284617084	0.2244635285553253	-0.02824330726894919	0.03145407529863702	0.050784010478375885
ENSMUSG00000024260	0.07860657885863659	0.29148155142658144	0.10496649586241008	0.014274867499662114	0.1130256071521524	0.09353067940706883
ENSMUSG00000047388	0.09737560633643597	0.1853306499495	0.4167848927591948	0.02684721835710613	0.21969516861066443	0.05657629146935575
ENSMUSG00000040225	0.09493363683434822	0.2471735473224036	0.2938045499300067	0.030470129747588337	0.21231212850787679	0.11359342529219588
ENSMUSG00000026578	0.08261788636417618	0.05495726281541521	0.11506886804003481	0.01941587062661155	0.04331066417551525	-0.03630871039130973
ENSMUSG00000055184	0.08869494086847785	0.2490416873160637	0.2644704715999568	0.01730260719844967	0.23539160432335526	0.13555161318855205
ENSMUSG00000036061	0.15969078645574675	-0.042974067102432324	0.28009532390457625	-0.0022340573593527813	0.23623359025218862	0.03154810967221333
ENSMUSG00000111894	0.05550639406242415	-0.06907185646631457	-0.24403769613417325	-0.051998395245256984	-0.08803610865755562	-0.012609282565444413
ENSMUSG00000024873	0.0593905123534781	-0.014891819907376265	0.6252493149844519	0.09213824230886779	0.0343599141026155	-0.009624899897204275
ENSMUSG00000059901	0.08788147552608797	0.05999251792470149	0.24947586866518628	0.02474714209122831	0.17760659133084314	-0.009355680360454643
ENSMUSG00000121374	0.066077320978533	0.13788186391823665	0.23079131364338243	0.023826735090019868	0.18662754233802548	0.04293525518579135
ENSMUSG00000087314	0.013493585651555395	-0.03917188066602901	-0.1844750620799768	-0.013042124113305267	-0.15319272676920312	-0.013492270729892389
ENSMUSG00000032899	0.08625014537144522	-0.04621170312503725	-0.0037131439467790114	-0.03338319260109148	-0.03615461442230148	0.017938767770273915
ENSMUSG00000041189	0.0949613046121193	0.11451258289401955	0.30244405304368216	0.033519290868814736	0.20236089872743815	0.022173795107541028
ENSMUSG00000085319	0.08790969963057774	-0.0063650268039450175	0.14732624799554636	0.030636719288889433	0.1281987069117522	-0.06492360945774196
ENSMUSG00000056305	0.08560884895113985	0.20797733652727432	0.2581242078526834	0.02594790089004606	0.09379063611089572	0.05836576278897904
ENSMUSG00000106864	0.09822153514026047	0.37073736694023834	0.5361875334360449	-0.054595063603480654	0.19892425990345058	0.19243680906570146
ENSMUSG00000024209	0.30805721869618163	-0.07313776782050876	1.220215665996855	-0.046031091357812366	0.07024523660511871	-0.034486416459430735
ENSMUSG00000030689	0.12902097312937366	0.26363448713671467	0.6215626653924103	-0.022602283334216322	0.21824476989779398	0.13041384133265466
ENSMUSG00000033253	0.08262859654535575	0.21682553597179613	-0.0425570402406068	0.01833144852308388	0.057137456828221	0.05568879314823476
ENSMUSG00000085576	-0.006601655996281101	-0.02659474901956187	-0.4822312716960608	0.016989697960828887	-0.14574861787952065	-0.004717143544152758
ENSMUSG00000047180	0.10898169734204796	-0.07545418556765844	0.01502026357405814	-0.0838116742355841	0.20498377136242257	-0.020739319323946924
ENSMUSG00000028555	0.07869734814106658	0.012746192043737163	0.013379175592297761	0.001609279439464123	0.07734691438532929	-0.03620300104006182
ENSMUSG00000084834	0.1244037921445844	-0.0705787637888041	-0.0333098084384488	-0.06090518569321035	0.03645753052084933	0.02492954662463131
ENSMUSG00000099969	0.24998190012094668	-0.020295584459871785	0.4648503400729662	0.1319980511818223	0.32658628288066016	0.058276009316253326
ENSMUSG00000096002	0.07076401647502617	-0.060707400324453445	-0.1941685723104595	-0.07833422313320561	-0.048449658103525924	-0.0496272242468278
ENSMUSG00000112513	0.09274048528586462	-0.06340120381594257	-0.02212104493178037	-0.04340998261940068	0.08337483039929998	-0.01890171721785598
ENSMUSG00000048440	0.09230560997379855	-0.057497988446245374	0.27376633159625785	0.021631412297313857	0.15886041063185985	-0.06910063574362112
ENSMUSG00000010492	0.28893618241340147	-0.02929794480208146	0.8851249097292757	-0.01478595802071525	0.41865859134920796	0.02408170240394742
ENSMUSG00000021706	0.07795952969161968	0.1665024975007331	-0.10414848489796234	0.012915627472567331	-0.09188592802699752	0.020954815978261165
ENSMUSG00000053950	0.10812566903533166	0.3038737667527414	0.5779753778802248	-0.08588412608660212	0.24567638227385835	0.1602834627601481
ENSMUSG00000025955	0.10589576844955534	-0.041217341916156995	-0.006321218677537175	-0.08494918554370692	0.009366150691402245	-0.046802433549443766
ENSMUSG00000026028	0.0838576599620964	0.24606347121391006	0.16924681867124575	0.018626409838232494	0.12568606330214263	0.0906942497628007
ENSMUSG00000029056	0.08958868451339923	0.2857867589576598	0.5532922306553232	0.009740259045361244	0.10146370163786544	0.0812443488002244
ENSMUSG00000109824	0.08196121870993227	-0.04965644069103082	-0.045669224069230754	-0.1186124648556802	0.10097771852748615	-0.10017317751447129
ENSMUSG00000097743	0.09978156727162435	-0.016415359509646343	0.5408478678063294	0.12123425503602096	0.02006596487501012	0.04310319834653394
ENSMUSG00000020300	0.08266405230007053	-0.019978984082573162	-0.09205381667547863	0.003905264049104726	-0.02207933136249785	-0.05899766722920985
ENSMUSG00000097145	0.06986006958739807	0.23946230216115436	-0.1394541041453157	0.0004236609754280918	0.002564865892242605	0.06077601066185609
ENSMUSG00000053263	0.08646763204243249	0.1047136144818417	0.5406353662835673	-0.05592761057437154	0.030194549357996144	-0.03256009202018373
ENSMUSG00000027824	0.06424846198516722	-0.0704978392177752	-0.20087110773799294	-0.06473452831775328	-0.08809772546263579	-0.015457416997367968
ENSMUSG00000114576	0.10621230275945509	-0.0478000425368093	0.011136009528538266	-0.04664135176099762	-0.05780084456279774	0.00546006494437027
ENSMUSG00000109127	0.07383213469833215	-0.060860858606274854	-0.16629559644406322	0.003488489059991817	0.024532754444706328	-0.0009698204035759606
ENSMUSG00000037469	0.09448949211747751	-0.0300327621891211	0.08029727168986683	0.03129646099867353	0.1492107630367988	-0.0669151253630879
ENSMUSG00000049950	0.13901410141442758	0.2755898985323262	1.0160079549421406	-0.16525794005417738	0.1693135872516094	0.13372140401656585
ENSMUSG00000026077	0.07167953299622265	-0.057645537665381566	-0.14880164956937078	-0.023252640822812642	0.05643233964495316	-0.04716681327836712
ENSMUSG00000040714	0.13026525453341722	0.10609335132876385	0.14155019764163862	0.037533506344772205	0.28318859942757546	0.021637744832974648
ENSMUSG00000020399	0.0808585580543165	-0.05544286196765591	-0.2321021089862203	-0.0411379349121548	-0.07038047136984475	0.005923497276499157
ENSMUSG00000036721	0.08426225407548907	0.1372959451019711	0.12362102438958451	0.025214010862475322	0.1507188187146244	0.04224008856651904
ENSMUSG00000110183	0.1153424823172885	-0.014401692224752072	0.10780582406999689	0.04871803824168453	0.014726223008861165	0.04027943585868448
ENSMUSG00000085187	0.07866490834849997	-0.07122367905654178	-0.12468241080635967	-0.06465673964280133	0.06373778827040047	-0.003945557742979486
ENSMUSG00000070808	0.0979769305828162	0.1842587886722224	0.1992921741079304	0.047694812943623766	0.22581070279529147	0.08843153946775996
ENSMUSG00000022325	0.09288844810717291	-0.010580392768567759	0.1380459555060877	0.11774190599380147	0.031774923080098355	-0.035554975790064246
ENSMUSG00000013611	0.07567130428156318	-0.09410631784916133	-0.12396252597363552	-0.008231124880907076	0.02298792810915162	-0.03594314580740826
ENSMUSG00000026696	0.08013824925194199	0.2444050358490829	0.04896876472873082	0.016861553423788034	0.0784866868716919	0.08635240651719567
ENSMUSG00000097841	0.05766960759976741	-0.032980571657291874	-0.28308107793668763	0.017220161850753743	-0.08822236628483783	0.0042413048522197405
ENSMUSG00000060112	0.07376485896989254	-0.04456009523611249	-0.11012244594416097	-0.060415279802386083	-0.09740633711232599	-0.0233656202541718
ENSMUSG00000020872	0.18297852747153276	-0.04043946005084369	0.7813216991286605	0.12964621737932644	0.12023353567373532	-0.002024580405771692
ENSMUSG00000060803	0.1234355867612332	0.10134960814800131	0.6129531183871485	-0.0024159664127054725	0.1611354237229986	0.003702664712410951
ENSMUSG00000028367	0.13511843812733718	0.35592500475786343	1.004086695324301	-0.21538809948568716	0.24916626776261794	0.19782054291864212
ENSMUSG00000087179	0.08210132395938184	0.30527159651890307	0.38887902633115146	-0.06714741001987745	0.021527309461855534	0.11775294018610218
ENSMUSG00000069785	0.13198942278712317	-0.04866470563782079	-0.013649080829517768	-0.0455629113292498	0.17993365932250077	-0.013997834803556618
ENSMUSG00000020604	0.07712012189687065	0.21840387076853496	-0.028896103807419693	-0.03186426366742212	0.06539435827683944	0.12577966626608678
ENSMUSG00000079427	0.05668170502913686	-0.14948365655657667	-0.14944358375785938	0.3289912895305236	-0.14118274153059882	-0.10391243335292685
ENSMUSG00000000594	0.0863868819164907	0.11962087200830493	0.15408872371293264	-0.007185702742204203	0.03247904897308873	0.018553518743642007
ENSMUSG00000074925	0.0824128624054463	0.1805683918805214	0.12369934637242795	0.020654129922941022	0.14790731484978126	0.07470997771534515
ENSMUSG00000101922	0.05765804546402614	-0.06901985577587019	-0.23054944059045304	-0.05092702629952686	-0.10310453081001376	-0.0068590147364418486
ENSMUSG00000097429	0.057962921380376564	-0.11871529208490883	-0.34390075199669023	0.004256809550311824	-0.07782986031405308	-0.016373994747551374
ENSMUSG00000024905	0.04971726513362962	0.18635160395702496	0.19749349681954048	-0.08306972220557608	-0.058246944234539834	0.012486092889373135
ENSMUSG00000041420	0.07866020615600969	0.031059945660282876	-0.18306022470681207	-0.008426335760341894	0.006753652346035657	-0.03972041744476483
ENSMUSG00000034829	0.1738744313259435	-0.06461204915341139	0.33731516215182095	0.019619146712672376	0.22065269839864005	-0.0014136628016615527
ENSMUSG00000068748	0.06858095823717639	0.10960357918714618	-0.11220247025586065	0.00730693891042853	-0.09579350048125948	-0.010505212680883036
ENSMUSG00000020048	0.11035384065953817	0.2997865124287632	0.5795898753054463	-0.012250659414483112	0.22257250364218742	0.14472365021420447
ENSMUSG00000046219	0.0735967908522805	0.06767345179485644	-0.18695576290613397	-0.015011235889057381	0.10462390379730024	-0.03359567090795654
ENSMUSG00000039062	0.07294162028882722	-0.016590352728790586	-0.09865947962520348	-0.008328639518327033	0.03403346390197174	-0.03625510880454285
ENSMUSG00000020777	0.08987905312833795	0.23529879889509198	0.4240824795461538	-0.038508842619777384	0.11105142631266038	0.09773191344205832
ENSMUSG00000021997	0.0698372043950343	-0.005401050340611319	-0.19237395476708846	0.0028879994332636216	-0.007189147952537456	-0.048857190527844485
ENSMUSG00000074158	0.08708695132507185	0.12708739398753438	0.32577202010297307	0.038547893930801436	0.07854058489071518	0.0119768425682093
ENSMUSG00000030510	0.06939506436310452	-0.09351903418090432	-0.2251869460192709	-0.013256057836722313	0.01027361213031712	0.005841026264929827
ENSMUSG00000049420	0.0607959660004885	0.010703552512348216	-0.33665809181686523	-0.002462056624658371	-0.06367701306927571	-0.0343464652630234
