	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000045795	0.0035652828610437393	0.3802301517040161	0.012741398749205931	0.42724130656451326	0.03125462955896569	0.3196120824636609
ENSMUSG00000097278	0.019664574783833617	-0.08405211256218362	-0.026732034194961656	-0.09650805341539184	-0.0053191968775467835	-0.18239925295281104
ENSMUSG00000062980	0.011925699751125063	0.03509337929448853	-0.050306251184207354	0.06531155127809962	0.019251091593210843	0.13659456009573764
ENSMUSG00000020604	-0.0050691254609847025	0.4992155258030233	0.006501172315477017	0.6358839947567925	0.018177587486196783	0.44712402157830894
ENSMUSG00000032726	-0.006407849913367514	0.41497243181282717	0.05506730905410037	0.421617293483655	0.005494951078159542	0.25666445442232805
ENSMUSG00000078580	-0.017156495791248772	0.3057267796668003	0.08651514679964199	0.2616704832656029	-0.014870794706758228	0.2771908256665088
ENSMUSG00000034218	-0.0027712479309511817	0.41637444216447045	0.031098813239860953	0.3551759798827407	0.01813176444772672	0.42243393356544257
ENSMUSG00000110704	0.011715914823847429	0.04066364975943933	0.1985061406414722	0.2663441352036984	0.020091626968602026	-0.0767659505736517
ENSMUSG00000021252	-0.012479215325609349	0.43759426653580585	0.08447636317732739	0.37096098003676314	-0.001832868596721493	0.35335962647442026
ENSMUSG00000091277	0.010185156562176334	-0.12178438830520531	-0.007930383894570327	-0.15596516492670903	0.033576817713825154	-0.050838034693928065
ENSMUSG00000050623	-0.0008950610337556952	0.13197133057400795	0.10204595207258893	0.4610658294845258	0.009277273259646383	0.13485750357748438
ENSMUSG00000109824	0.013291176618699073	-0.0964793138429278	-0.007334011071037754	-0.27499262092974264	0.01020356629551522	-0.232504935393956
ENSMUSG00000085168	0.01018700307367959	-0.14179741709436153	-0.0736236126028668	-0.1877112553877643	-0.029597498627593276	-0.23100692440576331
ENSMUSG00000079657	-0.04435464843147674	0.1947235142021144	0.3004253616498557	0.20572324117855775	0.022813578917827707	0.18219690352236992
ENSMUSG00000120637	-0.013652106384214784	0.1841256041509565	0.08424001302393715	0.5765353039183182	0.005085688307000957	-0.04555668604496274
ENSMUSG00000036890	0.003127672457598152	0.3853144011030086	-0.011210783752867699	0.5028741166043995	0.02000461293769999	0.3819259155976659
ENSMUSG00000035298	0.04640951649341225	-0.05706360613354097	0.1908985139396062	-0.0035183070385114285	-0.01858856664729461	-0.07343593042816642
ENSMUSG00000074826	-0.02524506998144941	0.3358987216309447	-0.006089469925707913	0.39430196582004856	0.029992787575275147	0.37211241061637756
ENSMUSG00000005469	-0.005318306260450267	0.33188437684187255	0.06064289856923237	0.22771506072021638	0.014150718204927483	0.3036447636767528
ENSMUSG00000027006	-0.004069346214938374	0.4471537504454617	0.022777492609689882	0.32044269838558204	0.020726877921845837	0.3194360758884997
ENSMUSG00000062901	-0.00844129157005824	0.5479515876474301	0.06733395538003904	0.612628299377088	0.013933943859356028	0.31983995480511196
ENSMUSG00000019863	-0.0008938493218533239	0.48666912020821823	0.018308543088730565	0.4171486786291706	0.019967434266255486	0.37007669204614424
ENSMUSG00000016018	-0.013532394279283086	0.5255765564629641	0.047646085488546416	0.3567288689387458	0.003670802606221324	0.4093768029677812
ENSMUSG00000030209	-0.0011697606410642353	-0.07405370376067719	-0.002565372622046884	-0.008386085637172773	0.01209685151565991	0.10982545715418557
ENSMUSG00000055652	0.0032834602578497036	0.29815528764258714	-0.0031717649122027236	0.2133891664076279	0.03012634340922766	0.34703999341770314
ENSMUSG00000074796	-0.0011296655192416516	0.4062345418066757	0.07731404335476973	0.4494542352217872	0.0028583748618840857	0.3393181130807564
ENSMUSG00000030307	-0.0016325041959509567	0.03366227850357689	-0.0504317194319755	0.043539185953230315	0.022351766124067366	0.1447819820121938
ENSMUSG00000021423	0.0053667724222461605	-0.10337225632318443	-0.09978756545181601	-0.021522761550629276	0.003505002386558209	-0.130963950717362
ENSMUSG00000028186	0.013145264599880413	-0.09530848770215314	-0.008834973228715556	-0.15921642328012275	0.023857029844547108	-0.1821708781806697
ENSMUSG00000027660	-0.007669541515313024	0.31326109368405547	0.041591170211019525	0.4684294909674901	0.0013277921640424406	0.3715182834105046
ENSMUSG00000094439	0.0003599061336844178	-0.003367119636792584	0.07540406864670077	0.10567498403284376	-0.0027499832745412284	0.024670249324461352
ENSMUSG00000016349	-0.017216674466978346	0.047357850936143996	-0.005727190133894071	0.11125307946075857	-0.002615999238146177	0.11512392433258063
ENSMUSG00000086839	-0.009483065703820737	0.44576854486390316	0.10497067469121621	0.3862334806271104	-0.016765788232428257	0.33550703381548563
ENSMUSG00000027577	0.014817368702866051	0.14912780631768227	-0.06028073213381101	-0.022023362013296244	0.02734716803280095	0.19885576875512154
ENSMUSG00000038760	0.006787410585001374	-0.10025132834469938	-0.017776157642862365	-0.18095183233165257	0.02901357328359372	-0.0969877952237636
ENSMUSG00000100552	-0.019386468247961253	0.08947117278708289	-0.06900437772436502	0.12975120726345293	0.01615436201024571	0.22631815950773848
ENSMUSG00000061232	-0.017948271969175804	0.18934834566855707	0.049328272204825774	0.12959498752587215	-0.011811724296287407	0.2420838481814388
ENSMUSG00000070291	-0.003761909677633013	0.3513406897057188	0.051168895983235624	0.3283229225897411	0.02268583342049831	0.20462684511085438
ENSMUSG00000107622	-0.007659309185898472	0.045903323020914544	0.05361516129997253	0.42684665644599473	0.003124051935576133	-0.09231568521484014
ENSMUSG00000033565	-0.004140654308769864	0.47156231355632733	0.05027858704703517	0.5129603455697974	0.013796502791884243	0.37011719853746156
ENSMUSG00000029156	-0.003020832798949269	0.17435577377824465	0.01940788897796664	0.1622739299901667	0.029952283840715153	0.1822428148927236
ENSMUSG00000028009	0.01305002970348206	-0.08107598481203762	-0.05264331810631107	-0.1571640188985739	-0.0036494623826625605	-0.20443699299367418
ENSMUSG00000078640	-0.02391139960589209	0.20708619838863312	0.050562943155901555	0.3541346183827662	0.0072213594656485025	0.2191947367038815
