	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000002015	0.08727083863430576	0.27924273550934425	0.5053505680327354	-0.05820603569179772	0.11108548212714092	0.0870415213481391
ENSMUSG00000028518	0.09215859631964471	0.16704733733505361	0.026610603444506976	0.02284717922160634	0.1357361878495148	0.0401879246868989
ENSMUSG00000028801	0.10833042926180281	0.04664670822099208	0.5915570732591086	0.05664734633159496	0.1327996171164744	-0.01582228459530466
ENSMUSG00000090764	0.10539310074762628	-0.018784994806486308	-0.06672904936124731	0.02017487234570526	-0.09160844239693604	0.03322220399041207
ENSMUSG00000033526	0.08737228194631673	0.07406866373060744	-0.06698598019970206	-0.007894143130137546	0.009918949114363246	-0.01194477896995895
ENSMUSG00000061388	0.13467281408283654	-0.023863557280654653	0.208321489071275	-0.027256849698949995	-0.027257128747363246	0.016651544601556323
ENSMUSG00000032997	0.1275411967749025	0.22322150007366734	0.43869100726178606	0.027065668016524658	0.25050882813353	0.06641882633548021
ENSMUSG00000100277	0.06431048277637003	-0.06362595888977175	-0.16565927072380743	-0.06990764781421291	-0.04130618417237129	-0.022874455720704828
ENSMUSG00000025510	0.22564971554628452	0.09920921962237472	0.8808103296485438	0.06967249485895462	0.3115721646408637	0.020517432677509717
ENSMUSG00000120253	0.0821420256083159	-0.047997223648799985	0.03886003560718432	-0.015982550860923747	-0.017756002651343184	0.02816092282905191
ENSMUSG00000111368	0.18710186952283625	-0.0283091185828368	0.6341586129700391	0.09829077095639764	0.21063132087528835	0.035123844686206454
ENSMUSG00000068747	0.089532161235348	0.12954402484137992	0.11667314419194337	0.016645932260077156	0.1185980491138946	0.01884089513447434
ENSMUSG00000025854	0.08468777514656287	0.19098244994079328	-0.08396182515689718	0.008866658646911718	0.13015236837443983	0.031486546126212066
ENSMUSG00000114001	0.055027769316607654	-0.05352539806791863	-0.2232414444528868	-0.04557662517616901	-0.11885400085948919	-0.004555425664735213
ENSMUSG00000025955	0.11677451679496893	-0.02981278299258022	0.020751839681822832	-0.07885648560084205	0.02106871681961342	-0.035499398959217617
ENSMUSG00000025240	0.09787410586548963	0.23268091091108808	0.08383945596597932	0.02585803491291394	0.027261147817604376	0.06296262346723583
ENSMUSG00000071322	0.05228009101173306	-0.06836654558719628	-0.23861538896538484	-0.048468605733556575	-0.07994791655054233	-0.006211601833062241
ENSMUSG00000100827	0.05168428837027487	-0.07449757433412157	-0.19399366837785456	-0.05627682902657583	0.024747861051493403	-0.0016369997953785964
ENSMUSG00000046814	0.07935979708087366	0.12712933006982807	0.10659856108475435	0.008078125868958458	0.06626480531502178	-0.010002589054076971
ENSMUSG00000068452	0.08400304655971363	-0.00023531192060616268	-0.0313109225340992	-0.007510365417216832	0.10515623874487745	-0.0554171033934474
ENSMUSG00000087205	0.0864070589454193	0.18652869417193566	-0.08758387894296288	0.0038345320096954683	-0.13866548795609052	0.02436753581219203
ENSMUSG00000074882	-0.02317596424478804	-0.07044517035763129	-0.3020106163560045	-0.017585822111619267	-0.1362850949530856	0.003772468031837728
ENSMUSG00000050875	0.07590837582937571	-0.04824581824020895	-0.14341141302603377	-0.08987148624468258	-0.07627046586905752	-0.07349944304617839
ENSMUSG00000020889	-1.2078002363732672	-0.2269642898460916	-0.8574951356682022	0.23926664584661594	-0.4506015239835351	-0.0735586859161211
ENSMUSG00000074731	0.10036850321234206	0.09017316354187692	0.3360055641963891	0.026964095667291885	0.11835601099641738	-0.022582809451248798
ENSMUSG00000026004	0.09226258441308381	0.29374989917139066	0.3592663341252957	-0.06075610014522537	0.08393826971383095	0.12829428634876017
ENSMUSG00000085408	0.09250709990102372	0.23286805561389545	0.44460725466156115	0.02820070789641549	0.09382315765772012	0.06434052970359745
ENSMUSG00000009281	0.10544928450462386	-0.04507130179186135	0.14903674415136825	-0.04442221378079237	0.07638813957142725	-0.016855463110938607
ENSMUSG00000079704	0.02366591110032029	-0.1019528440953645	-0.16024056194888414	-0.0610713710712007	0.054249628611040844	-0.04988186974189037
