	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000014599	-0.0016057100534446755	0.0016711695873125485	-0.0021986291472950604	0.14596746333953609	0.016896064979590737	0.11332365864521059
ENSMUSG00000101922	0.010924862661915058	-0.08799282610023086	-0.07929258083553362	-0.10505303191900028	-0.010510016455032776	-0.14797425771352885
ENSMUSG00000025967	-0.023277893230334135	0.6534120426571322	0.2207014095575565	0.5619026735724063	0.012174391993986669	0.48494843475307187
ENSMUSG00000028134	-0.0029412112835043303	0.4232918599998984	0.05519971609218996	0.5287649491973266	0.01606927201287114	0.3211755419129256
ENSMUSG00000074283	-0.0024521567118238607	0.24506635513676395	-0.012445364994165145	0.04792151093958983	0.027222156299053356	0.27049634526362365
ENSMUSG00000001021	0.00038954644127894497	0.0007605464421260083	0.1278717514895157	-0.009270617566027645	-0.0340450748160171	-0.058377700094694986
ENSMUSG00000049350	-0.019288585761876986	-0.03779949225294473	0.08980446210668912	-0.15867861495420174	0.009749054514314487	-0.07779545340778192
ENSMUSG00000069662	0.008313181193887706	0.26612631385754026	0.15696113266528305	0.592752812266819	0.0010540543724619766	0.2946260945549848
ENSMUSG00000074776	0.01438697981209247	-0.10126795827665074	-0.06421168949088661	-0.14683907297295193	0.024351932021694264	-0.13487095354486064
ENSMUSG00000078566	-0.006595544646488927	0.36010495050631525	0.09727785750633205	0.4507912503170168	-0.014224056628234517	0.36320320324492666
ENSMUSG00000024290	-0.0014640436315753735	0.49062968591351147	0.007737610755961164	0.42993435732091234	0.027784015046805048	0.42258400020512
ENSMUSG00000031274	0.053699070016349076	-0.14719046028955873	-0.0447890706927725	-0.07350765266905254	0.034734249431847	0.09765437878214867
ENSMUSG00000037266	-0.0028485494740659147	0.5383430260661084	0.16642068222413697	0.5959182341321115	-0.00267703206396952	0.3936480946486577
ENSMUSG00000009378	0.016065644281612685	-0.03181600639742703	-0.056608303663767394	-0.03945633392479744	0.012994086061808657	0.1707799682989469
ENSMUSG00000095629	0.007705470119788671	-0.05965438011426176	-0.08147423100739136	-0.14745735119452388	-0.015204725544343411	-0.11475789992781764
ENSMUSG00000090643	0.024740756978596564	-0.0012267701992674724	0.007550721225702817	0.05645635995706055	-0.001052756967777839	-0.12562524673760844
ENSMUSG00000078776	0.025137421699275596	-0.09157229492499586	0.056380937465405054	-0.0789681131204949	0.007190438706781349	-0.13295897739129875
ENSMUSG00000032514	-0.019054504384907224	0.276237567529287	0.04864359140117545	0.28406276148651405	0.001300829182625196	0.2960957624369495
ENSMUSG00000027282	-0.0002232118456688166	0.4520230009520582	0.0935316875040228	0.5714406421048568	-3.080015334555597e-05	0.40551819693481406
ENSMUSG00000038541	0.002577240125957281	0.013325595907977501	-0.06792839169454322	0.08255744439411944	0.009775978836268856	0.20239755702868867
ENSMUSG00000002496	0.0007558863237950852	0.4091856306181229	0.058921673860060746	0.48224140261833215	0.017683311236869233	0.33880404346842535
ENSMUSG00000038594	0.009939931815372652	0.2918651786488081	-0.02669706405467598	0.23477938883637486	0.02163844851425363	0.35325864486202146
ENSMUSG00000020020	-0.011909725498779777	0.3783625378985917	0.07333582644343274	0.3525903752856043	-0.0038418355803817583	0.3474904332667118
ENSMUSG00000047215	-0.02307047225937775	0.597936276011074	0.18846160845082655	0.6658043896221921	0.033488836904901766	0.4239596977837505
ENSMUSG00000053581	-0.002078946411708138	0.47262542582741607	0.08839616332833632	0.3705171791428449	-0.0028017856539062653	0.30673396933618896
ENSMUSG00000024833	-0.0006258477932035156	0.2926258570093768	0.07248062961850255	0.40669531150428767	0.01140652285385518	0.30613386993311636
ENSMUSG00000092027	-0.09478599888677385	-0.7106125078096233	-0.04695364866825964	-0.8163472371103592	-0.04328005209923935	-0.34692423391590743
ENSMUSG00000117837	0.008852751989249855	-0.016426297563780605	-0.05165015113485897	-0.02145518134268468	0.008782324284097462	-0.02427192366729974
ENSMUSG00000033282	-0.0005135919120893284	0.35974724574127886	0.02261465451639324	0.2619291306906564	0.016724007352133686	0.34711400507246
ENSMUSG00000085913	0.014517438570340272	-0.031479191422979454	0.00129076808349958	-0.013211845846575308	0.03653494786088006	-0.0626488177750706
ENSMUSG00000001506	-0.011705863005928957	-0.004577168587178458	0.022193572986281287	-0.0745138860908358	-0.01036770189923912	0.01898760624900878
ENSMUSG00000029517	0.00594895878387558	-0.09636396028881586	-0.0843868468260829	-0.035581771683439366	-0.019152801106478493	-0.13321971786672654
ENSMUSG00000086462	0.001324587956085116	-0.04162705160072123	-0.03599728226549149	-0.07868279262672223	0.02754062660218647	0.0013589673082727515
ENSMUSG00000036832	0.014131792304202187	0.20893306026980246	-0.04406366312628934	0.03341635366289147	0.030758194541364612	0.2189701362983365
ENSMUSG00000060112	0.008425857559324568	-0.029426731232416743	-0.03736201085003956	-0.13826817751056106	-0.007763515726750268	-0.1417182593228092
ENSMUSG00000121898	0.08187872788748757	-0.1167949932923603	0.06884780011061793	-0.11522304004149116	-0.03983953799620327	-0.2186722232488294
ENSMUSG00000031246	0.0640315355955407	0.05442169580004401	-0.07344780705098138	0.23080168633680617	0.012823531928645104	0.19446891327688468
ENSMUSG00000011171	0.030065895529104606	0.021706039531630573	-0.06604666385586443	-0.05949916933066025	0.014609362567704051	0.12317716465034602
ENSMUSG00000027006	-0.005027828747012686	0.47866252470612153	0.02672894536840894	0.35565828449616443	0.02206790667090141	0.34892402733087036
ENSMUSG00000029088	0.01971881695080579	-0.05152527509331308	-0.06745031709267606	-0.10777684594927443	0.010825639370440121	0.13601966377246183
ENSMUSG00000026799	0.0007371259981405753	0.32406845680339613	0.026401984570433495	0.22998030425984553	0.03280510647098082	0.2179000073910807
ENSMUSG00000028576	0.004049905069281712	0.3474072204751516	0.1138437563231741	0.5221679618228933	0.0247371632989457	0.27367249006950956
ENSMUSG00000090093	-0.09478599888677385	-0.7106125078096233	-0.04695364866825964	-0.8163472371103592	-0.04328005209923935	-0.34692423391590743
ENSMUSG00000053411	0.003159692902437561	0.500362311157642	0.14733937691049231	0.7602682212911378	0.0069544467442946905	0.41966257318674927
ENSMUSG00000059323	-0.014394881112435533	0.3725158149939761	0.06925978190159217	0.3346130100220733	-0.007149225871527332	0.26920944750825465
ENSMUSG00000031171	0.00401275989965429	0.3642103663903146	0.10646114335768955	0.5382040211362842	-0.005116084182247516	0.30988916361565194
ENSMUSG00000073700	0.003095926490319645	0.42408680453996916	0.13896649404789777	0.4932489168227086	-0.02983677147143848	0.32472006592775565
ENSMUSG00000037852	0.0015031521001034331	0.18634546486552284	0.06378504882652157	0.3056321232669813	0.024882438049012672	0.1599546421662458
ENSMUSG00000108010	-0.0014935342742314894	0.22456729632077424	0.11300504061266319	0.49397747968910527	0.016828126297399205	0.163006002364849
ENSMUSG00000045302	-0.021222796793555876	0.3900509624440828	0.07343716914054652	0.34390473897673013	0.00860233244322461	0.35071434855545
ENSMUSG00000037568	0.008393309964345053	0.2899195373898832	-0.009108292589236178	0.2748093688411033	0.036781458464024926	0.26982244785654774
ENSMUSG00000056755	0.00030061388852817283	-0.027245245603259208	-0.03320512805796882	-0.05001242170968847	0.00832905947814759	0.19208830656963335
ENSMUSG00000110884	0.00516727738972291	0.00499643480855268	0.07997939203902658	0.03629814690649495	0.005790984377719926	-0.001308942352574144
ENSMUSG00000112980	-0.011727160223245825	0.4373629123197546	0.16934812390495355	0.4740485940450662	-0.023918717963522428	0.33078100935936977
ENSMUSG00000110622	0.005260757721367914	-0.02902207744396973	0.030574524319509307	0.04956828543378463	0.0035967034532154163	-0.11766088834617183
ENSMUSG00000028910	0.001447599888983353	0.4041463932498955	0.08294687517766144	0.4532733881720036	0.018861921489693144	0.30910682108247006
ENSMUSG00000115405	0.009808799573739535	-0.01719630369669844	0.035470214361766235	-0.07933524452755583	0.02123233664221885	-0.0772707278278998
ENSMUSG00000055960	-0.05913396245702247	-0.6293066012155377	-0.053085232391615875	-0.5538210233964703	-0.03993118050409894	-0.3248818058234401
ENSMUSG00000023007	-0.004502010631874942	0.43490026465466797	0.010923796457906877	0.3455575170261003	0.02291368256475737	0.4004046384664694
ENSMUSG00000053205	-0.008642708504715824	0.36857051179498385	0.13339209392597168	0.47882995957175123	-0.02352013886198044	0.312428429324816
ENSMUSG00000063445	0.0017314351059751487	0.38793809043409583	0.08643402167942461	0.423965718133767	-0.002569420823273161	0.31717799715063316
ENSMUSG00000115762	0.021320431052732847	-0.14541904068043934	-0.02088716456681192	-0.2167433286595357	0.028137387759791063	-0.18061853148859722
ENSMUSG00000031495	0.0057046382222567665	-0.13005710130385784	-0.08220501989344764	-0.057985573483698406	0.004990670355288052	-0.1347917401407154
ENSMUSG00000026976	-0.003991053234716907	-0.07288315502816119	-0.041251949302400684	-0.056622926516975695	0.008456118803222695	0.07383768732827778
ENSMUSG00000110530	0.03958850346144793	0.003264578853124478	0.22053815931918605	0.18169369838483768	-0.05341335043555159	0.008753217499971783
ENSMUSG00000016319	0.014184194449951996	0.48091451530328133	0.16304254553032407	0.6964146405664107	-0.01886905453703358	0.34604568215497794
ENSMUSG00000121834	-0.09478599888677385	-0.7106125078096233	-0.04695364866825964	-0.8163472371103592	-0.04328005209923935	-0.34692423391590743
ENSMUSG00000070643	-0.020815284923321378	0.2531007573035361	0.13863015745231647	0.3594958830694792	-0.019523271712207246	0.2825402731771184
ENSMUSG00000087460	0.014339455700223658	-0.08420943062757012	-0.07239550761081928	-0.1737960343756331	-0.01564691299899468	-0.1597835683993766
ENSMUSG00000091378	0.011486421009552874	0.30876591821658966	-0.01909735822855052	0.30762523160858235	0.017921077272382277	0.3201715347951751
ENSMUSG00000030154	0.012189558641828042	-0.12524511384371734	-0.014272631332284779	-0.20342498083871677	0.007522147127080436	-0.17504817038510287
ENSMUSG00000002320	-0.015915171278206748	0.5414381672922762	0.055542006398386155	0.3416092681672421	-0.00038035925824608796	0.3964191856132063
ENSMUSG00000061259	0.02112013438089265	-0.08801637312254262	0.026852428574681526	-0.026608350015761093	0.013141322510988762	-0.11740380598443728
ENSMUSG00000028629	-0.0011940395163145823	0.4297879431144952	0.048379770474873726	0.5669458713551089	0.014357582147231393	0.35259046943833666
ENSMUSG00000009654	0.015508583978836032	-0.10604374434121937	-0.05542874839464085	-0.1391372037808961	0.02305242674855637	-0.1514714721143493
ENSMUSG00000083109	0.013091110778822261	-0.08601082844197436	-0.020141016982475755	-0.1789674794110293	0.0019235996471375083	-0.14029527272379205
ENSMUSG00000031792	-0.010530203230936008	0.48649287333113983	0.03857629330078218	0.409101093008422	0.022453966293599595	0.3564928944234684
ENSMUSG00000005125	0.01020462789849029	0.33696775239734417	-0.0018450005978747352	0.5401847995412262	0.029890250902261814	0.36162996600726577
ENSMUSG00000040234	0.003108691476128689	0.4137103326378597	0.12581870173056697	0.6411109404444794	-0.011316517629730457	0.37522002094082074
ENSMUSG00000120637	-0.013427524299103856	0.2122145858160124	0.0909469294255076	0.6052847746729034	0.0070057854471639765	-0.010700423302135276
ENSMUSG00000031312	0.03335230366140607	0.02659397421262219	0.30898581104416006	0.4103168526517011	0.042807648544297694	-0.04402074861358585
ENSMUSG00000000560	0.010831805852684848	-0.04755821920243708	-0.0625398586549038	-0.0303683672143374	0.006441009100968516	0.1919068875860509
ENSMUSG00000024936	0.009103704677747071	0.014030769788626418	0.15158293560267855	0.14415974244437244	-0.031034907205798552	0.014476054046207408
