	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	-0.006982462015002966	-0.19501274824142456	-0.12641264498233795	-0.22740031778812408	0.0036064961459487677	-0.2554889917373657
ENSMUSG00000103412	-0.019528718665242195	-0.16898897290229797	-0.13711044192314148	-0.33306267857551575	0.008393862284719944	-0.3246499001979828
ENSMUSG00000034438	0.004029452335089445	-0.010756783187389374	-0.021620452404022217	0.3744509816169739	0.012212460860610008	-0.06308406591415405
ENSMUSG00000095296	-0.006027934607118368	-0.18594498932361603	-0.11888079345226288	-0.2527273893356323	0.017933078110218048	-0.21053747832775116
ENSMUSG00000102925	-0.0011161186266690493	-0.10849541425704956	-0.007717234548181295	-0.15442699193954468	0.025375137105584145	-0.19059066474437714
ENSMUSG00000021423	-0.0035439098719507456	-0.14368587732315063	-0.09984444826841354	-0.07025095820426941	0.017443913966417313	-0.1766098141670227
ENSMUSG00000030345	0.010746735148131847	0.06798692047595978	-0.03361791744828224	0.2757675349712372	0.010349826887249947	0.03998541459441185
ENSMUSG00000092035	-0.0021345012355595827	0.2846915125846863	0.10938776284456253	0.4951990246772766	-0.017613399773836136	0.1682482212781906
ENSMUSG00000031465	0.005098638124763966	-0.10631077736616135	0.044576674699783325	-0.018713224679231644	0.022634370252490044	-0.11005483567714691
ENSMUSG00000100552	-0.007799910381436348	0.03874470666050911	-0.1152179017663002	0.06596823781728745	-0.01012872438877821	0.18312084674835205
ENSMUSG00000087476	0.004850886762142181	-0.07649943232536316	-0.00538985151797533	-0.06765371561050415	0.004846029449254274	-0.06286751478910446
ENSMUSG00000026240	-0.037394486367702484	0.30789101123809814	0.07178448140621185	0.19154015183448792	-0.025133779272437096	0.27640673518180847
ENSMUSG00000112426	0.00528236199170351	0.1136498898267746	0.14596086740493774	0.1184045597910881	-0.04792548716068268	0.06478778272867203
ENSMUSG00000025860	-0.002843875205144286	0.2537645101547241	0.05921968072652817	0.44952452182769775	-0.005131285171955824	0.19714809954166412
ENSMUSG00000096963	0.005493837408721447	-0.13453826308250427	-0.08824535459280014	-0.13617199659347534	-0.013728668913245201	0.07402926683425903
ENSMUSG00000038894	-0.018946943804621696	0.40375247597694397	0.06951078027486801	0.4853501617908478	-0.02877538651227951	0.31714367866516113
ENSMUSG00000064006	-0.00615336000919342	-0.15517586469650269	-0.09386644512414932	-0.22514860332012177	0.015002102591097355	-0.2321329265832901
ENSMUSG00000098509	0.0017886480782181025	-0.10374103486537933	-0.10402379184961319	-0.2054474651813507	0.006380564067512751	-0.28101852536201477
ENSMUSG00000031147	0.038656968623399734	-0.22232761979103088	0.15360407531261444	-0.17771677672863007	-0.04795544967055321	-0.02516317553818226
ENSMUSG00000021706	-0.006845780648291111	0.34908735752105713	-0.04153399169445038	0.24245275557041168	0.0079019321128726	0.2978583574295044
ENSMUSG00000001467	-0.019125305116176605	0.38652220368385315	0.042225293815135956	0.4548646807670593	-0.006837751716375351	0.3225564956665039
ENSMUSG00000120253	-0.005622510332614183	-0.16759105026721954	-0.03565383329987526	-0.09286615997552872	0.016861645504832268	-0.20102478563785553
ENSMUSG00000078657	-0.009208324365317822	-0.17710673809051514	-0.12475018203258514	-0.3382824659347534	0.023151790723204613	-0.2164350152015686
ENSMUSG00000100144	-0.23998388648033142	-1.040012240409851	0.12319794297218323	-0.9738141894340515	0.049784332513809204	-0.2221328765153885
ENSMUSG00000120450	0.006749963853508234	-0.10557930916547775	-0.017883140593767166	-0.2270096242427826	-0.006354806013405323	-0.12014438956975937
ENSMUSG00000101489	-0.23998388648033142	-1.040012240409851	0.12319794297218323	-0.9738141894340515	0.049784332513809204	-0.2221328765153885
ENSMUSG00000028463	0.03478185459971428	-0.1430903673171997	0.02176869660615921	-0.2172386795282364	-0.037722233682870865	-0.09157559275627136
ENSMUSG00000024295	0.018340401351451874	-0.15082210302352905	-0.025416791439056396	-0.25561684370040894	0.001012036227621138	-0.1860332489013672
ENSMUSG00000102278	0.014396878890693188	-0.08260791748762131	-0.03912864625453949	-0.046524595469236374	0.012609264813363552	-0.16086168587207794
ENSMUSG00000074776	-0.005903212819248438	-0.16841870546340942	-0.10967224091291428	-0.2631640136241913	0.022198639810085297	-0.2201661616563797
ENSMUSG00000097754	0.006773611530661583	-0.07224269956350327	-0.04094690456986427	-0.032985955476760864	0.001716210856102407	-0.09946524351835251
ENSMUSG00000021390	0.009659521281719208	-0.05860274285078049	-0.031752366572618484	-0.0527300089597702	0.023172946646809578	-0.1527562141418457
ENSMUSG00000032407	-0.012496127746999264	0.4913582503795624	0.05707976967096329	0.6819133162498474	-0.00786662194877863	0.3451332747936249
ENSMUSG00000047352	-0.23998388648033142	-1.040012240409851	0.12319794297218323	-0.9738141894340515	0.049784332513809204	-0.2221328765153885
