	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	0.058574654161930084	-0.12410133332014084	-0.3811706304550171	-0.035230621695518494	-0.12233570963144302	0.008142055943608284
ENSMUSG00000103412	-0.01108470093458891	-0.10864417999982834	-0.4262840747833252	-0.06549002975225449	-0.1378941386938095	-0.057775579392910004
ENSMUSG00000034438	0.06430279463529587	-0.059535007923841476	-0.06130041182041168	-0.002126015955582261	0.0865887850522995	-0.0861569419503212
ENSMUSG00000095296	0.05865159630775452	-0.12445379048585892	-0.3652278482913971	-0.02929612807929516	-0.0847301110625267	0.024494927376508713
ENSMUSG00000102925	0.06697767972946167	-0.10816468298435211	0.042014483362436295	-0.01650235801935196	0.02738235704600811	0.026036100462079048
ENSMUSG00000021423	0.0676654726266861	-0.11605294048786163	-0.29521435499191284	0.005582184996455908	-0.05710971727967262	0.053486332297325134
ENSMUSG00000030345	0.05564967542886734	0.007751130033284426	-0.09382490068674088	-0.03186910226941109	-0.0775383785367012	-0.07876293361186981
ENSMUSG00000092035	0.16688062250614166	0.2127441018819809	0.8506535887718201	-0.11121413111686707	0.18511535227298737	-0.026961911469697952
ENSMUSG00000031465	0.07183468341827393	-0.12149844318628311	0.24598650634288788	0.03746090829372406	0.034717973321676254	0.035418801009655
ENSMUSG00000100552	0.09713288396596909	-0.0024627025704830885	-0.4290456473827362	-0.06359773874282837	0.08749084174633026	-0.05379493534564972
ENSMUSG00000087476	0.06069154664874077	-0.10328558832406998	0.061446938663721085	0.0024331039749085903	0.09082124382257462	-0.022837355732917786
ENSMUSG00000026240	0.08722635358572006	0.18509885668754578	0.395486980676651	0.0037002942990511656	0.16858834028244019	0.016925016418099403
ENSMUSG00000112426	0.19918037950992584	0.017884956672787666	0.7385081648826599	0.024745697155594826	0.21836750209331512	-0.05556837469339371
ENSMUSG00000025860	-0.014511210843920708	0.17048726975917816	0.3913431465625763	-0.08074261993169785	0.14179590344429016	0.023248666897416115
ENSMUSG00000096963	0.07614318281412125	-0.1240013912320137	-0.27823635935783386	-0.03329918906092644	0.10560956597328186	-0.060204364359378815
ENSMUSG00000038894	0.042007122188806534	0.2885163128376007	0.43362340331077576	-0.020948853343725204	0.20381633937358856	0.07768356055021286
ENSMUSG00000064006	0.060032740235328674	-0.1142360121011734	-0.2606368064880371	-0.0398249626159668	-0.08728660643100739	0.006528026424348354
