	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	0.010006565726021766	-0.12534299437850016	-0.09022325260487528	-0.11533167551050177	-0.012182466904659944	-0.18130508024729897
ENSMUSG00000103412	0.004285121632333522	-0.1073354629672613	-0.10062030861177083	-0.216549291175015	-0.009532382966327914	-0.2518828159081278
ENSMUSG00000034438	0.007331411038390842	0.08786698522873784	-0.005624512033290062	0.4772845795517193	0.02176954124434643	-8.470779310243426e-05
ENSMUSG00000095296	0.006026219928570168	-0.11007190891050747	-0.08284223354977677	-0.14210024067549665	0.005978913470496783	-0.13986474419088232
ENSMUSG00000102925	0.00899428468050853	-0.032675920516684887	0.028602407404404232	-0.0491852705822417	0.02469958667503495	-0.12409479716860394
ENSMUSG00000021423	0.004567345386974592	-0.06254454365894926	-0.06372260353441259	0.037334473901146935	0.011152552880378391	-0.10996660210814814
ENSMUSG00000030345	0.013009927690710795	0.16831455349449778	-0.010996685730630174	0.3780500173759361	0.013680113543709991	0.10247217344054987
ENSMUSG00000092035	0.0117402100688929	0.3585648073338314	0.15378762655285816	0.587972734948394	0.00568063782857986	0.2133440773029518
ENSMUSG00000031465	0.010692948177185439	-0.013372772147879769	0.07723301790558094	0.08098042330672521	0.024436470805150278	-0.049427607214779644
ENSMUSG00000100552	-0.008004539736473578	0.13772924298279646	-0.0855669986806314	0.16538750821825038	0.002516255671353329	0.23593741426124312
ENSMUSG00000087476	0.0035121089750518373	0.022234825847450304	0.02317941833410865	0.027736299713604244	0.011602140785879303	0.0023332843023720212
ENSMUSG00000026240	-0.007464428765346693	0.3825402089462998	0.09994084179574655	0.28457954156971205	-0.004445240340054113	0.3232548160470457
ENSMUSG00000112426	0.004172560632373923	0.21251460370951558	0.1824295702540347	0.19218675026257181	-0.03471180850779565	0.13687993557192304
ENSMUSG00000025860	0.02131250230369988	0.33917086105709765	0.07726665577605817	0.5609357718880755	0.008799776624899058	0.2375078819841272
ENSMUSG00000096963	0.0	-0.02863856806453381	-0.059368401597676236	-0.0378181919444048	-0.004477004085707111	0.13045263899456883
ENSMUSG00000038894	0.014482394990228145	0.4666914913920509	0.09172518441072534	0.5923447606043387	-0.005548899495490867	0.36165128090806964
ENSMUSG00000064006	0.0073170121319431035	-0.08416003278398315	-0.05517616220967589	-0.11520019579350584	0.003409014027068724	-0.1603532330096178
ENSMUSG00000098509	0.015545748071564336	-0.040260140852175004	-0.0647349803125149	-0.09351149357511666	-0.009306713790708118	-0.20048232375078093
ENSMUSG00000031147	0.04139950482727161	-0.12298198126855407	0.1951136394991953	-0.08790086823657373	-0.04429576082633981	0.031075124621426045
ENSMUSG00000021706	0.013421457195650351	0.41991469588640973	-0.014510955867696573	0.3511203468152337	0.010999277117604315	0.3612873598710333
ENSMUSG00000001467	0.012182096549849317	0.44907019496356304	0.05982689413024684	0.5718279675031929	0.010075367411813696	0.37053489872556034
ENSMUSG00000120253	0.008912845345923225	-0.09167905023244345	0.0014752359929976477	0.015325850655032471	0.009657359029307214	-0.13627735007867342
ENSMUSG00000078657	0.0012846176010737897	-0.09818416031899728	-0.08986577196341937	-0.2265945769344684	0.007451565266406567	-0.1434109395470332
ENSMUSG00000100144	-0.15115270708939024	-0.8107594154765864	0.033511211647605066	-0.8177008842180487	-0.04104407089402121	-0.2225034093264457
ENSMUSG00000120450	0.008313201470254035	-0.017142813698650165	0.014652302149142038	-0.1290851142663305	0.001527494147763958	-0.05517469395591087
ENSMUSG00000101489	-0.15115270708939024	-0.8107594154765864	0.033511211647605066	-0.8177008842180487	-0.04104407089402121	-0.2225034093264457
ENSMUSG00000028463	0.03932290393820331	-0.05460484718970951	0.04909337565211646	-0.11935501349189742	-0.0245540167513236	-0.02966712694283462
ENSMUSG00000024295	0.026149926486382882	-0.08116064637976707	0.007361032723506411	-0.14970486004514905	0.010537269576942235	-0.11840761646269896
ENSMUSG00000102278	0.021037398470850458	-0.0026342825488815183	-0.0003600154569413788	0.06060934628645958	0.0032263050840308466	-0.09068378700380639
ENSMUSG00000074776	0.006736434675737313	-0.09667529235744267	-0.07261878835596379	-0.1529051221054692	0.013522487452645865	-0.1498737137711614
ENSMUSG00000097754	0.005743391845667215	0.02333468974210646	-0.004895966809433834	0.06956738647924915	-0.007971661200460523	-0.029617239687315673
ENSMUSG00000021390	0.014919465222935184	0.022768852687122455	0.004389820718534301	0.05149595469284972	0.02223767080294641	-0.0855089401580024
ENSMUSG00000032407	0.018993125389192834	0.5404827329703387	0.07656657774533404	0.8101839060449613	0.007306545790908281	0.394900727212937
ENSMUSG00000047352	-0.15115270708939024	-0.8107594154765864	0.033511211647605066	-0.8177008842180487	-0.04104407089402121	-0.2225034093264457
ENSMUSG00000030512	0.012505008709523735	0.4754205463369836	0.09081293235690499	0.49218704253711565	-0.009698075804031037	0.3880437493274167
ENSMUSG00000059043	0.015210256828333699	-0.10880197597524456	-0.06215634224652209	-0.3158853612938348	0.0055670716383450225	-0.14289141506113806
ENSMUSG00000115439	0.0136132334321169	-0.11378503605556117	-0.04809713378800136	-0.07386030821564067	-0.007069971372425071	-0.18470139640876732
ENSMUSG00000108935	0.017904907902930683	0.053640074588033375	0.044856143929092714	0.0589345914313301	0.0006400596837448508	-0.09572582586889405
ENSMUSG00000107979	0.010471940495566101	-0.04334652239719473	-0.061992435059286526	-0.07668446213388816	-0.02616117432407729	-0.16248453167463975
ENSMUSG00000071335	0.010217958233925519	0.18352562284329796	0.001782884970127352	0.33805445546050966	0.006439494371739291	0.20045452484322496
ENSMUSG00000038056	0.013334253561592568	0.4968937953624341	0.035208361179144734	0.6752885287809599	0.015388236647292752	0.3922729657147772
ENSMUSG00000101537	0.016701557102829626	-0.061620705271252546	-0.038927334294997944	-0.12948187412044815	0.014658152797208668	-0.2319844994075985
ENSMUSG00000032420	0.000611721510593799	0.05610151938666475	0.0420498761751487	0.1455783530102632	0.015649485058432503	0.15676853720220535
ENSMUSG00000050511	-0.006421603300826029	0.09181237005546514	0.07470546276282965	0.061783351226571345	-0.011817475741231294	0.17117811525149498
ENSMUSG00000030048	0.03460745288257128	-0.08606645974979486	-0.024855388822673758	-0.1704526328720572	-0.01879225861887678	-0.11383691162271098
ENSMUSG00000057977	0.006914305310091991	0.0004052451083540187	-0.05683589598745701	-0.07831699231124019	0.01805745083816922	-0.13066734125669957
ENSMUSG00000060424	0.016842546018855823	0.037120044224043115	-0.08554678164338884	-0.027250953050187515	0.012314399089845746	0.13985197940431238
ENSMUSG00000034928	0.054522835719296954	0.617351301136132	0.21380216047779058	0.4817567581338099	-0.007236141907861704	0.3822565437423312
ENSMUSG00000044378	0.006734720916016734	-0.10049633500789716	-0.033277330080355695	-0.031105228059587132	0.023511486917557473	-0.16333021728566316
ENSMUSG00000086689	0.006935936457317017	0.21858543780965456	0.07162099158769282	0.5530797487673006	-0.01623720158303965	0.22208845593325863
ENSMUSG00000045928	-0.005469697535725922	-0.09801613229637182	-0.09023226160140788	0.04541008646489264	-0.001957022255303198	-0.15488530146625337
ENSMUSG00000071089	0.012787496671191043	-0.05299902911372212	0.042327720362975475	-0.045526263069839576	0.012136126087403387	-0.1344369160127602
ENSMUSG00000109450	0.007413536056374434	0.0294590278241511	-0.010999219009882336	0.09000678489040405	0.015151600973664052	-0.03137842573500042
ENSMUSG00000044982	0.04008457705546107	0.44380819794406545	0.20878433951638625	0.5442906455394293	-0.00190228579338525	0.28991995973937146
ENSMUSG00000063932	0.009909132644411012	-0.06618664555609138	-0.023562633572995997	-0.10698408997596584	0.015601556462593513	-0.0958142334508794
ENSMUSG00000037617	0.01172039091337448	0.2230428857091959	-0.03666995859564564	0.18256070920909892	0.010734088295069388	0.1575221758482411
ENSMUSG00000086564	0.0142591956523751	-0.0958031209614514	-0.03767936772108399	-0.17361779415263487	0.01702920936035414	-0.11166039272029805
ENSMUSG00000038150	0.0103492472931263	0.441290992750553	0.06615816870765673	0.5661175432174558	-0.008139173444002168	0.34072259914871894
ENSMUSG00000099418	0.009228203390476778	-0.07072919348122096	-0.043671412798385593	-0.13752606055522643	0.006227912313696682	-0.13161870616363588
ENSMUSG00000027977	0.009868167749401358	0.023923132560446696	-0.04917160173590429	0.03731062831691155	0.010660584075872627	0.18085973830035126
ENSMUSG00000018507	0.016312636199099995	0.006784816841151925	0.0585321625272244	0.035270683540997744	0.004262380166096813	-0.024812931909213645
ENSMUSG00000038855	-0.0007713639539417838	0.05349711335376887	0.0007442819107070419	0.11000808602211733	0.0004563676403588452	0.1297766944082428
ENSMUSG00000042462	0.009733788972724493	0.39712351407532603	0.16743826321515914	0.4168315138755677	-0.012826235275452236	0.35365458940503175
ENSMUSG00000020798	0.01660901252979674	-0.04511145706614891	-0.028976418444699878	-0.09368478979251423	0.01993153684261881	-0.10772242675992395
ENSMUSG00000006442	0.04596288045330354	0.5390509031185381	0.18501721160365941	0.580567381622544	-0.0037775230336491994	0.35803876198436907
ENSMUSG00000048387	0.003702571362588558	-0.22530892085717255	-0.10035616188823927	-0.2574208941501437	-0.016516570847707183	0.04277006633445604
ENSMUSG00000020440	0.006571284320554179	0.304173912615007	0.038784099513619816	0.31323089559177425	0.005631712493882057	0.3200704257525017
ENSMUSG00000023008	0.0084155275502962	0.4344872167751204	0.0023064397955467886	0.26493010420422924	0.013065075547219461	0.3123452185549722
ENSMUSG00000117694	0.052630495265953016	0.5044081399388691	0.15483692920564585	0.7255341677566464	0.022570853526696633	0.32920672780885984
ENSMUSG00000111820	0.015116614236376918	-0.05640743310613203	-0.027708619039554617	-0.035552899947516994	0.02039757028150762	-0.06856419228703058
ENSMUSG00000058665	-0.004060954519316706	0.11845531058627981	0.024419467266540103	0.09033638984729546	-0.023056648815305496	0.13183123782421635
ENSMUSG00000021254	0.01215344822299481	0.39833489134955374	0.009515364660405146	0.33190077994666983	0.0163182158871242	0.31725739526575725
ENSMUSG00000097641	0.09032659708398637	-0.08359327877293647	0.1748321166296302	-0.003998357265083158	-0.08281529407646886	-0.07473231057726144
ENSMUSG00000020007	0.007501843036928357	-0.05651281606269965	-0.06433057095692321	-0.1499824254590038	0.015433248211813973	0.11084188208362965
