	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	-0.002641031751409173	-0.144399493932724	-0.11695384979248047	-0.1575927585363388	0.003834946546703577	-0.21914038062095642
ENSMUSG00000103412	-0.016716215759515762	-0.12048817425966263	-0.1273014396429062	-0.264373779296875	0.008441206999123096	-0.2837104797363281
ENSMUSG00000034438	0.008098363876342773	0.042466260492801666	-0.01428417582064867	0.45176181197166443	0.011581809259951115	-0.03359450399875641
ENSMUSG00000095296	-0.0021202315110713243	-0.13388030230998993	-0.10987149924039841	-0.18127937614917755	0.017580082640051842	-0.1758163571357727
ENSMUSG00000102925	0.00337498402222991	-0.06161270663142204	0.002096944721415639	-0.07671483606100082	0.024445151910185814	-0.15776291489601135
ENSMUSG00000021423	0.000708963954821229	-0.09208807349205017	-0.0905044749379158	0.002222512848675251	0.017301974818110466	-0.14333394169807434
ENSMUSG00000030345	0.010348757728934288	0.12828117609024048	-0.027975840494036674	0.34585830569267273	0.011458600871264935	0.07404529303312302
ENSMUSG00000092035	0.002787916688248515	0.3394160866737366	0.12150498479604721	0.5680121183395386	-0.020192088559269905	0.1970473825931549
ENSMUSG00000031465	0.010323300026357174	-0.05471910163760185	0.05464752018451691	0.057290755212306976	0.02169177308678627	-0.08120547980070114
ENSMUSG00000100552	-0.006257237866520882	0.0990542396903038	-0.10727719962596893	0.13915392756462097	-0.012534046545624733	0.21334561705589294
ENSMUSG00000087476	0.007918501272797585	-0.02083737403154373	0.0035121880937367678	0.008250937797129154	0.0026652836240828037	-0.033425137400627136
ENSMUSG00000026240	-0.03634006902575493	0.36147555708885193	0.08177575469017029	0.26627394556999207	-0.027616066858172417	0.31032299995422363
ENSMUSG00000112426	0.013998989015817642	0.16427700221538544	0.15866321325302124	0.19444118440151215	-0.052441395819187164	0.09201893955469131
ENSMUSG00000025860	-0.0022808252833783627	0.31277692317962646	0.06550052762031555	0.5206535458564758	-0.005665482487529516	0.23149502277374268
ENSMUSG00000096963	0.007330581080168486	-0.07143525779247284	-0.08053714781999588	-0.061492983251810074	-0.016926830634474754	0.10069840401411057
ENSMUSG00000038894	-0.01876109652221203	0.4586048126220703	0.07783029228448868	0.5593526363372803	-0.03108677640557289	0.35289302468299866
ENSMUSG00000064006	-0.0021274508908391	-0.10559367388486862	-0.08472464233636856	-0.152359738945961	0.014820369891822338	-0.19669203460216522
