	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	0.03644512966275215	-0.14993341267108917	-0.4653101861476898	-0.032920800149440765	-0.13388045132160187	0.0001727323979139328
ENSMUSG00000103412	-0.030150720849633217	-0.13404089212417603	-0.5078169703483582	-0.06606149673461914	-0.14927899837493896	-0.06912899762392044
ENSMUSG00000034438	0.037481557577848434	-0.08641008287668228	-0.15062473714351654	0.01701461337506771	0.06551142036914825	-0.09050492942333221
ENSMUSG00000095296	0.03659648075699806	-0.15115675330162048	-0.450849711894989	-0.021504299715161324	-0.09859657287597656	0.015644177794456482
ENSMUSG00000102925	0.04606606438755989	-0.1273266077041626	-0.04572588950395584	-0.010963563807308674	0.010937448590993881	0.015450859442353249
ENSMUSG00000021423	0.043311845511198044	-0.14182566106319427	-0.38470223546028137	0.017336338758468628	-0.07193423062562943	0.04686548560857773
ENSMUSG00000030345	0.03379548341035843	-0.025161094963550568	-0.1858110874891281	-0.0044646235182881355	-0.10230933874845505	-0.08394908159971237
ENSMUSG00000092035	0.14013656973838806	0.17703977227210999	0.761340856552124	-0.08771367371082306	0.16579441726207733	-0.02868574857711792
ENSMUSG00000031465	0.04690564051270485	-0.1469358205795288	0.1544274538755417	0.05332378298044205	0.018060527741909027	0.028833601623773575
ENSMUSG00000100552	0.07517080008983612	-0.03781585022807121	-0.5230278968811035	-0.042656559497117996	0.06861719489097595	-0.053870417177677155
ENSMUSG00000087476	0.03693707287311554	-0.1316472738981247	-0.02975326031446457	0.020063605159521103	0.07323364168405533	-0.028869222849607468
ENSMUSG00000026240	0.06701309978961945	0.1592826396226883	0.30316677689552307	0.014952830038964748	0.1496869921684265	0.013618146069347858
ENSMUSG00000112426	0.17413999140262604	-0.006188356317579746	0.6458366513252258	0.03622328117489815	0.19855453073978424	-0.05475299805402756
ENSMUSG00000025860	-0.038186538964509964	0.13560838997364044	0.3102848529815674	-0.05785753205418587	0.11835628747940063	0.01411055400967598
ENSMUSG00000096963	0.0539577342569828	-0.16017423570156097	-0.3681590259075165	-0.016217945143580437	0.08835288137197495	-0.06105337664484978
ENSMUSG00000038894	0.020656807348132133	0.26020267605781555	0.34896719455718994	-0.007065500132739544	0.18230560421943665	0.07032567262649536
ENSMUSG00000064006	0.039048854261636734	-0.13816224038600922	-0.3449298143386841	-0.036676183342933655	-0.10052793473005295	-0.0034816106781363487
ENSMUSG00000098509	0.06871945410966873	-0.11162124574184418	-0.37129220366477966	-0.04385741055011749	-0.11891737580299377	-0.02984321117401123
ENSMUSG00000031147	0.13341479003429413	-0.2187757045030594	0.6323371529579163	0.030442215502262115	0.20761558413505554	-0.014576093293726444
ENSMUSG00000021706	0.05282464995980263	0.20932435989379883	-0.22480972111225128	-0.029909081757068634	-0.1227131113409996	0.012991397641599178
ENSMUSG00000001467	0.020816758275032043	0.2436193972826004	0.18814438581466675	-0.011029976420104504	0.11092653125524521	0.06330213695764542
ENSMUSG00000120253	0.04107046127319336	-0.14983603358268738	-0.1452087014913559	0.00979621335864067	-0.0742998868227005	0.03123200498521328
ENSMUSG00000078657	0.011736191809177399	-0.14784450829029083	-0.4970105290412903	-0.016050536185503006	-0.10990114510059357	-0.0001519846118753776
ENSMUSG00000100144	-1.5580517053604126	-0.3851504921913147	-1.2667807340621948	0.6927223801612854	-0.47259122133255005	0.1748121976852417
ENSMUSG00000120450	0.05201110243797302	-0.13566796481609344	-0.07203672081232071	-0.024291839450597763	0.11992131918668747	0.014916150830686092
ENSMUSG00000101489	-1.5580517053604126	-0.3851504921913147	-1.2667807340621948	0.6927223801612854	-0.47259122133255005	0.1748121976852417
ENSMUSG00000028463	0.11739985644817352	-0.14529426395893097	0.06987657397985458	-0.03102148324251175	0.2351883500814438	0.026478255167603493
ENSMUSG00000024295	0.09046797454357147	-0.12281357496976852	-0.11404170095920563	-0.05895417556166649	0.14953942596912384	0.016876444220542908
ENSMUSG00000102278	0.10288302600383759	-0.11486008018255234	-0.16267246007919312	0.033628322184085846	-0.09455917030572891	0.043535713106393814
ENSMUSG00000074776	0.0386577732861042	-0.14093859493732452	-0.40961945056915283	-0.035789426416158676	-0.06393759697675705	0.0015984219498932362
ENSMUSG00000097754	0.06313314288854599	-0.1162487342953682	-0.15974567830562592	0.049958907067775726	-0.15918399393558502	0.0032713154796510935
ENSMUSG00000021390	0.0786580741405487	-0.10580168664455414	-0.1424790322780609	0.025079164654016495	-0.005957411602139473	0.031011201441287994
ENSMUSG00000032407	0.031208764761686325	0.3308301568031311	0.351967453956604	-0.11352729052305222	0.16440922021865845	0.11920695006847382
ENSMUSG00000047352	-1.5580517053604126	-0.3851504921913147	-1.2667807340621948	0.6927223801612854	-0.47259122133255005	0.1748121976852417
ENSMUSG00000030512	0.040322910994291306	0.2609297037124634	0.308124840259552	0.017974264919757843	0.17930275201797485	0.0603032112121582
ENSMUSG00000059043	0.07174041122198105	-0.12010959535837173	-0.37575703859329224	-0.0707518681883812	0.1078341081738472	-0.01211518608033657
ENSMUSG00000115439	0.052988916635513306	-0.14367100596427917	-0.3147573173046112	-0.039271630346775055	-0.11719349771738052	-0.01765686832368374
ENSMUSG00000108935	0.09331563115119934	-0.08731542527675629	0.004573673941195011	0.04764097183942795	-0.10741981863975525	0.030802257359027863
ENSMUSG00000107979	0.056177809834480286	-0.12229988723993301	-0.3689613342285156	-0.017156565561890602	-0.15595640242099762	0.01062148716300726
ENSMUSG00000071335	0.05702350661158562	-0.012980606406927109	-0.12903162837028503	-0.007480336353182793	-0.14056216180324554	-0.06459475308656693
ENSMUSG00000038056	0.026233665645122528	0.2836615741252899	0.07774896174669266	-0.04389993101358414	0.022556578740477562	0.07003559917211533
ENSMUSG00000101537	0.06296031922101974	-0.11058106273412704	-0.2841717004776001	-0.07625226676464081	-0.05384489521384239	-0.09673235565423965
ENSMUSG00000032420	0.06140154227614403	-0.11983625590801239	0.057935409247875214	0.02261914312839508	-0.01884157769382	-0.06279914826154709
