	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	0.005095856730249482	-0.18898625848267162	-0.10546069559507275	-0.19172587220742426	-0.013708381535038611	-0.23425185812666577
ENSMUSG00000103412	0.0011402216352235373	-0.16755426047646024	-0.11609297474633602	-0.29258509720096504	-0.01083633275771114	-0.3103650017467296
ENSMUSG00000034438	0.004525185428679079	0.01680342888373508	-0.01691957266012821	0.3970155463881693	0.019470589141770387	-0.04701018524223301
ENSMUSG00000095296	0.001622566740292597	-0.17500568401477198	-0.0974062818160738	-0.2200455950109275	0.005134672290384691	-0.19183197741330946
ENSMUSG00000102925	0.004858973063943006	-0.0929250975090569	0.012774742356934614	-0.12969840476007363	0.02241238139389273	-0.17574060935003186
ENSMUSG00000021423	0.00025401544977393664	-0.12741801248222887	-0.07869121520506704	-0.03960575131694998	0.009558469840301571	-0.16193518871564888
ENSMUSG00000030345	0.013871883705807442	0.08956437230642718	-0.021113300687075176	0.303579573073553	0.012227119290708731	0.05174214682854395
ENSMUSG00000092035	0.0074813834820151	0.2880455116656419	0.13160720771362514	0.5147892053861316	0.004774688404491911	0.1697337920867931
ENSMUSG00000031465	0.006331049499730103	-0.08128319066591844	0.06013923493065053	0.004197452652544897	0.022673001696572007	-0.09617337257840586
ENSMUSG00000100552	-0.00646049205092533	0.056626193020743176	-0.09877081568477877	0.09061234775626113	0.0024059885941835335	0.18892735578424533
ENSMUSG00000087476	0.0019526734049589434	-0.05312770984460366	0.008690323527191884	-0.049510491254983226	0.010891643727953855	-0.042956666898860636
ENSMUSG00000026240	-0.009162503591213329	0.3129738546002824	0.0830176120486222	0.20957156511787128	-0.005479044827896851	0.27282595060892845
ENSMUSG00000112426	-0.0005585506662920681	0.14107962900796212	0.16005882485731493	0.12024561403418765	-0.032920824781103496	0.09090861417374511
ENSMUSG00000025860	0.019966208497843176	0.2637231217412178	0.06563245734401336	0.485243802076187	0.007077974896266825	0.18869157978162035
ENSMUSG00000096963	0.0002500739314427458	-0.11426399863281528	-0.07197970559215669	-0.1156542194930462	-0.0037955700445504556	0.09093558783656354
ENSMUSG00000038894	0.011387988081641038	0.39886610767310604	0.07773488513884655	0.5147329035211176	-0.00674645530638629	0.31071247840478783
ENSMUSG00000064006	0.003009946888154442	-0.14659901923855315	-0.06951220482668405	-0.19428924602868242	0.0019061518125323973	-0.21333753154134732
ENSMUSG00000098509	0.01129434106821281	-0.09935227056001182	-0.07993219183728292	-0.17179596162407942	-0.011021456164765709	-0.2566006703886134
ENSMUSG00000031147	0.03463385305442079	-0.2033257653995464	0.17244929844062462	-0.16118181301814546	-0.04172848414393804	-0.003095735613799361
ENSMUSG00000021706	0.014346806651921304	0.3466077828410795	-0.025045265805125116	0.27728851611879457	0.009469408790601062	0.3049066271241544
ENSMUSG00000001467	0.010082899588373374	0.38055707057951577	0.04818948899081668	0.49306387947874414	0.008260724497124672	0.31870505085284245
ENSMUSG00000120253	0.0037536191955253595	-0.15462279108575191	-0.013897625459354924	-0.06337861466677988	0.006994567530103128	-0.18609257009840732
ENSMUSG00000078657	-0.0021018837884155817	-0.16340522930032159	-0.10413727568953979	-0.3044510805067837	0.007440010201037091	-0.1973221121092236
ENSMUSG00000100144	-0.15366654610700914	-0.8808634334867345	0.0060722846192349245	-0.8811701817521206	-0.04426658001354777	-0.27041312391351907
ENSMUSG00000120450	0.00491592928124586	-0.08478878387562735	2.5520493808273148e-05	-0.2097749453995166	0.0011409241093690283	-0.10308657405981986
ENSMUSG00000101489	-0.15366654610700914	-0.8808634334867345	0.0060722846192349245	-0.8811701817521206	-0.04426658001354777	-0.27041312391351907
ENSMUSG00000028463	0.03260073120734952	-0.12303409646346236	0.03345297571471966	-0.20001539961414366	-0.024709461750676842	-0.07271777917604096
ENSMUSG00000024295	0.020610610195114298	-0.14229845857214285	-0.007010274940837948	-0.23386510923613618	0.008611524771213852	-0.16593149161480397
ENSMUSG00000102278	0.015897291785758733	-0.06471697085413032	-0.015945236455762256	-0.017611965425983596	0.0014904665504729964	-0.14257692606545316
ENSMUSG00000074776	0.002503179902887509	-0.1597709762970082	-0.0869270102104781	-0.23269719072796616	0.012378103724206438	-0.2019584061501046
ENSMUSG00000097754	0.0034211106620365417	-0.048670092948218314	-0.01863913976093768	-0.004490285458148087	-0.008873000195394146	-0.08124629722633474
ENSMUSG00000021390	0.01065553041063036	-0.0379130247320785	-0.011267724693085856	-0.028153950839861133	0.020467461761319757	-0.13814377323734817
ENSMUSG00000032407	0.015008232404673926	0.47419940733838956	0.06560611066695005	0.7290370821489085	0.0056086108059261175	0.3443158664920148
ENSMUSG00000047352	-0.15366654610700914	-0.8808634334867345	0.0060722846192349245	-0.8811701817521206	-0.04426658001354777	-0.27041312391351907
ENSMUSG00000030512	0.00975285097158205	0.40905024629568726	0.07576791436654529	0.415432693349549	-0.010703559853807665	0.33531275303754865
ENSMUSG00000059043	0.010630846161851488	-0.1713499655849197	-0.07440263375367671	-0.4016345826045938	0.005272657625977062	-0.19213239325150852
ENSMUSG00000115439	0.008498082523565098	-0.17610983111213424	-0.06281893710538627	-0.15253350527823503	-0.00938036324618898	-0.23621436348670846
ENSMUSG00000108935	0.01351007039901929	-0.005822366740688025	0.028253800784194788	-0.018708593150155307	-0.0008495063411344539	-0.15079175858180785
ENSMUSG00000107979	0.006244395800794056	-0.10534390227928253	-0.07664557545414274	-0.15300891404166045	-0.027545220244839796	-0.21855627417119802
ENSMUSG00000071335	0.011564600434475825	0.10240306706581662	-0.00853696059778275	0.2646841112324673	0.004568659976381554	0.15113315731465704
ENSMUSG00000038056	0.011010607760675084	0.42918480820337385	0.02627462609591663	0.5947046156601185	0.013291689153154618	0.3392614890761533
ENSMUSG00000101537	0.012894289390714294	-0.11902013296886642	-0.053732320753343187	-0.21108321269613797	0.01220685810517208	-0.2865784895686068
ENSMUSG00000032420	0.0007083281639496952	-0.02789814522876671	0.028624765907546753	0.07156165947672331	0.014200233342060543	0.11490434538498548
ENSMUSG00000050511	-0.006720428961399988	0.010932602054257414	0.058969009892705565	-0.013750420374202892	-0.012093503484070917	0.1292446558302054
ENSMUSG00000030048	0.028395502326399313	-0.1479991238066275	-0.03810195580705955	-0.2543190048554045	-0.020240630093386277	-0.16178929186427307
ENSMUSG00000057977	0.003556670081413138	-0.058170188968314177	-0.07171198147655561	-0.15967805504140514	0.016675132247146195	-0.1857731104378752
ENSMUSG00000060424	0.018937394042118392	-0.04736193906667593	-0.0982706832308481	-0.10111118854423179	0.013361016037634621	0.0931183295086743
ENSMUSG00000034928	0.04917445060145587	0.5539951911930393	0.18779856464979822	0.41326104876987496	-0.006713440883911348	0.33027933767443285
ENSMUSG00000044378	0.0021705994493840253	-0.1614804348020256	-0.048198580440435033	-0.11152367386695972	0.020449145617256383	-0.21403826385395833
ENSMUSG00000086689	0.005008970967088189	0.14247965614479358	0.058910882233302396	0.475259165256669	-0.017455754574748013	0.17721214364826968
ENSMUSG00000045928	-0.009705263660623896	-0.16221638930399068	-0.10576221179579588	-0.029168412362040135	-0.003948524858918279	-0.20900783200560993
ENSMUSG00000071089	0.008035798597703425	-0.1143109616365313	0.026116430703361223	-0.12487463258284885	0.009960077245895389	-0.1852958826991411
ENSMUSG00000109450	0.0047837266364106346	-0.040885910166858996	-0.025154973691532117	0.013650020976462207	0.014224113759605372	-0.08162197781118542
ENSMUSG00000044982	0.0316361364109099	0.3802612313478575	0.18280468049849563	0.4734315941915403	0.0	0.24219348625571585
ENSMUSG00000063932	0.005619659508237562	-0.13149049229971252	-0.03772532515669343	-0.1868777147749511	0.014534523396776664	-0.14575586941939442
ENSMUSG00000037617	0.013903363896007005	0.14567702350292916	-0.048976754065627195	0.1076861104188987	0.010247452006458269	0.10571479032385914
ENSMUSG00000086564	0.009440111323471667	-0.16038394307505546	-0.05137536126303021	-0.25534505001330465	0.016041600577167157	-0.16050793338879685
ENSMUSG00000038150	0.007742273973924332	0.3735210195548479	0.052956549523446285	0.48730120444564184	-0.009524285046184966	0.2898443099250238
ENSMUSG00000099418	0.004977388120234516	-0.1342475509298174	-0.05764734328040453	-0.21720832428450793	0.005198541161825763	-0.18382027337843504
ENSMUSG00000027977	0.011549825401456212	-0.06266349018823211	-0.06038966427046929	-0.03522479386534891	0.010634145401631757	0.1348863214912323
ENSMUSG00000018507	0.011927910114505993	-0.06222121979060056	0.04217068727369379	-0.043389289942412736	0.0031066783929630665	-0.06990332397960156
ENSMUSG00000038855	-0.0009306446758020502	-0.028105515542882098	-0.012533220915247749	0.03283329709715119	-0.0002387235789540476	0.08802768170017862
ENSMUSG00000042462	0.005897790359664135	0.328301968073754	0.1459037091665601	0.34501736956143386	-0.012835996002866334	0.30501228781300216
ENSMUSG00000020798	0.011934593705406504	-0.10708357608763683	-0.04361896667398934	-0.17513625494473845	0.01849645820651512	-0.1582051021932376
ENSMUSG00000006442	0.04055886994830241	0.47450184749343133	0.16005563645870635	0.5099315183640688	-0.0035858740170928716	0.30873931220453965
ENSMUSG00000048387	0.0032606445325470412	-0.31350487780344755	-0.11781107246320088	-0.33209773129364345	-0.013652981114472315	0.0060178027991897925
ENSMUSG00000020440	0.007046279495675511	0.23027172992744774	0.025746685895589674	0.2374203792080607	0.0041015628195054665	0.2692173876442507
ENSMUSG00000023008	0.009251929304593908	0.3628258751647586	-0.010559656642702975	0.18948466382891	0.012242048250323843	0.25764641722469145
ENSMUSG00000117694	0.04654011466687403	0.43939495457820676	0.12944275897085736	0.6523042971221905	0.022189815938716828	0.28465706692901643
