	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	-0.0032877654302865267	-0.16471564769744873	-0.12449827045202255	-0.1866903305053711	0.0034457065630704165	-0.23228754103183746
ENSMUSG00000103412	-0.01657709851861	-0.1401076763868332	-0.13506335020065308	-0.29290008544921875	0.008105721324682236	-0.29874753952026367
ENSMUSG00000034438	0.00640989700332284	0.020072074607014656	-0.018094627186655998	0.41872742772102356	0.011616161093115807	-0.04384249076247215
ENSMUSG00000095296	-0.0027411477640271187	-0.15488164126873016	-0.11702017486095428	-0.2109798938035965	0.017459670081734657	-0.1883656084537506
ENSMUSG00000102925	0.0023803047370165586	-0.08077335357666016	-0.005287498235702515	-0.10852940380573273	0.02473938651382923	-0.16984400153160095
ENSMUSG00000021423	-0.00027734460309147835	-0.11298660933971405	-0.09732668846845627	-0.02810000814497471	0.017164701595902443	-0.1553082913160324
ENSMUSG00000030345	0.00971404928714037	0.10272425413131714	-0.03089434839785099	0.3162023425102234	0.010167478583753109	0.06296142935752869
ENSMUSG00000092035	0.00047758372966200113	0.314604252576828	0.1178317740559578	0.5377197265625	-0.02042623609304428	0.18722818791866302
ENSMUSG00000031465	0.00862289872020483	-0.07593462616205215	0.047967053949832916	0.025964658707380295	0.021895645186305046	-0.09162800014019012
ENSMUSG00000100552	-0.007019164972007275	0.07384983450174332	-0.11145882308483124	0.1081935241818428	-0.01213102787733078	0.20290975272655487
ENSMUSG00000087476	0.00677189277485013	-0.043868131935596466	-0.002381478203460574	-0.02311740629374981	0.0033867317251861095	-0.0438484251499176
ENSMUSG00000026240	-0.0367463193833828	0.33723053336143494	0.07794801145792007	0.23528063297271729	-0.02767292410135269	0.29871100187301636
ENSMUSG00000112426	0.011124196462333202	0.1419561803340912	0.1523834764957428	0.1628776490688324	-0.05100608989596367	0.08248129487037659
