	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	0.021541692316532135	-0.15818896889686584	-0.44638386368751526	-0.03387384116649628	-0.13463878631591797	-2.01288603420835e-05
ENSMUSG00000103412	-0.04478417709469795	-0.14145074784755707	-0.4899907410144806	-0.06523213535547256	-0.14996501803398132	-0.07119200378656387
ENSMUSG00000034438	0.030020715668797493	-0.09510711580514908	-0.1310747265815735	0.006111164577305317	0.06513310223817825	-0.08875219523906708
ENSMUSG00000095296	0.022480357438325882	-0.15980488061904907	-0.4316287636756897	-0.022793112322688103	-0.09926596283912659	0.015008733607828617
ENSMUSG00000102925	0.03259764984250069	-0.13656127452850342	-0.022992705926299095	-0.015460179187357426	0.01073826290667057	0.013979545794427395
ENSMUSG00000021423	0.030033348128199577	-0.15075713396072388	-0.36431753635406494	0.012513603083789349	-0.07275178283452988	0.048194125294685364
ENSMUSG00000030345	0.02908036671578884	-0.033537186682224274	-0.16653978824615479	-0.015414326451718807	-0.1040133461356163	-0.08361244201660156
ENSMUSG00000092035	0.1347736120223999	0.17232048511505127	0.777357816696167	-0.09785506874322891	0.16627758741378784	-0.031099168583750725
ENSMUSG00000031465	0.035554081201553345	-0.15743198990821838	0.1764402538537979	0.0467866025865078	0.017364753410220146	0.029764598235487938
ENSMUSG00000100552	0.0679885521531105	-0.046016789972782135	-0.5053030848503113	-0.05162569135427475	0.06802486628293991	-0.05278733745217323
ENSMUSG00000087476	0.028564630076289177	-0.14205648005008698	-0.008928021416068077	0.012956581078469753	0.07234904170036316	-0.029058100655674934
ENSMUSG00000026240	0.06132763251662254	0.15266531705856323	0.32076358795166016	0.005947539117187262	0.14905928075313568	0.011820292100310326
ENSMUSG00000112426	0.1649913638830185	-0.013588850386440754	0.6646470427513123	0.028707651421427727	0.1976027637720108	-0.05468413978815079
ENSMUSG00000025860	-0.03638406842947006	0.12876413762569427	0.3243298828601837	-0.06780257821083069	0.11799043416976929	0.009281329810619354
