	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	-0.006905199494212866	-0.19837285578250885	-0.1256202608346939	-0.22560149431228638	0.004244426731020212	-0.2646118104457855
ENSMUSG00000103412	-0.01886441744863987	-0.17169784009456635	-0.13650251924991608	-0.33179429173469543	0.009105718694627285	-0.33437010645866394
ENSMUSG00000034438	0.00509638199582696	-0.016104258596897125	-0.021046826615929604	0.3791818618774414	0.011537831276655197	-0.07260990887880325
ENSMUSG00000095296	-0.0059039699845016	-0.189712792634964	-0.11814451217651367	-0.25031721591949463	0.018306050449609756	-0.21958976984024048
ENSMUSG00000102925	-0.001106597832404077	-0.11257130652666092	-0.00843010749667883	-0.14980199933052063	0.025201037526130676	-0.1994389146566391
ENSMUSG00000021423	-0.0035266990307718515	-0.14782138168811798	-0.09912267327308655	-0.06714004278182983	0.017528031021356583	-0.18558482825756073
ENSMUSG00000030345	0.014436084777116776	0.06241455674171448	-0.03268720954656601	0.27984875440597534	0.009409312158823013	0.028620300814509392
ENSMUSG00000092035	0.0001661012356635183	0.2800405025482178	0.10838058590888977	0.5005399584770203	-0.018542509526014328	0.15801730751991272
ENSMUSG00000031465	0.005171515978872776	-0.11162236332893372	0.04407674819231033	-0.01344788447022438	0.022295499220490456	-0.11841931194067001
ENSMUSG00000100552	-0.003454547608271241	0.0334634892642498	-0.11522373557090759	0.06964696198701859	-0.010450895875692368	0.1715293824672699
ENSMUSG00000087476	0.006670602597296238	-0.08251775801181793	-0.005829180590808392	-0.062489595264196396	0.004528627265244722	-0.07225291430950165
ENSMUSG00000026240	-0.03245241194963455	0.302939772605896	0.06968435645103455	0.19671159982681274	-0.025387678295373917	0.2644219398498535
ENSMUSG00000112426	0.007295717019587755	0.10834962874650955	0.14337560534477234	0.12437376379966736	-0.04757203906774521	0.05516061186790466
ENSMUSG00000025860	8.886140130925924e-05	0.2492210417985916	0.058963075280189514	0.4543260335922241	-0.005900111049413681	0.1858062893152237
ENSMUSG00000096963	0.008834629319608212	-0.14101628959178925	-0.08821973949670792	-0.13202913105487823	-0.013937477022409439	0.0640302449464798
ENSMUSG00000038894	-0.016074063256382942	0.3995983898639679	0.06841184198856354	0.4901062846183777	-0.028964096680283546	0.3057797849178314
ENSMUSG00000064006	-0.005957829300314188	-0.1587507575750351	-0.09361366927623749	-0.22242189943790436	0.015358725562691689	-0.24126644432544708
ENSMUSG00000098509	0.0021568869706243277	-0.10670461505651474	-0.10378854721784592	-0.20331421494483948	0.007029758300632238	-0.2906174659729004
ENSMUSG00000031147	0.03770676255226135	-0.22859033942222595	0.1515323370695114	-0.1713457852602005	-0.04773595184087753	-0.03164562210440636
ENSMUSG00000021706	-0.002697399817407131	0.34487974643707275	-0.041355349123477936	0.24607829749584198	0.0071489145047962666	0.2856898009777069
ENSMUSG00000001467	-0.01597360149025917	0.3823474049568176	0.04153525456786156	0.4594370126724243	-0.007421018555760384	0.31110408902168274
ENSMUSG00000120253	-0.005833929870277643	-0.17163728177547455	-0.035766612738370895	-0.08918723464012146	0.016914349049329758	-0.20956262946128845
ENSMUSG00000078657	-0.00863032229244709	-0.1809215396642685	-0.12390130013227463	-0.3361411392688751	0.023687828332185745	-0.22590099275112152
ENSMUSG00000100144	-0.23732443153858185	-1.0459176301956177	0.12597811222076416	-0.9742252826690674	0.05073370411992073	-0.23138195276260376
ENSMUSG00000120450	0.007106744218617678	-0.11076292395591736	-0.018621210008859634	-0.2216966599225998	-0.006523203104734421	-0.1289007067680359
ENSMUSG00000101489	-0.23732443153858185	-1.0459176301956177	0.12597811222076416	-0.9742252826690674	0.05073370411992073	-0.23138195276260376
ENSMUSG00000028463	0.0337473601102829	-0.1484096199274063	0.02068260684609413	-0.2113298773765564	-0.0376955084502697	-0.09924782812595367
ENSMUSG00000024295	0.017584040760993958	-0.1547057330608368	-0.02614615112543106	-0.25066065788269043	0.0005879388190805912	-0.19437266886234283
ENSMUSG00000102278	0.014350001700222492	-0.08677789568901062	-0.03901056945323944	-0.04284513369202614	0.01277921348810196	-0.16978898644447327
ENSMUSG00000074776	-0.005789684131741524	-0.1720079779624939	-0.10926297307014465	-0.2603740394115448	0.022359393537044525	-0.2292269468307495
ENSMUSG00000097754	0.008283291012048721	-0.07765217125415802	-0.040245361626148224	-0.029316389933228493	0.0018022229196503758	-0.10919922590255737
ENSMUSG00000021390	0.009758209809660912	-0.06283657997846603	-0.032014213502407074	-0.048303402960300446	0.023006649687886238	-0.16179613769054413
ENSMUSG00000032407	-0.011017723008990288	0.4874805510044098	0.056904248893260956	0.6865400671958923	-0.008431864902377129	0.33447030186653137
ENSMUSG00000047352	-0.23732443153858185	-1.0459176301956177	0.12597811222076416	-0.9742252826690674	0.05073370411992073	-0.23138195276260376
ENSMUSG00000030512	-0.02202872931957245	0.41279879212379456	0.06611490994691849	0.39743897318840027	-0.034107837826013565	0.32656654715538025
