	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000115816	-0.0008471867186017334	-0.14793336391448975	-0.11869989335536957	-0.16594964265823364	0.0028823954053223133	-0.2147015780210495
ENSMUSG00000103412	-0.014950457960367203	-0.12440037727355957	-0.12919646501541138	-0.27188581228256226	0.007402932737022638	-0.27947524189949036
ENSMUSG00000034438	0.009552260860800743	0.03813343122601509	-0.014211083762347698	0.44077640771865845	0.011994116008281708	-0.028572289273142815
ENSMUSG00000095296	-0.0003540563920978457	-0.13746732473373413	-0.11138001084327698	-0.19014972448349	0.01690075546503067	-0.17129382491111755
ENSMUSG00000102925	0.005189958959817886	-0.06493257731199265	0.001490717870183289	-0.08742132037878036	0.024601152166724205	-0.1534578949213028
ENSMUSG00000021423	0.002495831809937954	-0.0956607311964035	-0.0915408730506897	-0.007548147812485695	0.01694462262094021	-0.13874036073684692
ENSMUSG00000030345	0.010198673233389854	0.12297993898391724	-0.027580296620726585	0.33607348799705505	0.011024761013686657	0.08096320927143097
ENSMUSG00000092035	0.004303057678043842	0.3317074477672577	0.12481580674648285	0.558102548122406	-0.020664863288402557	0.20195594429969788
ENSMUSG00000031465	0.012046885676681995	-0.05797629803419113	0.05470218509435654	0.046100009232759476	0.02179868519306183	-0.07699931412935257
ENSMUSG00000100552	-0.0056734210811555386	0.09425592422485352	-0.10661667585372925	0.12870463728904724	-0.012462339363992214	0.2189204841852188
ENSMUSG00000087476	0.009149137884378433	-0.024433694779872894	0.003616777015849948	-0.0029716237913817167	0.003064861986786127	-0.028697697445750237
ENSMUSG00000026240	-0.03554239496588707	0.35448315739631653	0.08435355126857758	0.25553232431411743	-0.02769370563328266	0.31640249490737915
ENSMUSG00000112426	0.016332244500517845	0.1585664302110672	0.16096995770931244	0.18261651694774628	-0.052523430436849594	0.09663949906826019
ENSMUSG00000025860	-0.003139521460980177	0.30606696009635925	0.06747302412986755	0.5114169716835022	-0.005865155253559351	0.23817098140716553
ENSMUSG00000096963	0.008161232806742191	-0.07447252422571182	-0.08066244423389435	-0.07217381149530411	-0.016633620485663414	0.10506131500005722
ENSMUSG00000038894	-0.018665838986635208	0.4509696960449219	0.08071637898683548	0.5497670769691467	-0.03152403607964516	0.35921305418014526
ENSMUSG00000064006	-0.0003835221868939698	-0.10917841643095016	-0.08603415638208389	-0.1614447832107544	0.014215435832738876	-0.1922084242105484
ENSMUSG00000098509	0.007736921776086092	-0.061150360852479935	-0.0956791490316391	-0.14230123162269592	0.005465090274810791	-0.2376914620399475
ENSMUSG00000031147	0.04992916062474251	-0.1678367555141449	0.16630657017230988	-0.11413110047578812	-0.05234667286276817	-0.00038185997982509434
ENSMUSG00000021706	-0.00899781659245491	0.40056076645851135	-0.03397988900542259	0.3020533323287964	0.008700638078153133	0.3430250287055969
ENSMUSG00000001467	-0.019519055262207985	0.43476009368896484	0.051750119775533676	0.5188367366790771	-0.008164133876562119	0.3649832606315613
ENSMUSG00000120253	0.0011732785496860743	-0.12154287099838257	-0.02692774496972561	-0.028130684047937393	0.016629749909043312	-0.1646571159362793
ENSMUSG00000078657	-0.004907507915049791	-0.1275566816329956	-0.11768200993537903	-0.2763049006462097	0.021519798785448074	-0.17525823414325714
