	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000049106	0.06404215286761773	0.1202079409433276	-0.30708287737348616	0.028370541803477298	0.12573455829592878	0.013733767270087155
ENSMUSG00000062822	-0.39796752682163034	-0.0961657124353581	-0.7167226209397819	0.30172114489967244	-0.3412849624366434	-0.0007926094183827725
ENSMUSG00000025261	0.08421702710340497	0.2358034721785873	0.1529130354975886	-0.023898508786539985	0.1555263732070057	0.06543565540825773
ENSMUSG00000026826	0.20155857010191366	0.13126511235052568	0.5785188754423811	0.09363338864871408	0.2033057702258326	-0.04941719234772535
ENSMUSG00000049123	0.07780789388194032	-0.07704202439131455	-0.09593771396798888	0.03704265709822128	0.011890167866894064	-0.07543182166951388
ENSMUSG00000039509	0.11118607092435275	0.3251119109118014	0.41241250535527235	-0.0003746050025505987	-0.020026465328272677	0.06224881611963122
ENSMUSG00000021730	0.06338957397121955	0.06120988015450268	-0.24012632742766252	0.005313940501747466	-0.027467623579364775	-0.01730780536216288
ENSMUSG00000097447	0.1151055041931292	-0.06881736285048867	0.033021697459502314	-0.12560100653493625	0.06680877806612683	0.04439959194588536
ENSMUSG00000025774	0.04770437934450526	-0.06769968047523425	-0.2238265205454166	-0.10949589985292432	-0.11721407958353325	0.007259192405158377
ENSMUSG00000110250	0.03877260214203521	-0.051873116874479167	-0.38689089867222753	0.05002570266429544	-0.02362322956887547	0.07075940135314626
ENSMUSG00000054967	0.1253021484379903	0.17886597271070015	0.24234846286770048	0.1096945420197222	0.20632534510420936	0.001405561898212282
ENSMUSG00000091509	0.12315533030312534	-0.05299854841968692	0.0641152430288678	0.047983705757939324	-0.009929404599980651	0.08264329946124338
ENSMUSG00000031834	0.26862913348699524	0.25139436560880113	0.7002320827243026	0.12579020334432012	0.24186377008771956	0.035421550782802846
ENSMUSG00000074505	0.02307590959187278	-0.09437732848833434	-0.34353485138208967	-0.017731686718035853	-0.03698976943510305	-0.05900676328857497
ENSMUSG00000043421	0.2342076796675641	0.11358779927060031	0.8224710240508271	0.06830342524280686	0.097522993254375	-0.03498573946997863
ENSMUSG00000025223	0.3525730133711937	0.14675187512120724	0.8275463229377406	0.08770292639912863	0.24594012538185844	-0.04442291281745381
ENSMUSG00000074899	0.10118016193937449	-0.06848753931358059	0.08596507342458981	0.021443449670970182	0.12948254591841474	0.06169689440024634
ENSMUSG00000121000	0.09594803443118814	-0.02072547116736695	0.22788786463163344	0.05080204520931123	0.035534194468294464	-0.10844161342148761
ENSMUSG00000039943	0.06646600326921985	-0.07850467824260349	-0.1362008580452293	-0.07293130625113661	0.006630046426600117	0.03745784413312879
