	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000031563	0.00403497531456809	0.4989539401113951	0.012881140031528371	0.6006156530297887	0.0046406581581731245	0.37141391283972963
ENSMUSG00000056917	0.02371761643631891	0.05896374271723934	0.02999866687082916	0.05286089060271925	-0.07776175579469807	0.08599801152705122
ENSMUSG00000024766	0.008154786606157538	0.28405606749155593	-0.03156926593671106	0.5216495198612991	0.010891474597923449	0.22132656605276185
ENSMUSG00000085929	0.06776972998403105	0.3891508165501117	0.15329222283146834	0.5012047051129711	-0.09166210582943268	0.14585236203085036
ENSMUSG00000066036	0.004296098195792242	0.5616145710882886	-0.016681960728694954	0.4999256974154815	0.012395544023780337	0.3464131172644356
ENSMUSG00000008690	0.015747033794392944	0.5995645830929691	0.0898494906805484	0.6235515197640615	-0.036027908120864094	0.3208302425595471
ENSMUSG00000078752	-0.008908840634992712	-0.1433359016143872	-0.041409310372061255	-0.2182706233080159	0.013170380130230197	-0.1677912262404042
ENSMUSG00000086003	0.0551449722087816	0.046638685970346816	0.12356845378232836	0.23826074300297162	-0.06782369576243091	0.028690631765638564
ENSMUSG00000055313	0.007270826336239433	0.1446168220868985	-0.040899256166063415	0.3317436153971896	0.03484364560761565	0.1698650060295658
ENSMUSG00000114206	-0.009071966475771093	-0.1184184604189843	-0.08170918872163013	-0.16906042548081346	0.029583596427215864	-0.16957963589880393
ENSMUSG00000049288	0.00012901482967420108	-0.8062241069769345	-0.018249521800182588	-1.2719487681501	0.016680973194885408	-0.23006388521358462
ENSMUSG00000021268	0.0042939413957441275	0.258320558253306	0.049976938552165055	0.5592112667788094	-0.025144350951267318	0.1854984049755532
ENSMUSG00000054142	-0.012071122228038125	-0.11289631355964569	-0.11319098569171852	0.007521597288210391	0.043086899671830096	-0.1330129448432124
ENSMUSG00000101880	0.01151827057727095	-0.04668407914467127	0.02998188143915514	0.25808441264201354	0.03928285709087194	-0.0854791385731931
ENSMUSG00000111503	-0.002241051380514558	-0.11505778352596538	-0.0747248112872773	-0.2677634934482476	0.012381759385807352	-0.19944812511055549
ENSMUSG00000051980	-0.014736775034213237	-0.1664574979802179	-0.07411786447186168	-0.08759768153809784	0.020610528046197285	0.09854625963636506
ENSMUSG00000025503	0.011251420747500148	0.3518544862819621	0.029763809286991433	0.4354263840350594	-0.010406394068815716	0.2792469739603868
ENSMUSG00000026637	0.005964563062362649	0.083360971342135	-0.07314152827556557	0.07613885728274092	0.018347497097581846	0.1597276294331625
ENSMUSG00000116953	0.024810793399938275	0.6360255162903808	0.12556835269553443	0.7780655528177203	-0.04621494960840722	0.31211108385331604
ENSMUSG00000021314	0.006786639213420265	0.19471023816507882	-0.052166881108672236	0.03206831279654028	0.027198156168404347	0.28788879102888193
ENSMUSG00000042271	-0.0048758192825981705	-0.09037835769633859	-0.07870908147426886	0.2453921358595018	-0.01436497614553862	0.06737991943982544
ENSMUSG00000063511	0.019224341098298677	0.6301783743275248	0.10416099243347203	0.6370498471868427	-0.036059961935428264	0.3085226184424847
ENSMUSG00000020361	0.02761589269627159	0.7069147462868268	0.07724178592446987	0.8063344240326404	-0.022520835666887118	0.32198186918355076
ENSMUSG00000094763	-0.013832679632676495	-0.15617475284640744	-0.07744026575201249	-0.17816314307281783	0.006478614934603999	-0.19562391988951774
ENSMUSG00000120913	0.030888402155938854	0.19639182827509716	0.023851910654776202	0.5047293608232541	-0.03953685054820044	-0.06479912857734527
ENSMUSG00000021256	0.013917263052650841	0.20846412903372888	0.05769102475433137	0.0898750210036237	-0.056184071862929744	0.19770432127753942
ENSMUSG00000035847	0.04020932122019124	-0.008134653807406744	-0.0435913781642421	0.28001996579914534	0.004975080423223624	0.08725883007011868
ENSMUSG00000058979	0.0029266547379541426	0.337116057084776	0.02965598592964678	0.24764347737847608	-0.0008226860452597018	0.3588778736992084
ENSMUSG00000091311	0.05878068784779356	-0.04474433525968	0.09224703782238057	0.3232402663778409	-0.005736031561155097	-0.038206920153337855
ENSMUSG00000074733	0.007832116521557353	0.20434824170832672	0.0733929946125072	0.2855077624968068	0.014152735010292615	0.2354340190853834
ENSMUSG00000000339	0.0057891569830736955	0.31893907060887905	0.03879773771844283	0.3372159552050221	0.009399577451154072	0.2645399799966769
ENSMUSG00000121818	0.04282120257521003	-0.09563567818049207	0.035318347481243205	-0.06426246520998512	0.030501912060395674	0.03632120394713669
ENSMUSG00000071719	0.06140461012002462	0.10776968935461677	-0.034664867080989925	0.19107418414826913	0.024222517976121474	0.2539720451569776
