	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000038156	0.040060327887435083	-0.12792307794825136	-0.22876623259320575	-0.0011618374727481173	-0.023625296494403786	-0.06303557107956533
ENSMUSG00000040365	0.278343769857753	0.3328576906746773	1.1676324027420133	0.029197727131521578	0.09730783247830795	0.08762885918601625
ENSMUSG00000038736	0.08361669408686827	0.2227343540107661	-0.12079126074963087	0.08601264297005497	0.1489517914492396	0.04025180962793451
ENSMUSG00000026162	0.09055580508877174	0.19629011424839515	-0.04727527816044248	0.04940939349318725	0.033069261442072145	-0.008617439178202624
ENSMUSG00000028557	0.09303064002487722	0.10389096441119934	0.12651864630907897	0.08374927249442164	0.10664055034695043	-0.025595514685650023
ENSMUSG00000027273	0.04977245237399982	-0.05479216992597732	-0.1644326660932981	0.03961273869954218	-0.10502671212878756	-0.08190149585458616
ENSMUSG00000042410	0.10295138074460917	0.18672415588198177	0.3496365289670784	0.08655263780735145	0.08632796543836646	0.024633721951992538
ENSMUSG00000021180	0.09673943572180191	0.21939999799157198	-0.0004954296144821235	0.0582353020811646	0.004656678459889945	0.0030164044655819405
ENSMUSG00000019590	0.09885887101291005	0.12220623021706317	0.11999840995909679	0.10448035969692082	0.1917579832063741	-0.012042272591111458
ENSMUSG00000092429	-0.03593546728738243	-0.07724860816573019	-0.1522533473089041	-0.0767639227167686	-0.1435988641429413	0.00590871538524701
ENSMUSG00000046456	0.13294315236767443	-0.06023755664361852	0.260203641994037	-0.10876938001996198	0.1681955738102577	0.03804527419576818
ENSMUSG00000066440	0.08411354684404093	0.14813056919638032	0.06588671360504676	0.0006288897405628546	0.040220852609363825	0.026364269100281553
ENSMUSG00000064121	0.05849250381571702	-0.10213589295495026	0.028459088928150605	-0.07369890483948069	-0.034445004849813825	0.04928476209096572
ENSMUSG00000028568	0.11223903743880452	0.2862229550703532	0.7529133896257506	-0.21079517335921194	0.067571682808501	0.09157833874799225
ENSMUSG00000085664	0.05672627541771859	-0.08049023739068073	-0.20028729132851045	0.003026148111606952	0.07290975191121582	-0.07447781997057273
ENSMUSG00000085852	0.04707665690289079	-0.10163803094617302	-0.07007834346652506	-0.046413095909400875	-0.013323322164148554	0.037160184897876106
ENSMUSG00000028528	0.08703675189352149	0.07264146445894826	-0.02258449103828014	0.09368116098413197	0.12429602372200561	-0.03014963182195851
ENSMUSG00000023106	0.11157143624690606	0.1998122244463839	0.39761460445381175	0.024531253694457012	0.13430781231573408	0.013934700161788993
ENSMUSG00000026878	0.11684658932053978	0.059248559700194124	0.29610968396754705	-0.04769911935857695	0.09869463881303757	0.012607396509746738
ENSMUSG00000027384	0.09181147474160056	0.2193199187815087	-0.01866358704808979	0.05976764723644104	-0.02838209306314383	0.027861769150211383
ENSMUSG00000021069	0.05190599244395996	-0.0876776423659999	-0.16891674974915036	-0.09223661035673252	0.10177208830107298	0.0355473117099962
ENSMUSG00000086160	0.05204886921968182	-0.08354841753696467	-0.273526517179581	-0.09532230062858638	0.049419998965673055	0.024264239838125756
ENSMUSG00000003161	0.08496847773402239	-0.06684911330418412	-0.11836836667487083	-0.12083164374404591	0.1994027261835497	0.03514447568602219
ENSMUSG00000087379	0.0777714762378828	-0.08963463370452829	0.49287769036558093	-0.12637500064039167	0.0294308099659088	-0.03416614801588829
ENSMUSG00000021576	0.08984803855599369	0.168694326262049	0.06005309751736367	0.077209343446865	0.05872084190675254	-0.0003959997503276691
ENSMUSG00000087120	0.23735026364599335	0.33955711090962487	1.0670362007561476	-0.15044040404618197	0.15812745790562988	0.06794219526500712
ENSMUSG00000087084	0.05752029822070691	-0.1054891168888544	-0.27062000697019184	-0.015020979430427541	0.03414187134230221	-0.0005099280721810873
ENSMUSG00000031391	-0.05993941031455196	-0.06643075482119859	-0.16992908635925127	0.01622749093315179	-0.11570307045299802	-0.062474958698379345
ENSMUSG00000020340	0.0707858715574205	0.029692889772248328	-0.1708841437578035	0.005896737915648029	0.052821276981326645	-0.025989884546663854
ENSMUSG00000021268	0.10921196234903546	0.05219927351737372	0.3577537603300443	0.07135950421730425	0.1826171090974807	-0.06173315982776695
ENSMUSG00000107645	0.06121823505103241	-0.062007957469365826	-0.2510118906014142	-0.07825767856961215	-0.13845815259164368	0.019952091979479447
ENSMUSG00000017288	0.08614281277688772	0.14125965746893607	-0.013721607055959123	0.05563606606433767	-0.05518552095337153	-0.00270345095531499
ENSMUSG00000032446	0.20589853381037668	-0.01653041801088173	0.5955515883558609	0.06620800263954293	0.12802091884907726	-0.07071376564368956
ENSMUSG00000036913	0.10937076644972377	0.14767154460477416	0.2942610255444876	0.09716556431757017	0.15073368911729995	-0.010932070072085853
ENSMUSG00000019528	0.06807904310805962	-0.015814634507411218	-0.11587595305799832	0.0399892773136121	-0.01970922196479422	-0.06794269676077784
ENSMUSG00000066621	0.09411417324923962	0.11993596361889684	0.1673921737058392	0.036190622049580824	0.10876254375127142	0.008794999295580475
ENSMUSG00000032327	0.05835693431479704	-0.12245674401763232	-0.13835628975653233	0.007737706421266172	0.06541940640199338	-0.08329832315287396
ENSMUSG00000027793	0.04361426017185238	-0.06368153709334005	-0.23174117394871768	0.03939555301738701	-0.07638786775287859	-0.07672212671958661
ENSMUSG00000097393	0.05477701553841487	-0.11510381916846264	-0.04624890483219878	0.028368959234548102	-0.0005236901878910016	-0.09450966078403242
ENSMUSG00000027227	0.09314394187070701	0.10829929082133719	0.2107612879300142	0.020139932417408038	-0.03253858326419812	-0.03742316074381491
ENSMUSG00000030057	0.398019850095827	0.29874102186386103	1.0897748224719133	0.0670302830995689	0.3171679009806459	0.03456520661034812
ENSMUSG00000001095	0.11867180614671503	-0.03573881208294827	0.2236257988737475	0.06798057688355871	0.1176284124397605	-0.1270181582030556
ENSMUSG00000028243	0.06927250617260698	0.10086466076901754	-0.16563060061328014	0.06604159892987727	0.02427970596608865	-0.019645731993789217
ENSMUSG00000089664	0.09120205947074528	-0.08613958483811072	0.1307561782975398	0.04889236789603139	-0.060542149375277306	-0.03234230316789008
ENSMUSG00000032952	0.08961746609056058	0.20228409545262677	-0.0364417419792748	0.07895385583009171	0.0642807496321846	0.02694310941046083
ENSMUSG00000118518	0.31856713475384635	-0.04207443957843093	0.8178048488964846	-0.08961167654236171	0.08799074699787694	-0.08051260464082768
ENSMUSG00000074916	0.10057194947973114	-0.031994557170328175	-0.04707282694360523	0.03989227738056275	0.07390114190277673	-0.06253298546468186
