	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000026237	0.16550703753188004	-0.07718997406156565	0.32821448718446977	0.04640378740353018	0.08215669571751473	-0.03584036155359205
ENSMUSG00000042660	0.12937319824304663	0.17061291556996125	0.3981540402049906	0.10926312488706837	0.1622710183990006	-0.01901983418262354
ENSMUSG00000032567	0.1259651532901722	0.21239463157213662	0.5984562172006966	-0.007248532588586521	0.08200696586966258	-0.004867340473226456
ENSMUSG00000022456	0.14092460697043768	-0.04554778338909864	0.1827386001890728	-0.022181790881397656	0.15597277843063892	0.029830008721348972
ENSMUSG00000014232	0.0766291920745175	0.1183244517203132	-0.07536086147360192	0.0612770271765602	0.0018541193305204873	-0.04643360756824995
ENSMUSG00000009741	0.13981690241098693	0.21426342465879578	0.21994212372380828	0.12396654524902652	0.20888548969247112	0.006634242487462916
ENSMUSG00000115353	0.10936805039701933	-0.0512947279856534	0.07481621860875311	-0.08332713551459714	-0.03351613390430338	-0.002544476654346761
ENSMUSG00000022661	0.014291517409653676	-0.07890892737476543	-0.2013734588142098	-0.005260168638518001	-0.07213801414547771	-0.042439718537068884
ENSMUSG00000072847	0.13933618005664408	-0.027897395942887968	0.44207794176553006	0.06722797935107415	-0.013348946590186483	0.11568467535962754
ENSMUSG00000005718	0.2737075797538393	0.25521761707770124	0.8895945069348382	0.09020210740541605	0.27775151261194747	0.005565126857071778
ENSMUSG00000072676	-1.421637206542225	-0.08115411257596261	-0.9642434583903211	0.11100512540376029	-0.3168404917101004	-0.08648615523871672
ENSMUSG00000051980	0.05657584539348529	-0.07451750444654212	-0.15680167405372997	-0.012511859530121992	0.007856736955541593	-0.052216174854000305
ENSMUSG00000022445	-0.37002336003125463	-0.037598823476923955	-0.43658531013390417	-0.022091749689671335	-0.17337700247891868	-0.014081062573892744
ENSMUSG00000041372	0.16688810221569475	0.23662509985463084	0.5099462800491941	0.10000108925483947	0.16583185467669373	0.022312076662118985
ENSMUSG00000048758	0.49158506184447964	0.1565825881508129	0.8880234272150264	0.134101655341055	0.2567407841334989	-0.0001987807037548972
ENSMUSG00000020823	0.15122067755578206	0.1825279200745416	0.21593450207013706	0.1388064847837103	0.2293862629440769	-0.0004624029581848932
ENSMUSG00000085614	0.07232195631872955	0.16929947283590668	-0.1529371839916595	0.030906465591628778	-0.11787844445679391	-0.003668400933326401
ENSMUSG00000071424	0.050714619693443166	-0.05763792833881723	-0.03624044051411513	0.021063624759845908	0.0005686130051610061	-0.10157338939194466
ENSMUSG00000095334	0.2835232963787384	-0.05607404128171424	0.508421958303795	0.05740321344441692	0.19321520292267824	-0.02423644733435326
ENSMUSG00000027840	0.08458833564407091	0.0184994536057882	0.06989986724877621	0.013903666670783105	0.06989900775792669	-0.05354082197553774
ENSMUSG00000117542	0.1015759966593086	0.11139608945295842	0.035112724168614905	0.06176996022681893	0.012454027730167239	-0.06003284255778645
ENSMUSG00000054381	0.19181729679923307	0.12553137214745835	0.34133431674139764	0.09378742726797433	0.20729149190911925	-0.04121004437555498
ENSMUSG00000121743	0.1182014964102717	0.09924873448614835	0.2724491606196301	-0.06496172209684681	-0.061852447166876046	-0.0677211103897812
ENSMUSG00000027229	0.1010349571207113	0.087861538389729	0.13432836423678887	0.051361660310587684	-0.05639542610287846	-0.03953438259352049
ENSMUSG00000034653	-0.07805145633791567	0.1407627462514193	-0.40508635034507867	0.10762404215449783	0.14420982630633086	0.07395651186995066
ENSMUSG00000101026	-0.020747611108784612	-0.04772587255401453	-0.2238031595158371	-0.07209604907508389	-0.1026574833433099	0.012578627951904953
