	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000116645	0.08370238674903034	-0.06187963769703975	0.2785213822105261	0.07558019287601163	0.0687414821825121	0.1322316338219638
ENSMUSG00000037007	0.09135788050332423	0.2611584037637689	0.01104204693348656	0.05280873059595641	-0.06742740107061153	0.0029793561971745985
ENSMUSG00000022462	0.22846925547721003	0.26922289289872525	0.922484885274275	0.020182582920036163	0.2648717639484892	0.030659417099789234
ENSMUSG00000121853	0.08300930978843678	0.15114990073917156	-0.04543015642051492	0.05355249199874301	-0.09205256903864055	-0.021631710347794098
ENSMUSG00000020770	0.15978943374832055	0.2599477370660897	0.6819491920779726	-0.03751841125485833	0.13014019430501603	0.03946226647907753
ENSMUSG00000039055	0.1413341413970249	0.2723794651205619	0.6630747944435971	0.027809821771831222	0.07120450870210736	0.058471178771156575
ENSMUSG00000110468	0.08790128282179098	-0.05983377474149393	0.16824755859284485	0.06794989200398988	0.039451314574579475	0.09883322355753406
ENSMUSG00000018845	0.12728896315517793	-0.07913575021929851	-0.03771618868615721	-0.09024135927757669	0.17998305596486971	0.03657732350089078
ENSMUSG00000085325	-1.4606046089942113	-0.09848653411491318	-1.0390861773722577	0.1114664858983927	-0.3485230221186861	-0.10256440223199854
ENSMUSG00000017064	-0.01589382568756228	-0.10436180215479107	-0.27510153501520757	-0.10081979194465983	-0.12488550667773606	0.01967629099964685
ENSMUSG00000039200	0.09954679276779194	0.1002795143740546	0.28771202206869706	0.08111375789779975	0.0891854875987112	-0.02353756269175733
ENSMUSG00000115099	0.07383085912449712	0.18467312261817148	-0.19009422643113422	0.04881602853082608	0.05990432522300269	0.005988991888048328
ENSMUSG00000054555	0.03619520681064484	-0.11054950188311984	-0.2957642142406589	0.014202168810564963	-0.035804927351955174	-0.07944855973383323
ENSMUSG00000029404	0.21348759577650875	0.165492786284705	0.6435577074041713	0.09962741084125586	0.1298212076161818	0.03579109130486979
ENSMUSG00000116920	0.011689744045719819	-0.07601835603796016	-0.28923797404450513	-0.08114407396864869	-0.025591515003654454	0.01498043396001936
ENSMUSG00000051022	0.016239888370963764	-0.08371805485823429	-0.3225738537421621	0.03435731662717826	0.0757407675647268	-0.006939218992914831
ENSMUSG00000037058	0.20347296906405685	0.21700662460606104	0.7761578117281782	0.054229524939447576	0.14782481086545932	0.022874809139401098
ENSMUSG00000099723	-1.4606046089942113	-0.09848653411491318	-1.0390861773722577	0.1114664858983927	-0.3485230221186861	-0.10256440223199854
ENSMUSG00000002791	0.08799437144350244	-0.007207616944008954	0.03579414617657353	0.03745571845449455	0.03889258038047451	-0.05101976142813781
ENSMUSG00000025431	0.03775063931674422	-0.07737839561464083	-0.26713267027902743	-0.06906944954991541	-0.11443361567856786	0.04316456962602731
ENSMUSG00000039364	0.07612225109731133	-0.08383007769055027	-0.21278601613267614	-0.12812115202621152	-0.08022861668583213	0.018562152760545014
ENSMUSG00000026398	0.1375118329247715	-0.06728567566613836	0.3641748780235456	-0.08742748625511382	0.13611354573956125	0.03031678634818441
ENSMUSG00000028064	0.1294710217787084	-0.07259299940344194	0.2537645365787521	-0.09280497137241578	0.17577120974972157	0.06213313620875314
ENSMUSG00000024127	0.09215448414245679	0.254985251060066	0.053199130144766064	0.06768092470324152	0.01564410322600074	0.03447693056497706
ENSMUSG00000084937	-0.058940185256405014	-0.08676914657484103	-0.32849579727382533	-0.05907714961873774	-0.15300202139948252	0.020390697804792635
ENSMUSG00000034854	0.03784070551181779	0.056308076894688044	-0.050298887672880876	0.12717782650325274	0.23748796580271825	0.05374516837703674
ENSMUSG00000022020	0.09953876763629448	0.2155951297421355	0.2747378492111501	0.07612542437037201	0.0742789749360324	0.01902443469527182
ENSMUSG00000039539	0.029565868266315985	-0.11447499154431966	-0.16948082914402077	0.010530437279768323	-0.052284187975781625	-0.057177650622060525
ENSMUSG00000040667	0.15845250658186524	0.25740900758044954	0.8452061594660245	-0.0576106254505615	0.08696269045324277	0.06066047135492766
ENSMUSG00000110634	0.08196106176389724	-0.0684004084085541	0.000561937989403849	0.11727647377426687	0.06832031068783759	0.032644652183066204
ENSMUSG00000029403	0.0865906883618086	0.20105241871275867	-0.08597325862576916	0.050078278403886435	-0.06628501845498502	-0.0028138998342567
ENSMUSG00000050966	0.3644299508678359	0.10677633625063028	0.9014082362423994	0.07768675566040117	0.21971404565634378	-0.04221366708577334
ENSMUSG00000036641	0.06834559301629459	0.17403616029712127	-0.2475479289719978	0.06263601387673798	0.00021251241762057504	0.017630847010433947
