	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000037343	0.005158212894961864	0.35862046524778024	-0.01442839679779806	0.4336051214709823	0.028729163417868978	0.2985011989545646
ENSMUSG00000048939	-0.03391504552874596	-0.2978427909918324	-0.06463412712440342	-0.262904078120214	0.018047542106480408	-0.2412069387381142
ENSMUSG00000041645	0.0025089375784928315	0.3815091085682609	0.0204993394391453	0.44641237277057216	-0.0005794177334141892	0.2475145831100069
ENSMUSG00000026826	0.018333812013412665	0.3522020008545959	0.08255745074048677	0.5014238479889178	-0.0664032711830027	0.24203551293168765
ENSMUSG00000069135	0.0008112670795539234	0.40136416124597313	0.010384657662594618	0.4724078750179006	0.0061686229603392035	0.323752204731542
ENSMUSG00000005980	0.00960966123298819	-0.09639967193223058	0.020319262627583462	0.024579639390356015	0.05560603255170978	-0.10816736449312125
ENSMUSG00000022123	-0.007087261775054032	-0.15889756871307759	-0.05078198429334479	-0.23285752886091093	0.023718643076227	-0.1262458024760638
ENSMUSG00000113907	0.008159774659423968	-0.1533962729399361	-0.012106045518212318	-0.2547025074263012	-0.01996294359322279	-0.15839283646792696
ENSMUSG00000035342	0.14742690485255586	0.14958410967215977	0.0013064742723993827	0.24828277178723637	-0.006045969636340885	0.23905527395960377
ENSMUSG00000109394	-0.022949547088372907	-0.23306179988765935	-0.06998554752330073	-0.2725011532758523	0.009604475030686843	-0.25229558038881966
ENSMUSG00000006219	0.09229412836982065	-0.16409148068668555	0.11536035882142763	-0.09028288700882377	-0.189036672814591	-0.133235045716196
ENSMUSG00000106447	0.00025901091326663295	0.3707691037621046	0.00034761100685060835	0.277298257133198	0.0065979915911971955	0.2852742080815987
ENSMUSG00000031824	0.004998121517029941	0.24986803279413475	-0.023922653668751796	0.11066630356355987	0.021031483235712422	0.18099668208812672
ENSMUSG00000111422	-0.012023220437781885	-0.14766677121083505	-0.1006419478918734	-0.16519880230269265	0.006693684192219829	-0.2190393885387097
ENSMUSG00000079215	0.0031855870592689068	0.45681967827644804	-0.0030710033826923944	0.4049111528545295	0.008631188383421447	0.3671870656466625
ENSMUSG00000120414	0.010411856420680883	0.21196462304032523	0.10064503451187701	0.38461345454516555	0.006355946275246049	0.1543945653765301
ENSMUSG00000097447	0.02703394678594391	-0.16956195724845163	-0.00123472160417204	-0.24377740101534842	-0.0035926989806894655	-0.1313252208524995
ENSMUSG00000034560	0.001552195528781608	0.42148803646477545	-0.011332672953554683	0.6016669408525116	0.0190741071039422	0.28353281448797063
ENSMUSG00000033624	0.005486052910716629	0.4298083116584147	0.0030748018945612188	0.35002776134238767	0.024007886657425873	0.279484877880405
ENSMUSG00000003411	0.0037736102089319656	0.1976599114066333	-0.02591500980884734	0.0828365095414394	0.03143583003233055	0.21864160670289529
ENSMUSG00000034064	0.0014022226207883737	0.3230215032963938	0.046978976315261614	0.3665341341257677	-0.029248554018046435	0.25691275957688253
ENSMUSG00000116544	0.010930589631957342	0.2417879727481329	0.010881028181264019	0.3392567899627038	0.03522600736458464	0.2681593142010667
ENSMUSG00000084785	-0.04751266046066762	-0.8770571623711149	-0.009095465793284685	-1.1352630794018739	-0.013844341940853091	-0.2850430765182592
ENSMUSG00000022665	-0.06292169349818949	-0.2243841315594114	0.10725922555459971	-0.1678779675710608	0.01054355687505093	-0.26921818771002337
ENSMUSG00000047658	0.08102430123518649	-0.09351064247542401	0.12981807672613135	0.0054955673877728345	-0.11831081370865781	0.05294530890314317
ENSMUSG00000031221	0.006497945407830552	0.29935291723913626	0.05257484186448925	0.2847578723508296	0.037318486787821535	0.24990460984775828
ENSMUSG00000025885	0.02713192577464103	0.0793277031971894	-0.07172959353792102	-0.00843877242405261	0.030643321340320925	0.22250699244747454
ENSMUSG00000048280	0.007459395569764271	0.2845898895140753	0.010560622478941815	0.4188214631051583	0.03999282820041817	0.22657488204374474
ENSMUSG00000030522	0.005584688780740371	0.346808265355835	-0.01766559602544393	0.15762229314135304	0.031186579702600695	0.2523436273365179
ENSMUSG00000004096	-0.07080318933651708	-0.9234884426346667	0.20696171150536052	-1.1903010060159727	0.0009056308845445393	-0.4077657412716494
ENSMUSG00000104927	-0.023788889836369294	-0.21211414555080577	-0.07764392442236571	-0.20354872080031663	0.010521345879804689	-0.161139799190031
ENSMUSG00000087083	-0.007014714624488124	-0.10974910392352101	-0.05224572641350371	-0.2928973808158405	0.009127104796853414	-0.19385164698857227
ENSMUSG00000025946	-0.011921281884710144	-0.125619137559068	-0.08226194783714043	-0.12278427923191546	0.02174612968538607	0.12230132111365188
ENSMUSG00000114005	0.007387070636456383	-0.11333692553623745	-0.032447236043953324	-0.26871528711872317	0.029017452217901203	-0.23125658246967398
ENSMUSG00000087360	-0.02842752525275661	-0.26923921307179766	-0.061371365364704396	-0.31143694353097323	0.01457807857350124	-0.2310097472933016
ENSMUSG00000020846	-0.004878150392872704	0.051774209223393035	-0.05755280241276365	0.04788010948421675	0.00828145266215355	0.21739001610405861
ENSMUSG00000031162	-0.017560678521738184	-0.17998889603434187	0.052638504248881814	-0.06007988828209081	-0.0024479196774020995	-0.04332468475229694
ENSMUSG00000020229	-0.005067262429015618	-0.10493854012536136	-0.08762511619202294	-0.15267488659427247	0.027568132607098058	-0.129840740037784
ENSMUSG00000024270	0.0013059071655745279	0.4702986192032819	0.000833762060771237	0.47819293884054453	0.012655463177109494	0.33028929508953286
ENSMUSG00000030699	0.010217136749162692	0.02476815655674424	0.1727044489263082	0.10676583532820498	-0.05206743805867069	0.04488116461246593
ENSMUSG00000011154	-0.00253016198239453	-0.04081097071324526	-0.060406423222887626	-0.004516720276400763	0.02856835963037656	-0.10685008624711248
ENSMUSG00000035365	0.0037182048684498703	0.3326024863550078	-0.015512509005840032	0.5786720047470174	0.014306419512353877	0.3289055352933994
ENSMUSG00000001901	0.02004461732836435	-0.08356143342034937	0.026366216335046964	-0.1279122256225632	-0.06847430790487696	-0.014479527910601054
ENSMUSG00000022890	0.021684949956411723	0.603574545078766	0.09539358646723066	0.6098552426729177	-0.032646372808289525	0.3206600584896951
ENSMUSG00000034401	0.007774611485079186	0.2178137625735823	-0.04864844282783415	0.32837003752962246	0.02784437765152681	0.23704050557552436
ENSMUSG00000057596	-0.021156200511654163	-0.24176962252116618	-0.05953757606542791	-0.28610803780688604	0.01697919142219384	-0.2102203682381152
ENSMUSG00000022542	-0.011838583424188344	-0.15374268214528083	-0.05331599711364018	-0.21165832362183018	0.013798515770373276	-0.1684408534350609
ENSMUSG00000069044	-0.07080318933651708	-0.9234884426346667	0.20696171150536052	-1.1903010060159727	0.0009056308845445393	-0.4077657412716494
ENSMUSG00000019864	0.0034407179905076024	0.463425140623069	-0.014392113362452488	0.42440052420969276	0.014710762363431227	0.31061622449233284
ENSMUSG00000026361	0.010509681053075304	0.37864745792987314	0.016245444454479233	0.4144911439861305	0.008285846573066413	0.3458152962900245
ENSMUSG00000021250	0.05202650036608065	0.4118412103043656	0.10455469044735281	0.585239931884585	-0.06117172923226377	0.23403231871734287
ENSMUSG00000111503	-0.0030923092510134476	-0.13723915464951458	-0.07544822205582428	-0.29828082795020083	0.013201442115379852	-0.21803442365589715
ENSMUSG00000042660	0.0024167576399457547	0.3110272791773784	0.043413737309003504	0.4038627549014143	-0.019425688632451695	0.2576784283767812
ENSMUSG00000117859	-0.00840765964809738	-0.06734190313378263	-0.09005685323727668	0.05970520143795327	0.017593939680726322	-0.027674614205534027
ENSMUSG00000027316	0.1287708038123893	-0.12031271322161467	0.03228201419188492	-0.25040828606870524	-0.11072744822054621	-0.11580641333810311
ENSMUSG00000025782	0.0034753494092181203	0.4954817297286808	-0.02070421773448793	0.41783104130004295	0.01327312705932357	0.381980740159693
ENSMUSG00000041594	0.010042268641571761	0.3536769216087813	-0.04242741189142334	0.2952511043816396	0.025333075162216237	0.3111672533497681
ENSMUSG00000030706	0.01275085558300013	0.44336202633675914	0.043725209074106805	0.43848866508582784	-0.014065662632880782	0.3355650810478564
ENSMUSG00000060878	-0.020520738539321806	-0.2178701536540843	-0.09076692860618471	-0.21382031672900614	0.010092567291984822	-0.19528006344658214
ENSMUSG00000105589	-0.006556631745780043	-0.15210630505979683	-0.07344935958020482	-0.21410139906147824	0.008352119964241456	-0.18230894893168376
ENSMUSG00000054280	0.004442399083319337	0.30997847981973264	0.020590999587655277	0.4203502506638659	0.009058888680355846	0.2696525851029149
ENSMUSG00000110839	-0.00792787556083154	-0.1400185441430178	-0.05151990104282123	-0.24997878944130378	0.022589249600104333	-0.2056412233899832
ENSMUSG00000033080	-0.006990220998661305	-0.043184605012690884	-0.026785234747890282	-0.05328870963770533	-0.020865100565760592	0.12249595321509733
ENSMUSG00000044345	0.018607606253979413	0.19799584324702377	0.07780412681607858	0.29380439252991564	-0.05900226365436756	0.19936614639865516
ENSMUSG00000052974	0.015997036689733846	-0.17611692976260696	-0.017296946393223107	-0.3155271107121771	-0.028144203920466106	-0.16673259393129128
ENSMUSG00000041650	0.008130236998171392	0.3140578031809853	-0.0339582816554929	0.3475189913855581	0.03056317522088158	0.2141570351282029
ENSMUSG00000072944	0.019740806952015782	0.19097407089434068	-0.05656588386786817	0.008515923132334069	0.010692630774218392	0.21291590868644406
ENSMUSG00000039908	-0.0015193162853457953	0.11339047494311047	-0.005650741750527718	-0.08241809493605645	0.024410302766509878	0.2130929485918746
ENSMUSG00000083294	-0.03657209075715728	-0.31877772005618943	-0.05093522519198447	-0.3711966148218019	0.030474194647589048	-0.1810556092646972
ENSMUSG00000068957	0.03037763698750909	0.3667273852183126	0.0487579145263939	0.5919798984446585	-0.009659283871918722	0.21843487978101547
ENSMUSG00000055546	-0.008517017442376509	-0.14933432296420068	-0.09242864284999551	-0.23619760093557418	0.015808826580757662	-0.20520154371490307
ENSMUSG00000057135	0.008623251066779747	-0.11237111871695613	-0.05425236712746655	-0.2674571114946446	0.03339779228897195	-0.21204220153832667
ENSMUSG00000033618	0.005962632980473423	0.21523129300306454	-0.004469320661249276	0.338430280674322	0.01414910965034541	0.2158058396435372
ENSMUSG00000020817	0.011021819626476415	0.37750253806275536	0.012831908576608434	0.4731490172109787	0.013853990841292924	0.26592213080641874
ENSMUSG00000004565	0.011755931648905205	0.32399890559395395	0.05949750111621761	0.43366137278098105	-0.043827401411327904	0.2076370749937976
ENSMUSG00000037016	-0.003101240643982872	0.12051181569680504	-0.06838123896001384	-0.012253193285539315	0.02080692932898925	0.25578226427183326
ENSMUSG00000118109	-0.012644362001931248	-0.20319641308299732	-0.05757550467741988	-0.38257876995603185	0.022409248918716762	-0.29230029953255754
ENSMUSG00000059900	0.03861567237631896	0.12892880157089964	0.14031091771746945	0.4086041499271347	-0.11624961062905605	-0.03075009074718249
ENSMUSG00000009907	0.002361569642432393	0.49604420115590453	0.011481585196983625	0.6368243165460618	0.0038435440090648487	0.3034199135630965
ENSMUSG00000029190	0.026057926473136855	0.3655260182577992	-0.04255095867015535	0.4216648669964731	0.02547127650574185	0.2435668980836865
ENSMUSG00000120328	0.017949725259511468	-0.07167536461729165	0.1285408476603285	-0.1296030527112663	-0.035031639311319834	-0.1597558582894189
ENSMUSG00000060427	0.006754002444536944	0.44621819728165474	0.03566090964445033	0.5059113627956845	0.014974735956600347	0.1915755932415942
ENSMUSG00000102679	-0.01119704336014645	-0.1597545003710298	-0.09811784543713335	-0.1953627173361197	0.006819929776658906	-0.20818968217883418
ENSMUSG00000038773	0.005349786183075064	0.4517111023938533	0.046508755086630355	0.4200983523789252	-0.015536329305074759	0.28758963195399123
