	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000059371	0.048172757029533386	-0.1103876531124115	-0.36657848954200745	-0.06929207593202591	-0.16187424957752228	-0.03619273751974106
ENSMUSG00000082799	-0.9540188312530518	-0.7328640818595886	-1.4637893438339233	0.8763329386711121	-0.7522858381271362	0.08983270823955536
ENSMUSG00000067206	0.006712702568620443	-0.10212728381156921	-0.41665980219841003	0.0017653885297477245	-0.10998144000768661	0.04005979001522064
ENSMUSG00000107240	0.037161871790885925	0.019082671031355858	-0.03167812526226044	-0.011616612784564495	-0.018426718190312386	-0.007021840661764145
ENSMUSG00000069170	0.032340504229068756	0.1516488492488861	-0.26620936393737793	-0.02908286824822426	-0.05062176659703255	0.026523075997829437
ENSMUSG00000032327	0.009582391008734703	-0.11804349720478058	-0.2173118144273758	-0.030755596235394478	0.07965921610593796	-0.07023577392101288
ENSMUSG00000022116	0.15980659425258636	-0.13827930390834808	0.8068283200263977	-0.032062120735645294	0.16471236944198608	0.04267493635416031
ENSMUSG00000095632	0.0780322328209877	-0.09710254520177841	-0.27327418327331543	-0.013878154568374157	-0.02229400910437107	0.03793127089738846
ENSMUSG00000015314	0.035980816930532455	-0.11745693534612656	-0.2976840138435364	-0.07726549357175827	-0.09681881219148636	-0.015860198065638542
ENSMUSG00000110929	-0.12271901965141296	0.15871983766555786	-0.6520575881004333	0.2816551923751831	-0.2653224766254425	-0.12162631750106812
ENSMUSG00000058297	0.03546801581978798	-0.04267890006303787	0.0725843608379364	-0.004347927402704954	0.18409894406795502	-0.05929072946310043
ENSMUSG00000037801	0.03377613052725792	0.26137611269950867	-0.3208303451538086	-0.03266654536128044	-0.13473443686962128	0.06253302097320557
ENSMUSG00000053961	-0.027175545692443848	-0.15101280808448792	-0.44355523586273193	-0.03301844000816345	-0.1747743785381317	-0.01699114218354225
ENSMUSG00000034066	0.03593956306576729	0.13115377724170685	0.05992061644792557	0.0032887649722397327	-0.025894608348608017	0.005322018172591925
ENSMUSG00000056487	0.04149232432246208	-0.14382310211658478	-0.3954061269760132	-0.00543206138536334	-0.010370705276727676	-0.032464154064655304
ENSMUSG00000008855	0.03416367620229721	0.21702618896961212	0.023267194628715515	0.007974186912178993	0.19017814099788666	0.02182367816567421
ENSMUSG00000115576	0.0646967962384224	-0.10398319363594055	-0.2758907079696655	-0.10070241987705231	-0.1251916140317917	-0.09896745532751083
ENSMUSG00000054069	0.07860030978918076	-0.09215579181909561	0.37380003929138184	-0.131289541721344	0.17780739068984985	-0.0640903115272522
ENSMUSG00000121316	-0.031050750985741615	-0.13181732594966888	-0.29344743490219116	-0.0800257995724678	-0.23059706389904022	-0.07879607379436493
ENSMUSG00000020076	0.025172747671604156	0.2883438766002655	0.12428826093673706	-0.03277944028377533	0.01593678817152977	0.07646039873361588
ENSMUSG00000121665	-0.07803377509117126	-0.17055708169937134	-0.6545833349227905	0.023537857457995415	-0.21322795748710632	0.040353722870349884
ENSMUSG00000038148	-0.026133868843317032	-0.16123110055923462	-0.5568526387214661	0.01687762141227722	-0.1352989822626114	0.026610320433974266
ENSMUSG00000021461	0.025805164128541946	0.30849891901016235	0.1828221082687378	-0.15537232160568237	0.038978129625320435	0.07230380922555923
ENSMUSG00000113136	0.052334923297166824	-0.08856993913650513	-0.0954115018248558	-0.1143275797367096	0.20651257038116455	-0.015230309218168259
ENSMUSG00000072582	0.06965408474206924	0.3785960078239441	0.9623299241065979	-0.14349870383739471	0.14627224206924438	0.032415661960840225
ENSMUSG00000039967	0.03522948920726776	0.2750142812728882	0.39369669556617737	-0.11302526295185089	0.2119656503200531	0.046223439276218414
