	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000059371	0.046562038362026215	-0.11306368559598923	-0.37738123536109924	-0.07118143886327744	-0.16614337265491486	-0.03755446895956993
ENSMUSG00000082799	-0.9479391574859619	-0.7228504419326782	-1.4821110963821411	0.869762659072876	-0.7640069723129272	0.0877436101436615
ENSMUSG00000067206	0.005879910197108984	-0.1056155189871788	-0.43014267086982727	0.00192137504927814	-0.11372839659452438	0.038844846189022064
ENSMUSG00000107240	0.03739005699753761	0.015111255459487438	-0.04663209617137909	-0.01105505507439375	-0.02101721614599228	-0.00890545267611742
ENSMUSG00000069170	0.03245556354522705	0.14728306233882904	-0.2815517783164978	-0.028096573427319527	-0.05376940220594406	0.025667734444141388
ENSMUSG00000032327	0.00981076993048191	-0.12176363915205002	-0.23163707554340363	-0.030309021472930908	0.0764600932598114	-0.07227598875761032
ENSMUSG00000022116	0.15947838127613068	-0.14165809750556946	0.7912840247154236	-0.03138226643204689	0.16171087324619293	0.0416380800306797
ENSMUSG00000095632	0.07726414501667023	-0.10097949951887131	-0.28655382990837097	-0.013648424297571182	-0.025586698204278946	0.036309126764535904
ENSMUSG00000015314	0.034912168979644775	-0.12039106339216232	-0.30906176567077637	-0.07916862517595291	-0.1010180115699768	-0.016987061128020287
ENSMUSG00000110929	-0.12272340804338455	0.16495050489902496	-0.6650275588035583	0.275810569524765	-0.27470657229423523	-0.12226371467113495
ENSMUSG00000058297	0.036040447652339935	-0.047004956752061844	0.05883419141173363	-0.003249756060540676	0.18007409572601318	-0.06147007644176483
ENSMUSG00000037801	0.0336650125682354	0.2568393051624298	-0.3371230661869049	-0.030737239867448807	-0.13842959702014923	0.06262999773025513
ENSMUSG00000053961	-0.028291473165154457	-0.15261977910995483	-0.4543757140636444	-0.036014374345541	-0.17965151369571686	-0.018184475600719452
ENSMUSG00000034066	0.036153048276901245	0.12699665129184723	0.04485878348350525	0.004040906205773354	-0.029063409194350243	0.004134485963732004
ENSMUSG00000056487	0.041580747812986374	-0.14727170765399933	-0.4086402952671051	-0.007435963023453951	-0.012969412840902805	-0.0338769257068634
ENSMUSG00000008855	0.0348835326731205	0.21085426211357117	0.009514686651527882	0.010143105871975422	0.18573956191539764	0.02068815380334854
ENSMUSG00000115576	0.06333501636981964	-0.10680308192968369	-0.28583985567092896	-0.10290272533893585	-0.12982994318008423	-0.10060776025056839
ENSMUSG00000054069	0.07827729731798172	-0.09602779150009155	0.3614068627357483	-0.13200700283050537	0.17326503992080688	-0.06485205888748169
ENSMUSG00000121316	-0.0325130932033062	-0.13394853472709656	-0.302799254655838	-0.08338196575641632	-0.23606914281845093	-0.07963234186172485
ENSMUSG00000020076	0.025544600561261177	0.2839615046977997	0.10960172861814499	-0.031792931258678436	0.011591358110308647	0.07590677589178085
ENSMUSG00000121665	-0.08008074015378952	-0.1708097904920578	-0.6667616367340088	0.021203160285949707	-0.21736814081668854	0.03869674727320671
ENSMUSG00000038148	-0.026928240433335304	-0.16294194757938385	-0.5690270066261292	0.014309973455965519	-0.13955022394657135	0.0254990104585886
ENSMUSG00000021461	0.02606922574341297	0.3054370880126953	0.1688610464334488	-0.1555745154619217	0.033494338393211365	0.07213880866765976
ENSMUSG00000113136	0.052454330027103424	-0.09250885993242264	-0.10674824565649033	-0.11557511985301971	0.2017386555671692	-0.01666242443025112
ENSMUSG00000072582	0.0697440654039383	0.3766331076622009	0.9476519227027893	-0.143628790974617	0.141743004322052	0.031015725806355476
ENSMUSG00000039967	0.03550166264176369	0.2724498212337494	0.38049769401550293	-0.11323186755180359	0.20579779148101807	0.04547960311174393
ENSMUSG00000075572	0.027192287147045135	-0.12322649359703064	-0.48382312059402466	-0.026490919291973114	-0.1232907697558403	0.02604987658560276
ENSMUSG00000022553	0.04220905900001526	0.3227519690990448	0.33645495772361755	-0.0010532209416851401	0.07681415975093842	0.08644075691699982
ENSMUSG00000044726	0.04405154660344124	-0.11584410071372986	-0.26521074771881104	-0.004070001188665628	-0.13584642112255096	-0.0532081313431263
ENSMUSG00000037461	0.015956642106175423	0.34597247838974	0.3298850357532501	-0.0752057433128357	0.06764818727970123	0.09046761691570282
ENSMUSG00000024164	0.017913084477186203	-0.12001176923513412	-0.35775020718574524	-0.06758680939674377	0.020626045763492584	0.013513315469026566
ENSMUSG00000049799	0.06193588674068451	-0.09803963452577591	-0.11714944988489151	0.007011524401605129	-0.09754420071840286	0.02328152023255825
ENSMUSG00000086638	0.033623628318309784	0.24666446447372437	0.5464730858802795	-0.05828682333230972	0.16453222930431366	0.02362150512635708
ENSMUSG00000074259	0.02270137518644333	-0.05249490216374397	-0.21430689096450806	0.02028772607445717	-0.09990042448043823	-0.017487717792391777
ENSMUSG00000049300	0.018505863845348358	0.17773927748203278	0.5943455696105957	0.02515401318669319	0.15246085822582245	-0.0033776320051401854
ENSMUSG00000049565	0.030938372015953064	-0.112214595079422	-0.3210791349411011	-0.06311912834644318	-0.04246232658624649	0.008284070529043674
ENSMUSG00000110079	0.03901977837085724	-0.10974744707345963	-0.2051466554403305	-0.04901202768087387	-0.04731941595673561	0.023068314418196678
ENSMUSG00000106086	0.22819310426712036	-0.006708902306854725	0.7392131686210632	0.021616246551275253	0.2568468749523163	-0.05005141347646713
ENSMUSG00000105068	0.022341381758451462	-0.10245898365974426	-0.45738357305526733	-0.01986653357744217	-0.1286083161830902	-0.09171485155820847
ENSMUSG00000098078	0.13799093663692474	-0.13843783736228943	1.1213164329528809	0.0884253978729248	0.12057846784591675	-0.03099724091589451
ENSMUSG00000087162	0.03492008149623871	-0.11667599529027939	-0.40663909912109375	-0.03892729803919792	-0.10061635076999664	0.020331136882305145
ENSMUSG00000107689	0.050278156995773315	-0.13144338130950928	0.3295004665851593	0.06356741487979889	0.006988361943513155	-0.026911189779639244
ENSMUSG00000022041	0.027027936652302742	-0.13430970907211304	-0.45561227202415466	-0.04145592078566551	-0.023247815668582916	0.030615046620368958
ENSMUSG00000028557	0.02038254775106907	0.12115229666233063	0.07992871850728989	0.007637498434633017	0.10839621722698212	-0.005353155080229044
ENSMUSG00000051435	0.024543214589357376	-0.0781630128622055	-0.13498149812221527	0.0005017134826630354	0.06867816299200058	-0.08785343170166016
ENSMUSG00000021416	0.03604187071323395	-0.07144943624734879	-0.20390884578227997	-0.01137392595410347	-0.02454240247607231	-0.05085375905036926
ENSMUSG00000044627	0.03221464902162552	0.27544111013412476	0.5108408331871033	-0.024610120803117752	0.1548898071050644	0.057647619396448135
ENSMUSG00000117489	0.07290590554475784	-0.10745584219694138	0.15019243955612183	-0.05745193362236023	0.16789938509464264	0.027281062677502632
ENSMUSG00000032393	0.030043957754969597	0.3127288818359375	0.16672109067440033	-0.01585901714861393	-0.0379161536693573	0.07032576203346252
ENSMUSG00000043087	0.043628543615341187	-0.10755355656147003	-0.47600647807121277	-0.030285097658634186	-0.1101033017039299	0.015081334859132767
ENSMUSG00000071054	0.027862777933478355	0.34633517265319824	0.45395684242248535	-0.028761370107531548	0.16006238758563995	0.0870571881532669
ENSMUSG00000078963	0.04625691846013069	-0.0848158672451973	0.13033650815486908	-0.018503418192267418	0.19061130285263062	0.026563864201307297
ENSMUSG00000038598	0.038509808480739594	-0.10803913325071335	-0.24796797335147858	-0.1141791045665741	-0.03853289783000946	-0.055018600076436996
ENSMUSG00000116993	-0.020643163472414017	-0.1315184086561203	-0.45874252915382385	-0.03207550570368767	-0.16048580408096313	0.00040721186087466776
ENSMUSG00000045174	0.011814838275313377	0.02465454488992691	-0.39761683344841003	-0.049602799117565155	0.044229645282030106	-0.02315782569348812
ENSMUSG00000027615	0.039395034313201904	0.09782496094703674	0.22818903625011444	-0.0269248578697443	-0.004916574340313673	-0.021669752895832062
ENSMUSG00000026192	0.022318828850984573	0.28515538573265076	0.7360093593597412	-0.20387549698352814	0.06941846758127213	0.011369127780199051
ENSMUSG00000038252	0.034412845969200134	0.35147395730018616	0.49207478761672974	-0.12188328802585602	0.16885505616664886	0.08270944654941559
ENSMUSG00000090385	-0.9479391574859619	-0.7228504419326782	-1.4821110963821411	0.869762659072876	-0.7640069723129272	0.0877436101436615
ENSMUSG00000028293	0.028576698154211044	0.21172107756137848	0.22402988374233246	0.008019006811082363	0.012109139002859592	0.047440528869628906
ENSMUSG00000105891	0.015700392425060272	-0.11337265372276306	-0.3543582260608673	-0.043923892080783844	-0.013066618703305721	0.025256529450416565
ENSMUSG00000084846	0.016027551144361496	-0.07482410967350006	0.05319267883896828	0.08370109647512436	-0.0894232764840126	0.048645127564668655
ENSMUSG00000115084	0.053332582116127014	-0.14251701533794403	-0.03623032197356224	-0.017563702538609505	-0.016803188249468803	0.05523937568068504
ENSMUSG00000105900	0.0611511766910553	-0.10549633204936981	-0.30659228563308716	-0.03157898038625717	-0.08996167778968811	0.030962176620960236
ENSMUSG00000112977	0.0022399623412638903	-0.12703266739845276	-0.06638740748167038	-0.022596077993512154	0.04514823108911514	0.04808773100376129
ENSMUSG00000031601	0.1982669234275818	-0.11554596573114395	0.5794858336448669	0.002889530034735799	0.24772915244102478	0.018345823511481285
ENSMUSG00000054885	0.013929599896073341	-0.012561066076159477	-0.3523295521736145	-0.04648835211992264	0.05056823790073395	-0.04256563261151314
ENSMUSG00000063052	0.026546139270067215	0.2424934208393097	0.1916196197271347	-0.045257873833179474	-0.022605085745453835	0.07943620532751083
ENSMUSG00000120908	0.09110603481531143	-0.08688173443078995	-0.09848445653915405	-0.06049700826406479	0.05513425171375275	-0.0071227359585464
ENSMUSG00000025223	0.22435981035232544	0.22159427404403687	0.7232080698013306	0.026150956749916077	0.28822118043899536	0.025920657441020012
ENSMUSG00000036578	-0.0021555800922214985	-0.10847572982311249	-0.29407259821891785	-0.05074039846658707	0.09858903288841248	-0.0567263588309288
ENSMUSG00000109341	-0.01930040866136551	-0.13411837816238403	-0.36526572704315186	-0.061982765793800354	-0.10693451762199402	-0.018625859171152115
ENSMUSG00000121488	0.06533000618219376	-0.10264518857002258	-0.15798319876194	-0.10316357761621475	-0.1502360701560974	-0.03837595134973526
ENSMUSG00000053436	0.02146240696310997	0.3331461250782013	0.260402113199234	-0.008417298085987568	0.14576900005340576	0.09118121862411499
ENSMUSG00000120844	0.19071798026561737	0.4191780984401703	1.0661137104034424	-0.04842710867524147	0.20706456899642944	0.0435960628092289
