	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000059371	0.07207884202369534	-0.10201079857208281	-0.20150829083921296	-0.10342427497040267	-0.14435286700594646	0.02723205636105036
ENSMUSG00000082799	-1.1047910975619253	-0.5576175181715788	-0.9844424340315644	0.40850279411296786	-0.4592178505760011	0.00494168268717754
ENSMUSG00000067206	0.03458942089346295	-0.0692923092809646	-0.25549659443981243	-0.023114908387698023	-0.08068217614796831	0.05793299992595336
ENSMUSG00000107240	0.07130215906043161	0.11742247216336939	0.08117984248877705	-0.007091773582594135	0.011802566899093285	-0.042946895209913044
ENSMUSG00000069170	0.06666730571513252	0.2461040723815778	-0.13725805852706274	-0.030541080827506045	-0.012589577170160696	-0.0236171971839423
ENSMUSG00000032327	0.05317485529176853	-0.0477443979677892	-0.09582008840842916	-0.027054008195051174	0.09682991004636116	-0.0823241515583794
ENSMUSG00000022116	0.21953332215415386	-0.09059966546287937	0.9232369471748783	-0.03250154892915624	0.15885626176626774	0.06932262418147085
ENSMUSG00000095632	0.11307201317530359	-0.09607949811106263	-0.1147817895225544	-0.02918158005514001	-0.0036424674392985454	0.08419497932537154
ENSMUSG00000015314	0.06635959203238341	-0.12002929101683449	-0.13464556528913207	-0.10778038205906434	-0.07140295173396162	0.0425610720419356
ENSMUSG00000110929	-0.06444218128356093	-0.10603799870277174	-0.38971984221312767	0.2707344313923369	-0.1356605881185605	-0.05205689844672212
ENSMUSG00000058297	0.09681354438131125	0.04580998216043896	0.16038325851842256	0.040069414206047496	0.19318176351119284	-0.10625709497083358
ENSMUSG00000037801	0.06347685334702827	0.3682470079528909	-0.1878428477658339	-0.02898575767692968	-0.07999394908886531	-0.02128028410407526
ENSMUSG00000053961	-9.455322545215417e-05	-0.14313931744410507	-0.281314631269158	-0.06866873386102967	-0.13844393663542673	0.02930083084920355
ENSMUSG00000034066	0.07653054065642677	0.23530596507271984	0.15837676892183766	0.03162068804501671	0.013337207136391527	-0.06127384626104246
ENSMUSG00000056487	0.07251842573604815	-0.09304822313170527	-0.24858429897965384	-0.01777406821146357	0.009320670568762734	-0.02426923864499795
ENSMUSG00000008855	0.1094812494868184	0.30331412848143047	0.11360153320873242	0.05478113806763442	0.21652020255385582	-0.05909809075992789
ENSMUSG00000115576	0.09067870523483176	-0.11754001886886442	-0.11734693719037216	-0.1266314681411597	-0.09775185338933978	-0.027279921498519877
ENSMUSG00000054069	0.13304363006982928	-0.09697356259053488	0.47824935561553206	-0.11897845584958683	0.19102178274543993	0.00047668388073462964
ENSMUSG00000121316	-0.009561080075385505	-0.10841629917131863	-0.13356547814454964	-0.13125950614029894	-0.20939671122401274	-0.00936816742702129
ENSMUSG00000020076	0.07829385146700647	0.41384908759380173	0.2067539059327114	0.008886826266435222	0.0561035336942178	-0.02229751335227459
ENSMUSG00000121665	-0.05289612227508865	-0.1498529106879849	-0.4121639782120545	-0.024667817497102652	-0.23715641079062358	0.06839373595061671
ENSMUSG00000038148	-0.0030194133216993047	-0.1359352797722123	-0.38927135870195373	-0.01674805333719029	-0.09566581906288449	0.04877834474070945
ENSMUSG00000021461	0.07838653360745446	0.4268834018902155	0.24757097982017956	-0.11325203954086438	0.07935049517412317	-0.0017364429219031141
ENSMUSG00000113136	0.10846401427898678	-0.09971397064078186	0.031855295705391834	-0.11742168505864745	0.2257682684299127	0.04052329709386135
ENSMUSG00000072582	0.13355701212294593	0.5129832370000119	1.0027808645269123	-0.0994011131752342	0.17947099854130508	-0.039454930994975435
ENSMUSG00000039967	0.10155629948377086	0.3799913069203719	0.45039415780117703	-0.04741341942396558	0.2308675249628031	-0.02212446885270869
ENSMUSG00000075572	0.05646401800769629	-0.10816172765518973	-0.3086603981889648	-0.0506080354216073	-0.09088769309410562	0.06504181935116402
ENSMUSG00000022553	0.10505811038618641	0.47363276106441865	0.43590077771188385	0.023690223418006598	0.11503960913090094	-0.022926996751649442
ENSMUSG00000044726	0.058297605018783505	-0.03608883061213977	-0.10638585172608961	-0.028637627411784803	-0.09567798874156802	-0.05485827373305771
ENSMUSG00000037461	0.07649563292920085	0.5162826259484521	0.41404760678347485	-0.054813569064664974	0.10545304202303395	-0.015964267203450788
ENSMUSG00000024164	0.05887072690364839	-0.11660592655480638	-0.19229367994334037	-0.0848675154091009	0.04906335947494653	0.0593135664688534
ENSMUSG00000049799	0.09411314049810361	-0.07921494993148868	0.05246693303724858	-0.014391048298176619	-0.07943567558667217	0.07273397880781776
ENSMUSG00000086638	0.0994442636988369	0.36663429771672557	0.6256189230883148	-0.013950370368873477	0.19679260640360788	-0.05113469080194797
ENSMUSG00000074259	0.047013452344354695	0.012262560195688423	-0.05503898833462578	-0.00335215131437705	-0.06380497428941938	-0.011503781599942515
ENSMUSG00000049300	0.09241435829564947	0.29472933728201633	0.6803278305973279	0.04259005828344415	0.19515024612182152	-0.07360687065255567
ENSMUSG00000049565	0.06599407467331588	-0.09622880890869566	-0.15125990362262443	-0.08762310226552884	-0.015726509100883246	0.05196836203183506
ENSMUSG00000110079	0.0745229705447	-0.08667179790281067	-0.03592347059456546	-0.07305686314951672	-0.02567804010836782	0.0644466915394943
ENSMUSG00000106086	0.2835264552692313	0.11099111226212457	0.8146931164974498	0.03250404390530728	0.2965502899766606	-0.08237886615720313
ENSMUSG00000105068	0.035218227482955	-0.02756438665213895	-0.2981848866979798	-0.024038943277265162	-0.08092230185189837	-0.11542177011020967
ENSMUSG00000098078	0.20794853577068234	-0.08926884440018146	1.2138483631186257	0.043504208505382586	0.14403326037175473	0.04558735011277057
ENSMUSG00000087162	0.06524487190621141	-0.1011979578060524	-0.23092212209031485	-0.06483438477080855	-0.07182154178042	0.0627004472198664
ENSMUSG00000107689	0.08900801953971564	-0.03949525654737696	0.454349941457198	0.052534413821541184	0.02945585428253809	-0.027096326672771842
ENSMUSG00000022041	0.0638156286634183	-0.12898154587327385	-0.2851831197905726	-0.05858673983566992	0.00896255930723977	0.06976741576642231
ENSMUSG00000028557	0.07826064670618633	0.22358076293951587	0.18458791261194604	0.044159669319954555	0.1382273152742408	-0.0698953989146488
ENSMUSG00000051435	0.06655941917063715	0.010659596131977199	-0.01665596472820599	0.02913978228098304	0.09629083765853623	-0.12649181756177927
