	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000041809	-0.02312995078762989	0.07476534451437017	-0.0539427385844257	0.11418946194452084	0.027180580665351173	0.1408939727075449
ENSMUSG00000033083	-0.010594077013677504	0.28130938763892377	-0.0295933820612845	0.35441766832965577	0.018938566865420267	0.25608908797886604
ENSMUSG00000021589	0.010872919841728747	0.19968264284938675	0.006505881155940837	0.2746516459809625	0.036735089172257825	0.19034963988690703
ENSMUSG00000027229	-0.006589876284851926	0.13952098314974656	-0.004335325471324073	0.1903349434245943	0.021460174491065638	0.031804755924115725
ENSMUSG00000093806	-0.008583255295577276	-0.08810402367791019	-0.14352477696676422	-0.044451612169567466	-0.02934447732914123	-0.15802616450060408
ENSMUSG00000024622	0.003179300429441615	0.5598438453400116	-0.007830843940688023	0.574907083774659	0.018302968275799816	0.17001103630380904
ENSMUSG00000031885	0.021072877451732502	0.4854204657559291	0.0049470876652256785	0.490427259489869	0.01092102524889924	0.15562335862653395
ENSMUSG00000073403	-0.02708289348208512	-0.09118739286537415	-0.05717751580154332	-0.15841189271554218	0.007782183310389103	0.06508103308151476
ENSMUSG00000019933	-0.004080518298620259	-0.1398006882743045	-0.003940857729165665	-0.06859912477812032	0.06583686356994543	-0.05923559808202949
ENSMUSG00000041645	0.01376289912323695	0.45812591000103564	0.009737998153806465	0.5165549353285834	0.0031326452415149624	0.10476783244344655
ENSMUSG00000049288	0.050224273295004555	-0.8051045319021276	-0.022234042584906483	-1.359919227343328	0.01855411310098134	-0.1141057603734745
ENSMUSG00000057215	0.0013852379037676396	-0.02343902315156551	-0.011718339109393128	0.47338255945640934	0.025715750748505732	-0.11338022510553855
ENSMUSG00000020250	0.012199298378254753	-0.16419757472197358	0.08292400993877891	-0.25463335156735933	-0.03856421380961755	-0.08573200170620632
ENSMUSG00000033233	-0.003917632080862989	0.32035484154522625	0.053913610644043986	0.02036067136411605	-0.005854791846910043	0.21652378129978647
ENSMUSG00000086259	-0.0013771890624151898	-0.17097989572232888	-0.024845232509531863	0.005868454502030675	-0.007468211819546663	-0.08905828626040083
ENSMUSG00000085664	-0.021783547201214656	0.0017852522378754138	-0.04880764752576527	-0.040221629012168185	0.008320269997160982	0.043031242965038734
ENSMUSG00000003199	0.02079254554760155	0.5321378899845253	0.01467150607734636	0.5468244030223494	5.0136430789799695e-05	0.12814916522838757
ENSMUSG00000056553	-0.01838440566695811	0.18560053419725073	-0.05645604837554856	0.1497844660750291	0.03695546399355538	0.10338308036225499
ENSMUSG00000027363	0.001740740259908437	0.5059016046526916	-0.00945826692893336	0.521556235826886	0.014451251040684707	0.11415309411521386
ENSMUSG00000095681	0.0200350015251323	0.4421648402376117	-0.007125905615248484	0.45168247194056416	0.026436707553304066	0.13059045873004443
ENSMUSG00000053565	0.014512951000265924	0.44674660062727134	0.033479098529590245	0.5473549208743081	-0.005975408767543351	0.18720954272336843
ENSMUSG00000040667	0.001225616926103612	0.5914528767039883	0.04213532086018209	0.6916056144639567	-0.01633943891424029	0.180189906697238
ENSMUSG00000051586	-0.001636285715825839	-0.18248648174734886	0.03952991715099675	-0.004216511303716938	0.022259050436904154	-0.06838976154808084
ENSMUSG00000115345	-0.0112221267118522	-0.21330774562998808	-0.05905194312176069	-0.2768873539112974	-0.0005268784253400684	-0.13322387293010252
ENSMUSG00000039715	-0.008806834172751873	0.5644855422009382	0.028373469649575003	0.6599838825081991	-0.003714329008081612	0.13512876997182113
ENSMUSG00000089911	-0.0043407304990263846	0.5346375768490751	0.02885639646213219	0.585494748409006	-0.008725354126103672	0.11987586934098675
ENSMUSG00000046324	0.012787288857699813	0.2455981132445491	-0.0018637902495226757	0.2614062796684656	0.020957557734228822	0.20393662309486119
ENSMUSG00000044627	0.016435123728680473	0.5154966165313714	0.032171946827449054	0.5734297714913347	0.0028862011451565193	0.169660176119526
ENSMUSG00000020930	0.018219969652344455	0.529473028938498	-0.020985645790330767	0.5432733609626926	0.019237083642032565	0.12350242858478201
ENSMUSG00000027649	0.032867989139101286	-0.8215955237028538	-0.02412605058286447	-1.3166634032913342	0.019502641474952856	-0.12474864899741078
ENSMUSG00000032092	0.0608928650235092	-0.18964632411765966	0.08030904251364908	-0.18749212041519578	-0.03225659546728171	-0.026324211947940056
ENSMUSG00000069044	0.021301254223414747	-0.799679135734602	0.0019778688323900235	-1.3154170690716585	-0.0021152453697660736	-0.14231625867489908
ENSMUSG00000041653	-0.002770486017340902	0.33449603528258326	0.03853777147321255	0.29917902584981804	-0.02372593559474418	0.13239483040503858
ENSMUSG00000087240	0.031020270548573797	-0.10487118143126802	0.06051617852813901	0.43298457533954726	0.025314557335773966	-0.15331690138825382
ENSMUSG00000032558	0.008204598236125094	0.3914810533745497	-0.007166406806546937	0.36498657443122023	0.0055751554133166795	0.21287446715494818
ENSMUSG00000015980	0.00675896007884538	0.345577115888487	0.014048221105622361	0.36006905060483924	0.0002547145079006441	0.13124198726966693
ENSMUSG00000013495	0.010011704080917687	0.4455932362574198	0.013901036246742089	0.5249661979556549	0.02032664035385616	0.18620132167613648
ENSMUSG00000074452	-0.017891933314344247	0.4530910340680358	-0.03274267657361633	0.5759934242699404	0.01824823644440455	0.205009909243589
ENSMUSG00000024989	0.024700775808189843	0.6270807850410555	0.03877942188945391	0.7254081673137469	-0.003107828452993999	0.20478807649498257
ENSMUSG00000050966	0.02406258571507221	0.4611889907564286	0.045734801297658126	0.5413110388721439	-0.0014952923342726925	0.18457929140921417
ENSMUSG00000057411	0.04895873438293035	0.4175647270409952	0.009204924017415449	0.21026788951068218	-0.040578374020190364	0.10046823304718211
ENSMUSG00000025192	-0.009571745304414694	0.1825778768553781	-0.03106967328660955	-0.006197440977744658	0.0072452710149393945	0.21518167133264277
ENSMUSG00000117786	-0.009407143671056214	-0.19347407224226376	-0.057854639385342514	-0.3227253846346035	0.03292639756247289	-0.11563824083540176
ENSMUSG00000090564	0.016674945053630708	0.38444570192077665	0.03343436214085419	0.5368187381001397	0.003102109921746887	0.21282031940687116
ENSMUSG00000044217	-0.01314381594459389	-0.013882808654618982	-0.03912815964296377	-0.137046003553717	0.03523109800018054	0.16749390933515054
ENSMUSG00000059447	0.016516066789615383	0.47535184519573315	0.0252447702498882	0.43471208562810454	0.013140809101969353	0.2357970988863339
ENSMUSG00000085498	0.00413097503028439	0.37372003199540943	-0.017708471129818854	0.4094893740450581	0.018477758156482844	0.21393769998654275
ENSMUSG00000026701	0.021156202621588297	0.4642208683620473	0.022495758025927768	0.5604505496794965	-0.008212518000176975	0.20240010415727738
ENSMUSG00000074281	0.014418577525605412	0.30074130998972187	-0.009739196353621082	0.4584912337854413	0.013861234744243639	0.23425328670450005
ENSMUSG00000111429	-0.00761536015771266	-0.14727471079828058	-0.04300926244738678	-0.09058327178686991	0.03508150281117456	-0.024029469777347653
ENSMUSG00000024044	-0.0030253521790395356	-0.17958903422383757	-0.03276737961345394	-0.31744925253681555	0.00738723320178646	-0.11321324423393629
ENSMUSG00000049580	0.014530486376283338	0.45974879133942265	0.02836964516318403	0.5245871963510581	-0.0012415595298080006	0.16267775599865542
ENSMUSG00000021613	-0.01551542986154735	-0.09640338533063186	-0.04887165316415901	-0.2002691397347787	0.02799947692890003	0.07279115450042549
ENSMUSG00000114005	-0.005611224380222016	-0.16694618699485936	-0.032110208348551945	-0.3120354101357017	0.036940330836478096	-0.14420221704029765
ENSMUSG00000061306	0.009377657901878982	0.4025139533177675	0.011726756136964209	0.398377308282839	0.011063722738357942	0.17126549906326025
ENSMUSG00000055313	-0.0025723894720548353	0.09759850651358387	-0.03744419942730539	0.37288384106775213	0.03242799252989893	0.1410499143133815
ENSMUSG00000021806	-0.004691046416629823	0.5137046187567259	0.009297678050955126	0.6349580666407876	0.0018385146233673108	0.21308450608027799
ENSMUSG00000102987	-0.013471579658737807	0.2492049480887155	0.052711059392303077	0.6026383644998922	-0.023971215871772852	0.08765012163369518
ENSMUSG00000060036	0.050761995393434386	0.7534682449536506	0.06808142771577487	0.8530567727008019	-0.0027139826105537523	0.1434639992461598
ENSMUSG00000000823	0.018303982772619878	0.47393022642364874	0.02576398354597456	0.5528010157775758	-0.0028642034487607556	0.16907662138078844
ENSMUSG00000107689	0.010936714972766432	-0.10351132076310543	0.06988270281765706	0.3228501343428174	0.028307967886783966	-0.12096758582036793
ENSMUSG00000024350	-0.025745920040286103	0.19707916708851242	0.028603441957394744	0.15060881201944928	-0.009194138069298268	0.20959329876350238
ENSMUSG00000107087	-0.011733405173072243	-0.22218206408059424	-0.07959248434932047	-0.21519129412689444	0.03119568253784694	-0.0768782254350299
