	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000022206	0.03823407605897436	-0.07991344911377903	0.0403097264346018	0.08933243425916382	0.12596621099447866	-0.14011885839894864
ENSMUSG00000112057	0.10252623930500704	-0.09113373709114966	-0.31518981114568306	0.07271172493523669	0.022727168304949634	-0.01675585641509575
ENSMUSG00000110125	0.059624416928194736	-0.0818986169289149	-0.28995173770953053	-0.073634673496833	0.12089611061455799	0.000790686527553979
ENSMUSG00000101854	0.03184053900962941	-0.0694597227538387	-0.20070983527714686	-0.07523420174402418	0.04267773745855915	0.0022974583241063685
ENSMUSG00000021051	0.04670389346631834	0.28930240761203874	-0.0069141212923568675	0.03867442394506985	0.13187977806789733	-0.0010890452134585107
ENSMUSG00000004552	0.04335867556305207	-0.07202922807867124	-0.2963603491781604	-0.059022454979068634	0.0601575053353112	0.019486837327557235
ENSMUSG00000067818	0.06294355582888654	0.036343775935841094	0.21809669136107135	0.04416632838755114	0.19013227528453822	-0.020168069607617717
ENSMUSG00000026114	0.038248089874338934	-0.07775909419901186	-0.24872198504277288	-0.026556045709834768	0.04772041588221328	0.010971026715508612
ENSMUSG00000017288	0.06892562997444267	0.08766413709963672	-0.06609531851499924	0.07834201896049697	-0.069821209651127	0.0062145430901312335
ENSMUSG00000030086	0.040762165842378247	0.014563982282665425	-0.18154492126081356	0.08103353564750121	0.08008158849302813	-0.014263144776902794
ENSMUSG00000026019	0.14926655114109702	0.2734689050341071	0.6065679908148013	-0.0018613937114423606	0.2029712436513364	0.09076461492505976
ENSMUSG00000063052	0.06692435101036348	0.23547834693578937	0.25577093863643574	-0.0021854637048298693	0.058567233836479965	0.057503500770274385
ENSMUSG00000031485	0.10118828973422102	0.2106814799487308	0.579623175379155	0.013637500602843439	0.09486963129025493	0.06551080756575435
ENSMUSG00000013150	0.05572356667939208	0.1745873744995541	0.07310929768905876	0.08048308755564254	0.13789356333685907	0.013039637871562653
ENSMUSG00000050035	0.06583424250254341	0.2508838796942395	0.5237568964407598	-0.09370197535369829	-0.06887646643356544	0.021154398579632732
ENSMUSG00000000823	0.11245270808238794	0.2076382132861389	0.6147040611654769	-0.07151305425504688	0.07438685795875374	0.10522512210903057
ENSMUSG00000031834	0.1612568669825123	0.3171726147728935	0.6629959012284027	-0.009473643776956513	0.3145123598771274	0.10006210671680102
ENSMUSG00000022386	0.05179577544451084	0.17458923105576624	0.11873029150810907	0.06665649925926118	0.031306006131074225	0.0021548838134289585
ENSMUSG00000022893	0.06580674677191252	-0.07841469778930851	0.4240889411212785	0.07697148425431806	0.2583617932697962	-0.05043342351868237
