	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000048652	0.027930197309534922	0.0	0.03803644421957092	0.0	0.021052267588624284	0.0	0.0	0.0	0.0	0.0	0.012548405936657141	0.0	0.019405424860203937	0.0	0.0	0.0	0.029185817511795286	0.0	-0.1196001960035456	0.00904352114169149	0.023753917131063947	0.011807803082823502
ENSMUSG00000032598	0.06634728896729579	0.0	0.047435814422461066	0.0	0.0	0.0	0.08713101665481904	0.08215616508577855	0.0	0.0	0.0	0.0	0.025743772018602562	0.0	0.0	0.0	0.08004009875090182	0.0	0.07933668661358807	0.03404010408243828	0.048679668803160096	0.15647951706885718
ENSMUSG00000026339	0.024389099538938745	0.0	0.04380417316192301	0.0	0.020963145117526786	0.0	0.0	0.04976852211183189	0.00513199820816973	0.0	0.0	0.0	0.015410936935803674	0.0	0.0	0.0	0.04401933173522253	0.0	-0.09198964233122763	0.0	0.02566155141619242	0.10874511098281445
ENSMUSG00000027722	0.004875420836468747	0.0	0.02215980554689668	0.0	0.0	0.0	0.09365425835733746	0.11152284365497259	0.0	0.0	0.0	0.0	0.016702050496477477	0.0	0.0	0.0	0.019721171950938136	0.0	0.1061277076704629	-0.06000946648075889	0.044634343931758844	0.4523126296686788
ENSMUSG00000117674	0.022502076448348184	0.011225194099484526	0.022744886915920075	0.0	0.01079637827705971	0.0	0.14156604984770432	0.0	0.0	0.0	0.0	0.0	0.017868754718045422	0.0	0.0	0.0	0.06110100084629403	0.0	-0.08022235185434687	0.0	0.036784206733039324	-0.03838334537912004
ENSMUSG00000084350	-0.2753776788590204	0.0	-0.3625021308344792	0.0	-0.1210479541627315	0.0	-0.2938849721034689	0.0	-0.09002760980535873	0.0	0.0	0.0	-0.3040023009723216	0.0	0.0	0.0	-0.4245706420173899	0.0	-0.3950778522759023	0.0	-0.6308940653834748	-0.2717880382169262
ENSMUSG00000035726	0.0	0.0	0.0189531959217549	0.0	0.03479212070027116	0.0	0.20531385171512162	0.10034048665893106	0.0	0.0	0.0	-0.05086867082069392	0.0	-0.038460150752556155	0.0	0.017342096271241045	0.0	0.0	0.35847162851294956	0.0	0.09929747674361197	0.49670505421955946
ENSMUSG00000051978	0.05918620865683595	0.0	0.05089422924660093	0.0	0.0	0.0	0.04841201723242553	0.0732462169989495	0.03180371984251064	0.0	0.0	0.0	0.024283050924355787	0.0	0.0	0.0	0.05514481120160557	0.0	0.12466225995252385	0.0	0.04010710775598734	0.1276169669720143
ENSMUSG00000005610	0.02853017642041621	0.0	0.0	0.03957660389152306	0.0	0.0	0.20494043347339203	0.08634136518828582	0.017843218822918283	0.0	0.0	0.0	0.08377460324865645	0.0	0.02092176493320143	0.0	0.0	0.0	0.7370605746833282	0.0	0.1723245156095005	0.5385459082898533
ENSMUSG00000042477	0.04527101677958696	0.0	0.023217976828665984	0.0	0.0	0.0	0.11220807951564149	0.010145663062309636	0.017293843524694437	0.0	0.0	0.0	0.017251593597255224	0.0	0.0	0.0	0.07193265045486508	0.0	0.0	0.004943984384853606	0.032386746279630084	0.015710469319117987
ENSMUSG00000023845	0.02108327332039319	0.0	0.02813286810813594	0.0	0.0	0.0	0.16454890566722985	0.13804091053637738	0.0	0.0	0.0	-0.05412197482442416	0.051893678420563735	0.0	0.0	0.0	0.030566488803895096	0.0	0.11338230534197169	0.0	0.06833744257489689	0.3673658539407814
ENSMUSG00000022876	-0.00940949378438413	0.0	-0.013245913445649087	0.0	0.0	0.0	-0.05614034699687198	-0.025481974053101677	-0.022543282625439563	-0.008538335462813351	0.0	0.0	0.0	0.0	-0.012503813154176405	0.0	0.0	0.0	-0.11507602841171423	-0.024814414272761015	0.0	-0.08871232143862925
ENSMUSG00000074003	0.03780247571004091	0.0	0.046691579297185835	0.0	0.017311900005609938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022850165925950856	0.0	0.0	0.01900762665233611	0.05764006701053551	0.0	-0.15041905611457937	-0.042087395558087715	0.02076832635673533	-0.037493461511975835
ENSMUSG00000090641	0.0	0.0	0.0	0.0	0.0	0.0	-0.038242893649004656	0.04982638094100124	-0.02333395856585246	0.0	0.0	-0.021678591509053567	0.024184800203356165	0.0	0.0	0.01580925887550058	0.0	0.0	-0.0767550720391182	0.027460664703477102	0.03831742167925574	0.14337503432009577
ENSMUSG00000001739	0.041127457989605036	0.0	0.03846716178075465	0.0	0.0	0.0	0.07058365404538465	0.0	0.03770969433584649	0.0	0.0	0.0	0.034262971500741736	0.0	0.016954573860773148	0.0	0.05670602196885534	0.0	0.08744141350998447	0.059827211301296736	0.06762106643829502	0.0
ENSMUSG00000069020	0.03546021544540932	0.0	0.024140644856188276	0.0	0.0	0.0	0.10303545484757479	0.10261392720406715	0.025584739789813515	0.0	0.0	0.0	0.030836236756073027	0.0	0.0	0.0	0.026894745323008153	0.0	0.5259840680949053	0.0	0.10449593301332658	0.2983614494664279
ENSMUSG00000071470	0.0	0.0	0.021769893507718283	0.0	0.019319411467966754	0.0	0.07706193744740003	0.023425399252018725	0.0	0.0	0.0	0.01192865807324961	0.0	0.0	0.0	0.02044551682054985	0.0	0.0	0.2207284136266486	0.030391356895656314	0.11206647918080823	0.14150568326049742
ENSMUSG00000121685	0.013452189804112447	0.0	0.0	0.0	0.0	0.0	0.05941586623690951	0.0	-0.023207947646100065	0.0	0.0	0.022724770796618853	0.016391556276543172	0.0	0.0	0.0	0.024899762859275816	0.0	-0.1620613334551637	-0.03594942559832229	0.027669826205302207	-0.03065860752941033
ENSMUSG00000035093	0.030589206935400418	0.0	0.04015244704157409	0.0	0.0	0.0	0.02771107589071113	0.10287562839888197	0.0	0.0	0.0	0.0	0.028543550087472624	0.0	0.0	0.03151651355932933	0.03404720355743583	0.0	0.03312810257659268	0.0	0.039398380696070975	0.14735618992067126
ENSMUSG00000110996	0.03114597063830568	0.0	0.03040155822530429	0.0	0.018561463768725184	0.0	-0.032211260675947304	0.0	0.0	-0.014464601354601201	0.0	0.0	0.014962528179343876	0.0	0.0	0.0	0.020071948520489262	0.0	-0.05544193313727163	-0.049721443347650746	0.0	-0.07964589510353726
ENSMUSG00000019256	0.0	0.0	0.02726044275169695	0.0	0.025347543205630627	0.0	0.04626242287266499	0.0710291601461184	0.0	0.0	0.0	-0.05704146302710017	0.017143122769475216	0.0	0.0	0.026278179699528646	0.0	0.0	-0.06282557189035412	0.0	0.03874058078636025	0.20210653079830318
ENSMUSG00000020359	0.02942219759851192	0.010829835681427464	0.008227644301900705	0.0	0.0	0.0	0.0413602158155338	0.03126055172474617	0.032063583444951665	0.0	0.0	0.0	0.02329380563282896	0.0	0.0	0.0	0.0	0.0	0.9693950116238206	0.0	0.18333893684139235	0.21035819951679222
ENSMUSG00000041014	0.0	0.0	-0.016696218103757432	0.0	0.0	0.0	-0.04631917754328492	-0.0293677330393167	-0.024311167565115976	0.0	0.0	-0.026328453208525116	0.0	0.0	-0.03225659292669488	0.0	-0.02468341725846887	0.0	-0.1700731085490109	-0.02803036486425642	0.0	-0.04471035470807882
ENSMUSG00000059070	0.0	0.0	0.029115782635629955	0.0	0.0	0.0	0.30723157751017605	0.021818861525894295	0.027701844583596504	0.0	0.0	0.0	0.02399549603333798	0.0	0.0	0.0	0.02490237736046122	0.0	1.3014935515023662	0.06715519753818602	0.7225204578847948	0.09827085916870165
ENSMUSG00000020778	0.04228944076027115	0.0	0.03661136178772472	0.0	0.0	0.0	0.0441353150353362	0.10510867519291865	0.018915676361980216	0.0	0.0	0.0	0.027787730610550617	0.0	0.0	0.0	0.03910751324295001	0.0	0.38080276238420074	0.0	0.054926396892869926	0.2008669849859568
ENSMUSG00000017167	0.046159847571850904	0.0	0.04947617780164519	0.0	0.0	0.0	0.07207513534447682	0.0	0.03753990576157997	0.0	0.015216868487054908	0.010182759263250962	0.02046153583093572	0.0	0.0	0.0	0.08114900508218383	0.0	0.20643232189614802	0.0	0.06827364579004211	0.0
