	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000097822	0.03738659758931157	0.0	0.04433328356253692	0.0	0.0	0.0	0.0	-0.05527276425864565	0.03335402406175418	0.0	0.0	0.0	0.023605965424193173	0.015213443342888947	0.0	0.0	0.07647057922787351	0.0	-0.14878866053839557	0.0	0.020462232274880778	-0.06815686316372342
ENSMUSG00000096986	0.018499714346355407	0.0	0.02312052544521867	0.0	0.0	0.0	-0.053043678402178475	0.07797395630399623	0.0116686861351471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015587395393287882	0.0	0.15998998445172388	-0.10744872332864998	0.05095410580971762	0.24029805929989181
ENSMUSG00000109831	0.021111263580085648	0.0	0.027398749318083483	0.0	0.016535124317993307	0.0	-0.03380601558148361	-0.06812044248036855	0.0	0.0	0.0	0.030617836977369993	0.02307607517684479	0.0	0.0	0.0	0.023852229538767082	0.0	-0.19752093591802375	0.0	0.0	-0.07597230538127459
ENSMUSG00000035860	0.020797274631393643	0.0	0.05308867650835933	0.0	0.0	0.0	0.04291076098799788	0.0	0.012568605317801382	0.0	0.0	0.0	0.020928843048238627	0.0	0.010719992865057319	0.047164558207459115	0.05733429057152886	0.0	-0.1948630030544182	0.0	0.0	-0.08290375415410342
ENSMUSG00000017485	-0.2958046000462357	0.0	-0.3802720160204746	0.0	-0.13885547364969447	0.0	-0.3207113139377473	0.0	-0.12433774695815059	0.0	0.0	0.0	-0.28077397898023077	0.0	0.0	0.0	-0.4006652643065163	0.0	-0.42871954068797435	0.0	-0.664848903604087	-0.2953076482506736
ENSMUSG00000116987	0.03179269789467492	0.0	0.039690587240704615	0.0	0.0	0.0	0.0	0.10425888590184969	0.0	0.0	0.0	0.0	0.030464368616079065	0.0	0.0	0.02414949502357907	0.06430619243789884	0.0	-0.1342478628934321	0.024713843552865922	0.029390288063806558	0.08030053132171656
ENSMUSG00000044863	0.03805847566685042	0.0	0.03020987907486804	0.0	0.0	0.0	0.049238747825024624	0.0	0.011075128073501916	0.0	0.0	0.009422155552039022	0.01617240731658958	0.0	0.0	0.0	0.062326922775407564	0.0	-0.09193551195672416	0.014703270749015802	0.03297320502013422	0.0
ENSMUSG00000077450	0.03416488078983936	0.0	0.019876733995255733	0.0	0.0	0.0	0.06812812026101006	0.054963474836909124	0.0191421940202412	0.0	0.0	0.0	0.03042296555747164	0.0	0.0	0.0	0.024596251262865368	0.0	0.44001630748624865	0.0	0.0508563278785784	0.2785933111813622
ENSMUSG00000022094	0.0	0.0	0.015324373354113779	0.0	0.031555927765915086	0.0	0.13665517685690048	0.06992699196385084	0.0	0.00611079883377863	0.0	0.0	0.0	0.0	0.0	0.0	0.01750123312796539	0.0	0.3293092071558628	0.009260152730990349	0.07050421594702251	0.2512226551335956
ENSMUSG00000034908	0.03058079258383676	0.0	0.030205913140573897	0.0	0.0	0.0	0.11714770797156554	0.07401115701509481	0.0	0.0	0.0	0.0	0.027405298620883426	0.0	0.0	0.0	0.04035102871464679	0.0	0.019788456674288524	0.03239134723725621	0.031614358944984176	0.17356662981183804
ENSMUSG00000074749	0.012800180737347233	0.0	0.015235359156073507	0.0	0.0	0.0	0.0	0.05660470914268364	0.011008816610985461	0.0	0.0	0.0	0.014757258608940005	0.0	0.0	0.013845926574306743	0.022604551756948546	0.0	0.0	0.013944721627156527	0.028697104589290184	0.12444305319439689
ENSMUSG00000030259	0.015064219313593466	0.0	0.029302551184776014	0.0	0.0	0.0	0.05388282733319057	0.05658880232281503	0.0	0.0	0.0	0.0	0.018785020873105823	0.0	0.0	0.0	0.04221653623693043	0.0	-0.061939760579019176	0.020009559163170078	0.02922816083078864	0.12395880571182187
ENSMUSG00000024330	0.030060502453662374	0.0	0.050321357808068894	0.0	0.0	0.0	0.05800908832690598	0.0	0.01993008579618334	0.0	0.0	0.0	0.020687675208907085	0.0	0.0	0.0	0.07638350714309138	0.0	-0.11831755482567219	0.023699501169800647	0.014372652677131486	-0.094692931050078
ENSMUSG00000054203	-0.016619760608524443	0.0	-0.0034715167267526104	0.0	0.0	0.0	0.037251452502059454	-0.00893417962038536	-0.026074746146238535	-0.004083974932915376	0.0	0.0	0.0	0.0	-0.020418753237133765	0.0	0.0	0.0	-0.21942300401864304	-0.028743914238882777	0.0	-0.09209410897663416
ENSMUSG00000023075	0.013680975906892101	0.0	0.019961593680501787	0.0	0.0	0.0	0.10712880375466974	0.10139794547422075	0.0	0.0	0.0	0.0	0.026907255533039257	0.0	0.0	0.0	0.02720686813250283	0.0	0.09636420631398948	0.0178763748233753	0.034695275553131	0.25288742412717075
ENSMUSG00000026679	0.0	0.0	0.027844833346377957	0.0	0.0	0.0	-0.09016513164013469	0.07531849917071241	0.0	-0.019374112915103797	0.0	0.0	0.0	-0.018745326378888937	0.0	0.0	0.020718281895104922	0.0	-0.15001935390809776	-0.04128898969674286	0.027747337838387804	0.19098734423833488
ENSMUSG00000019998	0.023578042775227404	0.0	0.022408722384164654	0.0	0.020227254502543368	0.0	0.03318861195134612	0.045061329593152004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026518384352510044	0.014036969971683855	0.0	-0.17088925988711717	0.0	0.0196848579550613	0.04803101589209026
ENSMUSG00000036131	-0.0770801502461853	0.0	-0.03685769945343507	0.0	0.0	0.0	-0.11423836382712294	0.0	-0.021635337504241476	0.0	0.0	0.0	-0.025129326086559486	0.0	-0.02112584383058813	0.0	-0.06869204353631245	0.0	-0.1561928461070529	0.0	-0.07863354758726664	-0.18021852541625788
ENSMUSG00000043020	0.03060113641635138	0.0	0.03900698791792604	0.0	0.011749868890308116	0.0	0.042406196167217025	-0.0382519177738978	0.020391795092788774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06413154324445702	0.0	-0.055569044847428264	0.0	0.023133562359717964	-0.05911153899947153
ENSMUSG00000042446	0.018386933787812212	0.0	0.02424613985887624	0.0	0.0	0.0	0.07680617765687262	0.09151317371465209	0.008907554651420901	0.0	0.0	0.0	0.04831399858903353	0.0	0.0	0.0	0.02175310945858974	0.0	0.15975325179753352	0.0	0.047257472634901196	0.26894559737342183
ENSMUSG00000070421	-0.02422651318479511	0.0	0.0	0.0	0.0	0.0	-0.12032688185217191	-0.024111870140142832	0.0	0.0	0.046051671497045664	0.03663824189811449	-0.03257900053493808	0.0	-0.02705836931245651	0.0	0.0	0.0	-0.14364970314492248	0.01933962868090716	0.0	-0.1598816916868785
ENSMUSG00000033166	0.0	0.0	0.02593600019262965	0.0	0.0	0.0	0.034226285310398424	0.08050425598148535	0.022957341595022482	0.0	0.0	0.0	0.04830010511275207	0.0	0.0	0.0	0.020646489226137654	0.0	0.3620582573401566	0.024123966981545238	0.0404073650771813	0.24738024823812615
ENSMUSG00000032297	0.026316472071219104	0.0	0.02771414296747169	0.0	0.0	0.0	0.09462338657634438	0.010966624487470045	0.02035970063192501	0.0	0.0	0.0	0.012155071684360919	0.0	0.0	0.0	0.04875096774857596	0.0	0.0	0.011465493539991163	0.027359988197017616	0.07619688084816789
ENSMUSG00000063172	0.028234314437197903	0.0	0.03177215438422858	0.0	0.0	0.0	-0.06939874850909573	0.10004603906386046	0.0	0.0	0.0	0.0	0.0	-0.028354520023026908	0.0	0.020131382081280385	0.026702610376864704	0.0	-0.10536810705595907	0.0	0.03435454656317943	0.20219343927234187
ENSMUSG00000032733	0.04901863289904316	0.0	0.059747490299531206	0.0	0.0	0.0	0.08064054621536441	0.06653278633286894	0.027850661138194246	0.0	0.0	0.0	0.026461585132091014	0.0	0.0	0.0	0.0843910199556902	0.0	0.0	0.029385007908944594	0.040904024148625935	0.05361156652106117
ENSMUSG00000035765	0.04019210726053224	0.0	0.023243244097144317	0.0	0.0	0.0	0.04242558659304058	0.085430810999837	0.0	0.0	0.0	0.0	0.025147275255574947	0.0	0.0	0.0	0.03995358835727971	0.0	0.09123866517745507	0.018902956969317986	0.032295009715039104	0.21563664920307943
ENSMUSG00000109021	0.0	0.0	0.0	0.0	0.0225585216266924	0.0	-0.02996841851054162	0.0	0.0	0.0	0.0	0.0	0.029422461564866394	0.020476971477450714	0.0	0.0547439304475556	0.02906496594412536	0.0	-0.1467002956564593	-0.04987854480856728	0.03330366114802429	-0.06861463330776893
ENSMUSG00000110183	0.013391143655512113	0.0	0.01701324077716907	0.0	0.0	0.0	0.0	0.0	0.021786773628070837	0.0	0.0	0.0	0.02676938273073373	0.0077847534026151315	0.0	0.021337286036838096	0.021977789675468484	0.0	0.0	0.022794535252516776	0.036286622650118366	-0.04752058477400131
ENSMUSG00000116763	0.026615049349232	0.0	0.03955562432127699	0.0	0.0	0.0	0.0	-0.029377793651202414	0.0	0.0	0.0	0.0	0.024050920613854197	0.0	0.0	0.04241776962389519	0.05810949136915292	0.0	-0.161492677259063	-0.0543189064842809	0.013054042918373546	-0.07662251397048923
ENSMUSG00000028247	0.016115239089237326	0.0	0.03528654570002581	0.0	0.0	0.0	-0.05212933487700677	0.07609097350017109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016377402956449804	0.0186087508665524	0.0	-0.08133931512185759	0.018391373579467137	0.03287034409905012	0.15613979852271512
ENSMUSG00000078970	0.0	0.0	0.02887044212368715	0.0	0.012514294974839912	0.0	0.02778169523717334	0.11192825513028937	0.0	0.0	0.0	-0.05234384471005406	0.017069748508558823	0.0	0.0	0.0	0.024201896509820495	0.0	-0.09351470257966873	0.0	0.03993684871798329	0.3871396448425996
