	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000040164	0.04434846802624203	0.0	0.028332413942605602	0.0	0.0	0.0	0.10928776899211924	0.0	0.009686053746440833	0.0	0.0	0.0	0.003684706861761422	0.009070621832485956	0.0075991892968816435	0.0	0.05516233666022367	0.0	0.08161023414950991	0.0	0.09063391341431655	0.0
ENSMUSG00000113134	0.0	0.0	0.0	0.0	0.0	0.0	-0.05063421957188	-0.03538032378615392	0.0	-0.007078081032111934	0.0	0.0	0.0	0.018393062850586228	-0.012694059082643622	0.02826114285736298	0.022169328575832797	0.0	-0.1947617216054011	-0.009156343011032091	0.0	-0.061642981373302236
ENSMUSG00000113620	0.021065603600793008	0.0	0.014560845216620516	0.0	0.0	0.0	0.0	-0.057888379599779514	0.0	0.0	0.0	0.021389155399420285	0.023152464572099286	0.0	0.0	0.03539033993275094	0.04958038835825644	0.0	-0.09875702444394593	-0.0710686256313217	0.0	-0.07719612458101308
ENSMUSG00000079244	-0.07423813352934633	0.0	-0.07129761646358514	0.0	0.0	0.0	-0.1382867852981435	0.0	-0.0206854582384329	0.0	0.0	0.0	-0.035896072274355297	0.0	0.0	-0.013226552782780177	-0.06999841482401187	0.0	-0.20976583155409767	0.0	-0.06776270771726788	-0.11595659767130777
ENSMUSG00000090481	-0.29497878430550944	0.0	-0.37270801976110135	0.0	-0.11564922430004272	0.0	-0.33240642417933647	0.0	-0.10958340196319849	0.0	0.0	0.0	-0.29184020484322887	0.0	0.0	0.0	-0.4409904179550533	0.0	-0.4272505424197437	0.0	-0.6479140359194845	-0.29578509397627206
ENSMUSG00000017747	0.0779454296521215	0.0	0.05995175573158824	0.0	0.06513473459840419	0.0	0.052287729232386296	0.035084468488753254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010765864654723845	0.08265617029693224	0.0	0.0	0.02933716575421779	0.028782334343698264	0.022700428931326046
ENSMUSG00000085041	0.017958298672846637	0.0	0.04203999631941079	0.0	0.0	0.0	0.0	-0.043067669976323136	0.0	0.0	0.0	0.014405095706220686	0.0	0.0	0.0	0.020004621889110053	0.09255997400726998	0.0	-0.14957075411489149	-0.027297387564763024	0.016634890619111897	-0.09034143124884798
ENSMUSG00000092386	0.031599395770863424	0.0	0.018682744564407133	0.0	0.0	0.0	0.058868003816477554	0.0	0.010704261084919287	0.0	0.0	0.0	0.02815437597318807	0.0	0.0	0.02356203798057845	0.018218878466543086	0.0	0.443860761168147	0.05775881145772792	0.1360881377146086	0.0
ENSMUSG00000024201	0.034280419975576126	0.0	0.021483737082648877	0.0	0.002545444316038814	0.0	0.017765625113893676	0.09123541970037706	0.0029118127887352773	0.0	0.0	0.0	0.020294456459373108	0.0	0.0	0.0	0.030895804571902434	0.0	0.0	0.0	0.024352281086166966	0.20329683721100558
ENSMUSG00000045414	0.0	0.0	0.014065622781732144	0.007325654616786503	0.0	0.0	0.19272943775275717	0.080246495395876	0.0	0.0	0.0	0.0	0.0	-0.04239965088903652	0.0	0.009570458787500326	0.02074422678950647	0.0	0.0954583647391022	0.0	0.040619258518769574	0.2917911125788128
ENSMUSG00000075114	-0.06306660346428465	0.0	-0.02101823534516281	0.0	0.0	-0.00915692995472861	-0.17340060000808727	-0.03805304560127901	-0.046384990029712456	0.0	0.0	0.0	0.0	0.0	-0.02042818230229916	0.0	0.0	0.0	-0.18577395475990405	-0.019074801779951425	0.0	-0.08129871415230638
ENSMUSG00000034854	0.0	0.080424459650921	0.0	0.0	0.0	0.21374382812984294	0.1938781704867205	-0.22454524434455045	-0.04735866533817257	0.23752679603024798	0.0	0.05246783983314888	0.0	0.0	0.0	0.0	0.0	0.1977858653277881	0.0	-0.06101768635942605	0.0	-0.11054482694414287
ENSMUSG00000072082	0.02058980152702058	0.0	0.017627975390962506	0.0	0.0	0.0	0.10194559499939095	0.1116797220875785	0.0029018912735148117	0.0	0.0	0.0	0.04149111655772087	0.0	0.0	0.0	0.025526723667527344	0.0	0.23890384797784933	0.0	0.05214402656136973	0.2227027334905015
ENSMUSG00000087194	-0.08458416110924705	0.0	-0.10149067258742299	0.0	0.0	0.0	-0.1308354031578482	-0.032517905133537583	-0.05673221123696636	0.0	0.0	0.0	0.0	0.0	-0.05051088425170796	0.0	-0.06473801277236571	0.0	-0.2659565241623527	0.0	-0.09343085097345274	-0.28291211238097297
ENSMUSG00000056271	0.04489662445648101	0.0	0.05049491874234935	0.0	0.020060557608964774	0.0	0.0	0.0	0.021978659591882752	0.0	0.0	0.025539491536414858	0.0	0.014542391240941744	0.0	0.0	0.05972815002841114	0.0	-0.2084904260352681	0.0	0.024468594210664767	-0.09413599565087423
ENSMUSG00000038372	0.0	0.0	0.0	0.0	0.009717050935921028	0.0	-0.06939684365653685	0.02918113615590996	0.0	0.0	0.008408229520282596	-0.02498992180436104	0.0	-0.012751609350068444	0.0	0.017732708234035444	0.0	0.0	-0.24755916246048532	0.0	0.03390989716344701	0.013032234589903652
ENSMUSG00000034028	0.0	0.0	-0.029352105269601338	0.0	0.0	0.0	-0.10228132976365309	-0.013986920414408216	-0.022966548428014037	-0.007463673774822599	0.0	0.0	0.0	0.0	-0.024537144006528185	0.0	-0.016991733459058248	0.0	-0.14703944931180024	-0.04592713225865453	0.0	-0.10331708006996781
ENSMUSG00000057219	0.0395312090038479	0.0	0.03611447824243702	0.0	0.0	0.0	0.07594732820913094	0.055442629520023254	0.0	0.0	0.0	0.0	0.023443740034899463	0.0	0.0	0.0	0.05546570548116377	0.0	0.22771108182415992	0.04569450089103893	0.06105698647726944	0.08889663637828699
ENSMUSG00000029178	0.023692466598873817	0.0	0.01826565040421769	0.02190754637318276	0.0	0.0	0.23853755735053597	0.07020877629563158	0.011907590624535835	0.0	0.0	0.0	0.05242821855094523	0.0	0.0	0.0	0.0	0.0	0.5885897999164226	0.0	0.1726116975208007	0.3050183522355074
ENSMUSG00000019804	0.03423000287268529	0.0	0.026911929252852667	0.01996240431962959	0.0	0.0	0.08670788846777115	0.11287517978704993	0.0	0.0	0.0	0.0	0.034938376793610226	0.0	0.0	0.0	0.028630880982846923	0.0	0.13791128002567898	0.0	0.03283345682812622	0.2789332164286037
ENSMUSG00000001415	0.029156387360731784	0.0	0.02477390663948983	0.0	0.0	0.0	0.13939757769963648	0.15448891251120597	0.0	0.0	0.0	0.0	0.026741535280740754	0.0	0.0	0.0	0.0247413885887589	0.0	0.3948658628797838	-0.2842425660126232	0.06904196820055868	0.3895703572977462
ENSMUSG00000087553	-0.04336538765569379	0.0	0.0	0.0	0.0	0.0	-0.02400105026568815	-0.06066358631593845	-0.03998620749947583	0.0	0.0	0.0	0.0	0.0	-0.023698818110888475	0.0	-0.03953211470156265	-0.03549951085497829	-0.20861002815245566	-0.0570143105827448	0.0	-0.09622903780184465
ENSMUSG00000030172	0.019366877190764624	0.0	0.015379310109425937	0.0	0.0	0.0	0.0	0.12602284375451345	0.008535216196676515	0.0	0.0	0.0	0.02650305744976956	0.0	0.0	0.0	0.02109878761064635	0.0	0.05175501785891197	-0.03753078614012306	0.030177947802515898	0.30741775060088805
ENSMUSG00000085444	0.03046273379171709	0.0	0.0	0.0	0.0	0.0	0.03692162145353071	-0.06007269667651171	0.0	0.0	0.0	0.014135732080977209	0.02206384212803499	0.0	0.0	0.023136619397873433	0.038370208620354965	0.0	-0.10065109340184905	-0.030482148085553877	0.0	-0.07503001427123618
ENSMUSG00000072949	0.04254791640288297	0.0	0.03366903411806383	0.0	0.0	0.0	0.06910231531814576	0.035038603753012834	0.03121923017148095	0.0	0.0	0.0	0.01828586306564172	0.0	0.0	0.0	0.06504333997909133	0.0	-0.09724188393921901	0.0	0.024867870112965748	0.015462284686262897
ENSMUSG00000030291	0.0	0.0	0.019111607815503875	0.0	0.0	0.0	0.11916255456440412	0.046902411181131004	0.019047594111060724	0.0	0.0	-0.05045697256105597	0.03295416773312492	0.0	0.0	0.0	0.01690895490372884	0.0	0.4732862415768542	0.0	0.08355340508148264	0.2682987439588449
ENSMUSG00000109958	0.0323785980198174	0.0	0.026817583424129206	0.0	0.03476009898652023	0.0	-0.04764298124989381	0.02839740853216266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015314984016307123	0.0	-0.2342930938877436	0.020673522986347927	0.026114802373500157	0.059945274961281415
ENSMUSG00000024909	0.049980090814707355	0.0	0.0516821124151943	0.0	0.03049559917860053	0.0	0.08085375530645576	0.03745196440434849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0628398254334751	0.0	0.2296549411502336	0.029681693292655242	0.04744042707391355	0.0844941622306714
ENSMUSG00000064036	0.0	0.0	0.029408179636260558	0.0	0.014506002710938999	0.0	0.08248101081372361	-0.03649595105892901	0.0	0.0	0.0	0.01845030666436881	0.016005004659870987	0.0	0.0	0.0	0.04690466861789172	0.0	-0.18744645807696222	-0.01933785993519907	0.0	-0.0962377499242013
ENSMUSG00000000131	0.010981962278082005	0.0	0.0136629951400817	0.0	0.0	0.0	0.06897506642862253	0.12369347002651053	0.007596013936428947	0.0	0.0	0.0	0.03634791520979551	0.0	0.0	0.0	0.013297835768772576	0.0	0.09722584700876673	0.0	0.03735221178800284	0.23005730716107475
ENSMUSG00000053730	0.041761045752471276	0.0	0.036640233114271024	0.0	0.019102426205835674	0.0	0.02003344030463505	0.10004652766896859	0.0	0.0	0.0	0.0	0.016497253354664565	0.0	0.0	0.0	0.03963699944868462	0.0	0.02109209236885554	0.0	0.03186929988521835	0.2088966636317316
ENSMUSG00000057130	0.022960289735849508	0.0	0.0157035801445108	0.0	0.0	0.0	0.1218401467321457	0.06438148238498642	0.00965253292650381	0.0	0.0	0.0	0.05184466429429471	0.0	0.0	0.0	0.026308234261176476	0.0	0.467482600379786	0.0	0.10067393368911803	0.2587766862863919
ENSMUSG00000054169	0.03359774039353365	0.0	0.032636344056592326	0.0	0.0	0.0	0.0	-0.0690381130942747	0.0314945273915083	0.0	0.0	0.0	0.02625278232816615	0.0	0.0	0.0	0.04001828529419688	0.0	-0.22712318267808654	0.0168075630698743	0.026393876597280153	-0.07342793053546201
ENSMUSG00000072640	0.02688570166771417	0.0	0.032009863525429214	0.0	0.0	0.0	0.025549521026241473	0.0531617609829708	0.014543001674121625	0.0	0.0	0.0	0.014154024385845898	0.0	0.0	0.0	0.042488481200187486	0.0	0.0	0.01951976248742478	0.034945299704544505	0.10193128723306136
ENSMUSG00000111733	0.046766821782941774	0.0	0.04519550808604189	0.0	0.0	0.0	-0.023085907081634927	-0.07567582571774836	0.020995686248476086	0.0	0.0	0.0	0.040015359135717556	0.0	0.0	0.032504622611370534	0.0	0.0	-0.14468695329669076	-0.07887409299621097	0.0	-0.06577824198922913
ENSMUSG00000092618	0.06471275886247468	0.02395084018777646	0.07168256307030385	0.0	0.0	0.0	0.0	-0.035929618078150614	0.04511360851446973	0.0	0.0	0.0	0.027870932188847276	0.0	0.0	0.0	0.0568046285297015	0.0	-0.1750534983217178	-0.02680656193257589	0.0	-0.07032476272631062
