	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000023032	0.0	0.016023810330612065	0.0	0.022721530820841173	0.0	0.0	0.021135800476672004	0.19874366661776927	0.0	0.019060894332972617	0.0	0.0	0.0	0.0	0.0	0.18577687887302322	0.0	0.027087273870444174	0.0	0.09019131503909418	0.017229729939135713	0.23059305327915938
ENSMUSG00000027411	0.0	0.016949359186104542	0.0	0.030741406298565522	0.0	0.0	0.0	0.24097615801685	0.0	0.013018163080981138	0.0	0.0	0.0	0.0	0.0	0.2660187294681285	0.0	0.053208290076021715	0.020250724726535392	0.3600343662949668	0.02313939272883346	0.35811910345109477
ENSMUSG00000118167	0.0	0.027661125370170774	0.0	0.0	-0.01351505968884099	0.0	0.0	-0.047242946995258155	0.0	0.03220725115207113	0.023274234895357154	0.0	0.0	0.017763458445402808	0.0	-0.07972882443559022	0.0	0.02439548704355397	0.0	-0.1012745107492554	0.0	-0.08649417400730922
ENSMUSG00000028886	0.0	0.012957447634561832	0.0	0.01863278061830146	0.0	0.0	0.0	0.25637934426463793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2582743679543234	0.011635365295036948	0.05048374646654897	0.022060868571462108	0.3173868028770514	0.01626136947400084	0.3923153935162632
ENSMUSG00000059049	0.0	0.013801415312835533	0.0	0.0	0.0	0.0	0.0	0.01926915730123338	0.0	0.01300513883084627	0.0	0.0	0.0	0.008498802720800332	0.0	0.06602591491160943	0.0	0.011190353121493354	-0.04254795500628531	0.015908182900559523	0.013524087010287721	-0.1072412844774587
ENSMUSG00000057534	0.0	0.029677188378923566	0.0	0.0	0.0	0.0	-0.054484719851783686	-0.04322597157381718	0.0	0.023670910897488538	-0.041344520036196264	0.0	0.0	0.0	0.0	-0.06615487721404559	0.0	0.02080530028549013	0.17833660645981472	0.09605459616492999	0.02810585960850431	0.0
ENSMUSG00000058835	0.0	0.011778787837313717	0.0	0.0	0.0	0.0	0.00923100295662116	0.2566520773201185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2844064758162823	0.012098635522143445	0.06348151376896816	0.032665172741772254	0.25423871586762636	0.013175497253397974	0.34680277064142656
ENSMUSG00000067916	0.0	-0.1574680496713787	0.0	-0.11420950026361223	0.0	0.0	0.0	-0.3049704823700621	0.0	-0.1565479884584337	0.0	0.0	0.0	0.0	0.0	-0.26697777658907396	-0.1022620859461898	-0.10216715760410182	0.0	-0.6077277641311778	-0.23873834053004447	-0.506148212036599
ENSMUSG00000001156	0.016237523154608677	0.0	0.0	0.0	0.0	0.0	0.0	0.14597302274366036	0.0	0.024703324448638975	0.0	0.0	0.0	0.0	0.0	0.03472212953229514	0.013034105998451782	0.017047525369104588	0.057246928955869046	0.1472561610218493	0.024266879894282122	0.22253109711177368
ENSMUSG00000059486	0.0	0.0	0.0	0.040659413606090114	0.0	0.0	0.019099181616434313	0.2531458170087871	0.0	0.023855283499660606	0.0	0.0	0.0	0.0	0.0	0.28142291067585107	0.0	0.06431778677104286	0.05112279897841916	0.4488153091574326	0.0293035572972252	0.3416418357316025
ENSMUSG00000116851	0.0	0.02306411175492034	0.014131230815335183	0.0	0.0	0.0	0.0	-0.07623194964807757	0.0	0.02209410130455618	0.0	0.0	0.0	0.0	0.0	-0.02821503485211681	0.0	0.014307850698454824	-0.04711951997885694	-0.13596277855918515	0.012075498554502467	-0.12719456331595558
ENSMUSG00000024642	0.0	0.0	0.0	0.03798625623195311	0.0	0.0	0.017003235444010688	0.2406163273732263	0.0	0.017886739673727003	0.0	0.0	0.0	0.0	0.0	0.2471631493328395	0.0	0.06766510014048889	0.02142424263511695	0.4440046559742228	0.024977532157196308	0.393340859116596
ENSMUSG00000070003	0.0	0.0	0.0	0.033376537389422284	0.0	0.0	0.03184659788789041	0.18282819045663115	0.0	0.014987022711368203	0.0	0.0	0.0	0.0	0.0	0.1272479175015229	0.0	0.041486884501390764	0.08544904836407965	0.6244551954724594	0.07407873785229666	0.3505281901275218
ENSMUSG00000039205	0.0	0.024042871021416667	0.0	0.01891410917419665	0.0	0.017353420619752764	0.02055805552956916	0.12229456299202004	0.0	0.015564386119369299	0.0	0.0	0.0	0.0	0.0	0.04922114213647949	0.0	0.011805865299599372	0.0	0.051634746026701185	0.0	0.11099628771448913
ENSMUSG00000074578	0.0	0.0	0.0	0.029897844262696524	0.0	0.017966832113318842	0.0	0.2795247956500294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1780519570488824	0.02684759223727659	0.06184318537474607	0.18324499881516984	0.672677061518112	0.1605890908621409	0.37393691027140935
ENSMUSG00000042425	-0.02799526385457016	0.0	0.0	0.0	0.02379256146098755	0.0	0.0	0.04236716207292636	0.0	0.0	0.0	0.016935008618116976	0.0	0.016484895635896512	0.0	-0.08297302522981617	0.0	0.0	-0.032958939351302945	-0.15697813672746624	0.02307179901305185	-0.1697514352592731
ENSMUSG00000027164	0.0	0.0	0.0	0.022900083302818237	0.0	0.0	0.007694474376339189	0.22594903578003045	0.0	0.014586088181360545	0.0	0.0	0.0	0.0	0.0	0.2745485656145885	0.014537032860959321	0.023126648463632608	0.0	0.13011550091842175	0.011530394848285885	0.30661446932809905
ENSMUSG00000026484	0.0	0.008315214412409011	0.0	0.038747544373916205	0.0	0.0	0.0	0.23296762558167117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25455202366988217	0.009485316065691819	0.0314200204835974	0.016195991362249897	0.3297051340343584	0.017813444130358364	0.36041317810542917
ENSMUSG00000116852	0.0	0.0	0.0	0.017130474845859136	0.0	0.0	0.015518668548633235	0.2014622047066887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18077476079053703	0.012104623909055867	0.031511250918188925	0.014806739066971395	0.38848068696338184	0.02857210100402057	0.31199499784916557
ENSMUSG00000104334	0.0	0.027465191403867623	0.0	0.0	0.0	0.0	0.0	-0.062417178348803504	0.0	0.042633355248556506	0.0	0.0	0.025775993650647224	0.0	0.0	-0.0746210104691943	0.0	0.02598885878626902	-0.04840176164795867	-0.1343510263602196	0.02117030816286708	-0.03507695296630871
ENSMUSG00000097783	0.0	0.032839470004853426	0.032400341127546105	0.0	0.0	0.0	0.0	-0.09097172406807631	0.0	0.02578616603920661	0.0	0.0	0.0	0.0	0.0	-0.03096767498773847	0.03354829328025405	0.025379434272211187	-0.04201503129753897	-0.13019157526877814	0.0	-0.06445737830360423
ENSMUSG00000021236	0.0	0.012700169211806722	0.0	0.019055606571878162	0.0	0.0	0.0	0.23272709354527532	0.0	0.014342278474671838	0.0	0.0	0.0	0.0	0.0	0.29396408779265804	0.0138592472004575	0.03950870795809084	0.0	0.25900051429448046	0.016700623613747096	0.28129807812763186
ENSMUSG00000020617	0.0	0.015152284213293343	0.01989967184946918	0.0	0.0	0.0	0.0	-0.11426750380110463	0.0	0.032296809483242976	0.0	0.0	0.0	0.0	0.0	-0.0944136620010479	0.02356185739091596	0.027905362710067556	-0.054567556468039236	-0.11804139695603118	0.0	-0.07501191383090743
ENSMUSG00000085873	0.025935080232130554	0.0	0.019358972241875216	0.0	0.0	0.019130019280082636	0.0	0.14951264991973798	0.0	0.0	0.0	0.0	0.0	0.0	0.04739255095857638	0.22723030032586977	0.037669029307332874	0.0	0.0	0.07636804740056978	0.021715023092544392	0.07948128407193619
ENSMUSG00000031479	0.0	0.012252619799950982	0.0	0.028387651122862637	0.0	0.0	0.009867674362832535	0.211279872228221	0.0	0.012154827683404357	0.0	0.0	0.0	0.0	0.0	0.27541800804696415	0.0	0.05048620434785699	0.0	0.2762702119388561	0.018871197365499005	0.30542586140404754
ENSMUSG00000050079	0.0	0.008979155056031932	0.0	0.024669822496355923	0.0	0.0	0.0	0.29185712787477985	0.0	0.007234434749703755	0.0	0.0	0.0	0.0	0.0	0.30799425551456844	0.01240282720348499	0.04617145746377878	0.0	0.29009129742123047	0.01979036861395561	0.36960954155881603
ENSMUSG00000097167	0.0	0.019848328897740422	0.0	0.04618021035036273	0.0	0.018368650481529913	0.0	0.18693699434879127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18034098604166432	0.0	0.06490247478096196	0.11605696078836213	0.5424402525026054	0.0733017972048104	0.3914773490525331
ENSMUSG00000044125	0.0	0.0	0.0	0.0037323839141052417	0.0	0.0	0.0	0.20215414041792754	0.0	0.007833470208483252	0.0	0.0	0.0	0.0	0.0075391646964359125	0.294864522115532	0.0	0.028272650846634835	0.024457347899684397	0.33729509414804415	0.01687934617935589	0.30951824508250525
ENSMUSG00000032079	0.0	0.02984855350020889	0.016846455571578725	0.02781786765268323	0.0	0.0	0.0	-0.07581280524605158	0.0	0.0	0.0	0.019366745602195236	0.0	0.0	0.0	-0.07243617953750153	0.0	0.0	0.07794295531615664	-0.026247624591993698	0.04869780713216488	-0.07275166342934113
ENSMUSG00000024666	0.0	0.01358711610237151	0.0	0.02110791612223289	0.0	0.0	0.019065703016019685	0.28324202380332597	0.0	0.017789452801894392	0.0	0.0	0.0	0.0	0.0	0.2574041453608092	0.0	0.05526555199134811	0.0	0.2553241429000209	0.021310151813015123	0.2822576580882909
ENSMUSG00000027792	0.0	0.011231189923941485	0.0	0.0	0.0	0.0	-0.02161171985936583	0.11442154706767835	0.0	0.0	0.0	0.0	0.0	0.01571575605757732	0.019508234602558402	0.3426323308273757	0.0	0.0	-0.043916967570466994	0.1255717439122474	0.014951854035595001	0.025227547647241198
ENSMUSG00000031952	0.014183871730621578	0.016984773256791597	0.014018878288338086	0.0	0.0	0.0	0.0	0.10488344189239411	0.0	0.017299126010718726	0.0	0.0	0.0	0.0	0.0	0.10367616326411104	0.0	0.0	0.07973577756273847	0.11841850606845733	0.029969883991835262	0.013449459143789883
ENSMUSG00000074466	0.0	0.010957020992351858	0.0	0.022596409693162508	0.0	0.0	0.0	0.15144853980604395	0.0	0.017872925159323306	0.0	0.0	0.0	0.0	0.0	0.01552250344861829	0.0	0.005525166482854504	0.1072081709682615	0.13866633319726082	0.03826333546267555	0.1318954844957645
ENSMUSG00000025243	0.0	-0.0992731591467367	0.0	-0.10995624678563684	0.0	-0.06994439126960583	0.0	-0.312899989891105	0.0	-0.14006111196327467	0.0	0.0	0.0	0.0	0.0	-0.13340315551359244	0.0	-0.07343667259684204	-0.025369821100700518	-0.6553408593699415	0.0	-0.30174505836638954
ENSMUSG00000051758	0.0	0.0	0.0	0.016624246497567486	0.0	0.0	-0.006638996579946802	-0.07238529879163387	-0.008563181573386718	0.0	0.0	0.0	0.0	0.0	0.0	-0.05324379171834382	0.0	0.01851659738352077	-0.06852231243033083	-0.07118653661887225	0.014215492689162501	-0.13946023207730965
ENSMUSG00000001739	0.0	0.025476980465836113	0.0	0.004644270602758571	0.0	0.0	0.007899147722615305	0.0	0.0	0.018392568725707638	0.0	0.009131329412472857	0.0	0.007890417490446023	0.0	0.0	0.0	0.022727392653582187	0.010448677953735275	0.14149967717751488	0.014784796300120745	0.0
ENSMUSG00000057443	-0.015464202715646524	0.0	0.0	-0.01791929359528877	0.0	0.0	0.0	-0.15789693389115747	-0.014790048319730057	-0.02187444600820536	0.0	0.0	0.0	0.0	0.0	-0.12231248680731847	0.0	-0.0455629716736011	-0.06500962166555055	-0.09357369544324616	0.0	-0.07961346164778396
ENSMUSG00000026944	0.0	0.012348835533811497	0.0	0.02447647118541912	0.0	0.0	0.02045188500705327	0.16120794215665596	0.0	0.018918354212060402	0.0	0.0	0.0	0.0	0.0	0.1902509020170078	0.0	0.026851583119935383	0.0	0.14410986625830208	0.01773954600675874	0.22236875805700182
ENSMUSG00000097476	0.0	0.029425644505265382	0.029172571880421914	0.0	0.0	0.0	0.0	0.11293584079567114	0.0	0.009480487152014905	0.0	0.0	0.0	0.0	-0.03607930782011859	0.0	0.0	0.007091141489684137	0.059885361023309505	0.17939022443936609	0.0369392907957067	0.08642276371360354
ENSMUSG00000054452	0.017654896824237227	0.0	0.020370321607628892	0.013239788610884484	0.0	0.0	0.0	0.15209591561584548	0.0	0.017831372357312355	0.0	0.0	0.0	0.0	0.0	0.0581877126131426	0.0	0.0	0.07283088821900978	0.08825670476181048	0.02491060251133643	0.06673958897154927
ENSMUSG00000042606	0.0	0.0	0.0	0.039949719900342344	0.0	0.0	0.021066879327376057	0.2630382292357596	0.0	0.02056988904997814	0.0	0.0	0.0	0.0	0.0	0.2477744447543328	0.0	0.030247928632581186	0.05226396248068558	0.4962785184061886	0.046579267383913305	0.3085067152847571
ENSMUSG00000038508	0.04219639484989859	0.0	0.0	0.0	0.0	0.0	0.0	0.07864666334832379	0.023205545712875822	0.020909914296830395	0.0	0.0	0.01763631364649998	0.0	0.0	0.04076167643235831	0.0	0.0	0.12737024360144852	0.3145989390386033	0.12066810994308459	0.020346873016013036
ENSMUSG00000054008	0.0	0.01645281234535928	0.0	0.0	0.0	0.0	0.013686837523273154	0.17472452432356325	0.0	0.014826037317611786	0.0	0.0	0.0	0.0	0.0	0.17346373946671798	0.0	0.02874746532482412	0.020019592027746048	0.19802272556923114	0.015142242448846236	0.21771417363377044
ENSMUSG00000063297	-0.026867884645368358	0.02754923871040548	0.0	0.0	0.0	0.0	0.0	0.03138088304067841	-0.028788275401796255	0.029201533570809873	0.0	0.0	0.0	0.0	0.0	-0.0481476391048259	0.0	0.0	-0.059481642373920736	-0.0444989949443333	0.021371709993007054	-0.1051081197137707
ENSMUSG00000034488	-0.018801412392249955	0.0	0.0	0.0	0.0	0.0	0.0	0.13556085534248263	-0.020850005711497487	0.02078374102602835	0.0	-0.0221553283385382	0.0	0.0	0.0	0.15360810783266704	0.0	0.0	-0.03922493942602366	0.04935870449043082	0.016218849590328432	-0.03411456828204269
ENSMUSG00000068167	0.0	-0.15446323946137955	0.0	-0.10846574336125492	0.0	-0.054597893288161004	0.0	-0.28772607643017994	0.0	-0.19080494433582654	0.0	-0.05598219889832714	0.0	0.0	0.0	-0.23951601189140398	0.0	-0.1347947830531108	0.0	-0.7516567280406865	0.0	-0.5102966756712162
ENSMUSG00000012396	0.0	0.028635722542254122	0.0	0.022739419113860793	0.0	0.0	0.03222821198521051	0.1928830105696971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10756800187186867	0.0	0.02374508243737064	0.052810442425673336	0.40482817070414745	0.04601284929946489	0.2025744753716424
ENSMUSG00000112527	0.0	0.02205116430186004	0.012697208722749303	0.0	0.0	0.0	0.0	0.014015141410736268	0.0	0.007959846563066253	0.0	0.0	0.0	0.010872699686387752	0.0	0.0	0.008512339476476963	0.0	0.021564426771815474	0.17050130200789104	0.021728559420213123	0.0753549756636536
ENSMUSG00000026917	0.0	0.014841925969701242	0.0	0.020669486825745393	0.0	0.0	0.0	0.2883012933631462	0.0	0.016693957894351345	0.0	0.0	0.0	0.0	0.0	0.1998395057021459	0.0	0.041790598134455535	0.0575153172839501	0.33774632534440246	0.021423835826916118	0.351999664686354
ENSMUSG00000101334	0.0	0.017595279630601517	0.0108135231606093	0.0	0.0	0.010097315951067026	0.016541996056618852	-0.10498071763101643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.05701443091238276	0.0	0.0	-0.043370793149271766	-0.16577679461088232	0.008091058808612273	-0.1154316875219384
ENSMUSG00000027010	0.0	0.017599618803236437	0.0	0.0	0.0	0.015765168734239145	0.0	0.17519069487957817	0.0	0.0	0.0	0.0	0.012975417298415559	0.0	0.0	0.18259277824252046	0.0	0.04287105483515034	0.1033087281162814	0.3234147613442994	0.03898421248146564	0.27174198328078314
ENSMUSG00000027403	0.0	0.012657557476107566	0.015410961635886355	0.0	0.0	0.0	0.014209886280405482	-0.07796416920377705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06365395848793254	0.01804861212517252	0.0	-0.04338772652439671	-0.1640429086926318	0.011039852694904206	-0.16144936251286604
ENSMUSG00000022515	0.016155087925817213	0.0	0.0	0.014593860539533404	0.0	0.0	0.0	0.2512892670252097	0.0	0.015899447029317473	0.0	0.0	0.0	0.0	0.0	0.23443444073889108	0.0	0.04502779650696766	0.05486104319659039	0.2136621001870058	0.02288444385063534	0.3158151584925103
ENSMUSG00000026686	0.0	0.0	0.0	0.008037807222842055	0.0	0.0055652056008054784	0.0	0.13772165502562791	0.0	0.0162000386784081	0.0	0.0	0.0	0.0	0.0	0.16750078588132836	0.007736827823602259	0.018003500373621188	0.0	0.03220244520888549	0.010089306628233248	0.0583979746597628
ENSMUSG00000070601	-0.015323688008507853	0.0	0.0	0.0	0.0	0.0	-0.02132446263364731	-0.13428297850373933	-0.033756591150155106	0.0	0.0	0.0	0.0	0.0	0.0	-0.11351726501200729	-0.014955893870821635	-0.045525652012970666	-0.054180079504841765	-0.05174363878076382	0.0	-0.06329486140745441
