	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000042079	0.0	0.0	0.0	0.010727692601366452	0.0	0.014138303112635179	0.0	0.07298849958827755	0.0	0.00924331050487237	0.0	0.0	0.0	0.0	0.0	0.12133246397790919	0.0	0.01744113811862887	0.12282620369943388	0.23869338551454145	0.10513526517869483	0.05921186537864731
ENSMUSG00000046774	-0.0298687700339057	0.012019860932173271	0.0	0.0	0.0	0.0	0.0	0.0996570867536084	0.0	0.0	0.013035954558291415	0.0	0.00974790149611487	0.0	0.008334375505937212	0.153521471677284	0.0	0.007602143339044569	0.0	0.08852120565570253	0.0	0.06474403061585834
ENSMUSG00000016498	0.0	0.025054497630832128	0.01037444102511754	0.0	0.0	0.0085552723273993	0.0	-0.09844803374686348	0.0	0.0	0.0	0.007116723071659257	0.0	0.0	0.0	-0.12383117356995539	0.007222973612791284	0.0	-0.07272508712814782	-0.09996239706785641	0.0	-0.1446109106749228
ENSMUSG00000030172	0.0	0.0033344576765310663	0.0	0.023646544720668215	0.0	0.0	0.0	0.23590320386279018	0.0	0.006523250412486041	0.0	0.0	0.0	0.0	0.0	0.2693316690753693	0.008558192447928836	0.03608038228408	0.0	0.33172834999118295	0.01365448256089009	0.39158063777221985
ENSMUSG00000027999	0.0	0.018991848403664746	0.0	0.0	0.0	0.0	0.021188111349441652	0.16047395107850865	0.0	0.01915662075285405	0.0	0.0	0.0	0.0	0.0	0.19152333953680978	0.0	0.05197390573050714	0.020737619739487474	0.24728880558545216	0.01955361343135587	0.19141967201364177
ENSMUSG00000048230	0.009307293610340883	0.010159055808909098	0.0	0.0	0.0	0.0	0.0	0.14862321318749305	0.0	0.015001236049593667	0.0	0.0	0.0	0.0	0.0	0.07357477702243143	0.012022735162462982	0.029530263128578815	0.0	0.07667570106757982	0.012903198752377032	0.18732523067534326
ENSMUSG00000027555	0.0	-0.1551526768945929	-0.0918115631764258	-0.11365909497475123	0.0	0.0	0.0	-0.3610589451472221	0.0	-0.13359499135161357	0.0	0.0	0.0	0.0	0.0	-0.27041422616719923	0.0	-0.11611312941990967	0.0	-0.6456115672260203	-0.2633996243875639	-0.5246249462855813
ENSMUSG00000085773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042342339627788585	-0.01946335691408953	0.011982181977893178	0.015532278649478684	-0.02444348649493637	0.0	0.0	0.01642429664609455	0.06864211194110384	0.0	0.0	0.0	0.22912483759341254	0.006198052852489033	0.08250233590443565
ENSMUSG00000041203	0.0	0.0	0.0	0.027297853547655248	0.0	0.0	0.035179220563791344	0.195482607917399	0.0	0.019483769668693807	0.0	0.0	0.0	0.0	0.0	0.1390781830281544	0.0	0.021712589809442715	0.052977224436290694	0.4260598879026831	0.04478034278226424	0.32569254491814953
ENSMUSG00000121484	0.0	0.02705530172737285	0.0	0.032590481606982094	0.0	0.0	0.0	-0.05902631732795431	0.0	0.016564849038895144	0.030853894131683657	0.0	0.0	0.0	0.0	-0.02881993804437115	0.03904629677154019	0.0	-0.038334955995800224	0.0	0.021081520131689513	-0.07640680589518284
