	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000029413	0.0	0.021217862377684464	0.021542872093300525	0.0	0.0	0.0	0.0	0.1808378648242411	0.0	0.022855288789649857	0.0	0.0	0.0	0.0	0.0	0.2012835334965925	0.0	0.022445186468709924	0.05418657994220203	0.16899578644560379	0.028816781319164837	0.21568849366426732
ENSMUSG00000120687	0.0	0.0	0.0	0.029662304825041282	0.0	0.026723193398107532	0.0	0.30127469973102927	0.0	0.02145246540856527	0.0	0.0	0.0	0.0	0.0	0.2412510913772831	0.0	0.06496147669969678	0.13951643522653032	0.5330757718630595	0.054848003623205174	0.48225388671220104
ENSMUSG00000104572	0.0	-0.1655887365372985	0.0	-0.11202794918705722	0.0	0.0	0.0	-0.26840281004542416	0.0	-0.1595647500796873	0.0	0.0	0.0	0.0	0.0	-0.24852549188056472	-0.07889800132592883	-0.09558489150972298	0.0	-0.6011243075256695	-0.25627452914556953	-0.47385177715157434
ENSMUSG00000087586	-0.036095267584545856	0.0	0.0	0.0	0.026847126612675503	0.0	-0.019641925463134022	0.0	0.0	0.0	0.0	0.07855209928468411	0.0	0.020525333996920483	0.0	0.03016192396467089	0.0	-0.024461947029400105	-0.04127463150544917	0.0327795279336188	0.0	-0.09021065695950946
ENSMUSG00000022517	0.0	0.021852215516341984	0.0	0.017801151768281898	0.0	0.0	0.0	0.22031197651487702	0.0	0.019053543383505546	0.0	0.0	0.0	0.0	0.0	0.14590520447247626	0.0	0.048127171413029926	0.05984130124208565	0.39018622481801823	0.031304595939607334	0.3060284050932711
ENSMUSG00000080880	0.0	0.054731682858316144	0.026356666643886584	0.0	0.0	0.0	0.0	-0.07281263599559602	0.0	0.05968780931275038	0.0	0.0	0.0	0.0	0.0	-0.05431373673632689	0.02877522523358073	0.037718297239268755	-0.03966917797022557	-0.0780691040692331	0.0	-0.0548369702970612
ENSMUSG00000052271	0.0	0.031236382865380663	0.01549298537838509	0.01671719948765146	0.0	0.0	0.0	0.05265246360367593	0.0	0.0334353496679746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013188459191866052	0.051136382829753774	0.16929123279158362	0.015559047718799634	0.01201743207078304
ENSMUSG00000030259	0.0	0.0	0.0	0.014309225761197588	0.0	0.0	0.01110614267708887	0.23007009685490576	0.0	0.016905253363684074	0.0	0.0	0.0	0.0	0.0	0.237245347081993	0.016229781358509315	0.03756908291666031	0.0	0.16859509032133066	0.01992378265752725	0.2830100385182864
ENSMUSG00000118491	0.0	0.0	0.0	0.05804978418585459	0.0	0.0	0.023621245857824553	0.24952930579022878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2338433591874196	0.018579126557945802	0.05115060530643607	0.04714653632273823	0.6294617992323965	0.03110566465003415	0.497603768835056
ENSMUSG00000114430	0.0	0.05144342697643828	0.0	0.03829270132254662	0.0	0.0	0.027619034701368204	-0.0364261570466237	0.0	0.036192726149896055	0.0	0.0	0.0	0.0	0.0	-0.035914635154733754	0.0	0.0	-0.017868829935500347	-0.04882594945902016	0.027977015917893176	-0.04818926340718839
ENSMUSG00000085695	0.0	-0.03384464430817147	-0.028602938173702044	0.0	0.0	0.0	0.0	-0.14239532490630977	0.0	-0.039322001215840646	0.0	0.0	0.0	0.0	0.0	-0.07548040588816331	-0.016218821004292394	-0.024775684962720274	-0.03348553955031883	-0.17391559189679315	0.0	-0.15262571778034417
ENSMUSG00000031443	0.0	0.009712091511928575	0.023846694984334737	0.0	0.0	0.0	0.0	-0.11325439241540118	0.0	0.020814726198365982	0.0	0.0	0.0	0.012078425547078275	0.0	0.07239910476110963	0.033698286834620575	0.012484508179176842	0.0	0.0	0.014429071215825599	-0.11022827014147918
ENSMUSG00000113620	0.0	0.03090861604865127	0.0	-0.01628730637183887	0.0	0.0	0.0	-0.08966850116769441	0.0	0.049366992385519136	0.0	0.0	0.0	0.0	0.0	-0.057447305820206726	0.017491155891981806	0.0	-0.037934938751347014	-0.13019030387854488	0.017228470621943714	-0.06597527177275958
ENSMUSG00000014529	0.0	0.02795015712665057	0.0211125227444246	0.0	0.0	0.0	0.0	-0.045249984350844506	0.0	0.0280458226270192	0.0	0.0	0.0	0.0	0.0	-0.07846438275755778	0.02480140302047244	0.02084545329805074	-0.07173655687171736	-0.031172632086787163	0.0	-0.08975008999438534
ENSMUSG00000024474	0.0	0.0	0.0	0.018505146551306282	0.0	0.0	0.0	0.2875716484215557	0.0	0.023530809214674087	0.0	0.0	0.0	0.0	0.012069595421073486	0.35259193822260015	0.011345887813174175	0.022075691592163767	0.0	0.2680857174584453	0.010282234118148992	0.35585574820772015
ENSMUSG00000079654	0.0	0.01662915130810381	0.0	0.021806095211096905	0.0	0.0	0.0	0.17088128976721684	0.0	0.007447055234500843	0.0	0.0	0.0	0.0	0.0	0.19463059221286358	0.0	0.01225971079687449	0.043056929930738855	0.10097099536079554	0.014504880771230185	0.1659320772092686
ENSMUSG00000032750	0.0	0.013468452292798227	0.0	0.0	0.018456830543234864	0.0	0.0	0.17302171667742733	0.0	0.0	0.0	0.0	0.0	0.022882692118073582	0.0	0.1283350919401386	0.0	0.004122433418523863	-0.04354115808622205	0.05314402482679772	0.0115587151642476	-0.05644766458510105
ENSMUSG00000066027	0.0	-0.16267720014034603	0.0	-0.09063314527807931	0.0	0.0	0.0	-0.27449632917077255	0.0	-0.14388688699253693	0.0	0.0	0.0	0.0	0.0	-0.23683424881542633	-0.09340206746853676	-0.10827992502093395	0.0	-0.6118936768299833	-0.25556875859291556	-0.482171006078966
ENSMUSG00000027374	0.0	0.014967364562523814	0.0	0.026816865662455804	0.0	0.0	0.0	0.2502483886560347	0.0	0.014145317626540699	0.0	0.0	0.0	0.0	0.0	0.19589074183004332	0.0	0.0429380077803715	0.04774989062252865	0.32389337669204693	0.020143154961741953	0.4217798366028348
ENSMUSG00000026028	0.0	0.015569116195664591	0.0	0.012724657256223008	0.0	0.0	0.0	0.294297910942359	0.0	0.0	0.0	0.0	0.011252558601468676	0.0	0.0	0.3214448589405082	0.014031968180573964	0.05619075571020017	0.0	0.2572077251454355	0.01575308451267631	0.359123986346227
ENSMUSG00000095550	0.0	0.0	0.017281769455612685	0.0	0.0	0.0	0.0	-0.08139451484857062	0.0	0.017455593147050318	0.0	0.0	0.016193544991092684	0.0	0.0	-0.08280246518936955	0.01811988352738897	0.0	-0.049816869607529506	-0.06306184370236725	0.016419757687564762	-0.0735631214692234
ENSMUSG00000090849	0.0	0.015121163331687473	0.0	-0.03463909317001485	-0.01824002376826152	0.0	-0.014677792376156185	-0.10330479982528154	0.0	0.016959802305637317	0.0	0.0	0.0	0.0	0.0	-0.15979489789863657	0.02050798625601057	0.0	-0.04460386933798589	0.0	0.02638403112196972	0.0
ENSMUSG00000025240	0.0	0.005344946090792835	0.0	0.022592153426904762	0.0	0.006145751681132598	0.0	0.28292117891933016	0.0	0.015412311845116532	0.0	0.0	0.0	0.0	0.0	0.35418541656555624	0.0	0.040487586141999626	0.0	0.21982098688123466	0.015757808822824133	0.35470281419060956
