	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000025779	0.04174168116517026	-0.015725633520125248	0.003443695457146092	0.01381840265960688	-0.039275513666957015	-0.08505280766263992	-0.09236719637788857	0.016786197566896723	0.021099492269135045	-0.027139168022986944	-0.010971857206800642	-0.0195231903320406	0.004484413002785201	-0.05627994144895278	0.013566259328429432	0.03414578123704773	0.056634854983269124	0.02124009415763222	0.002022685216372675	-0.05180197172465581	-0.0011622814839601947	0.14115719126005838
ENSMUSG00000040225	0.025828790003564275	-0.014844467513527564	0.007617985033418519	0.02583167673631569	-0.05689536570546651	-0.08462149054029093	0.18293527445682092	0.030646816466641292	0.021089823184588692	-0.030942271007344258	-0.008520706023631896	-0.029373488663708997	0.02533471472543292	-0.06595349712501031	0.013400552631417859	0.032218724981204844	0.0184027531386414	0.022431887048091816	0.23850115755793558	-0.04691108899411034	-0.010215742704076776	0.41358301339824827
ENSMUSG00000000552	0.0619105927380723	-0.01573227462305472	0.029625588717340424	0.019933355812051218	-0.07036481500786723	-0.029464810436974572	0.3550816922538463	0.02847215144334309	0.04030601486718573	-0.03229871937258576	-0.013396387781969093	-0.0074402197009847855	0.04525018474973179	-0.03652423525092952	0.03270374044048679	0.02239162227288613	0.07136397936528088	0.017596965439494856	0.28491448522819873	-0.01395366090230095	-0.019604386755071996	0.270551452193667
ENSMUSG00000025354	0.05719503161908603	-0.021185372291776645	0.025791857761131992	0.02220660813903179	-0.04363405481168844	-0.11969475143921608	0.11332406456975325	0.030910283178128294	0.03640495330574357	-0.01585316262822582	-0.009358163038606286	-0.027934077736281402	0.020427917282509804	-0.06177034545737637	0.016235684638512434	0.02882390055648822	0.062115336837960125	0.018294209191860183	0.24789704830606765	-0.039385245374790635	-0.0070845601282090095	0.4594359284333506
ENSMUSG00000116857	0.06627524320352968	-0.007612262401498436	0.03370147591657438	0.009295409359232242	-0.058367521891997856	-0.014356045334483203	-0.0021804161915111434	-0.013751580511330307	0.04141864790340601	-0.03132025881920765	-0.007705999163242801	0.012846137100704478	0.030009054703442006	0.015439258156852325	0.023244487111227223	0.015192313866300784	0.0704027623385096	0.005921452456410749	0.08379046491939998	0.0018654271218062407	-0.009941240912013942	0.015456561380713685
ENSMUSG00000032462	0.054312426081297493	-0.008526999628885465	0.024729383116647238	0.01867136743842063	-0.056240440955844385	-0.07559039005113427	0.09817333451914548	0.030730255636789577	0.035222374093909006	-0.013253637733497652	-0.009815986072146772	-0.03370258168951419	0.030113776784315826	-0.07210030469479409	0.023078857873103483	0.031568318051554384	0.06043682546249722	0.02543140254438843	0.1837471416360146	-0.0493235077130857	-0.00851254630094756	0.32633150232455027
ENSMUSG00000031681	0.056611819311651615	-0.012665933902116757	0.02706582678296538	0.020137068332294415	-0.050951178307917656	-0.08348556190741187	0.13867482276590207	0.028851535699707356	0.03531835346350043	-0.014290097910783783	-0.011972668623568623	-0.03154938045219669	0.032394373870578023	-0.07132660447160855	0.028992951853013926	0.034542274190946236	0.05658666217164243	0.023148620400643884	0.14267560724468653	-0.03916985107699404	-0.006779013096578369	0.3837224801074197
ENSMUSG00000074064	0.06291507171828346	-0.01864519145941591	0.03001984562880268	0.017470204177516435	-0.04647402644310232	-0.06895681970618123	0.10963779950425409	0.026917616318098435	0.03920620488252279	-0.02733881357145517	-0.009179284587774604	-0.03137547139112138	0.018843045590941042	-0.07214052320920997	0.026237351530354617	0.034409969276707704	0.06346157890816646	0.01756521055383995	0.13603239015502125	-0.023773741592773352	-0.006021798537228946	0.27371082154129844
ENSMUSG00000031505	0.05910081921993224	-0.026776915169708527	0.02651420405683869	0.02206090689531984	-0.0411129785155867	-0.10492408249440868	0.08053779229597549	0.028869178867781037	0.03764226887011403	-0.043638429371675266	-0.009979923710501623	-0.031199150863306654	0.024648168849275804	-0.06500358027926233	0.025496028510426053	0.03494949746004808	0.064584410555881	0.021645926597435146	0.4172468425880144	-0.03908116181679314	-0.006778817618059011	0.3998069715589229
ENSMUSG00000003824	0.0538099474632649	-0.027001883428014774	0.02893871790452564	0.022357760039284857	-0.059746601345025685	-0.10390723497605182	0.08170106877996336	0.02512467406127922	0.03959825887942388	-0.03886416336071409	-0.011557004146181004	-0.02409875596437986	0.018236865177642017	-0.06265838939278638	0.026766878613294808	0.03211282619029792	0.05252855578711643	0.022666486134196417	0.4017954697882272	-0.048195355443884653	-0.012281556111145796	0.32015610974849856
