	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000029627	0.054400868294028605	-0.015077071235546101	0.0272369141262763	0.01820435883979172	-0.04552221990901437	-0.07319072191844388	0.05279020960694865	0.02638169012063876	0.050979962849678845	-0.03171289535713953	-0.00925799956588094	-0.01900505137371541	0.012984071455162397	-0.040900775394303174	0.02039052683223065	0.01169541385449583	0.041681673809962856	0.024707216990001873	0.42143749433606403	-0.04069496950061355	-0.006506011173994221	0.3397732256470476
ENSMUSG00000086987	0.03398328797901117	-0.009918884701442329	0.024934906772539893	0.006952705986673587	-0.06257006782387516	-0.03354713646317999	0.20276688810342605	-0.00830556112885203	0.03834287523437766	-0.00040561243635228944	-0.007098316913880698	-0.0032963791070712203	0.04609282243602024	-0.003845795846685963	0.032384266043043425	-0.011991063767695504	0.04654500643482406	0.008762345312585136	0.11356299279263479	0.00810052031700297	-0.0043007606100648205	-0.0564912760426439
ENSMUSG00000104586	-0.015290206106957444	-0.021495597501424192	-0.004680656016885769	0.01395914115956875	0.024539558556734783	0.008310966836051861	-0.1199133232845719	-0.008451030038625275	-0.01670565185297171	-0.015565785120804993	-0.0004812884484875304	-0.005804294359875563	-0.0013035718979373624	0.0005644107675855026	0.01220241609263686	0.019975211881439952	-0.00956500416097307	0.00414289698533889	-0.26642915286984586	0.01042672799702761	0.009060807871999902	-0.04953754379751295
ENSMUSG00000033276	0.0599115276975203	-0.02084769476945003	0.03174043017910192	0.015150945778072548	-0.045195933599436466	-0.0748356059937221	-0.009454009541476262	0.028956362510678516	0.04078576258869781	-0.0022980608968745852	-0.008521826362085384	-0.01732672440237438	0.033661005253523876	-0.06375372551635078	0.02559917072462594	0.033363449065600397	0.0723194619898693	0.02145885275744288	0.09741203769595788	-0.01922980807424892	-0.006215841797534665	0.28146235860965363
ENSMUSG00000005410	0.06609920639083225	-0.022889544049418415	0.03027033700877271	0.026795104358039855	-0.07131407526463433	-0.08197982288475389	0.2126180588257115	0.033453641585030995	0.044551931089222514	-0.021191652083780307	-0.014088711279021416	-0.022326669531125817	0.04246577469000188	-0.06204303163193034	0.03156430918115176	0.034080224560542154	0.07432485055112832	0.03172492206992117	0.5741805096300877	-0.08151355110362972	-0.012743430823880256	0.4221638710280895
ENSMUSG00000057363	0.048415220654163316	-0.0179557608669259	0.019801979761488186	0.01647150610774361	-0.04244537285202129	-0.10541855349146693	0.012412212809391239	0.03051037843709723	0.030335013124149022	-0.03588280775629873	-0.01059012717938495	-0.030676772748764562	0.017632828918261657	-0.07918323988653603	0.024897735371342784	0.03648347414285472	0.04965179790563735	0.031501659517847225	0.09748281420058434	-0.040213498745082586	-0.005869815974428712	0.3709394589469374
ENSMUSG00000031604	0.05758017577531299	-0.021165148318284855	0.023591357879260613	0.020345563892129784	-0.0661299927117083	-0.08966738374487745	0.25490708110051263	0.028066251475918156	0.036677947982530844	-0.027781216355491578	-0.015080567990242946	-0.018695364660103714	0.039202097780310086	-0.057889237727490044	0.03056262445435606	0.03166576609191059	0.0563350323786969	0.027044618532131522	0.4103310292179912	-0.030046055069551304	-0.01320749450130026	0.2682787691596582
ENSMUSG00000021624	0.04720741648557228	-0.03221986439388654	0.02706416840079699	0.013297359240348784	-0.04610718895158262	-0.10372579159180949	0.07928978234836676	-0.003325730303682831	0.03390076915555581	-0.03445307845581707	-0.010292159621687705	-0.017603060726352173	0.03597726092734065	-0.04340504244002618	0.029254578538048397	0.020143891207961003	0.05596365125690068	0.022262129960404137	0.10706240487254479	-0.009692536107299232	-0.002938646741028333	0.00446784473404556
ENSMUSG00000032079	0.07880570287347859	-0.018680357321156783	0.032330123980876015	0.015293343508905563	-0.08553598647694469	-0.0305258489339301	0.410796244504748	-0.01016358956379446	0.047305706524012815	-0.01781019531252296	-0.01901832369530519	-0.012773501732996542	0.04754831079498015	0.012658202916897843	0.040513229233153654	0.003996951993055686	0.0743011816147422	0.008273100297788221	0.3845422210060165	-0.00638342492996567	-0.019692386319231436	-0.04092849003944621
ENSMUSG00000041660	-0.16273451262748928	-0.00026017386389392606	-0.062050431595551146	0.0102218338924025	0.1376455587576423	-0.0381915946304898	-0.30091355560486294	-0.011105876188758634	-0.09135675088709166	-0.024338560949181014	0.026643526663929197	0.014244252272801053	-0.06299062009216717	0.03101182010582212	-0.02644052964614046	0.009424234462994816	-0.1732159096482609	-0.0029553981727658734	-0.7814900025064735	-0.00025491712649560415	0.039385131253682024	-0.031940387319796794
ENSMUSG00000050821	0.06203864974625776	-0.02432340460264823	0.03278473883849298	0.017337247453463576	-0.07307707960777585	-0.07345264807583561	0.3830220896809035	0.023742271680414692	0.03222204647439397	-0.035799904762969445	-0.015888316011244175	-0.014046885178078046	0.05513872405861843	-0.05104910822720728	0.043169546476303194	0.026476574679509958	0.08211833198931705	0.022265790416206604	0.416024485750298	-0.04269569383982901	-0.022842839520645693	0.2576237407548649
ENSMUSG00000029726	0.07278453302237368	-0.016858569043457068	0.02824094279043427	0.02455199172804266	-0.06959644995194456	-0.10176401642626907	0.485382547631665	0.030029112151598952	0.041481777801549116	-0.03898187093864435	-0.01140442121438833	-0.025320546745302017	0.022650827547739262	-0.06186455889379582	0.015116387521113616	0.031926274355541226	0.03486848687319928	0.029270941429477147	0.5784845220693128	-0.06962535538964396	-0.031116928132374395	0.5790845908954103
