	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000112833	0.05127878577314	-0.02034309711410498	0.01883563709057087	0.017356960823281656	-0.05280586615272552	-0.08657864350471547	0.03228993944035719	0.021756360604250076	0.03342157828556755	-0.009568808203568637	-0.009041726912685974	-0.01841102688509287	0.03172305478719547	-0.04490133290596815	0.020824958193413432	0.029869738406155696	0.05693669840622497	0.01785507213332418	0.1234926302377304	-0.03363950393308728	-0.006645970495443457	0.15877358358440433
ENSMUSG00000085047	0.06660449723181311	0.0036057634122424677	0.0227879088832214	0.012982369039190743	-0.01881605818036012	0.0036904407580098417	-0.022163179186965365	-0.011086634056230883	0.037087727445374995	0.007231030069084508	-0.008015147882363563	0.005994456620815296	0.0362571939219176	0.018947455851769514	0.030491634842664782	0.009293105861318617	0.07505097491327342	-0.00019517040460675767	-0.03688985975069711	0.021051946223771698	-0.00231615341429144	-0.09049018575101378
ENSMUSG00000022876	0.013282151725350673	0.0024115583608575117	-0.0029197742068643065	-0.005745823024639514	-0.03159341069083465	-0.006895985409442761	-0.0695393970504566	-0.00889922723407665	0.007220396644315282	0.0020066355618839717	-0.006620088719360597	0.016796245695957036	0.006593042654052699	0.026706375786926997	0.007269067165065104	-0.014493188468213567	0.012394204926987683	0.0011643756808724108	0.008924955352677205	0.006799029016035979	-0.0023721977274309353	-0.12582227208029817
ENSMUSG00000069796	0.09723967689009183	-0.009482918146820883	0.047717888080232494	0.008614361672818507	-0.09174511148706439	-0.04923845214433197	0.20500389540784902	-0.007489645243846132	0.03976741507442264	-0.023098058452310583	-0.018243754907319186	-0.008321979674349776	0.07682575457681076	-0.018024388137926808	0.058349490064355025	0.004581457359003906	0.08847672010590509	0.012610985515699622	0.17532134036402752	-0.00027403167013779117	-0.010492531429782988	-0.0071959428922789654
ENSMUSG00000110623	0.04294561725798277	-0.023213690170036286	0.0207086425583051	0.00016047584509444097	-0.05152412385399683	-0.06816820006961771	-0.0592182317758998	-0.013492946653549475	0.036014394226207024	-0.02390102202962342	-0.01320116483181349	0.005294716872637118	0.024143831401083924	0.002668783243138891	0.021901131726008195	-0.004875907253004615	0.04167151587733205	0.007448460236155026	0.08977479466277816	-0.008233518064780428	-0.0041109701613772556	-0.061149049239126764
ENSMUSG00000116974	0.011820102278397292	-0.016676498726246835	0.0005073690324569562	0.024392995399626985	-0.040342441738720605	-0.09883273358854236	-0.08369820807982414	0.03258806867236825	0.01234311653260425	-0.02109823276681394	-0.004994615509400199	-0.02762255626453487	0.01392448953232587	-0.07181152705466982	-0.0009780198724446824	0.0354514752599435	0.014201577643222572	0.029957182193992783	-0.011612786578743178	-0.054656703323803776	-0.0023885658500421305	0.4828779379364401
ENSMUSG00000093903	-0.3539130114643916	0.09758314286811534	-0.1433485631335745	-0.060238548238920345	0.43228421115287535	0.45366632351432223	-0.39000322680942345	-0.027608255095621592	-0.2492502303042456	0.15719662163889458	0.05472760860233884	0.06299627757933061	-0.19560773831135198	0.15510382325048092	-0.09265790391233061	-0.054446474790782025	-0.3428047831901755	-0.07123066769120426	-1.9665982918453009	0.12891210446727222	0.09637493415210031	-0.8809271581994005
ENSMUSG00000051076	0.04970378955340552	-0.019482677322470537	0.02785070821393493	0.005406249268717743	-0.04429913079977943	-0.015935845936551677	0.010744265632103936	-0.008668276632259867	0.03908377144617006	-0.023905425622989994	-0.010219112554645554	0.016796245695957036	0.02481554419143703	0.011679676610424532	0.027935143044139632	0.014872356591548066	0.055841391072860395	0.007448460236155026	0.08292090978988731	0.013408579909693151	-0.005186462002932945	-0.04453163613307507
ENSMUSG00000026611	0.0361200170318241	-0.01715832882051996	0.015801509528740227	0.019618795834569904	-0.039306021775564644	-0.0861921512915094	0.0341245539051433	0.030001006476174118	0.0224387737072335	-0.0019210239538424892	-0.008239167873805252	-0.02509385270274323	0.027169593326955004	-0.05948889808619931	0.01736410436003981	0.03405779307285535	0.04562408341883197	0.022292380570224948	0.06460308176839007	-0.03688293334735788	-0.005442582981302238	0.27757484468815674
ENSMUSG00000048794	0.05739719320221517	-0.016138925052751673	0.03068448955960032	0.012428444291484705	-0.051910798643401285	-0.07375909682096228	0.08165848019708254	0.022159962479782958	0.035328575902670634	-0.034210680304569016	-0.011276490546872027	-0.0224793495341972	0.037956008329550324	-0.06258371499113095	0.03165661448327916	0.026251883759695886	0.0750915693877567	0.021456568279735157	0.26870749353945006	-0.025153389647746723	-0.008541077580187732	0.17140348945321812
ENSMUSG00000121472	0.09176657058037141	-0.013383082714249534	0.02847892023198453	0.019194911580321532	-0.04903171589768113	-0.03296612172913026	0.3907686463585364	0.028320789107135765	0.04988771165867202	-0.033355071793320396	-0.010746420252502525	-0.021208025660644583	0.020325374787058863	-0.06233434638813836	0.009719934322060746	0.03209241019817702	0.031201862557850298	0.02427189334600161	0.3606423866592534	-0.03362473129586667	-0.01788829261580495	0.2526758894364216
ENSMUSG00000051978	0.061491202307249346	-0.019783383187940918	0.03033651217297979	0.01723231071610506	-0.05890667391792222	-0.09212847955431439	0.06483762486772282	0.028947624478842207	0.038505669688458095	-0.026107258873750688	-0.013657170603536087	-0.025481485233223612	0.03822105146845293	-0.05824125526306213	0.0340477289146716	0.034140399660976865	0.0665065762258652	0.02719226991923528	0.21097498899052022	-0.022725918760332087	-0.006811483084343535	0.2631191728917078
ENSMUSG00000087164	0.04025576762051458	-0.009779666379412378	0.025539374533490505	0.00869441785121644	-0.03472024398496141	-0.008395977590087417	0.037316272891466315	0.018886155529757136	0.035537572135121716	-0.010730206823537956	-0.012851678979546925	-0.013097980858856662	0.016837538696975775	-0.0387423449181686	0.01948951123598233	0.021028242508853098	0.07832240541367293	0.01232388860562114	0.15841698944045438	-0.003641648614320163	-0.0074137300739699945	0.058823632098259436
ENSMUSG00000058317	-0.3539130114643916	0.09758314286811534	-0.1433485631335745	-0.060238548238920345	0.43228421115287535	0.45366632351432223	-0.39000322680942345	-0.027608255095621592	-0.2492502303042456	0.15719662163889458	0.05472760860233884	0.06299627757933061	-0.19560773831135198	0.15510382325048092	-0.09265790391233061	-0.054446474790782025	-0.3428047831901755	-0.07123066769120426	-1.9665982918453009	0.12891210446727222	0.09637493415210031	-0.8809271581994005
ENSMUSG00000109774	0.06440787109452378	-0.017676345401653307	0.03409506274528639	0.01450101209765734	-0.051192525875183234	-0.05322593609214131	-0.0470626313838827	-0.005992850710002863	0.038957901051702104	-0.008486433652320713	-0.009002650983866944	-0.020144384160203685	0.011674216599860792	-0.027422314805189096	0.037840050657033386	0.014049901387870106	0.07394522450521815	0.016451935541261398	0.19492973010477377	-0.027331489838289702	-0.005718746910267278	0.07947698641035518
ENSMUSG00000061410	0.06310774110629835	-0.014665106946549263	0.031516811158231635	0.01138027113401059	-0.05202067499583865	-0.10195347253520838	0.18203558603903885	0.029140199767039507	0.04185790692050641	0.0013104781326207231	-0.013344105356027874	-0.024541142838022736	0.038660759237347915	-0.07480944562488363	0.034822312905809394	0.03213678035334002	0.07556960568742642	0.013571748835978248	0.2332701545332036	-0.02673228423529787	-0.009331167596803814	0.39754691071739223
ENSMUSG00000063253	0.05725980130892706	-0.019514216061405944	0.02239460234258219	0.009204551212143362	-0.06302546478782477	-0.0860020546516562	0.261744523936878	-0.004558239308591641	0.03394756974585931	-0.02249347869445336	-0.012963779699715378	0.0019193522792130685	0.03780856241887676	-0.02427083180205114	0.02781304230592895	0.003653825255676737	0.055347197322101555	0.014921935550086361	0.233775847023903	-0.009324265832370811	-0.014301410554839628	0.043478429287888434
ENSMUSG00000074582	0.05879366149332048	-0.02664714138812991	0.029623288449943722	0.01614259388347648	-0.03796625888783085	-0.09451312598723081	0.08087505652235047	0.030392461225986402	0.039225278126382865	-0.03455200566889242	-0.012262054536469306	-0.0223261045105882	0.03181925239176133	-0.06702330740928165	0.030550225750756478	0.03520324578801599	0.07194423815121413	0.023706619529963457	0.22339261800843488	-0.04769879602785547	-0.008730858621722315	0.3896919073992655
ENSMUSG00000057443	-0.002624342256687392	0.0007501799230675045	0.00672974046597079	-0.00881562577030829	-0.03325108130109161	-0.016304887540143233	-0.09580176423267597	-0.019594374442491236	0.01411132706034265	0.010936412025910402	-0.00203649789634884	-0.0033692599341652433	0.011003895913656418	-0.016397534129657457	0.008469110434289976	-0.00924706440144456	0.03183256791329045	-0.012745351558510682	0.0342960021928107	0.0016681997206028532	-0.003593329425070397	-0.020593833780813673
ENSMUSG00000028309	0.006842675650947493	-0.011962930262938631	0.017166020285678978	0.0200840978017797	-0.049361183985435306	-0.08662466635717309	-0.020411461296653936	0.032742893709304	0.01293175679292646	-0.03164636414169243	-0.005137624927748218	-0.026188254506599746	0.0177530966923167	-0.06621218429969088	0.01734890089721485	0.03192014184332735	0.030299569049651663	0.02634278437034079	0.08384057836967018	-0.046960583231445606	-0.0035410477683570597	0.4264578667109776
ENSMUSG00000074088	0.05888978596408901	0.002915736819570123	0.019681605514319696	0.017741327101762665	-0.04632917149332103	-0.09916691723108789	0.12409207308656886	0.03282144808281642	0.032157556747158984	-0.028227445983982496	-0.012977783407269345	-0.023239527163411964	0.035707228003733535	-0.0682297722257969	0.025386676019928955	0.03530970063961977	0.06552644446411375	0.023632956053096853	0.2661454711335917	-0.043237885023041475	-0.00964736957025088	0.4102156444783575
ENSMUSG00000037722	-0.024096988085319827	0.01588304688018296	-0.004604925458520793	0.0184903495535472	-0.003102843964637142	-0.05866655159519246	0.2981430158382204	0.03200028378462423	-0.006799150642515682	0.01938994968401688	-0.0016674412531639128	-0.026304177298009282	0.02382619243955383	-0.06400939213907339	0.016218781176048025	0.03156727133900781	-0.024310324454756747	0.021183200056047426	0.7106708295434815	-0.07055051114617518	-0.021251896351114737	0.43428681502632904
ENSMUSG00000030643	0.043938252211965664	-0.006958866939525753	0.02160159065378668	0.024609399455387232	-0.04342831069632775	-0.09542733792272437	0.15281538703455058	0.031621058958441986	0.028337266501860008	-0.03209541480835741	-0.009495910248120545	-0.025613879531225694	0.01944461425333609	-0.06220420606958731	0.018539663274625914	0.03342342678025067	0.05563225086617942	0.02356926268294081	0.1433135236072057	-0.05763411751342973	-0.007575533179135483	0.41183151312598515
ENSMUSG00000000732	0.06365766644424292	-0.018640877967413986	0.0305483748626298	0.014547294216731304	-0.05238832460996435	-0.06539142316702978	0.11509045013697329	0.02728320003244721	0.04207186520789866	-0.026491046730595203	-0.0077160938811800155	-0.029554833479937644	0.03548742194516039	-0.07072087749322788	0.021340635050480176	0.03322541594082154	0.08194337673897115	0.021643867083926068	0.43598450388045284	-0.02972565613438887	-0.009454979107552377	0.25451331656592435
ENSMUSG00000042514	0.033942670615251545	-0.01645498686419655	0.014985911947861266	0.014783524200462965	-0.04232001353740829	-0.02843688806786017	0.09095380359082489	0.017553714513834823	0.02222207459591922	-0.033209338216235174	-0.010130129313013742	-0.013406490763188117	0.02099196642464046	-0.02601411710575205	0.019555842178533803	0.005692435711199758	0.03687084244070226	0.019671694054674126	-0.03801977142070536	0.02108077124376813	-0.00013659940252070565	-0.004546557125634378
ENSMUSG00000024670	0.057268141332812675	-0.019294809755329833	0.029533249960001024	0.022033467035429032	-0.03622358030883485	-0.03988736629462505	0.13111176243035358	-0.003942900344017526	0.03831639369865719	-0.0226133684020832	-0.012267032599709075	-0.004396756147424277	0.029701517307616002	-0.011770247341760057	0.03129844665343287	0.010591574722374543	0.0737237043214524	0.017475769621640387	0.0642387489405529	0.00881987253878072	-0.004108871630304366	-0.04945678013657333
ENSMUSG00000003604	0.055695725968185957	-0.01909759435852339	0.025001765981366688	0.015462197791935353	-0.049955344762691284	-0.04578963763789666	0.02549037245903501	-0.00266518158516666	0.03590063464401384	-0.008897906408029085	-0.009248003774321598	-0.010642295015393924	0.03158856371162418	-0.02369591633035833	0.020825542201747614	0.00029836988095012344	0.05185287382924482	0.013664115156649035	0.09558395922961363	0.00808113058770684	-0.008016703384512481	0.012547968654893504
ENSMUSG00000055707	0.06628041129494913	-0.014561041712966396	0.03147753275970106	0.018313543590825068	-0.046568752726604976	-0.0652757760000304	0.1979191877397632	0.03153189386819163	0.04272580169677292	-0.03773167646109728	-0.013444675173250627	-0.023655412365817044	0.03402725765886995	-0.06166959003683739	0.03461699646132218	0.033904937297875054	0.07459666648212489	0.021943376918926373	0.3028253120468049	-0.03345250604591309	-0.011731040255890283	0.4135627069079821
ENSMUSG00000040520	0.02280743549779274	-0.019968914008078067	-0.0011425687980526583	0.020084614142151565	-0.04456446430642471	-0.07236573535153802	0.04899171997454156	0.030700986397014546	0.009600830061540269	-0.00246931895603168	-0.0065579391561457956	-0.02841640648296841	0.026767334368680056	-0.0674491280847388	-0.0012081728198567873	0.033688441622252326	0.03356705928296091	0.02001830349189265	0.18031316844402367	-0.03785260044420541	-0.003982515866290027	0.2945597922820085
ENSMUSG00000022749	0.011394696285290577	-0.025782370283686767	0.007202854768950902	0.01454736101903458	0.002224918947566644	-0.059553666175165554	-0.03197823643414079	0.029717202548506842	0.00595623843082503	-0.026153140774717823	-0.0031810077395968282	-0.030217307796367106	0.00723594418232242	-0.05830554287559994	0.01500340841513481	0.031439398286142145	0.020583966252175297	0.022368781643150187	-0.04667342841010826	-0.019169911829506735	0.0016584676074394445	0.3334133216859554
ENSMUSG00000097929	0.04057352933366002	0.09758314286811534	0.02450096757346112	-0.060238548238920345	-0.01613803224272924	0.45366632351432223	-0.012679675329045157	-0.027608255095621592	0.028613302489280082	0.15719662163889458	-0.009626376251246405	0.06299627757933061	0.01934735177272856	0.15510382325048092	0.02429081441723292	-0.054446474790782025	0.0647652055006094	-0.07123066769120426	-0.0551010795050773	0.12891210446727222	-0.0013430451673586829	-0.8809271581994005
ENSMUSG00000033020	0.056992272273596975	-0.020016870476013165	0.023361260187730673	0.014128858499076769	-0.07180923637592952	-0.08558617336960873	0.25442139365516986	0.03196673921513767	0.041956985641729665	-0.035161339079777656	-0.014053559903094023	-0.01897663337131727	0.0451464446123148	-0.053035884629732716	0.030320220277366083	0.030165767095049582	0.07363434649098308	0.02099939961553282	0.340923927279218	-0.021614866201585693	-0.013453895874043527	0.23958687436518003
ENSMUSG00000108244	0.06461892584928276	-0.01634382356969842	0.02197668229842481	0.027681935633376897	-0.0720321690246755	-0.10624155860603406	0.2051247168141701	0.030855820302360438	0.03608224989760603	-0.028411212217194948	-0.011045383111585053	-0.025480035524590366	0.037798517844740434	-0.06238336426011454	0.0405527570343731	0.02876567226591311	0.0697476805456648	0.024592531785484012	0.35226195633026974	-0.08845083204966543	-0.01473616502946616	0.5031661594576358
ENSMUSG00000040164	0.06996427829991105	-0.0065867425670272555	0.0307186614870381	0.017003266716066782	-0.036899645523872565	-0.04666585699523377	0.3081518104942992	0.013105175381087087	0.035718356117430565	-0.03600174535085831	-0.014612138496644932	-0.0128606328433785	0.05479041464937918	-0.02099005111628478	0.04200951205462578	0.011258340448599217	0.08412093603839488	0.017433564465648397	0.21540332835584425	-0.008419929382172415	-0.019263381160033514	0.08227316044687921
