	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000025480	0.013566859214898561	-0.009126535633691911	0.00034138292825981466	0.04613535545144442	-0.016332418609949707	-0.0472826950762412	-0.013545038678159598	0.1886824702545706	0.013718686920649186	-0.020342969131850318	-0.007338850239267751	0.006115699042345792	0.0024035747445825023	0.0096852212345339	-0.009097718244960334	0.12857651231268774	0.01079404058998566	0.07703510282647305	0.0064466658237312124	0.21230179902066237	-0.02253620791854459	0.24579258936881507
ENSMUSG00000000416	0.005654980329973462	-0.0021544319867864755	0.00011687508628286545	0.029875981778091882	-0.008852377950848228	-0.027590304757546008	-0.015526805595664364	0.24054832636956525	0.005977704646438489	-0.006192573837031954	-0.004073067869984301	0.008348538145037783	0.001954455567131888	0.00749838459072612	-0.005620144465627729	0.12176657852149499	0.004982284450175941	0.05623292900322209	0.005048351714199646	0.024066626602896154	-0.00014572231750496444	0.12501584732358528
ENSMUSG00000108822	0.014593655502813723	-0.003270646360515135	0.00041641296769512126	0.017315674108197055	-0.012562826421905836	-0.05875815313551898	-0.013530235746750672	-0.08720404470729315	0.013315506559503108	-0.00951544439672427	-0.008968433114190884	0.0021288254621302438	0.007003576993281249	6.510416147715861e-05	-0.013785249235579902	0.02847282530448666	0.01848776941167736	0.034971468891102385	0.01353626470971292	-0.09018828307586577	-0.0405459634251611	-0.013267496549078599
ENSMUSG00000027134	-0.09070365811170637	0.04524744046410306	-0.0017932389900854036	-0.11885001748524346	0.14237453850749102	0.3486843855512644	-0.08901781029998386	-0.22931216387865014	-0.09563294489979406	0.08504344926535633	0.05006739330239295	-0.02294665984866837	-0.03513281293811259	-0.021486765955164838	0.04510538247583736	-0.21824876612003702	-0.08420511557949296	-0.21744978401543422	-0.2531876006450682	-0.9731063211073225	0.535940434939558	-1.1821060067971516
ENSMUSG00000004552	0.012009085375210999	-0.0009052999567984309	0.00026019558636005904	0.02169402014853381	-0.005926079367742746	-0.05055658004177042	0.027644886011052493	-0.03669674836538093	0.009438397409723633	-0.007614668812041144	-0.009044113961180269	0.0021288254621302438	0.0043455249732360915	0.002604218277621646	-0.013896253425994357	-0.0006968149371892359	0.014409456722790941	0.029410479572633454	0.0018399474651577769	-0.010903490898747287	-0.025561911290639183	-0.040686773359602545
ENSMUSG00000026933	0.014901239305636884	-0.008738625157270955	0.00033532062257435747	0.0355766158866265	-0.014843660329047343	-0.08126101339533909	0.029779501113292882	0.2580804357491332	0.014997339689746729	-0.007751242576343593	-0.010937943865965796	0.008901705282467236	0.006516076187730363	0.01024490242023019	-0.012085080504742251	0.11412360409297395	0.015320284869548033	0.07963965037983128	0.019217124592816947	0.2538793005824379	-0.043338320937673674	0.5524002558063013
ENSMUSG00000097325	0.011028260560244012	-0.008443003225905122	0.00011940354732116708	0.04018692744122445	-0.012610059596776638	-0.04604775655350056	-0.018282034927778034	0.2358740906318908	0.00735453508343335	-0.003828881407114132	-0.004633100377392703	0.010608223402411847	0.0008377893336595672	0.009282249564844422	-0.009767907288561474	0.12713400829772076	0.011210250549430168	0.06480120418318276	0.008106940349750708	0.2213609101397303	-0.037830124677391996	0.3765416332067165
ENSMUSG00000075217	0.005977533858003969	0.0032213184464050543	-1.7395226490365452e-05	0.0012164768776751227	-0.010765876934824113	0.01821317622950521	-0.022948031488503138	-0.0838316067512578	0.004827937781350876	-0.006144985083030165	-0.004933360206106039	-0.0019946301558231034	0.0015186049115445497	-0.003382981081474679	0.002012968833501609	0.036843373905898105	0.0008196573700537224	0.02496093026636601	-0.00010002044078762586	-0.07770472926219076	-0.01566831907960032	-0.11222686319635898
ENSMUSG00000109526	0.005092921196138406	0.0016725034804930317	0.00031869494081708847	-0.00917491744086491	-0.014826425462027054	0.020333914742011877	-0.013864202780986021	-0.06573270901495687	0.005890239194800614	-0.0031440337031384564	-0.008760080086128155	0.000417447033866416	-0.002290082619587923	-0.0009232033722005327	-0.009249112266101275	-0.022939757904103367	0.011063809076684987	0.014730208226156657	-0.007392628724929479	-0.15325791203234276	0.0063822153635264955	-0.17345331540740896
ENSMUSG00000062646	0.011196197932480596	-0.006867601173609791	0.0003152732545436057	0.03772644888975738	-0.013953488546590856	-0.061210471245685655	-0.010678497865501601	0.246882983533241	0.010000041568375214	-0.019986444491406023	-0.00800902629722598	0.01063774619270101	0.004674328901834619	0.009044851127252304	-0.0071305257604700484	0.1431243170774159	0.0119422546418529	0.09666952355890629	0.016604271099026485	0.2964339357795738	-0.03321430951566236	0.5888053740480443
