	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000111594	0.05223704214068478	0.0	0.03859277761209117	0.0	0.0	0.0	0.05235777200546257	0.022895437021438036	0.027579544228575975	0.0	0.0	0.0	0.03654338113759067	0.0	0.0	0.0	0.0434827020104892	0.0	0.2196313618948079	0.0	0.040883452174251045	0.07248999181138158
ENSMUSG00000094570	-0.37265431849091396	0.0	-0.21450802503945332	0.0	0.0	0.0	-0.23426610900293737	0.0	-0.17486929270862506	0.0	-0.14282548426071529	0.0	-0.37383207485283604	0.0	0.0	0.0	-0.25896837703495224	0.0	-0.8973818496695206	0.0	-0.2822483607590627	-0.2131232060750117
ENSMUSG00000118659	-0.010587522593174692	0.0	-0.01518053297055215	0.0	0.0	0.0	-0.0714676216458338	-0.02051496337727841	-0.037531983094216216	0.0	0.0	0.0	0.0	0.0	-0.022112768010686207	0.0	-0.0523466852231767	0.0	-0.09125361464337298	-0.04880159584016106	0.0	-0.055985526724061395
ENSMUSG00000045591	0.034682657722125816	0.023777156647979934	0.0	0.0	0.0	0.0	0.12355557826802877	-0.03223730643508116	0.0	0.0	0.0	0.0	0.028894470033800232	0.0	0.0	-0.041449585659636065	0.030328597745092407	0.0	0.05200953608615579	0.0	0.07402311394910378	-0.053550434839568756
ENSMUSG00000001785	-0.3453012094153137	-0.13623926795636176	-0.2298957112163833	0.0	0.0	0.0	-0.24688187301129647	0.0	-0.21387085485113128	0.0	0.0	0.0	-0.34778442623707356	0.0	0.0	0.0	-0.2760629267724985	0.0	-0.8590661250326832	0.0	-0.2888357366790262	-0.22073896672226082
ENSMUSG00000027285	0.017205236102298096	0.0	0.016334989694545943	0.0	0.0	0.0	0.013950134400413365	0.08910225895558785	0.02197194746091654	0.0	0.0	0.0	0.036844022093285536	0.0	0.0	0.0	0.0350752574836034	0.0	0.4659912286964842	0.0	0.07272482589921268	0.23563652489826747
ENSMUSG00000103029	-0.3466142240925302	-0.16105770555521115	-0.2325526984467341	0.0	0.0	0.0	-0.2490952608886845	0.0	-0.19608080556559015	0.0	0.0	0.0	-0.33500648758960416	0.0	0.0	0.0	-0.24891778510799797	0.0	-0.8391503170370407	0.0	-0.31797197777078273	-0.23822983583985302
ENSMUSG00000044881	0.03774575786950888	0.0	0.027983234119473222	0.0	0.0	0.0	0.07656369353207411	0.04501396257704394	0.020998318466094044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00929772906286419	0.0	0.49618387721610974	-0.1329918406960882	0.027431701660385242	0.15435174116380174
ENSMUSG00000063176	0.0	-0.012700406983732065	0.0	0.0	0.0	0.0	-0.04663201555309947	-0.06173684613254973	-0.015901214602799467	-0.017142804023539137	0.08879091721451918	0.0	0.0	0.0	-0.015392535806980658	0.0	0.04892339371406318	0.0	0.0	-0.044272265455509933	0.0	-0.030819703015865247
ENSMUSG00000109774	0.06395611821563274	0.020856620749436297	0.03824623948320262	0.0	0.0	0.0	0.0	0.0	0.030397419802161187	0.0	0.0	0.0	0.016980448279651315	0.0	0.04554205577843075	0.0	0.055314986266686975	0.0	0.13622990827168693	0.028000465859717227	0.01235238490755941	0.0
