	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000111594	0.044081185380275056	0.0	0.03161662621340698	0.0	0.0	0.0	0.037973385351185086	0.0	0.0217925739735735	0.0	0.0	0.0	0.0313393641821386	0.0	0.0	0.0	0.03711105966253175	0.0	0.16591368042144705	0.022071576026262807	0.02894385699459373	0.029950444886368707
ENSMUSG00000094570	-0.3841306499851853	0.0	-0.2191479043103435	0.0	0.0	0.0	-0.25353528213041204	0.0	-0.18091658337053723	0.0	-0.14789367489961425	0.0	-0.3816497182064316	0.0	0.0	0.0	-0.2593162172172631	0.0	-0.9594534119879121	0.0	-0.2981301073167765	-0.23640325741454268
ENSMUSG00000118659	-0.01889165946023419	0.0	-0.021622871622761757	0.0	0.0	0.0	-0.09293696479820927	-0.033402359447495596	-0.04168806370524999	0.0	0.0	0.0	0.0	0.0	-0.02499186055765401	0.0	-0.05788511629855555	0.0	-0.14407442190136463	-0.05174669147888739	0.0	-0.09444251379709086
ENSMUSG00000045591	0.03137657735666472	0.021826582084599613	0.0	0.0	0.0	0.0	0.11493452089539503	-0.03239511942812828	-0.0242212242852701	0.0	0.0	0.0	0.027009569084100203	0.0	0.0	-0.0384858694317445	0.026007018434922285	0.0	0.0	0.0	0.06253683696702042	-0.10445481710454824
ENSMUSG00000001785	-0.35127019156397804	-0.1432967408400141	-0.23684447308042456	0.0	0.0	0.0	-0.2678349738490733	0.0	-0.21958289672723313	0.0	0.0	0.0	-0.35540689950614524	0.0	0.0	0.0	-0.28006763010893454	0.0	-0.917827899726624	0.0	-0.30333583779201073	-0.24510926364458027
ENSMUSG00000027285	0.010048224592204263	0.005872966696368165	0.010601495725977673	0.0	0.0	0.0	0.0	0.0770431479872152	0.01590981872034444	0.0	0.0	0.0	0.030165153827172376	0.0	0.0	0.0	0.027756764050373642	0.0	0.4076286463071948	0.0	0.06140706883452517	0.20250342999825
ENSMUSG00000103029	-0.3544729719520452	-0.16515515591397767	-0.2370557568440966	0.0	0.0	0.0	-0.26741447909481436	0.0	-0.20395096398719606	0.0	0.0	0.0	-0.3436407354472967	0.0	0.0	0.0	-0.251711041516932	0.0	-0.8956818024184615	0.0	-0.3353180040995406	-0.2661758955646577
ENSMUSG00000044881	0.036789882374535	0.0	0.030956184835688766	0.0	0.0	0.0	0.06176212428047381	0.04439839630538092	0.021549712835750613	0.0	0.0	0.0	0.0	0.0	-0.05410870965317183	0.0	0.0	0.0	0.44559625292422494	-0.12953196693559896	0.021508408970627824	0.12775818008836645
ENSMUSG00000063176	0.0	-0.011343678086126536	0.0	0.0	0.0	0.0	-0.06100663143736477	-0.08039110541867693	-0.01800223759766377	-0.01354136213681039	0.07731379596496513	0.0	-0.012086115176762375	0.0	0.0	0.0	0.0	0.0	-0.050380639121047587	-0.04152564791974024	0.0	-0.05181956866125544
ENSMUSG00000109774	0.04903247989271927	0.009796070857408747	0.027185010928497413	0.0	0.0	0.0	0.0	0.0	0.01901197634795981	0.0	0.0	0.0	0.0044089890639189555	0.0077031928837611495	0.03249901169334431	0.0	0.04092460692427641	0.0	0.07767137792010245	0.02374422215718734	0.0	0.0
