	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000111594	0.05091957481622036	0.0	0.03750035872444989	0.0	0.0	0.0	0.05046677416422578	0.024193850275603723	0.027416499096331638	0.0	0.0	0.0	0.03463817306728295	0.0	0.0	0.0	0.042203047948992295	0.0	0.2162463754701756	0.0	0.03878260067925529	0.07950123254524909
ENSMUSG00000094570	-0.37261664428302205	0.0	-0.2148484822136391	0.0	0.0	0.0	-0.23590905138403526	0.0	-0.17591177070728514	0.0	-0.14343888766933688	0.0	-0.37624138260486345	0.0	0.0	0.0	-0.2594888247782089	0.0	-0.8985718923525131	0.0	-0.28401198826304097	-0.20846314888707007
ENSMUSG00000118659	-0.012528231085408181	0.0	-0.01636102508382113	0.0	0.0	0.0	-0.07390188357059578	-0.017987396457320174	-0.03954003214812202	0.0	0.0	0.0	0.0	0.0	-0.023380854216570164	0.0	-0.05449393924134166	0.0	-0.09595135412636917	-0.04665105164310655	0.0	-0.04981202179884503
ENSMUSG00000045591	0.03315832723543687	0.023748258550039092	0.0	0.0	0.0	0.0	0.12143063499953587	-0.032718477935267665	0.0	0.0	0.0	0.0	0.02691749322965867	0.0	0.0	-0.04087950386661306	0.02907550523564146	0.0	0.04691154533128497	0.0	0.07157791974715506	-0.04401289425785681
ENSMUSG00000001785	-0.3460141001936109	-0.1372313485775294	-0.23000008089762744	0.0	0.0	0.0	-0.2483765289795015	0.0	-0.21517996778133883	0.0	0.0	0.0	-0.3494713488147112	0.0	0.0	0.0	-0.27658282849457855	0.0	-0.8601431480867034	0.0	-0.2905229946034083	-0.2159797267140056
ENSMUSG00000027285	0.015861284484676937	0.0	0.015258466669328005	0.0	0.0	0.0	0.011788714113671661	0.0906552175223293	0.021009593651444915	0.0	0.0	0.0	0.0346055990456598	0.0	0.0	0.0	0.03375194610187002	0.0	0.46442310831015116	0.0	0.07104782111185735	0.2416096994246398
ENSMUSG00000103029	-0.34712251947667117	-0.16251213158975553	-0.23301653864338118	0.0	0.0	0.0	-0.25136065323461554	0.0	-0.1966741478605618	0.0	0.0	0.0	-0.3363340754345136	0.0	0.0	0.0	-0.24951504835960372	0.0	-0.8404343590183734	0.0	-0.31969705000790555	-0.23283554951763388
ENSMUSG00000044881	0.043268042295785666	0.0	0.03593813783747617	0.0	0.0	0.0	0.07780697556661635	0.05336018248950414	0.025265974288190305	0.0	0.0	0.0	0.0	0.0	-0.04646672732780399	0.0	0.0	0.0	0.49781106117329504	-0.12795255567043454	0.03175370938481387	0.16696839968483765
ENSMUSG00000063176	0.0	-0.007847191286932644	0.0	0.0	0.0	0.0	-0.04232947618386933	-0.05260380548036459	-0.014280371246577283	-0.011900891035707536	0.09510721546761738	0.0	0.0	0.0	-0.010447945967847694	0.0	0.0	0.0	-0.00817852856382216	-0.03717521878706875	0.0	-0.022052242809907044
ENSMUSG00000109774	0.06200882460126914	0.020388396524949448	0.03737516662502877	0.0	0.0	0.0	0.0	0.014410292315872875	0.0296431141860279	0.0	0.0	0.0	0.01688042502959814	0.0	0.045610029100071704	0.0	0.05376538060987349	0.0	0.13219886961915694	0.030771173753330782	0.0	0.0
ENSMUSG00000029848	0.03961037904324847	0.023862130368995864	0.029388843102092724	0.0	0.0	0.0	0.08158689181993267	0.0	0.016406808841006093	0.0	0.0	0.0	0.02166364895404668	0.0	0.018334207331364025	0.0	0.047940164349559306	0.0	0.2506265215537201	0.0	0.03774179222452549	0.0
ENSMUSG00000054061	0.0	0.0077468503361505505	0.003837457673930158	0.0	0.0	0.0	0.005478938340156525	0.028085716090960805	0.004642413988121185	0.0	0.0057642519528790575	0.0	0.008018755934632518	0.0	0.0030005680402142576	0.0	0.0	0.0	0.0	0.0	0.012294237356352954	0.07378951012284672
ENSMUSG00000041272	0.0	0.0	0.0	0.0	0.0	0.0	-0.036095878541624424	0.04041641253682139	0.0	0.0	0.0	-0.04040738496538989	0.0	0.0	-0.005205328702277634	-0.011139666892111297	-0.007127909592067775	0.0	-0.22224479364181368	-0.030352438662582387	-0.015737908969667688	0.045222051496789754
ENSMUSG00000031539	0.04484789485575912	0.0	0.04155654924894006	0.0	0.0	0.0	0.06284166683421664	0.03371661952214266	0.0	0.0	0.0	0.0	0.041398181571126826	0.0	0.025546243882900166	0.0	0.04682595879284203	0.0	0.2244061950308026	0.0	0.05195120596028091	0.15319536548841853
