	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000111594	0.022462046285866597	0.025183143315890857	0.0	0.0	0.0	0.0	0.0	0.1360532788981859	0.016650245867170343	0.027486144979919983	0.0	0.0	0.0	0.0	0.0	0.18718452429534085	0.0	0.027831525320340392	0.04151794447573017	0.23065719811332233	0.0	0.09362417325238989
ENSMUSG00000094570	-0.17219808816669066	-0.13193133340496285	0.0	-0.134253172436829	0.0	0.0	0.0	-0.20929761781303907	0.0	-0.2144662387296533	0.0	0.0	-0.14335086553182255	0.0	0.0	-0.3473471623658483	0.0	-0.2098250783865649	0.0	-0.5741897954273525	0.0	-0.3890791294264569
ENSMUSG00000118659	0.0	-0.01539811723544715	0.0	-0.024710655837838234	0.0	0.0	0.0	-0.1491031587097451	-0.022020706007897697	0.0	0.0	0.0	0.0	0.0	0.0	-0.055543558467260445	-0.017146485871423037	-0.014718533302951649	-0.04671229785765589	-0.1718116045106282	0.0	-0.08038882142316271
ENSMUSG00000045591	0.006220060697095828	0.015907692675910304	0.0	0.004444155590025989	0.0	0.0	0.0	0.05104400781663249	0.0	0.006295685568548107	0.0	0.0	0.0	0.0	0.0	0.027287952638306984	0.0	0.007096379119934924	0.0	0.04543551978150892	0.010462174353078068	-0.06306548487161094
ENSMUSG00000001785	-0.14210731405630622	-0.14695291628117735	0.0	0.0	0.0	0.0	0.0	-0.22328495105926535	0.0	-0.22155959302053924	0.0	0.0	-0.1374693794762794	-0.1337669265674939	0.0	-0.3607285086459139	0.0	-0.19471308557606393	0.0	-0.58927405207078	0.0	-0.37608175493540097
ENSMUSG00000027285	0.0	0.019639440703814095	0.0	0.019307816227577126	0.0	0.0	0.0	0.2575360812962158	0.017467731287963195	0.024374836581546794	0.0	0.0	0.0	0.0	0.0	0.26647360158758887	0.0	0.04982391588576968	0.06438131412623456	0.23609180004804167	0.0	0.2882262215251956
ENSMUSG00000103029	-0.13861486118271224	-0.14793209501073107	0.0	-0.12420364317243601	0.0	0.0	0.0	-0.2528482635871155	0.0	-0.20071952070558974	0.0	0.0	0.0	-0.12510225574333633	0.0	-0.33652688815928794	0.0	-0.20450956745274348	0.0	-0.5836687505941145	0.0	-0.41181263608115354
ENSMUSG00000044881	0.024350883600241756	0.0	0.0	0.034275038257384566	0.0	0.0	0.0	0.20959164838128835	0.0	0.023341480921762418	0.0	0.0	0.0	0.0	0.02340441065306509	0.19664457342492117	0.0	0.04848204189289736	0.040611176339634576	0.5480931790378213	0.0	0.207537183534307
ENSMUSG00000063176	0.0	-0.017501495062432027	0.0	-0.012596564728811998	0.0	0.0	0.0	-0.10714944894190488	-0.009159497765626745	-0.016722205537022635	0.0	0.0	0.0	0.0	0.0	-0.21470768694796663	0.0	-0.05769445700514519	-0.02410554001926444	-0.1287269573070649	0.0	-0.050157907983661085
ENSMUSG00000109774	0.020909345621674333	0.01949045867569968	0.0	0.014465232058794028	0.0	0.0	0.0	-0.1008915609815028	0.01119668221321829	0.0	0.0	0.0	0.0	0.011257725838925594	0.0	0.0	0.011534690729200256	0.019829554356146677	0.021628012661826686	0.16474104236134915	0.0	0.0
ENSMUSG00000029848	0.014380899740752845	0.0280152803986515	0.0	0.0	0.0	0.0	0.0	0.0	0.011827340603481494	0.025478836392303885	0.0	0.0	0.0	0.0	0.0	0.08742661117255628	0.01011995763157979	0.014905382685017829	0.043803595929390385	0.1066305913293647	0.00763134929192355	0.0
ENSMUSG00000054061	0.0	0.017569070491488828	0.0	0.010205825790171754	0.0	0.0	0.0	0.1533288094321294	0.0	0.018144692376139925	0.0	0.0	0.00615634579738511	0.007497144542170535	0.0	0.18312415407165306	0.0	0.019353129480925768	0.0	0.06591607954965607	0.0	0.09181845755969903
ENSMUSG00000041272	0.0	0.0	0.0	0.0	0.0	0.01021701912180839	0.0	0.1759892009045134	0.0	0.015033943608042093	0.0	0.0	0.0	0.010866671208494017	0.0122421104164829	0.1602586671285254	0.0	0.013824971251716868	-0.07613115831480062	0.03433089624159437	0.0	0.05562624326272869
ENSMUSG00000031539	0.017753001799792056	0.025563817397176128	0.0	0.0	0.0	0.0	0.0	0.13221408781107336	0.016784711509097106	0.024184211062674855	0.0	0.0	0.0	0.0	0.0	0.11522055508479609	0.0	0.026062663040153613	0.0411647441303186	0.1934276736189605	0.0	0.17857035118132242
ENSMUSG00000085095	0.017171981018393744	0.0	0.0	0.01251876842441435	0.0	0.0	0.0	-0.08679793244831538	0.0	0.04027152642938899	0.0	0.0	0.013730258231195537	0.0	0.0	-0.1074330027707917	0.022141239527584938	0.0348114490052248	-0.072500884887052	-0.13482614931783546	0.0	0.0
ENSMUSG00000111925	0.0	0.0	0.0	-0.02894483652378662	0.0	0.0	-0.002440958343961186	-0.11662238295266542	-0.012848140567739376	0.0	0.0	0.0	0.0	-0.02117111479711935	0.0	-0.08680861727594308	0.0	0.0	-0.07295388301499121	-0.2520628475079726	-0.00583827047767746	-0.12246621885117379
ENSMUSG00000114203	0.02052578949895326	0.01585220870468268	0.0	0.0	0.0	0.0	0.0	0.046371527026490604	0.012363044453128103	0.017654636026932707	0.0	0.0	0.0	0.006374166899532102	0.0	0.0	0.009586243429574573	0.008256539467600264	0.018714589416792205	0.010390833942551279	0.0	0.0
ENSMUSG00000101491	-0.1411991908846413	-0.14108616640144714	0.0	0.0	0.0	0.0	0.0	-0.2158548710343096	0.0	-0.22109909953867304	0.0	0.0	-0.136102830500274	-0.13040427615488026	0.0	-0.34284670165872005	0.0	-0.21850963764316303	0.0	-0.5956707421059777	0.0	-0.383164965767134
ENSMUSG00000117902	0.0	0.028690503459386868	0.0	0.0	0.0	0.0	0.0	-0.07951392048319421	0.0	0.018083232777698202	0.0	0.0138117108916474	0.0	0.0	0.0	-0.05766543173003594	0.0	-0.006737101126275195	-0.0590499438337703	-0.12490261778421398	-0.012278608151937959	-0.08722248662435773
ENSMUSG00000036775	0.022553840090256363	0.022859234244025046	0.0	0.0	0.0	0.0	0.0	0.09245086255040438	0.010284409131657957	0.02752988869768129	0.0	0.0	0.0	0.0	0.0	0.029472297411318175	0.0	0.0	0.021809124564974053	0.27365028260846896	0.013051043613955626	0.10833157473138133
ENSMUSG00000085695	-0.03644546238195967	-0.07415254955712423	-0.01939989749889315	0.0	0.0	0.0	0.0	-0.12013985157859385	-0.03134141738717505	-0.056182614174866204	0.0	0.0	0.0	0.0	0.0	-0.09536707608043085	0.0	0.0	-0.05764929714902592	-0.2733042828005353	0.0	-0.13846295770982742
ENSMUSG00000059439	0.01870466891259284	0.021967332749182743	0.0	0.019147771371738582	0.0	0.0	0.0	0.2493478073635053	0.0	0.027357883556374085	0.0	0.0	0.0	0.01830310682808145	0.0	0.27073077785478605	0.0	0.05933621089452507	0.0	0.4513010910944615	0.0	0.27400945806333965
ENSMUSG00000021495	0.01875574272787285	0.020270658412606515	0.0	0.016056655791842456	0.0	0.0	0.0	0.23867565295869428	0.0	0.01852878176713389	0.0	0.0	0.0	0.0	0.0	0.25361529242932956	0.0	0.03890108603888477	0.03048651349260218	0.18015857621674625	0.0	0.23319263183169528
ENSMUSG00000040888	0.0	0.021885071333283435	0.0	0.02747898295829919	0.0	0.0	0.05840417391871388	0.20859578451010116	0.0	0.024074977157054367	0.0	0.0	0.0	0.0	0.0	0.22546617493694807	0.0	0.0	0.06846742827750961	0.35280455740721856	0.04187950878767636	0.32307437902061836
ENSMUSG00000102540	0.019123923868069544	0.016507145140772415	0.0	0.0	0.0	0.0	0.0	-0.05806204187453531	0.0	0.0	0.0	0.0	0.0	0.01399739430016992	0.0	-0.05867657432239127	0.012779308369221726	0.020015388886263138	0.0757678510725086	0.03851423178706689	0.012970059347546246	0.0
ENSMUSG00000032217	0.018948379151078262	0.0	0.0	0.03319061775065545	0.0	0.0	0.0	0.22211880862988473	0.0	0.024786863060092163	0.0	0.0	0.01690494787233865	0.0	0.0	0.2677142729243504	0.0	0.05800442988119808	0.0453857425116582	0.43312585535041676	0.0	0.32978201278494207
ENSMUSG00000053214	0.0	0.018569200294791286	0.0	0.0	0.01206819132422024	0.0	0.0	0.07028852018754306	0.0	0.024473210478851076	0.0	0.0	0.0	0.014379075564460378	0.0	0.0	0.014986554774207444	0.022546014894183307	-0.05258082048003889	-0.06139799715244152	0.0	0.02159884569365148
ENSMUSG00000114823	0.0	0.02248763096639849	0.0	0.023696225798159	0.0	0.0	-0.008719888779001138	-0.10639677258229475	0.0	0.024705043473337282	0.0	0.0	0.0	0.0	0.0	-0.06088206832885544	0.0	0.012716790343100803	-0.06240163644189675	-0.18711886240387376	0.0	-0.08626086893189537
ENSMUSG00000036196	0.020077529493576836	0.01666925244122446	0.0	0.01653802672314182	0.0	0.0	0.0	0.08516375283793498	0.014880626814578801	0.01616653763390347	0.0	0.014750559722984143	0.0	0.0	0.0	0.0	0.0	0.0	0.016041990606704803	0.36507821700129994	0.0	0.08790473420291092
ENSMUSG00000120753	0.0	0.019689705139852496	0.0	0.023381444999824193	0.0	0.0	0.0	-0.08561884084149021	-0.007010850404603863	0.01601330881969885	0.0	0.0	0.0	0.0	0.0	-0.1388248259486978	0.0	0.0	-0.046534119361165936	-0.13475517531054612	-0.009176918011928992	-0.08245861650517883
ENSMUSG00000085123	0.0	-0.0446956443921082	0.0	0.0	0.0	0.0	-0.02445416589107698	-0.23602344533350278	0.0	-0.03160435139494869	0.0	0.0	0.0	0.0	0.0	-0.11199590675347286	0.0	-0.038304276452830056	-0.06473459169105318	-0.12577678394945718	-0.02061525851768453	-0.09044719160187371
ENSMUSG00000035033	0.0	0.018617800310129547	0.0	0.0	0.0	0.0	0.010132280060141266	-0.02618531360485224	0.0	0.021877446912551828	0.0	0.0	0.0	0.011720813061905254	0.0	-0.05857627726300434	0.0	0.01979055476180043	0.007970243607889867	0.08455265058137348	0.011740360708211542	0.0
ENSMUSG00000086741	0.02086598185405673	0.015228262749734392	0.0	0.00903578018406026	0.0	0.0	0.0	0.08016456569852735	0.011890388477046206	0.030265612265570375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00957195823131578	0.008106699194862543	0.06642636307591794	0.0	0.056172946450903934
ENSMUSG00000034391	0.0	0.0	0.0	0.04898538400886485	0.0	0.0	0.04255430568340863	0.17690939824541568	0.0	0.02532836142000038	0.0	0.0	0.0	0.0	0.0	0.1516954419643942	0.0	0.03503749092817028	0.03914253438017082	0.6204599069139922	0.025172914527304302	0.2452338910483846
ENSMUSG00000113370	0.0	0.012350745379534872	0.0	0.012583095767695082	0.0	0.0	0.0	-0.0665074443681532	0.0	-0.011378114895121234	0.0	0.0	0.0	0.019588425022470272	0.0	-0.13603384503328228	0.0	0.0	-0.0564284521351189	0.12049745841431075	-0.01155757575412728	-0.021840765849589674
ENSMUSG00000110751	0.03406034464480414	0.0	0.0	0.0144399805096926	0.0	0.0	0.0	-0.1185496855738854	0.0	0.04464021938951453	0.02368396572037977	0.0	0.013337974573140773	0.0	0.0	-0.07026657117422141	0.0	0.03144897256391625	0.0	0.023982811424097156	0.0	-0.034707845609538955
