	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000111594	0.020031186221877145	0.022092007856301766	0.0	0.0	0.0	0.0	0.0	0.11892540969025234	0.014538825663410582	0.02405943569563671	0.0	0.0	0.0	0.0	0.0	0.16927796340403806	0.0	0.02382853948215087	0.037406680215009126	0.19402098499942563	0.0	0.06770611957959545
ENSMUSG00000094570	-0.17373379029041205	-0.13845448504585903	0.0	0.0	0.0	-0.11726505886771932	0.0	-0.2254381653614709	0.0	-0.21857042304634475	0.0	0.0	-0.14512147667350325	0.0	0.0	-0.3709277111509146	0.0	-0.21755985700395997	0.0	-0.6153263958230049	0.0	-0.42030419042249095
ENSMUSG00000118659	0.0	-0.016793412973209576	0.0	-0.026792024344555795	0.0	0.0	0.0	-0.17312997069725303	-0.022735703992381437	0.0	0.0	0.0	0.0	0.0	0.0	-0.07451223612322894	-0.017316165789165026	-0.01887141278537826	-0.05001795084774606	-0.21028653800058264	0.0	-0.10386159566696915
ENSMUSG00000045591	0.010429155693304873	0.0202914990462109	0.0	0.0	0.0	0.0	0.0	0.04297882292609622	0.0	0.011561675581066948	-0.02577878221298583	0.0	0.0	0.0	-0.02177421448553735	0.012996322332305668	0.0	0.0	0.0	0.012789210896480075	0.017032575530786985	-0.08616119393475744
ENSMUSG00000001785	-0.14624947506479252	-0.15164914284552103	0.0	0.0	0.0	0.0	0.0	-0.2405986955022453	0.0	-0.22465736520613944	0.0	0.0	-0.14053516908355845	-0.1386438806372965	0.0	-0.38349678286090216	0.0	-0.19830957578190356	0.0	-0.6216577551617675	0.0	-0.3969037115415531
ENSMUSG00000027285	0.0	0.017475340606389885	0.0	0.01629290056987745	0.0	0.0	0.0	0.23833607209274696	0.015159011494742192	0.021645846490531754	0.0	0.0	0.0	0.0	0.0	0.24683851301297713	0.0	0.04453590838312355	0.05738982379527156	0.20313746391816243	0.0	0.26574880690966446
ENSMUSG00000103029	-0.1428222328560488	-0.15101874314396127	0.0	-0.12749215689867535	0.0	0.0	0.0	-0.27195591977125194	0.0	-0.2024100256289291	0.0	0.0	0.0	-0.1289314990272592	0.0	-0.35763685084433827	0.0	-0.21040639578469642	0.0	-0.6160507278494189	0.0	-0.43397700188110017
ENSMUSG00000044881	0.02185979519685246	0.0	0.0	0.030522194778838763	0.0	0.0	0.0	0.19145325515854925	0.0	0.02096131181715144	0.0	0.0	0.0	0.0	0.02285046542929296	0.1772210659847341	0.0	0.043536977721027686	0.034159046757809265	0.5112596143148057	0.0	0.18574481688780228
ENSMUSG00000063176	0.0	-0.01988275088793432	0.0	-0.01618577766779298	0.0	0.0	0.0	-0.12674751396208261	-0.010438990428497497	-0.019363024538384385	0.0	0.0	0.0	0.0	0.0	-0.24097568136069095	0.0	-0.06268404487900663	-0.02739879581648728	-0.16302162597674216	0.0	-0.06858662777774133
ENSMUSG00000109774	0.016243398236581788	0.011717245276547524	0.0	0.007974324673456254	0.0	0.0	0.0	-0.12795401347859606	0.0069695796563358356	0.0	0.0	0.0	0.0	0.005680169317193062	0.0	0.0	0.0063365800378235625	0.012236489650641497	0.012954801103812192	0.1252395370650766	0.0	0.0
ENSMUSG00000029848	0.013306800184968071	0.025558297560548122	0.0	0.0	0.0	0.0	0.0	0.0	0.012082314482998962	0.02275355793359996	0.0	0.0	0.0	0.0	0.0	0.07293952261959832	0.009591401078969126	0.010772239426170269	0.04019949109178544	0.07093357704048692	0.0	-0.04468042824056248
ENSMUSG00000054061	0.0	0.015441096402691432	0.0	0.008117829746170813	0.0	0.0	0.0	0.13426079888732975	0.004728395081783632	0.01662359501609631	0.0	0.0	0.0	0.005447710207457678	0.0	0.16358908809757822	0.0	0.014805548646239853	0.0	0.028737109772468752	0.0	0.06459946523714333
ENSMUSG00000041272	0.0	0.0	0.0	0.007924690766293208	0.0	0.007322152118297061	0.0	0.15604951260620403	0.0	0.012515778939259713	0.0	0.0	0.0	0.007273579646256372	0.012008751423632143	0.13888232157750438	0.0	0.007330821137373221	-0.0802716729616405	0.0	0.0	0.026459557579466286
ENSMUSG00000031539	0.015813358556935865	0.02269797953609716	0.0	0.0	0.0	0.0	0.0	0.11430931739563159	0.014553171346685323	0.02182726830406958	0.0	0.0	0.0	0.0	0.0	0.09430041022448328	0.0	0.02161820014328257	0.036966607642474475	0.15732956064158943	0.0	0.15476687084765572
ENSMUSG00000085095	0.017747009047975493	0.0	0.0	0.0	0.0	0.0	0.0	-0.10303409603912321	0.0	0.0383692917041416	0.0	0.0	0.015257798436145054	0.0	0.0	-0.12566011570488467	0.02187573329513541	0.030931718270950738	-0.07486783110357219	-0.17059338027897483	0.0	-0.027701946412045136
ENSMUSG00000111925	0.0	0.0	0.0	-0.03134407824080705	0.0	0.0	0.0	-0.1374068918119646	-0.014309972838176359	-0.004784286296363294	0.0	0.0	0.0	-0.022286005210459668	0.0	-0.1065966994485426	0.0	0.0	-0.07829175293583511	-0.29038499678373164	-0.007399128197796191	-0.14611653054581325
ENSMUSG00000114203	0.021669388431856774	0.018033087792802365	0.0	0.0	0.0	0.0	0.0	0.03580765492325229	0.013403283546020892	0.018290235029276476	0.0	0.0	0.0	0.008228110964558208	0.0	-0.061556895591267584	0.011518104366090834	0.0	0.017279119416288017	0.0	0.0	-0.03334558200910011
ENSMUSG00000101491	-0.14596210417446845	-0.14468419588871592	0.0	0.0	0.0	0.0	0.0	-0.23235557451899735	0.0	-0.2245597452805352	0.0	0.0	-0.13826444829485893	-0.13545335132472625	0.0	-0.365482738608791	0.0	-0.22349107757135458	0.0	-0.6284267884159592	0.0	-0.4040215296072725
ENSMUSG00000117902	0.0	0.02738229043060444	0.0	0.0	0.0	0.0	-0.003930312859393159	-0.09859018684614296	0.0	0.01727049905578707	0.0	0.0	0.0	0.0	0.0	-0.07401805928311435	0.0	-0.009097707923897847	-0.06046493242185667	-0.16125606581260243	-0.012433075440665914	-0.10841018350023064
ENSMUSG00000036775	0.019540053858397115	0.019820907515300287	0.0	0.0	0.0	0.0	0.0	0.07497714370298018	0.008011246932088711	0.023436206878076914	0.0	0.0	0.008824982422439632	0.0	0.0	0.0	0.0	0.0	0.018596640033033913	0.23694666816170548	0.010079772542124405	0.08499586360151695
ENSMUSG00000085695	-0.03791045270949437	-0.07586553602215174	0.0	0.0	0.0	0.0	0.0	-0.1407887352266978	-0.03346796568358674	-0.0557091547495998	0.0	0.0	0.0	0.0	0.0	-0.11488193180694213	0.0	0.0	-0.05975617491635408	-0.31417393748029754	-0.023972793393031377	-0.16268179632673574
ENSMUSG00000059439	0.016606951425299332	0.019450677652252987	0.0	0.016567939422089093	0.0	0.0	0.0	0.2293853474752686	0.0	0.02434987815415437	0.0	0.0	0.0	0.016054650411120086	0.0	0.2507572142644856	0.0	0.05580354054242922	0.0	0.41308162174046925	0.0	0.25138521560455895
