	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000111594	0.02100500836968422	0.038405030965805054	0.013054469600319862	0.018412034958600998	-0.017438724637031555	4.273761442163959e-05	0.0003653184394352138	0.2101110816001892	0.014629405923187733	0.03798839822411537	-0.01380231138318777	-0.023061465471982956	0.00178524071816355	-0.00214777747169137	-0.02660529688000679	0.2509600818157196	0.010273151099681854	0.038305625319480896	0.052406053990125656	0.2856258153915405	0.009434422478079796	0.13357405364513397
ENSMUSG00000094570	-0.13593783974647522	-0.13531924784183502	-0.048662543296813965	-0.12663938105106354	0.09840302169322968	-0.06497970223426819	0.03733659163117409	-0.2235402911901474	-0.00434396555647254	-0.19638824462890625	0.00807931087911129	-0.012740186415612698	-0.09839743375778198	-0.12938252091407776	-0.007958626374602318	-0.282563716173172	-0.11388449370861053	-0.22131380438804626	0.16662916541099548	-0.5982151627540588	0.14515288174152374	-0.33660048246383667
ENSMUSG00000118659	0.00021476991241797805	-0.007339221425354481	0.00011990063649136573	-0.015422173775732517	-0.007282696198672056	0.005245506297796965	-0.002840418601408601	-0.1250629723072052	-0.015713922679424286	0.021872028708457947	0.002603334840387106	0.012521139346063137	0.006095190066844225	0.012176991440355778	-0.0020392911974340677	-0.01975357159972191	-0.009151178412139416	0.005818605422973633	-0.03603985160589218	-0.11660955101251602	-0.015582084655761719	-0.04671231284737587
ENSMUSG00000045591	0.015166820026934147	0.048325005918741226	0.004738611169159412	0.012771840207278728	-0.006835992448031902	-0.002641830127686262	-0.013324125669896603	0.11460315436124802	-0.012165159918367863	0.02271665260195732	-0.0333685427904129	-0.012639384716749191	-0.003242179751396179	0.0031416064593940973	-0.03640666604042053	0.08843616396188736	0.00950637087225914	0.029980072751641273	0.0079767145216465	0.11141075938940048	0.02088776044547558	-0.01323737483471632
ENSMUSG00000001785	-0.13593783974647522	-0.13531924784183502	-0.048662543296813965	-0.12663938105106354	0.09840302169322968	-0.06497970223426819	0.03733659163117409	-0.2235402911901474	-0.00434396555647254	-0.19638824462890625	0.00807931087911129	-0.012740186415612698	-0.09839743375778198	-0.12938252091407776	-0.007958626374602318	-0.282563716173172	-0.11388449370861053	-0.22131380438804626	0.16662916541099548	-0.5982151627540588	0.14515288174152374	-0.33660048246383667
ENSMUSG00000027285	0.014695254154503345	0.026765620335936546	0.009826003573834896	0.019313126802444458	-0.011420202441513538	0.0017863947432488203	-0.0024074187967926264	0.33559033274650574	0.002942858962342143	0.02885245531797409	0.0011014597257599235	-0.03574550896883011	0.004990321584045887	-0.0027695319149643183	-0.002637152560055256	0.34924980998039246	0.0011417132336646318	0.05373316630721092	0.06969393789768219	0.28357386589050293	0.011771543882787228	0.32794681191444397
ENSMUSG00000103029	-0.13593783974647522	-0.13531924784183502	-0.048662543296813965	-0.12663938105106354	0.09840302169322968	-0.06497970223426819	0.03733659163117409	-0.2235402911901474	-0.00434396555647254	-0.19638824462890625	0.00807931087911129	-0.012740186415612698	-0.09839743375778198	-0.12938252091407776	-0.007958626374602318	-0.282563716173172	-0.11388449370861053	-0.22131380438804626	0.16662916541099548	-0.5982151627540588	0.14515288174152374	-0.33660048246383667
ENSMUSG00000044881	0.021511860191822052	0.02292880229651928	0.005904195364564657	0.03532038629055023	-0.009011950343847275	0.001106130424886942	0.011074680835008621	0.29169735312461853	0.006781088653951883	0.022445695474743843	0.003184328321367502	-0.03183824568986893	0.0017740182811394334	-0.011603044345974922	0.007889979518949986	0.27969005703926086	-0.006181784439831972	0.05640115588903427	0.042005524039268494	0.5875411629676819	0.00900436844676733	0.2533780038356781
ENSMUSG00000063176	0.006691400893032551	-0.008184155449271202	0.003935180138796568	-0.013247048482298851	-0.0066319615580141544	0.0028498563915491104	-0.006672076415270567	-0.0690109133720398	-0.006915247067809105	-0.007871984504163265	0.013514362275600433	0.012230293825268745	-0.002151750260964036	0.03842537850141525	-0.0001616577646927908	-0.18063272535800934	0.029484929516911507	-0.04280349612236023	-0.021385982632637024	-0.0905890241265297	-0.014373041689395905	-0.03034987300634384
ENSMUSG00000109774	0.02729649282991886	0.03807559609413147	0.0059076277539134026	0.031072281301021576	-0.010559587739408016	0.00025729191838763654	-0.003579447278752923	-0.06398820132017136	0.02188468910753727	0.024185724556446075	-0.006947637069970369	0.011774822138249874	0.004387320019304752	0.021144920960068703	0.006787183228880167	0.004503282718360424	0.02238302305340767	0.04432675987482071	0.03919939696788788	0.2167348861694336	-0.007428907789289951	0.011415884830057621
ENSMUSG00000029848	0.020587118342518806	0.054731663316488266	0.012936222366988659	0.010482396930456161	-0.008322554640471935	-0.0010562165407463908	-0.00338848028331995	0.03946468234062195	0.021611470729112625	0.051158495247364044	-0.009400738403201103	-0.008974043652415276	-0.005317689385265112	0.005342597141861916	-0.022086327895522118	0.12665683031082153	0.020477227866649628	0.03304958716034889	0.056829456239938736	0.16921056807041168	0.009873858653008938	0.02102585881948471
ENSMUSG00000054061	0.0086526395753026	0.029233992099761963	0.009995647706091404	0.012264755554497242	-0.009805594570934772	0.002004238311201334	-0.002933987881988287	0.2340473234653473	0.0022617189679294825	0.028297273442149162	-0.005244594067335129	-0.026487968862056732	0.002622928936034441	-0.0008229440427385271	-0.016560927033424377	0.2610248625278473	0.004442727193236351	0.03142310678958893	-0.009177025407552719	0.12540672719478607	0.0011419657384976745	0.13599899411201477
ENSMUSG00000041272	0.007091069128364325	0.024387918412685394	0.008679955266416073	0.012049086391925812	-0.008621606975793839	0.005576267838478088	-0.004951940383762121	0.25378739833831787	-0.0011844468535855412	0.0229019932448864	-0.006253472529351711	-0.039500996470451355	0.0024987419601529837	0.005438963882625103	-0.007554762531071901	0.23833580315113068	0.0023296279832720757	0.026783140376210213	-0.057640302926301956	0.08598191291093826	-0.011237459257245064	0.0980338305234909
ENSMUSG00000031539	0.018921788781881332	0.03952606022357941	0.01601683907210827	0.010013464838266373	-0.012696634978055954	0.0013068983098492026	-0.0007314487011171877	0.20245026051998138	0.013280601240694523	0.03144209086894989	-0.014830643311142921	-0.012213608250021935	0.00153070199303329	0.0006248376448638737	-0.033304329961538315	0.1861644983291626	0.011690505780279636	0.03445972129702568	0.0522664412856102	0.24570144712924957	0.012303202413022518	0.21169517934322357
ENSMUSG00000085095	0.017607513815164566	0.017957311123609543	0.008709665387868881	0.024105267599225044	0.00254836049862206	0.0026813095901161432	-0.00189390208106488	-0.06945989280939102	0.018246639519929886	0.06411885470151901	-0.004088202491402626	0.01153462566435337	0.006892887409776449	0.010569035075604916	0.012277375906705856	-0.07568231970071793	0.030390126630663872	0.06043605878949165	-0.05791773274540901	-0.08735059946775436	-0.014621279202401638	0.006698336452245712
ENSMUSG00000111925	0.00041097059147432446	0.021475963294506073	-0.0005615891423076391	-0.02330976165831089	0.001439193612895906	0.0016903894720599055	-0.0004668228211812675	-0.10292752087116241	-0.009362648241221905	0.014265847392380238	-0.0011864467523992062	0.012919680215418339	0.008014058694243431	-0.012241160497069359	0.002389599336311221	-0.061432380229234695	0.0062337834388017654	0.030970394611358643	-0.05633631348609924	-0.20892614126205444	-0.006342350039631128	-0.09420190006494522
ENSMUSG00000114203	0.031740184873342514	0.040694460272789	0.01663353107869625	0.01530139334499836	-0.013425440527498722	2.114153403454111e-06	-0.002534816972911358	0.08953040838241577	0.0235033817589283	0.04329829290509224	-0.014501189813017845	-0.0028269351460039616	0.001543552614748478	0.008193204179406166	-0.016071872785687447	0.006406385917216539	0.020187482237815857	0.024108517915010452	0.033720556646585464	0.0710354596376419	0.005732849705964327	0.028490183874964714
ENSMUSG00000101491	-0.13593783974647522	-0.13531924784183502	-0.048662543296813965	-0.12663938105106354	0.09840302169322968	-0.06497970223426819	0.03733659163117409	-0.2235402911901474	-0.00434396555647254	-0.19638824462890625	0.00807931087911129	-0.012740186415612698	-0.09839743375778198	-0.12938252091407776	-0.007958626374602318	-0.282563716173172	-0.11388449370861053	-0.22131380438804626	0.16662916541099548	-0.5982151627540588	0.14515288174152374	-0.33660048246383667
ENSMUSG00000117902	-0.00038320207386277616	0.04379191994667053	0.0032796517480164766	0.011423073709011078	-0.007431564852595329	0.003391002770513296	-0.004439933691173792	-0.05432605370879173	0.005533759482204914	0.0395963191986084	-0.004118361510336399	0.012727703899145126	0.005599149502813816	0.019756430760025978	-0.0019064751686528325	-0.02468138001859188	0.006726304069161415	0.01647818647325039	-0.04586776718497276	-0.07555417716503143	-0.01643708348274231	-0.05527008697390556
ENSMUSG00000036775	0.02866060473024845	0.03761468827724457	0.016100097447633743	0.00603690929710865	-0.010836627334356308	-0.0011324157239869237	-0.0021305689588189125	0.14936167001724243	0.011584135703742504	0.048496462404727936	-0.007447204552590847	-0.013575528748333454	-3.2328374800272286e-05	0.002645082538947463	-0.023074056953191757	0.09093187004327774	0.015892498195171356	0.002513819606974721	0.03572952374815941	0.3224474787712097	0.012653383426368237	0.14422526955604553
