	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000003206	0.008583976411279894	0.017422390147696986	0.004286553550134288	0.02480456865076641	0.0013698724266386568	-0.002228340182474702	0.0070280838738524054	-0.030032423368694643	0.00747597097166103	0.0333052586827502	-0.009499476535841366	0.018318873780559183	0.01602443689358292	0.022224839088175942	-0.007812257997479069	-0.0057484813736144655	-0.007571350174163984	0.016395423493343386	0.10126841456897506	0.26575007012007906	0.02292723086002947	0.17287471857916897
ENSMUSG00000030022	0.008737126746830524	0.01859541531899335	0.0025055949556579953	0.016637285824234432	-0.003906479938700613	0.0022314362686821757	0.015879671060377274	0.15151817017215632	0.00406587485705521	0.012467636258510799	-0.00016852194268852016	0.007530256549983148	0.005574618895570893	0.02668693864227732	0.006446661966284799	0.14755781607014537	0.005059609476588126	0.022882033808400593	0.003381379463345573	0.2837787241864135	0.003692148960460275	0.45797887495642237
ENSMUSG00000115171	-0.00789253593792247	0.01954048404706035	0.006295646209816499	0.011560946147307861	0.01813288651331147	-0.001668565165112211	-0.014876328061862815	0.13821845158628485	0.003587186550053697	0.03173532046811098	0.004509651622122744	0.0010838958391104826	0.015583432415873436	0.041018083622917145	0.003313793436843428	0.15768309312248416	0.0017371811252944879	0.027255423431363723	-0.010172148744433278	0.2195330000955437	0.008795365936176885	-0.04558581935190367
ENSMUSG00000057182	0.015747885638867438	0.02469110205377417	0.004038699261959014	0.003961386013543233	-0.010745423208533923	-0.0006463120531537113	0.022827227750219337	0.026808739543074417	0.005464814906476281	0.022599333016582283	-0.0021966307840817277	0.00761661208377648	0.004542122990122672	0.035190397161776285	0.0031109365988023843	-0.011060398832341889	-0.006176259499755231	0.017559862149729658	-0.019792164803688398	0.003861722263770519	-0.003933344129836769	-0.06360203253420228
ENSMUSG00000110285	-0.00026597985916591176	0.02882952873321431	-0.006291639496053644	0.0042350611014626335	-0.011083825071052291	0.0007526968151328869	-0.007007523153463678	-0.00906266936116091	0.0003546222615958478	0.05416486591381856	-0.0002313598344179419	0.006428017880807602	0.0031950793385996283	0.010193547463729503	0.0031160627720445127	-0.0036794453935986636	-0.0020793709366703945	0.0466595486620333	-0.039100949621310326	-0.08070228113273126	-0.008372871937249978	-0.08736383599251504
ENSMUSG00000080317	0.0045814194210184464	-0.004916215328973651	0.0015689690324669364	-0.012109240525153707	-0.005785382252672986	-6.82945304885964e-05	0.012979241607250254	-0.0668986811718891	0.013121989818137081	0.058398512487474366	-0.002367967044769362	0.0038387730542516303	0.005712496628153271	0.03722281541748609	0.007932941535727878	-0.027189278569013757	0.016538654688546168	-0.002876683277853382	-0.03141506211437185	-0.11891998977392047	-0.008411784292729863	-0.150393678247266
ENSMUSG00000038576	0.01020185231990841	0.015560409006957343	0.0037023086763188725	0.07431591052261086	-0.004249068082910006	0.0031394381307368996	0.021324418862501002	0.15255238307972344	0.0117710424141738	0.02079999554332192	0.00029706307236015815	-0.007676977328420824	0.006712033932061396	0.028705451138876015	0.007051546520181416	0.27700807976274777	0.006534840185850044	0.021253442865262123	-0.006524226825656245	0.09539739967715702	-0.0042212157450324285	0.36326539069694785
ENSMUSG00000109819	0.007270419665668929	0.037913953372935794	0.005123890384876566	0.02029637699457193	-0.014023029513620194	0.0005060741671513824	0.019764678165925684	0.015263814768176027	0.005264578275172686	0.04844283539641765	-0.014746623153821149	0.009082795340639547	0.003433189476709231	0.03924273847726779	0.0012444353327607262	-0.008544811098701238	0.005302241058078445	0.008930152419894252	-0.01899511897463526	-0.06046300474671235	-0.007695374655382434	-0.09490165708417148
ENSMUSG00000047003	0.007473233071185145	0.019504472822804278	0.005631375896440919	0.024148669567713502	-0.0010859956753490353	0.0021686552963469043	0.01524543526472501	0.09788869923025101	0.009858634567068033	0.012870332224312213	0.0009256209967328946	0.01274325562686889	0.006793356110197887	0.021493956298409753	0.0038869687557832678	0.11776687607183962	0.005583060919889249	0.04133423172999236	0.005684873785425485	0.389685594214773	0.0037174828544071455	0.5917540625243548
ENSMUSG00000066090	0.012550876692707139	0.02160950193375746	0.0025863104915450612	0.026976304425508194	-0.006028540969132986	-0.0002412849282986177	0.005320182830824446	-0.045458560579468864	0.02754179797492335	0.02064948455018956	-0.004672399790875456	0.009185555458238273	0.009712507009395008	0.009874350427656152	0.003525467612624717	0.007353458506986499	0.023902054333809375	0.024853240920219833	-0.010513849301280841	-0.14837940762427024	-7.008853742393382e-05	-0.13629492507207033
