	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000085642	0.10015071356669653	-0.0020013148764649355	0.06025524591009993	0.006986856547103214	0.040468194209773045	-0.014436808833436642	-0.03175243048039452	0.0009647762587779393	0.07189059451078654	-0.005431273945578141	0.008062960571422601	0.003303050593967782	-0.0036532420915006826	-0.008949505397920023	0.03066085029588846	0.0038350492008768404	0.10560859734237706	0.009229577163465105	-0.15880228616616868	-0.01155947986558853	-0.01584416534875085	-0.02659250574145387
ENSMUSG00000025783	0.09380635896034814	-0.013588788961871094	0.054556347750024416	0.001579821064686777	0.05208942514386113	-0.00019536140747991988	0.1978007585353875	-0.004614261012803971	0.04146213428643283	-0.00034429208069793407	0.012172827535635276	0.0013457441386240784	0.040899964372459054	0.0070743407041456005	0.03834344008811448	-0.01722108504161172	0.07269755207437031	-0.0013225899867653165	0.506817341338787	0.02601162267476736	0.07490572977416637	-0.00973563171015225
ENSMUSG00000085772	0.050576777444949324	-0.002484966098121991	0.061466609470802985	-0.0003536589481622546	0.033227917647335355	-0.01063920810338459	0.045350774646625985	-0.016819516594296147	0.036091835324545435	0.0023514429010382237	0.006206127639649952	0.00034930882190695097	0.03160673152827128	0.0019980931229188824	0.03785409922986998	0.00023127714939619182	0.06906851826611923	0.008650249306603136	-0.11333889869747509	-0.009043249957436014	0.028124372702599692	-0.02663002509933514
ENSMUSG00000026959	0.06570311462237116	0.01141682690201508	0.05091277513925629	0.0003385553542102571	0.032572408775402954	-0.005593608313444877	0.15109437315792482	-0.007802252682008007	0.04635230308384572	0.007113225169145413	0.00788304748700414	-0.024055278914056545	0.045203862931196326	-0.005316465601962201	0.022341663284039116	-0.007889987987255154	0.06729972649955016	0.0007142665345132368	0.24713775886656159	0.07579140986285243	0.052183282797808976	0.002444323040708696
ENSMUSG00000031952	0.07997666099559281	0.002113216841488403	0.04748042847669629	-0.001128763171540673	0.04405501685883532	-0.004042701459314101	0.1335009599985694	-0.005947007799607361	0.05314439922416828	0.0016341744315143713	0.005979312178520299	-0.0036385984023841697	0.04738774565012136	-0.01603044795265305	0.03172822390957403	-0.005043716984203327	0.059817126109503856	-0.00045647810280310556	0.3951255089372613	0.0692708620801568	0.049742371814162266	-0.02095366092535187
ENSMUSG00000045252	0.05091401209540436	-0.007557479920920481	0.034354082456112725	0.003759758439290246	0.05978166065918101	-0.002372758822067616	0.17450179008218844	0.03459716961653092	0.04939701801940828	0.007457575892762439	0.005289345975948631	-0.010266327260225288	0.08621212349865215	-0.013728689546223905	0.03581903601616432	0.0019858684590872144	0.059811778428177476	-0.005599564836432235	0.30612600234740706	0.05639468081479728	0.07339843335685145	0.17048073358111132
ENSMUSG00000020460	0.03125513592447403	-0.0028223705873772686	0.025965918710049402	0.033661876367295916	0.08081158479165294	-0.0037161452343882828	0.24102049550785004	0.09557929397717868	0.036500379388105235	-0.0014230144182972384	0.024731286884239773	0.04244823779881699	0.0439015757297966	-0.006718527762495796	0.026855865848197675	-0.0006365652671904952	0.048083616320997995	0.004175263535138843	1.2287342962544374	-0.03865329486960556	0.4988560237075814	0.1731420939579688
ENSMUSG00000074764	0.05601649350172855	-0.003566527314407202	0.032397970690726655	0.0004678695279186026	0.018231640419617178	-0.009106311801588163	-0.028873385108350445	-0.014212771081994495	0.0128670227553552	-0.003041036984541279	0.00303420210922403	0.005085111733881474	0.03055620138625922	0.008156512882903501	0.016965158010706156	0.0032844943541931572	0.026908451118028358	0.0027802094657610205	-0.14468462538703275	0.004105473677399069	0.012974569403922942	-0.02352010238966094
ENSMUSG00000032591	0.07330056643785546	0.017406626943946842	0.06695547479800683	-0.005528527355506542	0.05778174753392835	-0.0028834854131283855	0.14812830518125597	-0.014188724964671044	0.04742302665170947	0.007800159493600794	0.005691603973796841	0.0014687263161509432	0.042137614337298145	0.007506025454573059	0.028103328842384406	0.007579428068155331	0.08242332726370348	-0.008106750184664894	0.5876580485574647	0.09598988151553516	0.08253558143533155	-0.017148515717547396
ENSMUSG00000006179	0.06882597811749877	-0.005831525210201757	0.03779848396777327	-0.0022364060896507	0.04516156730786471	-0.009102153963106372	0.25949938818355023	0.007626929432470726	0.04441077443877605	0.002982429582730869	0.005223360111189582	0.0013123710225564926	0.05063238404750986	0.00340092266391626	0.045832905777829835	0.015049179183474084	0.0838416646184734	0.006852309004599582	0.36055035551458525	-0.025823678626537522	0.11310216496188202	-0.01584777748279781
