	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000004535	0.012662992754079078	0.0	0.0	0.010679849408091968	0.0	0.0	0.0170226158826334	0.2541598594467143	0.0	0.0	0.0	0.0	0.012730912356945826	0.0	0.0	0.2864410866020829	0.0	0.04791913840400623	0.013025789567377124	0.25956932131745397	0.0	0.38940199770433365
ENSMUSG00000086582	0.015238039925576001	0.0	0.0	0.021374999086185873	0.0	0.0	0.0	0.2104210076384174	0.0	0.010834464303168367	0.0	0.0	0.0	0.0	0.0	0.29372484971771246	0.014017600498530874	0.022111460952445153	0.039292835056248074	0.24620953446702556	0.0	0.2944315213543126
ENSMUSG00000052372	-0.0034570162967904605	-0.012287255388021957	0.0	0.0	0.0	0.0	0.0	-0.06021224219930508	0.0	-0.016737290546112962	0.0	0.0	0.0	0.0	0.0	-0.04388496175941676	-0.016995490562375055	-0.009122902067777904	-0.03559571702684099	0.0	-0.009421580667607624	-0.20830366361971286
ENSMUSG00000030541	0.01801624105470621	0.0	0.0	0.012887347936904825	0.0	0.0	0.019946182194492578	0.20211542918027064	0.0	0.0	0.0	0.0	0.02197207626818184	0.0	0.0	0.17986831537270961	0.0	0.02787973976741998	0.07674176507495124	0.23957420933445184	0.0	0.19147469564858574
ENSMUSG00000022635	0.007305098400657517	0.009011723500986377	0.0	0.02807113664457816	0.0	0.0	0.0	0.23967813372181596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2941633535313392	0.010893209097983662	0.06885029988536152	0.03914729541536019	0.2517656726307622	0.0	0.36910690061415374
ENSMUSG00000115627	0.0	0.0	0.0	0.0	0.0	0.0	0.025582223876028928	0.1322425855660121	0.0	0.010999816130766957	0.0	0.020903825350723573	0.014435307434437048	0.017569349516671162	0.0	0.07132367542823768	0.007724662221338274	0.0	0.0	0.1638986573843424	0.0	0.11450580561977189
ENSMUSG00000021413	0.0	0.0	0.0	0.027374098517089922	0.0	0.0	0.018966759430675835	0.249692414972423	0.0	0.0	0.0	0.0	0.014980385570438766	0.0	0.0	0.25037810922528364	0.009967461314043025	0.061295812713657236	0.022837760877097858	0.2859396170645914	0.0	0.38452900571813453
ENSMUSG00000113268	0.0	0.030116377848214037	0.015996608790407263	0.0	0.0	0.0	-0.01374673889339112	-0.12018736059250662	0.0	0.028976838290047956	0.0	0.0	0.0	0.0	0.0	-0.08794433728709719	0.0	0.035168306384539605	-0.0634639016133633	-0.13764944216754335	0.0	-0.07653524333853463
ENSMUSG00000070495	0.006049702762534082	0.0	0.0	0.024915949958235265	0.007487959468681169	0.0	0.014404013697635576	0.0	0.0	0.011696820018406787	0.0	0.03361644294895445	0.0	0.0	0.0	0.08074736813750726	0.014746021643560389	0.03376023247832121	0.0	0.0	0.0	0.05609326355792308
ENSMUSG00000095128	0.0	-0.010827479598975849	0.0	-0.018364599159375886	0.0	0.0	0.03876929423470967	-0.10420796261073229	-0.019100151386490977	0.03111706814149845	0.0	0.0	0.0	0.0	0.0	-0.06664125294405009	0.0	0.0	-0.04062403989657334	-0.13113566407118085	0.0	-0.06384728462920064
ENSMUSG00000002660	0.0	0.03272032460524933	0.0	0.0	0.0	0.0	0.02308089521068726	0.22528381754220714	0.0	0.017312852659047497	0.0	0.0	0.0	0.0	0.01404005813784548	0.1965929545461656	0.0	0.054147167968791876	0.08523638488039612	0.32170436710193523	0.0	0.32190539502344384
ENSMUSG00000029695	0.0	0.026317110038116206	0.0	0.01703507276506391	0.0	0.0	0.0	0.020564414487392612	0.0	0.028919116974081074	0.0	0.0	0.0	0.021514382020927834	0.0	-0.03336671628387032	0.0	0.014139971050301667	0.023380809351717425	-0.060191868654414116	0.0	-0.06655699417473805
ENSMUSG00000097368	0.012015049756631035	0.033733795087425585	0.0	0.012092519310430035	0.0	0.0	0.0	-0.0478263061201962	0.0	0.04009345685271862	0.0	0.0	0.017093864851686368	0.0	0.0	0.0	0.022022765336990484	0.0	0.12733605977070375	-0.060100759037489085	0.0	-0.025478919349398305
ENSMUSG00000022629	0.01201471701350682	0.0	0.0	0.013497956605401817	0.0	0.0	0.0	0.16810492624042234	0.0	0.0	0.0	0.0	0.01303571199927938	0.0	0.0	0.12619102826431736	0.015189814864462905	0.017593253709987787	-0.04406627053927725	0.1265430673635172	0.0	0.1878232532924186
ENSMUSG00000027947	0.016240385011146198	0.0	0.0	0.01586461207743445	0.0	0.0	0.0	0.1483988266583806	0.0	0.013782794315896685	0.0	0.0	0.018095529133097976	0.0	0.0	0.25032647540729996	0.0	0.028384039797789615	0.047221086066781194	0.1474906303946011	0.0	0.175788310662728
ENSMUSG00000033688	0.015087614601366659	0.0	0.0	0.009799878993538735	0.0	0.0	0.0	0.0	0.0	0.021059296006222552	0.0	0.0	0.0	0.01900106172584666	0.0	0.17813186512289894	0.023656364821300346	0.02124181794565793	-0.05336120783750025	-0.04879233932621187	0.0	-0.04608277684356244
ENSMUSG00000022885	0.00682521261230018	0.0	0.0	0.013451618003875862	0.0	0.0	0.01049364239820357	0.2043328056199704	0.0	0.010186254308354108	0.0	0.0	0.010279564869921256	0.0	0.0	0.19308472694221956	0.0	0.035384209462682385	0.0	0.16524543661078225	0.0	0.15287177753034478
